var1	var2
94496002	Secondary malignant neoplasm of posterior hypopharyngeal wall (disorder)
94436000	Secondary malignant neoplasm of nasal cavity (disorder)
94599006	Secondary malignant neoplasm of sphenoidal sinus (disorder)
94229004	Secondary malignant neoplasm of bronchus of left upper lobe (disorder)
94682004	Secondary malignant neoplasm of Waldeyer's ring (disorder)
94359007	Secondary malignant neoplasm of junctional zone of tongue (disorder)
94184004	Secondary malignant neoplasm of base of tongue (disorder)
94534004	Secondary malignant neoplasm of septum of nose (disorder)
94437009	Secondary malignant neoplasm of nasal concha (disorder)
285603002	Metastasis to bronchus of unknown primary (disorder)
94667009	Secondary malignant neoplasm of uvula (disorder)
94406009	Secondary malignant neoplasm of maxillary sinus (disorder)
94288005	Secondary malignant neoplasm of ethmoidal sinus (disorder)
94488007	Secondary malignant neoplasm of pharynx (disorder)
94284007	Secondary malignant neoplasm of epiglottis (disorder)
1661000119106	Metastasis to lung from adenocarcinoma (disorder)
439161000000107	[X]Secondary malignant neoplasm of other and unspecified respiratory organs (disorder)
190145000	[X]Secondary malignant neoplasm of other and unspecified respiratory organs (disorder)
