^ESCT1167914	Hydralazine and hydrochlorothiazide
^ESCTOL927552	Olmetec Plus 20mg/25mg tablets (Daiichi Sankyo UK Ltd)
^ESCTOL927633	Olmesartan medoxomil 20mg / Hydrochlorothiazide 25mg tablets
^ESCTOL999393	Olmetec Plus 40mg/12.5mg tablets (Daiichi Sankyo UK Ltd)
^ESCTPR398944	Product containing hydrochlorothiazide
^ESCTPR450769	Product containing irbesartan 300 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCTPR450772	Product containing irbesartan 150 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCTPR606803	Product containing amiloride 2.5 mg and hydrochlorothiazide 25 mg/1 each oral tablet
^ESCTPR607115	Product containing metoprolol tartrate 100 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCTPR607129	Product containing timolol maleate 10 mg and amiloride 2.5 mg and hydrochlorothiazide 25 mg/1 each oral tablet
^ESCTPR607152	Product containing acebutolol 200 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCTPR607155	Product containing atenolol 50 mg and amiloride 2.5 mg and hydrochlorothiazide 25 mg/1 each oral capsule
^ESCTPR607166	Product containing bisoprolol fumarate 10 mg and hydrochlorothiazide 6.25 mg/1 each oral tablet
^ESCTPR607342	Product containing captopril 25 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCTPR607345	Product containing captopril 50 mg and hydrochlorothiazide 25 mg/1 each oral tablet
^ESCTPR607358	Product containing enalapril maleate 20 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCTPR607385	Product containing lisinopril 20 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCTPR607388	Product containing lisinopril 10 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCTPR607401	Product containing quinapril 10 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCTPR607484	Product containing losartan potassium 50 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCTPR620087	Product containing amiloride and atenolol and hydrochlorothiazide
^ESCTPR638970	Product containing hydrochlorothiazide 12.5 mg/1 each oral capsule
^ESCTPR640961	Product containing hydrochlorothiazide 25 mg/1 each oral tablet
^ESCTPR641177	Product containing hydrochlorothiazide 50 mg/1 each oral tablet
^ESCTPR641945	Product containing benazepril hydrochloride 10 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCTPR641961	Product containing bisoprolol fumarate 5 mg and hydrochlorothiazide 6.25 mg/1 each oral tablet
^ESCTPR641984	Product containing candesartan cilexetil 16 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCTPR641986	Product containing captopril 25 mg and hydrochlorothiazide 15 mg/1 each oral tablet
^ESCTPR641988	Product containing captopril 25 mg and hydrochlorothiazide 25 mg/1 each oral tablet
^ESCTPR641990	Product containing captopril 50 mg and hydrochlorothiazide 15 mg/1 each oral tablet
^ESCTPR642201	Product containing enalapril maleate 10 mg and hydrochlorothiazide 25 mg/1 each oral tablet
^ESCTPR642203	Product containing enalapril maleate 5 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCTPR642384	Product containing guanethidine monosulfate 10 mg and hydrochlorothiazide 25 mg/1 each oral tablet
^ESCTPR642394	Product containing hydralazine hydrochloride 25 mg and hydrochlorothiazide 15 mg and reserpine 0.1 mg/1 each oral tablet
^ESCTPR642396	Product containing hydralazine hydrochloride 100 mg and hydrochlorothiazide 50 mg/1 each oral capsule
^ESCTPR642398	Product containing hydralazine hydrochloride 25 mg and hydrochlorothiazide 25 mg/1 each oral capsule
^ESCTPR642400	Product containing hydralazine hydrochloride 50 mg and hydrochlorothiazide 50 mg/1 each oral capsule
^ESCTPR642403	Product containing hydrochlorothiazide 25 mg and labetalol hydrochloride 300 mg/1 each oral tablet
^ESCTPR642405	Product containing hydrochlorothiazide 25 mg and lisinopril 20 mg/1 each oral tablet
^ESCTPR642410	Product containing hydrochlorothiazide 15 mg and methyldopa 250 mg/1 each oral tablet
^ESCTPR642412	Product containing hydrochlorothiazide 25 mg and methyldopa 250 mg/1 each oral tablet
^ESCTPR642414	Product containing hydrochlorothiazide 30 mg and methyldopa 500 mg/1 each oral tablet
^ESCTPR642416	Product containing hydrochlorothiazide 50 mg and methyldopa 500 mg/1 each oral tablet
^ESCTPR642418	Product containing hydrochlorothiazide 25 mg and propranolol hydrochloride 40 mg/1 each oral tablet
^ESCTPR642420	Product containing hydrochlorothiazide 12.5 mg and quinapril hydrochloride 20 mg/1 each oral tablet
^ESCTPR642422	Product containing hydrochlorothiazide 25 mg and quinapril hydrochloride 20 mg/1 each oral tablet
^ESCTPR642424	Product containing hydrochlorothiazide 25 mg and reserpine 0.125 mg/1 each oral tablet
^ESCTPR642426	Product containing hydrochlorothiazide 50 mg and reserpine 0.125 mg/1 each oral tablet
^ESCTPR642428	Product containing hydrochlorothiazide 25 mg and spironolactone 25 mg/1 each oral tablet
^ESCTPR642430	Product containing hydrochlorothiazide 25 mg and triamterene 37.5 mg/1 each oral capsule
^ESCTPR642432	Product containing hydrochlorothiazide 25 mg and triamterene 37.5 mg/1 each oral tablet
^ESCTPR642434	Product containing hydrochlorothiazide 12.5 mg and valsartan 80 mg/1 each oral tablet
^ESCTPR642540	Product containing amiloride 5 mg and hydrochlorothiazide 50 mg/1 each oral tablet
^ESCTPR655570	Product containing losartan potassium 100 mg and hydrochlorothiazide 25 mg/1 each oral tablet
^ESCTPR655597	Product containing hydrochlorothiazide 50 mg and spironolactone 50 mg/1 each oral tablet
^ESCTPR655599	Product containing hydrochlorothiazide 25 mg and propranolol hydrochloride 80 mg/1 each oral tablet
^ESCTPR655611	Product containing hydrochlorothiazide 12.5 mg and valsartan 160 mg/1 each oral tablet
^ESCTPR655616	Product containing benazepril hydrochloride 5 mg and hydrochlorothiazide 6.25 mg/1 each oral tablet
^ESCTPR655618	Product containing benazepril hydrochloride 20 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCTPR655620	Product containing benazepril hydrochloride 20 mg and hydrochlorothiazide 25 mg/1 each oral tablet
^ESCTPR660978	Product containing hydrochlorothiazide and spironolactone
^ESCTPR661043	Product containing hydrochlorothiazide and valsartan
^ESCTPR661057	Product containing hydrochlorothiazide and telmisartan
^ESCTPR661252	Product containing hydrochlorothiazide and reserpine
^ESCTPR661324	Product containing hydrochlorothiazide and lisinopril
^ESCTPR661394	Product containing acebutolol and hydrochlorothiazide
^ESCTPR661404	Product containing hydrochlorothiazide and irbesartan
^ESCTPR661454	Product containing hydrochlorothiazide and methyldopa
^ESCTPR670421	Product containing captopril and hydrochlorothiazide
^ESCTPR670447	Product containing hydrochlorothiazide and triamterene
^ESCTPR675369	Product containing telmisartan 40 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCTPR675372	Product containing telmisartan 80 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCTPR677434	Product containing candesartan cilexetil 32 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCTPR677437	Product containing olmesartan medoxomil 20 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCTPR677440	Product containing olmesartan medoxomil 40 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCTPR677443	Product containing olmesartan medoxomil 40 mg and hydrochlorothiazide 25 mg/1 each oral tablet
^ESCTPR677629	Product containing hydrochlorothiazide 25 mg and valsartan 160 mg/1 each oral tablet
^ESCTPR677908	Product containing fosinopril and hydrochlorothiazide
^ESCTPR677910	Product containing fosinopril 10 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCTPR677912	Product containing fosinopril 20 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCTPR680378	Product containing eprosartan 600 mg and hydrochlorothiazide 25 mg/1 each oral tablet
^ESCTPR680380	Product containing eprosartan 600 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCTPR680396	Product containing timolol maleate 10 mg and hydrochlorothiazide 25 mg/1 each oral tablet
^ESCTPR680409	Product containing triamterene 50 mg and hydrochlorothiazide 25 mg/1 each oral tablet
^ESCTPR680422	Product containing moexipril hydrochloride 7.5 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCTPR680424	Product containing moexipril hydrochloride 15 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCTPR680426	Product containing moexipril hydrochloride 15 mg and hydrochlorothiazide 25 mg/1 each oral tablet
^ESCTPR680448	Product containing bisoprolol fumarate 2.5 mg and hydrochlorothiazide 6.25 mg/1 each oral tablet
^ESCTPR682802	Product containing hydrochlorothiazide and metoprolol
^ESCTPR686231	Product containing metoprolol tartrate 100 mg and hydrochlorothiazide 25 mg/1 each oral tablet
^ESCTPR686233	Product containing metoprolol tartrate 100 mg and hydrochlorothiazide 50 mg/1 each oral tablet
^ESCTPR686235	Product containing metoprolol tartrate 50 mg and hydrochlorothiazide 25 mg/1 each oral tablet
^ESCTPR695807	Product containing bisoprolol and hydrochlorothiazide
^ESCTPR696352	Product containing hydrochlorothiazide 25 mg and valsartan 320 mg/1 each oral tablet
^ESCTPR696788	Product containing hydrochlorothiazide 12.5 mg and valsartan 320 mg/1 each oral tablet
^ESCTPR697936	Product containing hydrochlorothiazide and quinapril
^ESCTPR698220	Product containing enalapril and hydrochlorothiazide
^ESCTPR701419	Product containing hydrochlorothiazide and olmesartan medoxomil
^ESCTPR703977	Product containing metoprolol tartrate 25 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCTPR704296	Product containing metoprolol tartrate 50 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCTPR718441	Product containing aliskiren 300 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCTPR718864	Product containing aliskiren 150 mg and hydrochlorothiazide 12.5 mg/1 each oral tablet
^ESCTPR718867	Product containing aliskiren 300 mg and hydrochlorothiazide 25 mg/1 each oral tablet
^ESCTPR719169	Product containing aliskiren 150 mg and hydrochlorothiazide 25 mg/1 each oral tablet
^ESCTPR772146	Product containing hydrochlorothiazide in oral dosage form
^ESCTQU607399	Quinapril 10mg / Hydrochlorothiazide 12.5mg tablets
^ESCTQU607400	Quinapril 10 mg and hydrochlorothiazide 12.5 mg oral tablet
^ESCTSE1015806	Sevikar HCT 20mg/5mg/12.5mg tablets (Daiichi Sankyo UK Ltd)
^ESCTSE1015809	Sevikar HCT 40mg/5mg/12.5mg tablets (Daiichi Sankyo UK Ltd)
^ESCTSE1015812	Sevikar HCT 40mg/10mg/12.5mg tablets (Daiichi Sankyo UK Ltd)
^ESCTSE1015815	Sevikar HCT 40mg/5mg/25mg tablets (Daiichi Sankyo UK Ltd)
^ESCTSE1015818	Sevikar HCT 40mg/10mg/25mg tablets (Daiichi Sankyo UK Ltd)
^ESCTSE830674	Secadrex 200mg/12.5mg tablets (Sanofi)
^ESCTTE661055	Telmisartan + Hydrochlorothiazide
^ESCTTE675368	Telmisartan 40mg / Hydrochlorothiazide 12.5mg tablets
^ESCTTE675370	Telmisartan 40 mg and hydrochlorothiazide 12.5 mg oral tablet
^ESCTTE675371	Telmisartan 80mg / Hydrochlorothiazide 12.5mg tablets
^ESCTTE675373	Telmisartan 80 mg and hydrochlorothiazide 12.5 mg oral tablet
^ESCTTI607130	Timolol maleate 10 mg and amiloride 2.5 mg and hydrochlorothiazide 25 mg oral tablet
^ESCTTI680395	Timolol maleate 10 mg and hydrochlorothiazide 25 mg oral tablet
^ESCTTR680410	Triamterene 50 mg and hydrochlorothiazide 25 mg oral tablet
^ESCTVA642433	Valsartan 80mg / Hydrochlorothiazide 12.5mg tablets
^ESCTVA655610	Valsartan 160mg / Hydrochlorothiazide 12.5mg tablets
^ESCTVA661041	Valsartan + Hydrochlorothiazide
^ESCTVA677628	Valsartan 160mg / Hydrochlorothiazide 25mg tablets
^ESCTZE859493	Zestoretic 20 tablets (AstraZeneca UK Ltd)
^ESCTZE859505	Zestoretic 10 tablets (AstraZeneca UK Ltd)
ACTA18570NEMIS	Acebutolol And Hydrochlorothiazide  Tablets  200 mg + 12.5 mg
ACTA22351EMIS	Accuretic  Tablets  
ADCA11816NEMIS	Adizem-Xl  M/R capsules  200 mg
ADM/24027EMIS	Adizem-Xl  M/R capsules  120 mg
ADM/24028EMIS	Adizem-Xl  M/R capsules  180 mg
ADM/24029EMIS	Adizem-Xl  M/R capsules  240 mg
ADM/24030EMIS	Adizem-Xl  M/R capsules  300 mg
ADM/28787EMIS	Adizem-Xl Plus  M/R capsules
CATA18202NEMIS	Caralpha  Tablets  10 mg + 12.5 mg
CATA18203NEMIS	Caralpha  Tablets  20 mg + 12.5 mg
CATA24703EMIS	Carace 10 Plus  Tablets  
CATA8616EGTON	Carace  Tablets  10 mg
CATA8617EGTON	Carace  Tablets  2.5 mg
CATA8618EGTON	Carace  Tablets  20 mg
CATA8619EGTON	Carace  Tablets  5 mg
CATA9093EMIS	Carace 20 Plus  Tablets  
COTA10219BRIDL	Co-Amilozide 5/50  Tablets  
COTA1596NEMIS	Co-Zidocapt 12.5/25  Tablets  
COTA1597NEMIS	Co-Zidocapt 25/50  Tablets  
COTA18415NEMIS	Co-Diovan  Tablets  160 mg/12.5 mg
COTA18416NEMIS	Co-Diovan  Tablets  160 mg/25 mg
COTA18922NEMIS	Co-Diovan  Tablets  80 mg/12.5 mg
COTA21151NEMIS	Cozaar-Comp  Tablets  100 mg + 25 mg
COTA23522NEMIS	Coaprovel  Tablets  300 mg + 25 mg
COTA24912EMIS	Co-Triamterzide 50/25  Tablets  
COTA28963NEMIS	Cozaar-Comp  Tablets  100 mg + 12.5 mg
COTA30977EMIS	Cozaar-Comp  Tablets  50 mg + 12.5 mg
COTA5665NEMIS	Coaprovel  Tablets  150 mg + 12.5 mg
COTA5666NEMIS	Coaprovel  Tablets  300 mg + 12.5 mg
COTA682	Co-Betaloc  Tablets  
COTA683	Co-Betaloc Sa  Tablets  
COTA9316HILLI	Co-Amilozide 2.5/25  Tablets  
ENTA18559NEMIS	Enalapril And Hydrochlorothiazide  Tablets  20 mg + 12.5 mg
ESTA1111	Esidrex  Tablets  25 mg
ESTA1112	Esidrex  Tablets  50 mg
ESTA1113	Esidrex K  Tablets
HYTA1402	Hydromet  Tablets
HYTA1403	Hydrosaluric  Tablets  25 mg
HYTA1404	Hydrosaluric  Tablets  50 mg
HYTA4997	Hydrochlorothiazide  Tablets  25 mg
HYTA6886	Hydrochlorothiazide  Tablets  50 mg
INTA9233EMIS	Innozide  Tablets  
IRTA18540NEMIS	Irbesartan And Hydrochlorothiazide  Tablets  150 mg + 12.5 mg
IRTA18541NEMIS	Irbesartan And Hydrochlorothiazide  Tablets  300 mg + 12.5 mg
IRTA23521NEMIS	Irbesartan And Hydrochlorothiazide  Tablets  300 mg + 25 mg
LITA18535NEMIS	Lisinopril And Hydrochlorothiazide  Tablets  10 mg + 12.5 mg
LITA18536NEMIS	Lisinopril And Hydrochlorothiazide  Tablets  20 mg + 12.5 mg
LOTA18550NEMIS	Losartan And Hydrochlorothiazide  Tablets  50 mg + 12.5 mg
LOTA21150NEMIS	Losartan And Hydrochlorothiazide  Tablets  100 mg + 25 mg
LOTA28962NEMIS	Losartan And Hydrochlorothiazide  Tablets  100 mg + 12.5 mg
META18543NEMIS	Metoprolol And Hydrochlorothiazide  Tablets  100 mg + 12.5 mg
MITA14652NEMIS	Micardis Plus  Tablets  40 mg/12.5 mg
MITA14653NEMIS	Micardis Plus  Tablets  80 mg/12.5 mg
MITA30444NEMIS	Micardis Plus  Tablets  80 mg/25 mg
MOTA23853EMIS	Monozide 10  Tablets  
OLTA22330NEMIS	Olmesartan Medoxomil And Hydrochlorothiazide  Tablets  20 mg + 12.5 mg
OLTA22331NEMIS	Olmesartan Medoxomil And Hydrochlorothiazide  Tablets  20 mg + 25 mg
OLTA22333NEMIS	Olmetec Plus  Tablets  20 mg/12.5 mg
OLTA22334NEMIS	Olmetec Plus  Tablets  20 mg/25 mg
OLTA42106NEMIS	Olmesartan Medoxomil And Hydrochlorothiazide  Tablets  40 mg + 12.5 mg
OLTA42107NEMIS	Olmetec Plus  Tablets  40 mg/12.5 mg
QUTA18531NEMIS	Quinapril And Hydrochlorothiazide  Tablets  10 mg + 12.5 mg
SETA2508	Secadrex  Tablets  
SETA2562	Serpasil Esidrex  Tablets
SETA48962NEMIS	Sevikar Hct  Tablets  20 mg + 5 mg + 12.5 mg
SETA48963NEMIS	Sevikar Hct  Tablets  40 mg + 5 mg + 12.5 mg
SETA48964NEMIS	Sevikar Hct  Tablets  40 mg + 10 mg + 12.5 mg
SETA48965NEMIS	Sevikar Hct  Tablets  40 mg + 5 mg + 25 mg
SETA48966NEMIS	Sevikar Hct  Tablets  40 mg + 10 mg + 25 mg
SOTA2651	Sotazide  Tablets
TETA18566NEMIS	Telmisartan And Hydrochlorothiazide  Tablets  40 mg + 12.5 mg
TETA18567NEMIS	Telmisartan And Hydrochlorothiazide  Tablets  80 mg + 12.5 mg
TOTA2878	Tolerzide  Tablets
VATA18545NEMIS	Valsartan And Hydrochlorothiazide  Tablets  160 mg + 12.5 mg
VATA18546NEMIS	Valsartan And Hydrochlorothiazide  Tablets  160 mg + 25 mg
VATA18921NEMIS	Valsartan And Hydrochlorothiazide  Tablets  80 mg + 12.5 mg
ZETA24152EMIS	Zestoretic 10  Tablets  
ZETA9096EMIS	Zestoretic 20  Tablets  
