62...00	Patient pregnant
L08w.00	Failed attempted abortion with other specified complication
L170300	Maternal syphilis during pregnancy - baby not yet delivered
L172300	Other maternal venereal dis. in pregnancy-baby not delivered
Lyu0300	[X]Failed medical abortion,wth other+unspcfied complications
Lyu0400	[X]Oth+unspcf failed inducd abort,complct gen tract+pelv inf
Lyu0500	[X]Oth+unspc fail induc abortn,complict/delay/exces h'morrhg
Lyu0600	[X]Other+unspcf failed induced abortion,complicated/embolism
Lyu0700	[X]Oth+unspcf failed inducd abortn,wth oth+unspcf complicatn
Lyu0800	[X]Other+unspcf failed induced abortion,without complication
9OqCH00	Sickle cell not screened for or screening incomplete
4H11.00	Amniotic fluid sent for exam.
ZV23112	[V]Pregnancy with history of vesicular mole
L223000	Oblique lie unspecified
L432300	Obstetric blood-clot pulmonary embolism + a/n complication
Q02y.00	Fetus/neonate affected other abnormalities of chorion/amnion
4Q3N000	Pregnancy associated plasma protein A multiple of median
L231000	Generally contracted pelvis unspecified
44Zg.00	Plasma human chorionic gonadotrophin concentration
