13H7.	Pregnancy unwanted
X74W0	Down's screening status
X756Y	Delivered uterus
X76PG	Cervical cerclage suture present
X76Qo	Accidental pregnancy
X76Qt	Confirmation of pregnancy
X76Qv	Duration of gestation
X76RN	Fundal height
X76Rq	Malpresentation of fetus
X76Rt	Quickening
X76Rx	Fetal heart observation
X76S8	Relation of fetal size to dates
X76Tg	Compound presentation
X76TX	Shoulder presentation
X76UP	Drainage of liquor
X76US	Meconium stained liquor
X76VF	Complete placenta at delivery
X76VQ	Membranes complete
X76VR	Membranes incomplete
X76VR	Ragged membranes
X7725	Unconjugated oestriol level
X77m1	Cardiotochogram
X77W8	CVS - special tests
X78EC	Fetal hydantoin syndrome
X78EC	Fetal phenytoin syndrome
X78EC	Meadow's syndrome
X78EE	Congenital malformation due to valproate
X78EE	Fetal valproate syndrome
Xa01G	Couvelaire uterus
Xa03e	Cord blood sampling
Xa03k	CRL - Crown rump length
Xa03k	Crown rump length
Xa04B	Baby kicking less
Xa04B	Baby moving less
Xa04B	Low fetal movement
Xa04B	Reduced fetal movement
Xa05d	A/N risk factors
Xa07a	HF - Hydrops fetalis
Xa07a	Hydrops fetalis
Xa07b	Non-immune hydrops fetalis
Xa07e	Immune hydrops fetalis
Xa07Z	Fetal death
Xa08x	EF - Erythroblastosis fetalis
Xa08x	Erythroblastosis fetalis
Xa08x	Haemolytic disease of fetus and newborn due to isoimmunisation
Xa08x	Haemolytic disease of the newborn
Xa08x	HDN - Haemolytic disease of the newborn
Xa08x	Isoimmunisation of newborn
Xa09Q	Light for dates
Xa09Q	Light for gestational age
Xa09Q	Light for gestational dates
Xa09T	Poor fetal nutrition
Xa09U	Fetal malnutrition
Xa0kf	Antepartum bleeding
Xa0kf	Antepartum haemorrhage
Xa0kf	APH - Antepartum haemorrhage
Xa0kg	Fetal distress
Xa0lr	Placenta praevia
Xa0lr	PP - Placenta praevia
Xa0lt	Pre-existing hypertension complicating pregnancy
Xa0lv	Fetopelvic disproportion
Xa1aj	Phlegmasia alba dolens - obstetric
Xa1nh	Fetal heart monitoring
Xa2Z5	Heart rate monitoring
Xa3g3	Disorders of cervix NOS
Xa3gC	Obstetric disorders NOS
Xa3w8	Intrauterine fetal operation NOS
Xa3wc	Premature/false labour
Xa40P	Pre-eclampsia NOS
Xa40P	Pre-eclampsia, unspecified
Xa40Q	Premature/false labour NOS
Xa40W	Fetus with maternal problem NOS
Xa41M	Maternal pregnancy problem
Xa41Q	Maternal pregnancy problem NOS
Xa41R	Maternal cord/placental problem NOS
Xa41W	Malnutrition NOS as fetus
Xa4SU	Normal pregnancy
Xa4Tz	Amniotic fluid normal
Xa4Uz	Observation of arrangement of fetus
Xa9aC	Fetoscopy NEC
Xa9aD	Diagnostic percutaneous examination of placenta
Xa9gj	CVB - Chorionic villus biopsy
Xa9gj	CVS - Chorionic villus sampling
Xa9gj	Sampling of chorionic villus
Xa9gk	Amniocentesis NEC
Xaa4q	Pertussis vaccination programme for pregnant women enhanced service administration
Xaa5n	Pertussis vaccination in pregnancy invitation first letter
Xaa5q	Pertussis vaccination in pregnancy invitation second letter
Xaa5t	Pertussis vaccination in pregnancy invitation third letter
Xaa5z	Did not attend pertussis vaccination in pregnancy
Xaa5Z	Pertussis vaccination in pregnancy invitation
Xaa6Y	Pertussis vaccination in pregnancy declined
Xaaab	Health visitor antenatal visit
Xaadx	Advice to carer about side effects of child immunisation
Xaadx	Education to carer about side effects of child immunisation
Xaag0	Gravida more than 10
Xaajl	Advice on risks of harm to mother from maternal medication during pregnancy
Xaajm	Advice on risks of harm to fetus from maternal medication during pregnancy
XaaML	Seen in drug misuse clinic
XaAti	Amniotic problems NOS
Xaau5	Seen in Child and Adolescent Mental Health Service community drop in clinic
Xab3V	Seen in lymphoedema clinic
XaB42	Other isoimmunisation of the newborn
Xab6f	Destruction of fetus
XaB9F	Urinary tract infection in pregnancy
XaB9F	UTI - urinary tract infection in pregnancy
XabBa	24 hour ECG (electrocardiogram) enhanced services administration
XabBa	24 hour electrocardiogram enhanced services administration
XabBT	Home visit request by district nurse
XabBZ	Care home enhanced services administration
XabDC	Plasma human chorionic gonadotrophin concentration
XabdI	Gestation less than 28 weeks
XaBDj	Unspecified inevitable abortion with other specified complication
XaBDj	Unspecified inevitable miscarriage with other specified complication
XaBDk	Unspecified inevitable abortion complicated by embolism
XaBDk	Unspecified inevitable miscarriage complicated by embolism
XaBDm	Unspecified inevitable abortion complicated by genital tract and pelvic infection
XaBDm	Unspecified inevitable miscarriage complicated by genital tract and pelvic infection
XaBDn	Inevitable abortion unspecified
XaBDr	Unspecified inevitable abortion with unspecified complication
XaBDr	Unspecified inevitable miscarriage with unspecified complication
XaBdY	Placental structure
XaBE0	Mild pre-eclampsia
XaBE0	Mild proteinuric hypertension of pregnancy
XaBE0	PET - Mild pre-eclamptic toxaemia
XabEc	Remote care monitoring enhanced services administration
XaBFF	Antenatal ultrasound scan at 22-40 weeks
XabfW	Acne management education
XaBHY	Obstetric co-op card status
XaBHZ	Kick chart status
XaBIf	Mat B1 status
XaBJz	Gestational phlebitis NOS
XaBJz	Gestational phlebopathy NOS
XaBJz	Gestational thrombosis NOS
XaBKC	Seen in clinic
XaBMC	Varicose veins of legs in pregnancy
XaBMF	Superficial thrombophlebitis in pregnancy
XaBMF	Thrombophlebitis of legs in pregnancy
XaBMH	Other phlebitis in pregnancy
XaBMI	Other phlebitis in the puerperium
XaBMJ	Haemorrhoids in pregnancy
XaBMK	Venous complication of pregnancy, unspecified
XaBML	Venous complication in the puerperium, unspecified
XaBQg	Patient encounter procedure
Xabv0	Advice to carer regarding child's vitamin supplementation
XaC0v	Abdominal pain in pregnancy
XaC0w	Suspected macroscopic fetus
XaC1c	Urinary tract infection complicating pregnancy
XaC3f	Intrapartum cardiotochogram
XaC3f	Intrapartum cardiotochogram monitoring
XaCDN	A/N care midwifery led
XaCFr	HSA1- form status
XaCJ4	Reason for termination of pregnancy
XaCJ5	Risk to the life of the pregnant woman greater than if the pregnancy was terminated
XaCJ6	To prevent grave permanent injury to the physical/mental health of pregnant woman
XaCJ7	Less than 24 weeks involving risk of injury to the physical/mental health of pregnant woman
XaCJ8	Less than 24 weeks involving risk of injury to the physical/mental health of any existing children of the pregnant woman's family
XaCJA	Unborn child at risk from physical or mental abnormalities as to be seriously handicapped
XaCKb	Down's screening blood test normal
XaCKc	Down's screening blood test abnormal
XaCKh	Delivery place planned
XaCKi	Home delivery planned
XaCKp	Pregnancy prolonged - 41 weeks
XaCKq	Pregnancy prolonged - 42 weeks
XaDdf	Amniotic cavity infection
XaDsq	O/E - viable fetus
XaDtm	Antenatal blood tests
XaDzR	Maternal care for suspected central nervous system malformation in fetus
XaDzS	Maternal care for central nervous system malformation in fetus
XaDzT	Maternal care for suspected chromosomal abnormality in fetus
XaDzV	Maternal care for chromosomal abnormality in fetus
XaDzW	Maternal care for damage to fetus from maternal rubella
XaDzX	Maternal care for suspected fetal abnormality and damage, unspecified
XaDzY	Maternal care for fetal abnormality and damage, unspecified
XaE6r	Maternal care for fetal bradycardia during pregnancy
XaE6r	Maternal care for reduced fetal heart rate during pregnancy
XaE71	Maternal care for fetal decelerations during pregnancy
XaE72	Maternal care for fetal tachycardia during pregnancy
XaE73	Maternal care for fetal acidosis during pregnancy
XaE7c	Ultrasonic doppler for fetal heart sounds
XaE7p	Anhydramnios
XaEF7	Gestation <24 weeks
XaEF8	Gestation = 24 weeks
XaEF9	Gestation >24 weeks
XaEFA	Full term gestation - 40 weeks
XaIeo	Diabetes: shared care in pregnancy - diabetologist and obstetrician
XaIjA	Maternity registration
XaIL8	Routine antenatal care
XaINz	Pregnancy review
XaINz	Review of pregnancy
XaIO9	Antenatal education
XaIOE	Midwife unit delivery booking
XaIOI	Antenatal HIV screening
XaJ9U	Sure Start antenatal visit
XaJN1	Fetal cell test
XaK1y	Referral for termination of pregnancy
XaK2w	Nuchal translucency scan
XaK2w	Nuchal ultrasound scan
XaK6H	[V]Antenatal screening for chromosomal anomalies
XaK9S	Enhanced services administration
XaKXd	Refer to early pregnancy unit
XaLKu	Advice on hepatitis B vaccination
XaLKv	Advice on meningitis vaccination
XaLKy	Advice on yellow fever vaccination
XaM0f	Over 20 weeks gestational age
XaM0g	14 - 20 weeks gestational age
XaM0h	9 - 13 weeks gestational age
XaM0i	Under 9 weeks gestational age
XaM0j	Other specified gestational age
XaM0k	Gestational age NOS
XaM3a	Therapeutic percutaneous operations for twin-twin transfusion
XaM3a	Therapeutic percutaneous operations for twin-twin transfusion syndrome
XaM3b	Other specified therapeutic percutaneous operations for twin-twin transfusion
XaM3c	Therapeutic percutaneous operations for twin-twin transfusion NOS
XaM3d	Routine obstetric scan
XaM3g	Dating scan
XaM3h	Mid trimester scan
XaM3i	Other specified routine obstetric scan
XaM3j	Routine obstetric scan NOS
XaM3J	Detailed structural scan
XaM3k	Other non routine obstetric scan
XaM3K	Non routine obstetric scan for fetal observations
XaM3l	Other specified other non routine obstetric scan
XaM3L	Other specified non routine obstetric scan for fetal observations
XaM3m	Other non routine obstetric scan NOS
XaM3M	Non routine obstetric scan for fetal observations NOS
XaM3n	Other maternal physiological assessments
XaM3N	Fetal ascites scan
XaM3o	Other specified other maternal physiological assessments
XaM3O	Fetal biometry
XaM3P	Rhesus detailed scan
XaM3q	Cervical length scanning at 24 weeks
XaM3r	Obstetric Doppler studies
XaM3s	Other specified obstetric Doppler studies
XaM3s	Other specified obstetric doppler ultrasound
XaM3t	Obstetric Doppler studies NOS
XaM3t	Obstetric doppler ultrasound NOS
XaM3T	Percutaneous insertion of fetal pleural drain
XaM3u	Obstetric ultrasound monitoring
XaM3U	Percutaneous insertion of bladder drain to fetus
XaM3v	Other specified obstetric ultrasound monitoring
XaM3w	Obstetric ultrasound monitoring NOS
XaM3W	Percutaneous laser ablation of lesion of fetus
XaM3x	Ultrasound monitoring of early pregnancy
XaM3X	Therapeutic endoscopic operations for twin-twin transfusion
XaM3X	Therapeutic endoscopic operations for twin-twin transfusion syndrome
XaM3Y	Other specified therapeutic endoscopic operations for twin-twin transfusion
XaM3Z	Therapeutic endoscopic operations for twin-twin transfusion NOS
XaM45	Doppler ultrasound scan of umbilical artery
XaM45	Obstetric umbilical artery Doppler
XaM46	Doppler ultrasound scan of uterine artery
XaM46	Obstetric uterine artery Doppler
XaM47	Doppler ultrasound scan of middle cerebral artery of fetus
XaM47	Obstetric middle cerebral artery Doppler
XaM4y	Endoscopic laser ablation of placental arterio-venous anastomosis
XaM4z	Percutaneous laser ablation of placental arterio-venous anastomosis
XaM51	Percutaneous serial amnio drainage
XaM52	Maternal cervical assessment
XaMos	Serum unconjugated oestriol mean of median measurement
XaMot	Plasma unconjugated oestriol mean of median measurement
XaMse	Endoscopic serial drainage of amniotic fluid for twin-twin transfusion syndrome
XaMsf	Percutaneous serial drainage of amniotic fluid for twin-twin transfusion syndrome
XaMux	From 9 weeks to <14 weeks gestational age
XaNke	Seen in fetal medicine clinic
XaNke	Seen in foetal medicine clinic
XaNKq	Newborn blood spot screening programme - sickle cell repeat screening with further sample required
XaNKq	Sickle cell further sample required
XaNLZ	Newborn blood spot screening programme - sickle cell not screened for or screening incomplete
XaNLZ	Sickle cell not screened for or screening incomplete
XaNzH	Fetus with cardiovascular abnormality
XaPBE	Seen in eating disorder clinic
XaPgS	Folic acid advice in first trimester of pregnancy
XaQ2L	Antenatal screening shows non significant carrier of sickle cell or thalassaemia
XaQ2M	Antenatal screening status
XaQ2O	Antenatal screening shows iron deficiency or possible non significant alpha thalassaemia
XaQ2P	Antenatal screening shows homozygote or compound heterozygote of no genetic significance
XaQ2Q	Antenatal screening shows homozygote or compound heterozygote of genetic significance
XaQ2R	Antenatal screening shows significant carrier of sickle cell or thalassaemia
XaQ2S	Antenatal screening shows significant disorder
XaQ2T	Repeat antenatal screening required
XaQ2U	Antenatal screening result pending
XaQ2V	Antenatal screening declined
XaQ2W	Antenatal screening not indicated for partner
XaQ2Y	Antenatal screening, partner tested and no genetic risk identified
XaQ2Z	Antenatal screening, at risk couple identified
XaQA3	Health visitor child 6 weeks of age contact
XaQA4	Health visitor child 9-12 month contact
XaQA5	Health visitor child 3 month contact
XaQxL	Health in Pregnancy grant claim form issued
XaWyQ	Length of gestation at time of test
XaX05	Antenatal screening shows non significant haemoglobinopathy carrier
XaX07	Antenatal screening shows carrier of significant haemoglobinopathy including sickle cell or thalassaemia
XaXaD	Seen in sickle cell and thalassaemia clinic
XaXd5	Seen in paediatric endocrinology clinic
XaXdS	Seen in paediatric otolaryngology clinic
XaXfi	Referral to teenage pregnancy and parenting support service
XaXI2	Subdermal etonogestrel implant insertion enhanced services administration
XaXM0	Gestational diabetes information leaflet given
XaXOz	Down's syndrome antenatal screening information leaflet given
XaXTt	Seen in bariatric surgery clinic
XaXU3	Assessment for termination of pregnancy
XaXUk	Self referral to termination of pregnancy service
XaY2C	Antenatal depression
XaY7j	Seen in early pregnancy unit
XaYjq	Nuchal translucency multiple of median
XaYjr	Pregnancy associated plasma protein A level
XaYkK	Pregnancy associated plasma protein A multiple of median
XaYly	Complex skin ulcer care enhanced services administration
XaYs9	Unborn child subject to child protection plan
XaZ00	Education about listeria precautions during pregnancy
XaZ2q	Education about toxoplasmosis precautions during pregnancy
XaZcJ	Seen in ear care clinic
XaZKh	Provision of information about antenatal screening
XaZLD	Seen in injection clinic
XaZoz	Seen in chronic obstructive pulmonary disease clinic
XaZoz	Seen in COPD (chronic obstructive pulmonary disease) clinic
XaZvB	Antenatal 22 week examination
XaZvC	Antenatal 25 week examination
XaZvD	Antenatal 31 week examination
XaZWY	Severe mental illness enhanced services administration
XE0gZ	Cervix disorders
XE0gZ	Disorders of cervix (& [NOS])
XE0gZ	Disorders of cervix NOS
XE0HK	Fetus and gravid uterus operations
XE0HL	Diagnostic endoscopic examination of fetus using fetoscope NOS
XE0HN	Diagnostic percutaneous examination of fetus
XE0HO	Diagnostic amniocentesis
XE0HP	Cerclage of cervix
XE0HQ	Removal of cerclage from cervix
XE0HV	Obstetric monitoring
XE0KG	Gravid uterus
XE0pC	Unwanted child
XE0pC	Unwanted pregnancy
XE0tT	Benefits - pregnancy
XE0tT	Maternity allowances
XE0tT	Pregnancy benefits
XE0tT	Pregnancy or maternity: [benefits] or [allowances]
XE0vn	Other haemorrhage in early pregnancy
XE0vo	Antepartum haemorrhage, abruptio placentae and placenta praevia
XE0vp	Accidental haemorrhage
XE0vp	Placental abruption
XE0vq	Antepartum haemorrhage with coagulation defect
XE0vr	Gestational hypertension
XE0vr	GH - Gestational hypertension
XE0vr	Hypertension complicating childbirth
XE0vr	Hypertension complicating pregnancy
XE0vr	Hypertension induced by pregnancy
XE0vs	Mild or unspecified pre-eclampsia
XE0vt	Early or threatened labour
XE0vu	Oedema or excessive weight gain in pregnancy without mention of hypertension
XE0vv	Unspecified renal disease in pregnancy
XE0vw	Genitourinary tract infections in pregnancy
XE0vx	Genitourinary tract infection in pregnancy NOS
XE0w1	Breech presentation
XE0w2	Transverse lie NOS
XE0w4	Other fetal abnormality causing disproportion
XE0w6	Congenital abnormality of uterus affecting obstetric care
XE0w9	Congenital abnormality of uterus complicating antenatal care, baby not yet delivered
XE0wc	Congenital or acquired abnormality of vulva in pregnancy, childbirth and the puerperium
XE0wd	Congenital or acquired abnormality of vulva affecting obstetric care
XE0wD	Tumour of uterine body affecting obstetric care
XE0wg	Congenital or acquired abnormality of vulva complicating antenatal care - baby not yet delivered
XE0wG	Tumour of uterine body complicating antenatal care, baby not yet delivered
XE0wi	Congenital or acquired abnormality of vulva in pregnancy, childbirth or the puerperium NOS
XE0wj	Fetus with central nervous system malformation
XE0wJ	Other uterine or pelvic floor abnormality in pregnancy, childbirth and the puerperium
XE0wk	Fetus with chromosomal abnormality
XE0wK	Other uterine or pelvic floor abnormality affecting obstetric care
XE0wl	Fetus with viral damage via mother
XE0wm	Fetus with damage due to other maternal disease
XE0wM	Other uterine or pelvic floor abnormality - delivered with postpartum complication
XE0wN	Other uterine or pelvic floor abnormality - baby not yet delivered
XE0wo	Fetal distress - affecting management
XE0wo	Fetal distress-affecting care
XE0wO	Other uterine or pelvic floor abnormality complicating postpartum care - baby delivered during previous episode of care
XE0wq	Fetus small-for-dates
XE0wq	SFD - Fetus small-for-dates
XE0wq	SGA - Small for gestational age fetus
XE0wq	Small for gestational age fetus
XE0wQ	Other cervical abnormality in pregnancy, childbirth and the puerperium
XE0wr	Other placental conditions
XE0wR	Other cervical abnormality - baby delivered with postpartum complication
XE0ws	Other fetoplacental problems
XE0wS	Other cervical abnormality complicating antenatal care - baby not yet delivered
XE0wt	Polyhydramnios and hydramnios
XE0wT	Other cervical abnormality complicating postpartum care - baby delivered during previous episode of care
XE0wU	Other cervical abnormality in pregnancy, childbirth or the puerperium NOS
XE0wv	Amnionitis
XE0wv	Chorioamnionitis
XE0wv	Membranitis
XE0wZ	Vaginal abnormality complicating antenatal care - baby not yet delivered
XE0x0	Vasa praevia
XE0x1	Vascular lesions of cord
XE0xI	Venous complications of pregnancy and the puerperium
XE0xO	Other complication of obstetric surgical wound
XE0xs	Post-abortion problem NOS
XE0xu	Hypertension+pregnancy
XE0xu	Preg.+ pre-existing hypertensn
XE0xu	Pregnancy with hypertension (& [pre-existing])
XE0xu	Pregnancy with pre-existing hypertension
XE0xu	Pregnancy+hypertension
XE0xw	Toxaemia of pregnancy
XE0xy	Hypertension of pregnancy NOS
XE0y0	Hyperemesis gravidarum
XE0y0	Morning sickness
XE0y2	Vomiting of pregnancy NOS
XE0y4	Premature labour
XE0y4	Premature/false labour
XE0y6	Pregnancy complications NOS
XE0y8	Asympt.bact.+ pregnancy
XE0y8	Asymptomatic bacteriuria of pregnancy
XE0y8	Bacteriuria + pregnancy
XE0y8	Bacteriuria with pregnancy (& [asymptomatic])
XE0y8	Preg.+asymptomatic bacteriuria
XE0ya	Oblique lie
XE0ya	Transverse lie
XE0yA	Cystitis + pregnancy
XE0yA	Genitourinary tract infections in pregnancy
XE0yA	Preg.+genitourinary infections
XE0yA	Pregnancy with genitourinary infections (& UTI [& cystitis])
XE0yA	UTI + pregnancy
XE0yA	UTI - urinary tract infection in pregnancy
XE0yC	(Papyraceous fetus) or (pregnancy complications NOS)
XE0yC	Papyraceous fetus
XE0yC	Pregnancy complications NOS
XE0ye	Failure of head to engage
XE0ye	Head free
XE0ye	Head not engaged
XE0ye	High head
XE0yg	Malpresentation of fetus NOS
XE0yG	Gonorrhoea + pregnancy
XE0yG	Preg.+ venereal disease
XE0yG	Pregnancy with venereal disease (& [gonorrhoea] or [syphilis])
XE0yG	Syphilis + pregnancy
XE0yG	Venereal dis+ pregnancy
XE0yi	Cephalopelvic disproportion
XE0yM	Pregnancy with other medical condition
XE0yo	(Fetal CNS malformation) or (in pregnancy: [anencephaly] or [hydrocephaly] or [spina bifida])
XE0yo	Anenceph. in pregnancy
XE0yo	Fetal CNS malformation
XE0yo	Hydroceph. in pregnancy
XE0yo	Spina bifida in preg.
XE0yq	(Fetal chromosomal abnormality) or (mongolism in pregnancy)
XE0yq	Fetal chromosomal abnormality
XE0yq	Fetus with chromosomal abnormality
XE0yq	Mongolism in preg.
XE0yQ	Cardiac dis.+ pregnancy
XE0yQ	Heart dis.+ pregnancy
XE0yQ	Preg.+ cardiovascular disease
XE0yQ	Pregnancy + cardiovascular disease (& [cardiac])
XE0yQ	Pregnancy with cardiovascular disease
XE0ys	(Fetus with hereditary disease) or (cystic fibrosis in pregnancy)
XE0ys	Cystic fibrosis in preg
XE0ys	Fetus + hereditary disease
XE0ys	Fetus with hereditary disease
XE0yw	(Fetal distress) or (meconium in liquor)
XE0yw	Distress - fetal
XE0yw	Fetal distress
XE0yw	Meconium in liquor
XE0yW	Pregnancy with medical condition NOS
XE0yy	(Small-for-dates) or (placental insufficiency) or (intrauterine growth retardation)
XE0yy	Insufficiency - placental
XE0yy	Intrauterine growth retardatn.
XE0yy	Placental insuffic.
XE0yy	Placental insufficiency
XE0yy	Small for dates
XE0yy	Small-for-dates
XE0z0	Premature rupture of membranes
XE0zm	Deep vein thrombosis-obstetric
XE0zm	DVT - obstetric
XE0zm	Obstetric venous prob.
XE0zm	Obstetric venous problems
XE0zm	Obstetric venous problems (& [deep vein thrombosis] or [varicose vein])
XE0zm	Thrombosis - DV, obst.
XE0zm	Varicose vein-obstetric
XE0zm	Venous problem - obst.
XE0zs	Obstetric venous problems NOS
XE1eB	Fetus affected by maternal toxaemia
XE1eB	Fetus or neonate affected by maternal hypertensive disease
XE1eF	Fetus affected by hydramnios
XE1eF	Fetus or neonate affected by maternal polyhydramnios
XE1eG	Fetus affected by maternal death
XE1eG	Fetus or neonate affected by maternal death
XE1eH	Fetus affected by malpresentation
XE1eH	Fetus or neonate affected by malpresentation before labour
XE1eI	Fetus or neonate affected by antepartum haemorrhage, unspecified
XE1eJ	Fetus affected by placental abruption
XE1eJ	Fetus or neonate affected by abruptio placentae
XE1eK	Fetus or neonate affected by premature placental separation
XE1eL	Fetus or neonate affected by other specified placental separation or haemorrhage
XE1eM	Fetus/neonate affected by placental abnormality NEC
XE1eN	Fetus or neonate affected by other specified cord problems
XE1eU	Slow fetal growth and fetal malnutrition
XE1eV	Fetal growth retardation NOS
XE1f1	Intrauterine fetal sepsis, unspecified
XE1fn	Fetal distress
XE1fp	Congenital infections
XE1fp	Perinatal infections
XE1fp	Perinatal infections (& [congenital])
XE1fp	Perinatal sepsis
XE1fp	Sepsis - perinatal
XE1fv	Bleed - neonatal
XE1fv	Fetal &/or neonatal haemorrhage (& [subarachnoid birth haemorrhage])
XE1fv	Fetal haemorrhage
XE1fv	Fetal/neonatal haemorrhage
XE1fv	Haemorrhage - perinatal
XE1fv	Neonatal bleed
XE1fv	Subarach.- birth haem.
XE1fx	Erythroblastosis fetalis
XE1fx	Erythroblastosis foetalis
XE1fz	Hydrops fetalis
XE1fz	Hydrops fetalis due to isoimmunisation
XE1gD	(Perinatal skin problem NOS) or (idiopathic hydrops foetalis)
XE1gD	Idiopathic hydrops fetalis
XE1gD	Idiopathic hydrops foetalis
XE1gD	Perinatal skin prob. NOS
XE1hf	O/E - fetal presentation
XE1hf	O/E - presenting part
XE1hg	O/E - multiple presentation
XE1hh	O/E - presenting part station
XE1hh	O/E - station of pres. part
XE1hi	O/E - VE - descent of fetus
XE1hi	O/E - VE - descent of P. part
XE1ja	O/E - LSA
XE1ja	O/E - presenting part LSA
XE1ja	O/E - RSA
XE1jW	O/E - fundus size
XE1jW	O/E - fundus size - obstetric
XE1jW	O/E - gravid uterus size
XE1jW	O/E - size-fundus-obst.
XE1jW	O/E - size: [gravid uterus] or [fundus (& obstetric)]
XE1jW	O/E - uterus size - obstetric
XE1jW	O/E - uterus size-obst.
XE1jY	O/E - fetal presentation
XE1jY	O/E - lie of fetus
XE1jY	O/E - presenting part
XE1R4	Obstetric US scan
XE1R4	Ultrasound scan - obstetric
XE1R5	US placentography
XE1SA	Feeding intention
XE1SA	Feeding intention - baby
XE1SC	Misc. antenatal data
XE1SD	Fetal movements felt
XE1SD	FMF - Fetal movements felt
XE1SE	Vaginal show
XE1SH	Barts test
XE1SH	Down's screening - blood test
XE1U4	Maternity care
XE1U4	Pregnancy care
XE1U6	(Antenatal care: multip) or (multip - A/N data)
XE1U6	Antenatal care: multip
XE1U6	Multip.- A/N data
XE1U8	(A/N care: uncertain dates) or (dates uncertain)
XE1U8	A/N care: uncertain dates
XE1U8	Dates uncertain
XE1UA	A/N care: recurrent aborter
XE1UC	(A/N care: precious pregnancy) or (precious pregnancy)
XE1UC	A/N care: precious pregnancy
XE1UC	Precious pregnancy
XE1UU	Placental details
XE1UW	Placental infarct
XE1UW	Placental infarction
XE1Za	[X]Other depressive episodes
XE1Zb	[X] Depression NOS
XE1Zb	[X]Depressive episode, unspecified
XE25K	Fetoplacental hormone level
XE25L	HPL - Human placental lactogen level
XE25L	Human placental lactogen level
XE25L	Placental lactogen level
XE25M	Serum oestriol level
XE26U	Amniotic fluid L/S ratio
XE273	Amniotic fluid for organism
XE2Ia	FP24 -FPC make up payment
XE2Ib	FP24 -FPC dispute fee due
XE2Ic	FP24 mat.claim status NOS
XE2Id	FP24A maternity claim status
XE2Ie	FP24A signed by patient
XE2If	FP24A completed by doctor
XE2Ig	FP24A claim checked by staff
XE2Ih	FP24A sent to FPC
XE2Ii	FP24A paid by FPC - checked
XE2Ij	FP24A paid by FPC - underpaid
XE2Im	FP24A-FPC make up payment
XE2In	FP24A-FPC dispute fee due
XE2Io	FP24A mat.claim status NOS
XE2Ip	Mat booking after 31 weeks
XE2Iq	HSA1 - therapeutic abortion green form
XE2Ir	HSA1- form eligible
XE2IR	FP24 - mat claim-on obst.list
XE2IR	FP24 maternity claim status
XE2Is	HSA1- form signed
XE2IS	FP24 signed by patient
XE2It	HSA1- refused to sign
XE2IT	FP24 completed by doctor
XE2Iu	HSA1- green form NOS
XE2IU	FP24 claim checked by staff
XE2IV	FP24 sent to FPC
XE2Iw	GMS2 claim signed by patient
XE2IW	FP24 paid by FPC - checked
XE2Ix	GMS2 claim completed by doctor
XE2IX	FP24 paid by FPC - underpaid
XE2Iy	GMS2 claim checked by staff
XE2IY	FP24 paid by FPC - overpaid
XE2Iz	GMS2 claim sent to HA
XE2IZ	FP24 -FPC contacted re mistake
XE2J0	GMS2 claim paid by HA - checked
XE2J3	GMS2 claim - HA contacted re mistake
XE2J4	GMS2 claim - HA make up payment
XE2J5	GMS2 claim - HA dispute fee due
XE2Pm	Maternity benefits
XE2Pm	Pregnancy benefits
XE2QP	Mild hyperemesis gravidarum
XE2QQ	Early onset of delivery
XE2QT	Malposition and malpresentation of fetus
XE2QU	Other fetal malposition and malpresentation
XE2Rj	Coil damage in preg.
XE2Rj	Coil damage in pregnancy
XE2Rj	Fetus + IUCD
XE2Rj	Fetus + IUCD (& damage to fetus)
XE2Rj	Fetus with intra-uterine contraceptive device
XE2Rj	IUCD damage in preg.
XE2tl	Delivery place booked
XE2u2	Childbirth operation
XE2u2	Obstetric operations
XE2u2	Pregnancy operation
XE2us	Fetal anatomy study
XE2us	Fetal anomaly study
XE2us	US scan - fetal abnormality
XM004	Antenatal blood group screening status
XM005	Antenatal sickle cell screening status
XM09H	Amniotic fluid abnormal
XM0BA	Complication following abortion
XM0BA	Post-abortion problem
XM0Br	Obstetric investigation
XM0tH	Venereal disease in pregnancy
XM0tK	Cardiac disease in pregnancy
XM1N8	Antenatal / Postnatal care
XM1OA	Intrauterine hypoxia
XM1Ox	Cystitis of pregnancy
XM1P9	Failed abortion
XM1PF	Placenta accreta without haemorrhage
XM1W3	Delivery booking place
XM1Wj	Amniotic fluid for C/S
XM1WO	AFP test - antenatal
XM1WO	Alpha-fetoprotein test - antenatal
XM1WQ	Double test
XM1WR	Triple test
XM1Xo	Pregnancy vitamin/iron prophylaxis
XM1YV	O/E - lie of fetus
XM1YW	O/E - triplet present.
XM1YX	O/E - twin presentation
XM1YY	O/E - PP free - not engaged
XM1YZ	O/E - presenting part engaged
XSGp0	[X]Premenstrual dysphoric disorder
XSGp0	Premenstrual dysphoric disorder
XSLD5	Gestational age
ZV2..	[V]Encounter due to development problems
ZV22.	[V]Normal pregnancy
ZV220	[V]First normal pregnancy supervision
ZV221	[V]Other normal pregnancy supervision
ZV222	[V]Pregnancy confirmed
ZV223	[V]Pregnant state, incidental
ZV224	[V]Supervision of other normal pregnancy
ZV22y	[V]Other specified pregnant state
ZV22z	[V]Unspecified pregnant state
ZV23.	[V]High-risk pregnancy supervision
ZV230	[V]Pregnancy with history of infertility
ZV231	[V]Pregnancy with history of hydatidiform mole
ZV232	[V]Pregnancy with history of abortion
ZV233	[V]Grand multiparity
ZV234	[V]Pregnancy with other poor obstetric history
