14G8.00	H/O: vertebral fracture
S4D3300	Open fracture-subluxation; distal interphalangeal joint
S4D3400	Open fracture-subluxation; proximal interphalangeal joint
S4D3500	Open fracture-subluxation; interphalangeal joint thumb
S4D3600	Open fracture-subluxation multiple digits
S4E0.00	Closed fracture-dislocation; hip joint
S4E1.00	Open fracture-dislocation; hip joint
S4E2.00	Closed fracture-subluxation; hip joint
S4F..00	Fracture-dislocation or subluxation knee
S4F0.00	Closed fracture-dislocation; knee joint
S4F1.00	Open fracture-dislocation; knee joint
S4F2.00	Closed fracture-subluxation; knee joint
S4F3.00	Open fracture-subluxation; knee joint
S4F4.00	Closed fracture-dislocation; patello-femoral joint
S4F5.00	Open fracture-dislocation; patello-femoral joint
S4F6.00	Closed fracture-subluxation; patello-femoral joint
S4F7.00	Open fracture-subluxation; patello-femoral joint
S4G0.00	Closed fracture-dislocation; ankle joint
S4G1.00	Open fracture-dislocation; ankle joint
S4G2.00	Closed fracture-subluxation; ankle joint
S4G3.00	Open fracture-subluxation; ankle joint
S4H0.00	Closed fracture-dislocation foot
S4H0000	Closed fracture-dislocation; subtalar joint
S4H0100	Closed fracture-dislocation; midtarsal joint
S4H0200	Closed fracture-dislocation; tarsometatarsal joint
S4H0400	Closed fracture-dislocation; IPJ; single toe
S4H0600	Closed fracture-dislocation; IPJ; multiple toes
S4H1.00	Open fracture-dislocation; foot
S4H1000	Open fracture-dislocation; subtalar joint
S4H1100	Open fracture-dislocation; midtarsal joint
S4H1200	Open fracture-dislocation; tarsometatarsal joint
S4H1300	Open fracture-dislocation; metatarsophalangeal joint; single
S4H1400	Open fracture-dislocation; IPJ; single toe
S4H1600	Open fracture-dislocation; IPJ; multiple toes
S4H2.00	Closed fracture-subluxation; foot
S4H2000	Closed fracture-subluxation; subtalar joint
S4H2100	Closed fracture-subluxation; midtarsal joint
S4H2200	Closed fracture-subluxation; tarsometatarsal joint
S4H2400	Closed fracture-subluxation; IPJ; single toe
S4H2600	Closed fracture-subluxation; IPJ; multiple toes
S4H3.00	Open fracture-subluxation; foot
S4H3300	Open fracture-subluxation; metatarsophalangeal joint; single
S4H3400	Open fracture-subluxation; IPJ; single toe
S4J..00	Other fracture-dislocation or subluxation
S4J0.00	Other closed fracture-dislocation
S4J0000	Closed fracture-dislocation of sternum
S4J0100	Closed fracture-dislocation of pelvis
S4J1.00	Other open fracture-dislocation
S4J1000	Open fracture-dislocation of sternum
S4J1100	Open fracture-dislocation of pelvis
S4J1200	Open fracture-dislocation sterno-clavicular joint; anterior
S4J2.00	Other closed fracture-subluxation
S4J2000	Closed fracture-subluxation of sternum
S4J2100	Closed fracture-subluxation of pelvis
S4J3.00	Other open fracture-subluxation
S4J3000	Open fracture-subluxation of sternum
S4J3100	Open fracture-subluxation of pelvis
SC0X.00	Sequelae of other fracture of thorax and pelvis
SC0z.11	Delayed union of fracture
SC3C000	Sequelae of fracture at wrist and hand level
SC3D400	Sequelae of fracture of femur
SR10000	Closed fractures involving head with neck
SR11.00	Fractures involving thorax with lower back and pelvis
SR12000	Closed fractures involving multiple regions of one upp limb
SR15000	Cl fractures involving multiple regions upper with lower lmb
SR16000	Closed fracture inv thorax wth low back and pelvis and limbs
SR1z.00	Multiple fractures; unspecified
SR1z000	[X]Closed multiple fractures unspecified
SR1z100	[X]Open multiple fractures unspecified
Syu4200	[X]Multiple fractures of clavicle; scapula and humerus
Syu4300	[X]Fracture of other parts of shoulder and upper arm
Syu4400	[X]Fracture of shoulder and upper arm; unspecified
Syu5300	[X]Fracture of other parts of forearm
Syu5400	[X]Fracture of forearm; unspecified
Syu6500	[X]Fracture of other & unspecified parts of wrist and hand
SyuL400	[X]Sequelae of other fractures of lower limb
TC7..00	Fracture; cause unspecified
Zw02400	[Q] Stress fracture
Zw02D00	[Q] Open fracture grade 1
Zw02E00	[Q] Open fracture grade 2
7J42H00	Revision to other external stabilisation of spinal fracture
7J42Q00	Primary closed reduction spinal fracture and other external stabilisation
7J43D00	Revision to open reduction spinal fracture and other internal fixation
7K1DD00	Primary open reduction of fracture and intramedullary nail fixation
7K1E.00	Primary open reduction of fracture of bone and extramedullary fixation
7K1E300	Primary open reduction of fracture of long bone and complex extramedullary fixation NEC
7K1Ey00	Primary open reduction of fracture and other internal(extramedullary) fixation
7K1H000	Secondary open reduction of fracture of bone and intramedullary fixation however further qualified
7K1H100	Secondary open reduction of fracture of bone and extramedullary fixation however further qualified
7K1H300	Secondary open reduction of fracture of bone and skeletal traction however further qualified
7K1HF00	Revision to open reduction of fracture and other external immobilisation
7K1J200	Closed reduction of fracture of long bone and flexible internal fixation however further qualified
7K1Ja00	Revision to closed reduction of fracture and other internal fixation
7K1JR00	Primary closed reduction of fracture and internal fixation with wire
7K1JT00	Primary closed reduction of fracture and other internal fixation
7K1JY00	Revision to closed reduction of fracture and internal fixation with wire
7K1KH00	Primary closed reduction of fracture and other external immobilisation
7K1Y200	Remanipulation of fracture of long bone and flexible internal fixation HFQ
7K1Yz00	Secondary closed reduction of fracture of bone and internal fixation NOS
7K6FL00	Primary open reduction of fracture dislocation and other external immobilisation
7K6FP00	Primary open reduction of fracture dislocation and other joint stabilisation
7K6G200	Primary manipulative closed reduction of fracture dislocation of joint NEC
7K6Gd00	Primary closed reduction of fracture dislocation and other external immobilisation
7K6Hd00	Revision to open reduction of fracture dislocation and other external immobilisation
7K6Hg00	Revision to open reduction of fracture dislocation and other stabilisation of joint
7K6HW00	Revision to closed reduction of fracture dislocation and other external immobilisation
N338z00	Fracture malunion or nonunion NOS
NyuCE00	[X]Fracture of bone in neoplastic diseases classified elsewhere
S000000	Closed fracture of vault of skull without mention of intracranial injury, state of consciousness unspecified
S000100	Closed fracture of vault of skull without mention of intracranial injury, with no loss of consciousness
S000200	Closed fracture of vault of skull without mention of intracranial injury, with less than 1 hour loss of consciousness
S000300	Closed fracture of vault of skull without mention of intracranial injury, with 1-24 hours loss of consciousness
S000400	Closed fracture of vault of skull without mention of intracranial injury, with more than 24 hours loss of consciousness and return to pre-existing conscious level
S000500	Closed fracture of vault of skull without mention of intracranial injury, with more than 24 hours loss of consciousness without return to pre-existing conscious level
S000600	Closed fracture of vault of skull without mention of intracranial injury, with loss of consciousness of unspecified duration
S000z00	Closed fracture of vault of skull without mention of intracranial injury, with concussion, unspecified
S001000	Closed fracture of vault of skull with intracranial injury, state of consciousness unspecified
S001600	Closed fracture of vault of skull with intracranial injury, with loss of consciousness of unspecified duration
S001z00	Closed fracture of vault of skull with intracranial injury, with concussion, unspecified
S002000	Open fracture of vault of skull without mention of intracranial injury, state of consciousness unspecified
S002100	Open fracture of vault of skull without mention of intracranial injury, with no loss of consciousness
S002200	Open fracture of vault of skull without mention of intracranial injury, with less than 1 hour loss of consciousness
S002300	Open fracture of vault of skull without mention of intracranial injury, with 1-24 hours loss of consciousness
S002400	Open fracture of vault of skull without mention of intracranial injury, with more than 24 hours loss of consciousness and return to pre-existing level of consciousness
S002500	Open fracture of vault of skull without mention of intracranial injury, with more than 24 hours loss of consciousness without return to pre-existing conscious level
S002600	Open fracture of vault of skull without mention of intracranial injury, with loss of consciousness of unspecified duration
S002z00	Open fracture of vault of skull without mention of intracranial injury, with concussion, unspecified
S003000	Open fracture of vault of skull with intracranial injury, unspecified state of consciousness
S003600	Open fracture of vault of skull with intracranial injury, with loss of consciousness of unspecified duration
S003z00	Open fracture of vault of skull with intracranial injury, with concussion, unspecified
S010000	Closed fracture of base of skull without mention of intracranial injury, unspecified state of consciousness
S010100	Closed fracture of base of skull without mention of intracranial injury, with no loss of consciousness
S010200	Closed fracture of base of skull without mention of intracranial injury, with less than 1 hour loss of consciousness
S010300	Closed fracture of base of skull without mention of intracranial injury, with 1-24 hours loss of consciousness
S010400	Closed fracture of base of skull without mention of intracranial injury, with more than 24 hours loss of consciousness and return to pre-existing conscious level
S010500	Closed fracture of base of skull without mention of intracranial injury, with more than 24 hours loss of consciousness without return to pre-existing conscious level
S010600	Closed fracture of base of skull without mention of intracranial injury, with loss of consciousness of unspecified duration
S010z00	Closed fracture of base of skull without mention of intracranial injury, with concussion, unspecified
S011000	Closed fracture of base of skull with intracranial injury, unspecified state of consciousness
S011600	Closed fracture of base of skull with intracranial injury, with loss of consciousness of unspecified duration
S011z00	Closed fracture of base of skull with intracranial injury, with concussion, unspecified
S012000	Open fracture of base of skull without mention of intracranial injury, unspecified state of consciousness
S012100	Open fracture of base of skull without mention of intracranial injury, with no loss of consciousness
S012200	Open fracture of base of skull without mention of intracranial injury, with less than 1 hour loss of consciousness
S012300	Open fracture of base of skull without mention of intracranial injury, with 1-24 hours loss of consciousness
S012400	Open fracture of base of skull without mention of intracranial injury, with more than 24 hours loss of consciousness and return to pre-existing conscious level
S012500	Open fracture of base of skull without mention of intracranial injury, with more than 24 hours loss of consciousness without return to pre-existing conscious level
S012600	Open fracture of base of skull without mention of intracranial injury, with loss of consciousness of unspecified duration
S012z00	Open fracture of base of skull without mention of intracranial injury, with concussion, unspecified
S013000	Open fracture of base of skull with intracranial injury, unspecified state of consciousness
S013600	Open fracture of base of skull with intracranial injury, with loss of consciousness of unspecified duration
S013z00	Open fracture of base of skull with intracranial injury, with concussion, unspecified
S023.00	Fracture of mandible, open
S023.11	Fracture of lower jaw, open
S023z00	Fracture of mandible, open, NOS
S024z00	Fracture of malar or maxillary bones, closed, NOS
S025z00	Fracture of malar or maxillary bones, open, NOS
S02xz00	Fracture of other facial bones, closed, NOS
S02yz00	Fracture of other facial bones,open, NOS
S032.00	Open fracture of skull NOS without mention of intracranial injury
S032000	Open fracture of skull NOS without mention of intracranial injury, unspecified state of consciousness
S032100	Open fracture of skull NOS without mention of intracranial injury, with no loss of consciousness
S032200	Open fracture of skull NOS without mention of intracranial injury, with less than 1 hour loss of consciousness
S032300	Open fracture of skull NOS without mention of intracranial injury, with 1-24 hours loss of consciousness
S032400	Open fracture of skull NOS without mention of intracranial injury, with more than 24 hours loss of consciousness and return to pre-existing conscious level
S032500	Open fracture of skull NOS without mention of intracranial injury, with more than 24 hours loss of consciousness without return to pre-existing conscious level
S032600	Open fracture of skull NOS without mention of intracranial injury, with loss of consciousness of unspecified duration
S032z00	Open fracture of skull NOS without mention of intracranial injury, with concussion, unspecified
S033000	Open fracture of skull NOS with intracranial injury, unspecified state of consciousness
S033100	Open fracture of skull NOS with intracranial injury, with no loss of consciousness
S033200	Open fracture of skull NOS with intracranial injury, with less than 1 hour loss of consciousness
S033300	Open fracture of skull NOS with intracranial injury, with 1-24 hours loss of consciousness
S033400	Open fracture of skull NOS with intracranial injury, with more than 24 hours loss of consciousness and return to pre-existing conscious level
S033500	Open fracture of skull NOS with intracranial injury, with more than 24 hours loss of consciousness without return to pre-existing conscious level
S033600	Open fracture of skull NOS with intracranial injury, with loss of consciousness of unspecified duration
S033z00	Open fracture of skull NOS with intracranial injury, with concussion, unspecified
S040.00	Multiple closed fractures involving skull or face with other bones without mention of intracranial injury
S040000	Multiple closed fractures involving skull or face with other bones without mention of intracranial injury, unspecified state of consciousness
S040100	Multiple closed fractures involving skull or face with other bones without mention of intracranial injury, with no loss of consciousness
S040200	Multiple closed fractures involving skull or face with other bones without mention of intracranial injury, with less than 1 hour loss of consciousness
S040300	Multiple closed fractures involving skull or face with other bones without mention of intracranial injury, with 1-24 hours loss of consciousness
S040400	Multiple closed fractures involving skull or face with other bones without mention of intracranial injury, with more than 24 hours loss of consciousness and return to pre-existing conscious level
S040500	Multiple closed fractures involving skull or face with other bones without mention of intracranial injury, with more than 24 hours loss of consciousness without return to pre-existing conscious leve
S040600	Multiple closed fractures involving skull or face with other bones without mention of intracranial injury, with loss of consciousness of unspecified duration
S040z00	Multiple closed fractures involving skull or face with other bones without mention of intracranial injury, with concussion, unspecified
S041.00	Multiple closed fractures involving skull or face with other bones with intracranial injury
S041000	Multiple closed fractures involving skull or face with other bones with intracranial injury, unspecified state of consciousness
S041100	Multiple closed fractures involving skull or face with other bones with intracranial injury, with no loss of consciousness
S041200	Multiple closed fractures involving skull or face with other bones with intracranial injury, with less than 1 hour loss of consciousness
S041300	Multiple closed fractures involving skull or face with other bones with intracranial injury, with 1-24 hours loss of consciousness
S041400	Multiple closed fractures involving skull or face with other bones with intracranial injury, with more than 24 hours loss of consciousness and return to pre-existing conscious level
S041500	Multiple closed fractures involving skull or face with other bones with intracranial injury, with more than 24 hours loss of consciousness without return to pre-existing conscious level
S041600	Multiple closed fractures involving skull or face with other bones with intracranial injury, with loss of consciousness of unspecified duration
S041z00	Multiple closed fractures involving skull or face with other bones with intracranial injury, with concussion, unspecified
S042.00	Multiple open fractures involving skull or face with other bones without mention of intracranial injury
S042000	Multiple open fractures involving skull or face with other bones without mention of intracranial injury, unspecified state of consciousness
S042100	Multiple open fractures involving skull or face with other bones without mention of intracranial injury, with no loss of consciousness
S042200	Multiple open fractures involving skull or face with other bones without mention of intracranial injury, with less than 1 hour loss of consciousness
S042300	Multiple open fractures involving skull or face with other bones without mention of intracranial injury, with 1-24 hours loss of consciousness
S042400	Multiple open fractures involving skull or face with other bones without mention of intracranial injury, with more than 24 hours loss of consciousness with return to pre-existing conscious level
S042500	Multiple open fractures involving skull or face with other bones without mention of intracranial injury, with more than 24 hours loss of consciousness without return to pre-existing conscious level
S042600	Multiple open fractures involving skull or face with other bones without mention of intracranial injury, with loss of consciousness of unspecified duration
S042z00	Multiple open fractures involving skull or face with other bones without mention of intracranial injury, with concussion, unspecified
S043.00	Multiple open fractures involving skull or face with other bones with intracranial injury
S043000	Multiple open fractures involving skull or face with other bones with intracranial injury, unspecified state of consciousness
S043100	Multiple open fractures involving skull or face with other bones with intracranial injury, with no loss of consciousness
S043200	Multiple open fractures involving skull or face with other bones with intracranial injury, with less than 1 hour loss of consciousness
S043300	Multiple open fractures involving skull or face with other bones with intracranial injury, with 1-24 hours loss of consciousness
S043400	Multiple open fractures involving skull or face with other bones with intracranial injury, with more than 24 hours loss of consciousness and return of pre-existing conscious level
S043500	Multiple open fractures involving skull or face with other bones with intracranial injury, with more than 24 hours loss of consciousness without return to pre-existing conscious level
S043600	Multiple open fractures involving skull or face with other bones with intracranial injury, with loss of consciousness of unspecified duration
S043z00	Multiple open fractures involving skull or face with other bones with intracranial injury, with concussion, unspecified
S0z..00	Fracture of skull NOS
S101z00	Open fracture of cervical spine not otherwise specified
S10B300	Fracture of ilium
S111z00	Open fracture of cervical spine with spinal cord lesion NOS
S112500	Closed spinal fracture with incomplete thoracic cord lesion, T1-6 not otherwise specified
S112B00	Closed spinal fracture with incomplete thoracic cord lesion,T7-12 not otherwise specified
S113500	Open spinal fracture with incomplete thoracic cord lesion, T1-6 not otherwise specified
S113600	Open spinal fracture with unspecified thoracic cord lesion, T7-12
S113B00	Open spinal fracture with incomplete thoracic cord lesion, T7-12 not otherwise specified
S113z00	Open fracture of thoracic spine with spinal cord lesion NOS
S115000	Open spinal fracture with unspecified lumbar cord lesion
S115z00	Open spinal fracture with incomplete lumbar cord lesion not otherwise specified
S116000	Closed fracture of sacrum with unspecified spinal cord lesion
S116200	Closed fracture of sacrum with other cauda equina injury
S116300	Closed fracture of sacrum with other spinal cord injury
S117000	Open fracture of sacrum with unspecified spinal cord lesion
S117200	Open fracture of sacrum with other cauda equina injury
S117z00	Open fracture of sacrum with spinal cord lesion NOS
S118000	Closed fracture of coccyx with unspecified spinal cord lesion
S118200	Closed fracture of coccyx with other cauda equina injury
S118300	Closed fracture of coccyx with other spinal cord injury
S11y.00	Open fracture of spine with spinal cord lesion unspecified
S12X100	Open fracture of bony thorax part unspecified
S12y.00	Fracture of other parts of bony thorax
S12y100	Open fracture of other parts of bony thorax
S131600	Open fracture acetabulum, double column unspecified
S1z..00	Fracture of neck and trunk NOS
S20z.00	Fracture of clavicle NOS
S21z.00	Fracture of scapula NOS
S241y00	Open fracture of other carpal bone
S24z.00	Fracture of carpal bone NOS
S260200	Closed fracture of distal phalanx or phalanges, unspecified part
S261100	Open fracture of middle or proximal phalanx or phalanges, unspecified part
S261200	Open fracture of distal phalanx or phalanges, unspecified part
S2A..00	Fracture of upper limb, level unspecified
S2z..00	Fracture of upper limb NOS
S301z00	Open fracture proximal femur, transcervical, not otherwise specified
S33z.00	Fracture of tibia and fibula, NOS
S354.00	Fracture of calcaneus
S35z.00	Fracture of tarsal and metatarsal bones NOS
S36z.00	Fracture of one or more phalanges of foot NOS
S37..00	Fracture of lower limb, level unspecified
S3X..00	Fracture of lower leg, part unspecified
S3y..00	Multiple fractures involving both lower limbs, lower with upper limb, and lower limb(s) with rib(s) and sternum
S3yz.00	Multiple fractures involving both lower limbs, lower with upper limb, and lower limb(s) with rib(s) and sternum, NOS
S4A3000	Open fracture-subluxation shoulder joint
S4B3000	Open fracture-subluxation elbow joint
S4C0y00	Closed fracture-dislocation other carpal
S4C1y00	Open fracture-dislocation other carpal
S4C3y00	Open fracture-subluxation other carpal
S4D3000	Open fracture-subluxation digit, unspecified
S4D3200	Open fracture-subluxation, interphalangeal joint, unspecified
S4z..00	Dislocation or subluxation not otherwise specified
SB30X00	Injury of unspecified blood vessel at shoulder and upper arm level
SC03.00	Late effect of fracture neck of femur
SCW..00	Sequelae of unspecified injury of neck and trunk
SK13.00	Other elbow, forearm and wrist injuries
SK13111	Injury arm
SK13z00	Other elbow, wrist and forearm injuries NOS
SK1CW00	Injury of unspecified muscle and tendon at wrist and hand level
Syu1500	[X]Fracture of other specified cervical vertebra
Syu1600	[X]Fracture of other parts of neck
Syu2.00	[X]Injuries to the thorax
Syu2400	[X]Superficial injury of other and unspecified parts of thorax
Syu2700	[X]Fracture of other parts of bony thorax
Syu2L00	[X]Other specified injuries of thorax
Syu3400	[X]Fracture of other and unspecified parts of lumbar spine and pelvis
Syu4500	[X]Dislocation of other and unspecified parts of shoulder girdle
Syu4900	[X]Injury of other blood vessels at shoulder and upper arm level
Syu4A00	[X]Injury of unspecified blood vessel at shoulder and upper arm level
Syu4B00	[X]Injury of other muscles and tendons at shoulder and upper arm level
Syu4C00	[X]Injury of unspecified muscle and tendon at shoulder and upper arm level
Syu5F00	[X]Other specified injuries of elbow and forearm
Syu5G00	[X]Unspecified injury of elbow and forearm
Syu6300	[X]Fracture of other carpal bone(s)
Syu6400	[X]Fracture of other metacarpal bone
Syu6B00	[X]Injury of extensor muscle and tendon of other finger at wrist and hand level
Syu6C00	[X]Injury of intrinsic muscle and tendon of other finger at wrist and hand level
Syu6D00	[X]Injury of other muscles and tendons at wrist and hand level
Syu6E00	[X]Injury of unspecified muscle and tendon at wrist and hand level
Syu6L00	[X]Other specified injuries of wrist and hand
Syu7200	[X]Fractures of other parts of femur
Syu8300	[X]Fractures of other parts of lower leg
Syu8D00	[X]Fracture of lower leg, part unspecified
Syu9400	[X]Fracture of other tarsal bones
SyuB200	[X]Other specified injuries of arm, level unspecified
SyuBB00	[X]Fracture of unspecified body region
SyuBK00	[X]Dislocation sprain/strain unspecified joint and ligament upper limb level unspecified
SyuBN00	[X]Unspecified injury of upper limb, level unspecified
SyuL100	[X]Sequelae of other fracture of thorax and pelvis
SyuL200	[X]Sequelae of other specified injuries of neck and trunk
SyuLC00	[X]Sequelae of unspecified injury of neck and trunk
