Xa5dk	Allergy to over-the-counter drug
Xa61k	Modified release isosorbide dinitrate allergy
SN581	Egg protein allergy
Xa1nm	Egg allergy
Xa1aX	Food allergy
Xa1nn	Cow's milk allergy
Xa1no	Peanut allergy
Xa1np	Seafood allergy
Xa7lI	Strawberry allergy
Xa7lJ	Nut allergy
Xa7lN	Chocolate allergy
Xa7lP	Cheese allergy
XaOYT	Wheat allergy
XaXYk	Mushroom allergy
Xaa0d	Allergy to soya
XabWn	Allergy to banana
Xad15	Allergy to tomato
Xa7lO	Shellfish allergy
XaQaY	Fish allergy
X00l4	Dander (animal) allergy
X00l5	Feather allergy
X00l6	House dust allergy
X00l7	House dust mite allergy
XE1ot	Allergy, unspecified
Xa7lH	Perfume allergy
Xa7lL	Allergy to pollen
Xa7lQ	Metal allergy
Xa7lR	Latex allergy
XaIRZ	Dust allergy
XaLKU	Allergy to plasters
XaYzE	Allergy to cosmetic product
X00l3	Cat allergy
Xa7lM	Allergy to animal hair
XaIpW	Allergy to animal
XaOb5	Allergy to dog dander
XaOj7	Allergy to grass pollen
XaeXG	Allergy to stainless steel
X77e9	Allergy skin test
x05By	Beconase Allergy
x05lq	Benadryl Allergy
SN53.	Allergy, unspecified
XaNfE	Oral allergy syndrome
XaQah	Allergy to nebivolol
XaLGR	Transfer-degraded drug allergy
XaLGS	Transfer-degraded non-drug allergy
x044U	Opticrom Allergy
x05j3	Optrex Allergy
x05FH	Rhinolast Allergy
x05db	Zirtek Allergy
x05qT	Pollenase Allergy
J432.	Cow's milk allergy
XM0Zn	Nogier auricular allergy
x04r6	Rynacrom Allergy
x05GG	Clarityn Allergy
x05cW	Alomide Allergy
x05lt	Flixonase Allergy
x05se	Piriteze Allergy
66G4.	Allergy drug side effect
Xa1zr	ADR - Adverse drug reaction
Xa86E	Adverse reaction to premed
Xa5b9	Drug groups primarily affecting the cardiovascular system adverse reaction
Xa5da	Medicinal enzyme adverse reaction
Xa5dj	Chymotrypsin adverse reaction
Xa5di	Streptokinase streptodornase adverse reaction
Xa5dh	Hyaluronidase adverse reaction
Xa5dg	Deoxyribonuclease adverse reaction
Xa5df	Bromelains adverse reaction
Xa5de	Anistreplase adverse reaction
Xa5dd	Alteplase adverse reaction
Xa5dc	Urokinase adverse reaction
Xa5db	Streptokinase adverse reaction
Xa5dX	Antivaricose agent adverse reaction
Xa5dZ	Ethanolamine adverse reaction
Xa5dY	Sodium tetradecyl sulphate adverse reaction
Xa5cy	Vasodilator adverse reaction
Xa5dW	Betahistine adverse reaction
Xa5dU	Alpha blocking vasodilator adverse reaction
Xa5dV	Thymoxamine adverse reaction
Xa5dL	Peripheral/cerebral vasodilator adverse reaction
Xa5dT	Nicotinyl alcohol adverse reaction
Xa5dS	Naftidrofuryl adverse reaction
Xa5dR	Isoxsuprine adverse reaction
Xa5dQ	Inositol nicotinate adverse reaction
Xa5dP	Nicofuranose adverse reaction
Xa5dO	Cyclandelate adverse reaction
Xa5dN	Oxpentifylline adverse reaction
Xa5dM	Bamethan sulphate adverse reaction
Xa5d7	Nitrate vasodilator adverse reaction
Xa5dK	Pentaerythritol tetranitrate adverse reaction
Xa5dI	Isosorbide mononitrate adverse reaction
Xa5dJ	Modified release isosorbide mononitrate adverse reaction
Xa5dE	Isosorbide dinitrate adverse reaction
Xa5dG	Oral isosorbide dinitrate adverse reaction
Xa5dH	Modified release isosorbide dinitrate adverse reaction
Xa5dF	Parenteral isosorbide dinitrate adverse reaction
Xa5d8	Glyceryl trinitrate adverse reaction
Xa5dD	Glyceryl trinitrate spray adverse reaction
Xa5dC	Transdermal glyceryl trinitrate adverse reaction
Xa5dB	Parenteral glyceryl trinitrate adverse reaction
Xa5d9	Oral glyceryl trinitrate adverse reaction
Xa5dA	Modified release GTN adverse reaction
Xa5d6	Dipyridamole adverse reaction
Xa5d5	Nicorandil adverse reaction
Xa5cz	Vasodilator antihypertensive drug adverse reaction
Xa5d4	Hydralazine adverse reaction
Xa5d3	Diazoxide adverse reaction
Xa5d2	Flosequinan adverse reaction
Xa5d1	Sodium nitroprusside adverse reaction
Xa5d0	Minoxidil adverse reaction
Xa5cs	Vasoconstrictor adverse reaction
Xa5ct	Ergot compound adverse reaction
Xa5cv	Ergot alkaloid adverse reaction
Xa5cx	Ergometrine adverse reaction
Xa5cw	Dihydroergotamine mesylate adverse reaction
Xa5cu	Co-dergocrine adverse reaction
Xa5ci	Cardiac inotropic agent adverse reaction
Xa5cp	Phosphodiesterase inhibitor adverse reaction
XaXhY	Phosphodiesterase-5 inhibitor adverse reaction
Xa5cr	Milrinone adverse reaction
Xa5cq	Enoximone adverse reaction
Xa5cj	Cardiac glycoside adverse reaction
Xa5co	Ouabain adverse reaction
Xa5cn	Medigoxin adverse reaction
Xa5cm	Lanatoside C adverse reaction
Xa5cl	Digitoxin adverse reaction
Xa5ck	Digoxin adverse reaction
Xa5cO	Antihypertensive adverse reaction
XacIN	Aliskiren adverse reaction
XaJ8o	Angiotensin II receptor antagonist adverse reaction
Xa5ch	Rauwolfia antihypertensive adverse reaction
Xa5cg	Losartan adverse reaction
Xa5cf	Metirosine adverse reaction
Xa5cd	Ganglion-blocking drug adverse reaction
Xa5ce	Trimetaphan adverse reaction
Xa5cT	Angiotensin-converting-enzyme inhibitor adverse reaction
Xa5cc	Perindopril adverse reaction
Xa5cb	Fosinopril adverse reaction
Xa5ca	Enalapril adverse reaction
Xa5cZ	Trandolapril adverse reaction
Xa5cY	Cilazapril adverse reaction
Xa5cX	Ramipril adverse reaction
Xa5cW	Quinapril adverse reaction
Xa5cV	Lisinopril adverse reaction
Xa5cU	Captopril adverse reaction
Xa5cP	Adrenergic neurone blocking drug adverse reaction
Xa5cS	Guanethidine adverse reaction
Xa5cR	Debrisoquine adverse reaction
Xa5cQ	Bethanidine adverse reaction
Xa5bj	Diuretic adverse reaction
Xa5cL	Carbonic anhydrase inhibitor adverse reaction
Xa5cN	Acetazolamide adverse reaction
Xa5cM	Dichlorphenamide adverse reaction
Xa5cF	Thiazide-related diuretic adverse reaction
Xa5cK	Xipamide adverse reaction
Xa5cJ	Metolazone adverse reaction
Xa5cI	Mefruside adverse reaction
Xa5cH	Indapamide adverse reaction
Xa5cG	Chlorthalidone adverse reaction
Xa5cD	Mercurial diuretic adverse reaction
Xa5cE	Mersalyl adverse reaction
Xa5cB	Osmotic diuretic adverse reaction
Xa5cC	Mannitol adverse reaction
Xa5c4	Potassium sparing compound diuretic adverse reaction
Xa5cA	Triamterene and thiazide diuretic adverse reaction
Xa5c9	Triamterene and loop diuretic adverse reaction
Xa5c8	Spironolactone and thiazide diuretic adverse reaction
Xa5c7	Spironolactone and loop diuretic adverse reaction
Xa5c6	Amiloride and thiazide diuretic adverse reaction
Xa5c5	Amiloride and loop diuretic adverse reaction
Xa5by	Potassium sparing diuretic adverse reaction
Xa5c3	Amiloride adverse reaction
Xa5c0	Aldosterone antagonists adverse reaction
Xa5c2	Spironolactone adverse reaction
Xa5c1	Potassium canrenoate adverse reaction
Xa5bz	Triamterene adverse reaction
Xa5bs	Loop diuretic adverse reaction
Xa5bx	Torasemide adverse reaction
Xa5bw	Piretanide adverse reaction
Xa5bv	Ethacrynic acid adverse reaction
Xa5bu	Bumetanide adverse reaction
Xa5bt	Frusemide adverse reaction
Xa5bk	Thiazide diuretic adverse reaction
Xa5br	Polythiazide adverse reaction
Xa5bq	Methyclothiazide adverse reaction
Xa5bp	Hydroflumethiazide adverse reaction
Xa5bo	Hydrochlorothiazide adverse reaction
Xa5bn	Cyclopenthiazide adverse reaction
Xa5bm	Chlorothiazide adverse reaction
Xa5bl	Bendroflumethiazide adverse reaction
Xa5bT	Antiarrhythmic drug adverse reaction
Xa5bi	Class IV antiarrhythmic adverse reaction
Xa5bg	Class III antiarrhythmic adverse reaction
Xa5bh	Amiodarone adverse reaction
Xa5be	Class II antiarrhythmic adverse reaction
Xa5bf	Bretylium adverse reaction
Xa5bV	Class I antiarrhythmic adverse reaction
Xa5bd	Tocainide adverse reaction
Xa5bc	Propafenone adverse reaction
Xa5bb	Procainamide adverse reaction
Xa5ba	Moracizine adverse reaction
Xa5bZ	Mexiletine adverse reaction
Xa5bY	Flecainide adverse reaction
Xa5bX	Quinidine adverse reaction
Xa5bW	Disopyramide adverse reaction
Xa5bU	Adenosine adverse reaction
Xa5bA	Lipid-lowering drug adverse reaction
Xa5bP	HMG COA reductase inhibitor adverse reaction
Xa5bS	Pravastatin adverse reaction
Xa5bR	Fluvastatin adverse reaction
Xa5bQ	Simvastatin adverse reaction
Xa5bN	Fish oils adverse reaction
Xa5bO	Omega 3-marine triglycerides adverse reaction
Xa5bI	Clofibrate group adverse reaction
Xa5bM	Ciprofibrate adverse reaction
Xa5bL	Fenofibrate adverse reaction
Xa5bK	Clofibrate adverse reaction
Xa5bJ	Bezafibrate adverse reaction
Xa5bF	Anion exchange resins adverse reaction
Xa5bH	Cholestyramine adverse reaction
Xa5bG	Colestipol adverse reaction
Xa5bE	Acipimox adverse reaction
Xa5bD	Probucol adverse reaction
Xa5bC	Gemfibrozil adverse reaction
Xa5bB	Dextrothyroxine sodium adverse reaction
Xa5a8	Foods, vitamins, electrolytes and inorganic salts adverse reaction
Xa5b7	Fluoride adverse reaction
Xa5b8	Sodium fluoride adverse reaction
Xa5b6	Zinc adverse reaction
Xa5b5	Electrolyte anion adverse reaction
Xa5b2	Potassium adverse reaction
Xa5b4	Parenteral potassium adverse reaction
Xa5b3	Oral potassium adverse reaction
Xa5ax	Ion exchange resin adverse reaction
Xa5ay	Cation exchange resin adverse reaction
Xa5b1	Sodium polystyrene sulphonate adverse reaction
Xa5b0	Calcium polystyrene sulphonate adverse reaction
Xa5az	Sodium cellulose phosphate adverse reaction
Xa5ac	Vitamin products adverse reaction
Xa5aj	Water soluble vitamin adverse reaction
Xa5aw	Ascorbic acid adverse reaction
Xa5ak	Vitamin B group adverse reaction
Xa5av	Thiamine preparation adverse reaction
Xa5au	Pyridoxine preparation adverse reaction
Xa5at	Inositol adverse reaction
Xa5as	Vitamin B complex preps adverse reaction
Xa5ar	Nicotinamide adverse reaction
Xa5ao	Vitamin B12 preparation adverse reaction
Xa5aq	Cyanocobalamin adverse reaction
Xa5ap	Hydroxocobalamin adverse reaction
Xa5an	Folinic acid adverse reaction
Xa5am	Folic acid adverse reaction
Xa5al	Nicotinic acid adverse reaction
Xa5ae	Fat soluble vitamin adverse reaction
Xa5ai	Alpha-tocopheryl adverse reaction
Xa5ah	Vitamin K adverse reaction
Xa5ag	Vitamin D adverse reaction
Xa5af	Vitamin A adverse reaction
Xa5ad	Multivitamin and mineral preparations adverse reaction
Xa5ab	Oral rehydration salts adverse reaction
Xa5aa	Enteral and supplement feeds adverse reaction
Xa5aZ	Multiple electrolyte infusion adverse reaction
Xa5aV	Iodine compounds adverse reaction
Xa5aX	Iodophore adverse reaction
Xa5aY	Povidone iodine adverse reaction
Xa5aW	Iodine adverse reaction
Xa5aU	L-Carnitine adverse reaction
Xa5aM	Intravenous nutrition adverse reaction
Xa5aT	Intravenous nutrition (ready mixed) adverse reaction
Xa5aS	Intravenous nutrition (fats) adverse reaction
Xa5aR	Intravenous nutrition (carbohydrate) adverse reaction
Xa5aQ	Intravenous nutrition (amino acids) adverse reaction
Xa5aN	Supplementary preparations for parenteral nutrition adverse reaction
Xa5aP	Intravenous nutrition (vitamins) adverse reaction
Xa5aO	Intravenous nutrition (electrolytes/trace elements) adverse reaction
Xa5a9	Iron adverse reaction
Xa5aF	Ferrous salt adverse reaction
Xa5aL	Ferrous phosphate adverse reaction
Xa5aK	Ferrous sulphate adverse reaction
Xa5aJ	Ferrous succinate adverse reaction
Xa5aI	Ferrous glycine sulphate adverse reaction
Xa5aH	Ferrous gluconate adverse reaction
Xa5aG	Ferrous fumarate adverse reaction
Xa5aE	Iron sorbitol adverse reaction
Xa5aD	Compound iron preparations adverse reaction
Xa5aC	Sodium ironedetate adverse reaction
Xa5aB	Polysaccharide iron complex adverse reaction
Xa5aA	Iron and folic acid adverse reaction
Xa5ZN	Haematological agents adverse reaction
XacIP	Ticagrelor adverse reaction
XacIO	Prasugrel adverse reaction
Xa5a2	Haemostatic adverse reaction
Xa5a7	Aprotinin adverse reaction
Xa5a6	Collagen adverse reaction
Xa5a5	Tranexamic acid adverse reaction
Xa5a4	Thromboplastin adverse reaction
Xa5a3	Ethamsylate adverse reaction
Xa5Zn	Anticoagulant adverse reaction
Xa5Zw	Indirect acting anticoagulant adverse reaction
Xa5a0	Indanedione anticoagulant adverse reaction
Xa5a1	Phenindione adverse reaction
Xa5Zx	Coumarin anticoagulant adverse reaction
Xa5Zz	Warfarin adverse reaction
Xa5Zy	Nicoumalone adverse reaction
Xa5Zo	Direct acting anticoagulant adverse reaction
Xad9n	Rivaroxaban adverse reaction
Xad9m	Apixaban adverse reaction
Xa5Zu	Heparinoid adverse reaction
Xa5Zv	Danaparoid sodium adverse reaction
Xa5Zq	Heparin adverse reaction
Xa5Zt	Tinzaparin adverse reaction
Xa5Zs	Dalteparin adverse reaction
Xa5Zr	Enoxaparin adverse reaction
Xa5Zp	Ancrod adverse reaction
Xa5ZY	Blood derivative adverse reaction
Xa5Zb	Blood clotting factor adverse reaction
Xa5Zm	von Willebrand factor products adverse reaction
Xa5Zl	Factor XIII products adverse reaction
Xa5Zk	Factor XI products adverse reaction
Xa5Zj	Factor VIII by-passing fraction products adverse reaction
Xa5Zi	Factor VII concentrate products adverse reaction
Xa5Zh	Factor V concentrate products adverse reaction
Xa5Zg	Factor IX by-passing fraction products adverse reaction
Xa5Ze	Activated factor VII products adverse reaction
Xa5Zf	Acset adverse reaction
Xa5Zd	Factor IX fraction products adverse reaction
Xa5Zc	Factor VIII fraction products adverse reaction
Xa5Za	Antithrombin III adverse reaction
Xa5ZZ	Albumin solution adverse reaction
Xa5ZR	Plasma substitutes adverse reaction
Xa5ZX	Plasma protein solution adverse reaction
Xa5ZW	Perfluorochemical adverse reaction
Xa5ZV	Dextran adverse reaction
Xa5ZU	Pentastarch adverse reaction
Xa5ZT	Hetastarch adverse reaction
Xa5ZS	Gelatin adverse reaction
Xa5ZO	Erythropoietin adverse reaction
Xa5ZQ	Epoetin beta adverse reaction
Xa5ZP	Epoetin alfa adverse reaction
Xa5Wf	Hormones, synthetic substitutes and antagonists adverse reaction
Xa5ZD	Calcium regulating agent adverse reaction
Xa5ZJ	Calcium regulating hormone adverse reaction
Xa5ZK	Calcitonin adverse reaction
Xa5ZM	Calcitonin (pork) adverse reaction
Xa5ZL	Salcatonin adverse reaction
Xa5ZE	Biphosphonates adverse reaction
Xa5ZI	Disodium etidronate and calcium carbonate adverse reaction
Xa5ZH	Sodium clodronate adverse reaction
Xa5ZG	Disodium pamidronate adverse reaction
Xa5ZF	Disodium etidronate adverse reaction
Xa5Yn	Hypothalamic/pituitary hormone adverse reaction
Xa5ZA	Thyrotrophic hormone adverse reaction
Xa5ZC	Thyrotrophin adverse reaction
Xa5ZB	Protirelin adverse reaction
Xa5Z7	Somatrophic hormone adverse reaction
Xa5Z9	Growth hormone adverse reaction
Xa5Z8	Octreotide adverse reaction
Xa5Z4	Oxytocic hormone adverse reaction
Xa5Z6	Oxytocin and ergometrine adverse reaction
Xa5Z5	Oxytocin adverse reaction
Xa5Yw	Gonad regulating hormone adverse reaction
Xa5Z3	Leuprorelin adverse reaction
Xa5Z2	Gonadotrophic hormone adverse reaction
Xa5Z1	Triptorelin adverse reaction
Xa5Z0	Goserelin adverse reaction
Xa5Yz	Buserelin adverse reaction
Xa5Yy	Nafarelin adverse reaction
Xa5Yx	Gonadorelin adverse reaction
Xa5Yt	Corticotrophic hormone adverse reaction
Xa5Yv	Tetracosactrin adverse reaction
Xa5Yu	Corticotrophins adverse reaction
Xa5Yo	Antidiuretic hormone adverse reaction
Xa5Ys	Vasopressin adverse reaction
Xa5Yr	Terlipressin adverse reaction
Xa5Yq	Lypressin adverse reaction
Xa5Yp	Desmopressin adverse reaction
Xa5Yk	Thyroid agent adverse reaction
Xa5Ym	Thyroxine adverse reaction
Xa5Yl	Liothyronine adverse reaction
Xa5Yh	Ergoline drug adverse reaction
Xa5Yj	Quinagolide adverse reaction
Xa5Yi	Cabergoline adverse reaction
Xa5Xp	Sex hormones adverse reaction
Xa5Yg	Clomiphene adverse reaction
Xa5Yf	Oestrogen and progestogen preparation adverse reaction
Xa5YP	Oestrogen adverse reaction
Xa5Ye	Stilboestrol adverse reaction
Xa5Yd	Conjugated oestrogens adverse reaction
Xa5Yc	Oestriol adverse reaction
Xa5Yb	Ethinyloestradiol adverse reaction
Xa5Ya	Mestranol adverse reaction
Xa5YZ	Fosfestrol adverse reaction
Xa5YY	Polyestradiol phosphate adverse reaction
Xa5YX	Dienoestrol adverse reaction
Xa5YW	Quinestrol adverse reaction
Xa5YV	Quinestradol adverse reaction
Xa5YU	Piperazine oestrone sulphate adverse reaction
Xa5YQ	Oestradiol adverse reaction
Xa5YT	Topical oestradiol adverse reaction
Xa5YS	Oestradiol implant adverse reaction
Xa5YR	Oral oestradiol adverse reaction
Xa5YH	Androgen adverse reaction
Xa5YK	Testosterone adverse reaction
Xa5YO	Testosterone patch adverse reaction
Xa5YN	Oral testosterone adverse reaction
Xa5YM	Intramuscular testosterone adverse reaction
Xa5YL	Testosterone implant adverse reaction
Xa5YJ	Methyltestosterone adverse reaction
Xa5YI	Mesterolone adverse reaction
Xa5YG	Combined oral contraceptive adverse reaction
Xa5YA	Anti-androgens adverse reaction
Xa5YF	Cyproterone adverse reaction
Xa5YE	Cyproterone acetate and ethinyloestradiol adverse reaction
Xa5YD	Bicalutamide adverse reaction
Xa5YC	Flutamide adverse reaction
Xa5YB	Finasteride adverse reaction
Xa5Y9	Gestrinone adverse reaction
Xa5Y8	Danazol adverse reaction
Xa5Y7	Cyclofenil adverse reaction
Xa5Y1	Anabolic steroids adverse reaction
Xa5Y6	Stanozolol adverse reaction
Xa5Y5	Nandrolone adverse reaction
Xa5Y4	Oxymetholone adverse reaction
Xa5Y3	Drostanolone propionate adverse reaction
Xa5Y2	Tibolone adverse reaction
Xa5Xq	Progestogen adverse reaction
Xa5Y0	Medroxyprogesterone adverse reaction
Xa5Xz	Levonorgestrel adverse reaction
Xa5Xy	Ethynodiol diacetate adverse reaction
Xa5Xx	Norethisterone adverse reaction
Xa5Xw	Megestrol adverse reaction
Xa5Xv	Hydroxyprogesterone adverse reaction
Xa5Xu	Gestronol adverse reaction
Xa5Xt	Progesterone adverse reaction
Xa5Xs	Dydrogesterone adverse reaction
Xa5Xr	Allyloestrenol adverse reaction
Xa5XZ	Oral hypoglycaemic adverse reaction
Xa5Xo	Acarbose adverse reaction
Xa5Xn	Guar gum adverse reaction
Xa5Xl	Biguanide adverse reaction
Xa5Xm	Metformin adverse reaction
Xa5Xa	Sulphonylurea adverse reaction
Xa5Xk	Tolbutamide adverse reaction
Xa5Xj	Tolazamide adverse reaction
Xa5Xi	Glymidine adverse reaction
Xa5Xh	Gliquidone adverse reaction
Xa5Xg	Glipizide adverse reaction
Xa5Xf	Gliclazide adverse reaction
Xa5Xe	Glibornuride adverse reaction
Xa5Xd	Glibenclamide adverse reaction
Xa5Xc	Chlorpropamide adverse reaction
Xa5Xb	Acetohexamide adverse reaction
Xa5XM	Insulin adverse reaction
Xa5XU	Biphasic isophane insulin adverse reaction
Xa5XY	Mixtard insulin adverse reaction
Xa5XX	Pur-In-Mix insulin adverse reaction
Xa5XW	Initard insulin adverse reaction
Xa5XV	Humulin insulin adverse reaction
Xa5XT	Protamine zinc insulin adverse reaction
Xa5XS	Isophane insulin adverse reaction
Xa5XR	Insulin zinc suspension (crystalline) adverse reaction
Xa5XQ	Insulin zinc suspension (amorphous) adverse reaction
Xa5XP	Insulin zinc suspension adverse reaction
Xa5XO	Biphasic insulin adverse reaction
Xa5XN	Soluble neutral insulin adverse reaction
Xa5Wm	Corticosteroids adverse reaction
Xa5XK	Budesonide adverse reaction
Xa5XL	Topical budesonide adverse reaction
Xa5XJ	Triamcinolone adverse reaction
Xa5XF	Prednisolone adverse reaction
Xa5XG	Topical prednisolone adverse reaction
Xa5XI	Rectal prednisolone preparations adverse reaction
Xa5XH	Prednisolone drops adverse reaction
Xa5XE	Methylprednisolone adverse reaction
Xa5XB	Dexamethasone adverse reaction
Xa5XD	Topical compound dexamethasone preparation adverse reaction
Xa5XC	Topical dexamethasone adverse reaction
Xa5XA	Mometasone adverse reaction
Xa5X9	Fluticasone adverse reaction
Xa5X8	Fluocinolone adverse reaction
Xa5X7	Fludrocortisone adverse reaction
Xa5X6	Fluclorolone adverse reaction
Xa5X5	Diflucortolone adverse reaction
Xa5X4	Cortisone adverse reaction
Xa5X3	Clobetasone adverse reaction
Xa5X2	Clobetasol adverse reaction
Xa5X1	Beclomethasone adverse reaction
Xa5X0	Alclometasone adverse reaction
Xa5Wz	Halcinonide adverse reaction
Xa5Wy	Flurandrenolone adverse reaction
Xa5Wx	Fluocortolone adverse reaction
Xa5Ww	Fluocinonide adverse reaction
Xa5Wv	Desoxymethasone adverse reaction
Xa5Wu	Desonide adverse reaction
Xa5Wt	Flunisolide adverse reaction
Xa5Ws	Fluorometholone adverse reaction
Xa5Wr	Prednisone adverse reaction
Xa5Wo	Hydrocortisone adverse reaction
Xa5Wq	Topical compound hydrocortisone preparation adverse reaction
Xa5Wp	Topical hydrocortisone adverse reaction
Xa5Wn	Betamethasone adverse reaction
Xa5Wh	Antithyroid drug adverse reaction
Xa5Wk	Thiouracil antithyroid agent adverse reaction
Xa5Wl	Propylthiouracil adverse reaction
Xa5Wi	Thiourea antithyroid agent adverse reaction
Xa5Wj	Carbimazole adverse reaction
Xa5Wg	Glucagon adverse reaction
Xa5W3	Vaccine, immunoglobulins and antisera adverse reaction
Xa5Wb	Antisera adverse reaction
Xa5We	Diphtheria antitoxin adverse reaction
Xa5Wd	Botulism antitoxin adverse reaction
Xa5Wc	Clostridium botulinum adverse reaction
Xa5WC	Vaccines adverse reaction
Xa5Wa	Meningococcal polysaccharide vaccine adverse reaction
Xa5WZ	Haemophilus influenzae Type B vaccine adverse reaction
Xa5WY	Hepatitis A vaccine adverse reaction
Xa5WX	Measles/mumps/rubella vaccine adverse reaction
Xa5WU	Typhoid vaccine adverse reaction
Xa5WW	Typhoid whole cell vaccine adverse reaction
Xa5WV	Typhoid polysaccharide vaccine adverse reaction
Xa5WT	Tetanus vaccines adverse reaction
Xa5WS	Smallpox vaccine adverse reaction
Xa5WR	Rubella vaccine adverse reaction
Xa5WQ	Rabies vaccine adverse reaction
Xa5WP	Poliomyelitis vaccine adverse reaction
Xa5WO	Pneumococcal vaccine adverse reaction
Xa5WN	Pertussis vaccine adverse reaction
Xa5WM	Mumps vaccine adverse reaction
Xa5WJ	Influenza vaccine adverse reaction
Xa5WL	Influenza surface antigen vaccine adverse reaction
Xa5WK	Influenza split virion vaccine adverse reaction
Xa5WI	Hepatitis B vaccine adverse reaction
Xa5WE	Diphtheria vaccines adverse reaction
Xa5WH	Diphtheria, tetanus and pertussis vaccine adverse reaction
Xa5WG	Diphtheria and tetanus vaccine adverse reaction
Xa5WF	Diphtheria single antigen vaccine adverse reaction
Xa5WD	Anthrax vaccine adverse reaction
Xa5W4	Immunoglobulin products adverse reaction
Xa5WB	Varicella-zoster immunoglobulin adverse reaction
Xa5WA	Tetanus immunoglobulin adverse reaction
Xa5W9	Hepatitis B immunoglobulin adverse reaction
Xa5W8	Anti-D (Rh) immunoglobulin adverse reaction
Xa5W5	Human immunoglobulin adverse reaction
Xa5W7	Intravenous immunoglobulin adverse reaction
Xa5W6	Intramuscular immunoglobulin adverse reaction
Xa5RM	Anti-infectives adverse reaction
Xa5Vr	Pesticide adverse reaction
Xa5W0	Pyrethroid pesticides adverse reaction
Xa5W2	Permethrin adverse reaction
Xa5W1	Phenothrin adverse reaction
Xa5Vy	Organophosphate pesticide adverse reaction
Xa5Vz	Malathion adverse reaction
Xa5Vw	Chlorinated pesticide adverse reaction
Xa5Vx	Lindane adverse reaction
Xa5Vu	Carbamate pesticide adverse reaction
Xa5Vv	Carbaryl adverse reaction
Xa5Vt	Monosulfiram adverse reaction
Xa5Vs	Benzyl benzoate adverse reaction
Xa5Vd	Antimycobacterial agent adverse reaction
Xa5Vo	Antileprotic drug adverse reaction
Xa5Vq	Clofazimine adverse reaction
Xa5Vp	Dapsone adverse reaction
Xa5Ve	Antituberculous drug adverse reaction
Xa5Vn	Ethambutolol adverse reaction
Xa5Vl	Hydrazide antituberculosis drug adverse reaction
Xa5Vm	Isoniazid adverse reaction
Xa5Vg	Antibiotic antituberculosis drug adverse reaction
Xa5Vk	Rifabutin adverse reaction
Xa5Vj	Rifampicin adverse reaction
Xa5Vi	Cycloserine adverse reaction
Xa5Vh	Capreomycin adverse reaction
Xa5Vf	Pyrazinamide adverse reaction
Xa5VT	Antiprotozoal drug adverse reaction
Xa5Vb	Hydroxyquinoline antiprotozoal adverse reaction
Xa5Vc	Clioquinol adverse reaction
Xa5VZ	Dichloroacetamide antiprotozoal adverse reaction
Xa5Va	Diloxanide adverse reaction
Xa5VX	Diamidine antiprotozoal adverse reaction
Xa5VY	Pentamidine adverse reaction
Xa5VV	Antimony antiprotozoal adverse reaction
Xa5VW	Sodium stibogluconate adverse reaction
Xa5VU	Atovaquone adverse reaction
Xa5TH	Antibacterial drug adverse reaction
Xa5VS	Co-trimoxazole adverse reaction
Xa5VR	Chloramphenicol adverse reaction
Xa5VH	Tetracyclines group adverse reaction
Xa5VQ	Tetracycline adverse reaction
Xa5VP	Demeclocycline adverse reaction
Xa5VO	Chlortetracycline adverse reaction
Xa5VN	Compound tetracycline preparations adverse reaction
Xa5VM	Oxytetracycline adverse reaction
Xa5VL	Minocycline adverse reaction
Xa5VK	Lymecycline adverse reaction
Xa5VJ	Doxycycline adverse reaction
Xa5VI	Clomocycline sodium adverse reaction
Xa5V3	Sulphonamide adverse reaction
Xa5VG	Sulphacetamide adverse reaction
Xa5VF	Combined sulphonamides adverse reaction
Xa5VE	Silver sulphadiazine adverse reaction
Xa5VD	Mafenide adverse reaction
Xa5VC	Sulphaurea adverse reaction
Xa5VB	Sulphaguanidine adverse reaction
Xa5VA	Sulphafurazole adverse reaction
Xa5V9	Sulphadimidine adverse reaction
Xa5V8	Sulphadimethoxine adverse reaction
Xa5V7	Sulphadiazine adverse reaction
Xa5V6	Sulfametopyrazine adverse reaction
Xa5V5	Phthalylsulphathiazole adverse reaction
Xa5V4	Calcium sulphaloxate adverse reaction
Xa5Uz	Nitroimidazole adverse reaction
Xa5V2	Nimorazole adverse reaction
Xa5V1	Tinidazole adverse reaction
Xa5V0	Metronidazole adverse reaction
Xa5Ux	Monobactam adverse reaction
Xa5Uy	Aztreonam adverse reaction
Xa5Uw	Mandelic acid adverse reaction
Xa5Ut	Lincomycin and derivative adverse reaction
Xa5Uv	Lincomycin adverse reaction
Xa5Uu	Clindamycin adverse reaction
Xa5Us	Fosfomycin adverse reaction
Xa5Uq	Cephamycin adverse reaction
Xa5Ur	Cefoxitin adverse reaction
Xa5US	Cephalosporin adverse reaction
Xa5Uo	Fourth generation cephalosporin adverse reaction
Xa5Up	Cefpirome adverse reaction
Xa5Ue	Third generation cephalosporin adverse reaction
Xa5Un	Cefsulodin adverse reaction
Xa5Um	Ceftibuten adverse reaction
Xa5Ul	Ceftriaxone adverse reaction
Xa5Uk	Cefpodoxime adverse reaction
Xa5Uj	Cefodizime adverse reaction
Xa5Ui	Cefixime adverse reaction
Xa5Uh	Ceftizoxime adverse reaction
Xa5Ug	Ceftazidime adverse reaction
Xa5Uf	Cefotaxime adverse reaction
Xa5Ua	Second generation cephalosporin adverse reaction
Xa5Ud	Cephamandole adverse reaction
