^ESCT1164493	Trimipramine mesylate
^ESCTAM1104005	Amitriptyline 50mg/5ml oral solution sugar free (Actavis UK Ltd) 150 ml
^ESCTAM1109605	Amitriptyline 25mg tablets (Crescent Pharma Ltd)
^ESCTAM1109606	Amitriptyline 25mg tablets (Crescent Pharma Ltd) 28 tablet 2 x 14 tablets
^ESCTAM1114452	Amitriptyline 10mg/5ml oral solution sugar free 150 ml
^ESCTAM1114457	Amitriptyline 10mg/5ml oral solution sugar free (Thame Laboratories Ltd)
^ESCTAM1114470	Amitriptyline 10mg/5ml oral solution sugar free (Thame Laboratories Ltd) 150 ml
^ESCTAM1114496	Amitriptyline 25mg/5ml oral solution sugar free (Thame Laboratories Ltd)
^ESCTAM1114499	Amitriptyline 25mg/5ml oral solution sugar free (Thame Laboratories Ltd) 150 ml
^ESCTAM1114509	Amitriptyline 50mg/5ml oral solution sugar free (Thame Laboratories Ltd)
^ESCTAM1114516	Amitriptyline 50mg/5ml oral solution sugar free (Thame Laboratories Ltd) 150 ml
^ESCTAM1116067	Amitriptyline 10mg/5ml oral solution sugar free (Wockhardt UK Ltd)
^ESCTAM1116071	Amitriptyline 10mg/5ml oral solution sugar free (Wockhardt UK Ltd) 150 ml
^ESCTAM1116120	Amitriptyline 10mg/5ml oral solution sugar free
^ESCTAM1116808	Amitriptyline 25mg/5ml oral solution sugar free (Sigma Pharmaceuticals Plc)
^ESCTAM1116809	Amitriptyline 25mg/5ml oral solution sugar free (Sigma Pharmaceuticals Plc) 150 ml
^ESCTAM1116810	Amitriptyline 50mg/5ml oral solution sugar free (Sigma Pharmaceuticals Plc)
^ESCTAM1116811	Amitriptyline 50mg/5ml oral solution sugar free (Sigma Pharmaceuticals Plc) 150 ml
^ESCTAM1116812	Amitriptyline 10mg tablets (Sigma Pharmaceuticals Plc)
^ESCTAM1116813	Amitriptyline 10mg tablets (Sigma Pharmaceuticals Plc) 28 tablet
^ESCTAM1116814	Amitriptyline 50mg tablets (Sigma Pharmaceuticals Plc)
^ESCTAM1116815	Amitriptyline 50mg tablets (Sigma Pharmaceuticals Plc) 28 tablet
^ESCTAM1118873	Amitriptyline 10mg tablets (Mawdsley-Brooks & Company Ltd)
^ESCTAM1118874	Amitriptyline 10mg tablets (Mawdsley-Brooks & Company Ltd) 28 tablet
^ESCTAM1118875	Amitriptyline 25mg tablets (Mawdsley-Brooks & Company Ltd)
^ESCTAM1118876	Amitriptyline 25mg tablets (Mawdsley-Brooks & Company Ltd) 28 tablet
^ESCTAM1118877	Amitriptyline 50mg tablets (Mawdsley-Brooks & Company Ltd)
^ESCTAM1118878	Amitriptyline 50mg tablets (Mawdsley-Brooks & Company Ltd) 28 tablet
^ESCTAM1120041	Amitriptyline 10mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd)
^ESCTAM1120042	Amitriptyline 10mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd) 150 ml
^ESCTAM1126511	Amitriptyline 10mg/5ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd)
^ESCTAM1126512	Amitriptyline 10mg/5ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd) 150 ml
^ESCTAM1146144	Amitriptyline 10mg/5ml oral solution sugar free (Sigma Pharmaceuticals Plc)
^ESCTAM1146146	Amitriptyline 10mg/5ml oral solution sugar free (Sigma Pharmaceuticals Plc) 150 ml
^ESCTAM1153608	Amitriptyline 25mg/5ml oral suspension 1 ml
^ESCTAM1153609	Amitriptyline 25mg/5ml oral suspension (Special Order)
^ESCTAM1153610	Amitriptyline 25mg/5ml oral suspension (Special Order) 1 ml
^ESCTAM1153676	Amitriptyline 25mg/5ml oral suspension
^ESCTAM1157646	Amitriptyline 10mg tablets (Genesis Pharmaceuticals Ltd)
^ESCTAM1157647	Amitriptyline 10mg tablets (Genesis Pharmaceuticals Ltd) 28 tablet 2 x 14 tablets
^ESCTAM1157648	Amitriptyline 25mg tablets (Genesis Pharmaceuticals Ltd)
^ESCTAM1157649	Amitriptyline 25mg tablets (Genesis Pharmaceuticals Ltd) 28 tablet 2 x 14 tablets
^ESCTAM315339	Amitriptyline
^ESCTAM328276	Amitriptyline hydrochloride
^ESCTAM609585	Amitriptyline 10mg tablets
^ESCTAM609587	Amitriptyline hydrochloride 10 mg oral tablet
^ESCTAM609588	Amitriptyline 25mg tablets
^ESCTAM609590	Amitriptyline hydrochloride 25 mg oral tablet
^ESCTAM609591	Amitriptyline 50mg tablets
^ESCTAM609593	Amitriptyline hydrochloride 50 mg oral tablet
^ESCTAM609744	Amitriptyline 25mg / Perphenazine 2mg tablets
^ESCTAM609746	Amitriptyline hydrochloride 25 mg and perphenazine 2 mg oral tablet
^ESCTAM609747	Amitriptyline 10mg / Perphenazine 2mg tablets
^ESCTAM609749	Amitriptyline hydrochloride 10 mg and perphenazine 2 mg oral tablet
^ESCTAM637108	Amitriptyline
^ESCTAM638806	Amitriptyline hydrochloride 75 mg oral tablet
^ESCTAM638813	Amitriptyline hydrochloride 100 mg oral tablet
^ESCTAM638815	Amitriptyline hydrochloride 150 mg oral tablet
^ESCTAM642556	Amitriptyline hydrochloride 12.5 mg and chlordiazepoxide 5 mg oral tablet
^ESCTAM642559	Amitriptyline hydrochloride 10 mg and perphenazine 4 mg oral tablet
^ESCTAM645166	Amitriptyline hydrochloride 25 mg and perphenazine 4 mg oral tablet
^ESCTAM645168	Amitriptyline hydrochloride 50 mg and perphenazine 4 mg oral tablet
^ESCTAM645785	Amitriptyline in oral dosage form
^ESCTAM645787	Amitriptyline in parenteral dosage form
^ESCTAM696985	Amitriptyline + Perphenazine
^ESCTAM696986	Amitriptyline + perphenazine
^ESCTAM710152	Amitriptyline 12.5 mg and chlordiazepoxide 10 mg oral tablet
^ESCTAM801658	Amitriptyline 25mg tablets (Teva UK Ltd)
^ESCTAM801751	Amitriptyline 10mg tablets (Kent Pharmaceuticals Ltd)
^ESCTAM801862	Amitriptyline 50mg tablets (Kent Pharmaceuticals Ltd)
^ESCTAM802358	Amitriptyline 25mg/5ml oral solution sugar free (Rosemont Pharmaceuticals Ltd)
^ESCTAM802401	Amitriptyline 25mg tablets (Actavis UK Ltd)
^ESCTAM803290	Amitriptyline 10mg tablets (IVAX Pharmaceuticals UK Ltd)
^ESCTAM803519	Amitriptyline 25mg/5ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd)
^ESCTAM805202	Amitriptyline 10mg tablets (Alliance Healthcare (Distribution) Ltd)
^ESCTAM805357	Amitriptyline 25mg tablets (A A H Pharmaceuticals Ltd)
^ESCTAM808189	Amitriptyline 10mg tablets (Actavis UK Ltd)
^ESCTAM810038	Amitriptyline 10mg tablets (A A H Pharmaceuticals Ltd)
^ESCTAM810381	Amitriptyline 25mg/5ml oral solution sugar free (Kent Pharmaceuticals Ltd)
^ESCTAM812248	Amitriptyline 25mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd)
^ESCTAM816154	Amitriptyline 25mg tablets (Kent Pharmaceuticals Ltd)
^ESCTAM819877	Amitriptyline 50mg tablets (Teva UK Ltd)
^ESCTAM820041	Amitriptyline 50mg/5ml oral solution sugar free (Rosemont Pharmaceuticals Ltd)
^ESCTAM820884	Amitriptyline 25mg tablets (Ranbaxy (UK) Ltd)
^ESCTAM821169	Amitriptyline 50mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd)
^ESCTAM821297	Amitriptyline 50mg tablets (Alliance Healthcare (Distribution) Ltd)
^ESCTAM822888	Amitriptyline 25mg tablets (Alliance Healthcare (Distribution) Ltd)
^ESCTAM822951	Amitriptyline 50mg tablets (Actavis UK Ltd)
^ESCTAM824046	Amitriptyline 50mg tablets (A A H Pharmaceuticals Ltd)
^ESCTAM824320	Amitriptyline 50mg tablets (IVAX Pharmaceuticals UK Ltd)
^ESCTAM824778	Amitriptyline 25mg tablets (IVAX Pharmaceuticals UK Ltd)
^ESCTAM830035	Amitriptyline 10mg tablets (Teva UK Ltd)
^ESCTAM831499	Amitriptyline 50mg/5ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd)
^ESCTAM835853	Amitriptyline 25mg tablets 500 tablet
^ESCTAM836965	Amitriptyline 10mg / Perphenazine 2mg tablets 100 tablet
^ESCTAM837962	Amitriptyline 25mg / Perphenazine 2mg tablets 100 tablet
^ESCTAM840301	Amitriptyline 25mg/5ml oral solution sugar free 150 ml
^ESCTAM847165	Amitriptyline 25mg tablets 28 tablet
^ESCTAM847446	Amitriptyline 10mg tablets 28 tablet
^ESCTAM847868	Amitriptyline 50mg/5ml oral solution sugar free 150 ml
^ESCTAM848225	Amitriptyline 50mg tablets 28 tablet
^ESCTAM849715	Amitriptyline 10mg tablets (A A H Pharmaceuticals Ltd) 28 tablet 2 x 14 tablets
^ESCTAM849718	Amitriptyline 10mg tablets (Actavis UK Ltd) 28 tablet 2 x 14 tablets
^ESCTAM849721	Amitriptyline 10mg tablets (Teva UK Ltd) 28 tablet
^ESCTAM849726	Amitriptyline 10mg tablets (Kent Pharmaceuticals Ltd) 28 tablet
^ESCTAM849730	Amitriptyline 10mg tablets (Alliance Healthcare (Distribution) Ltd) 28 tablet 2 x 14 tablets
^ESCTAM849733	Amitriptyline 10mg tablets (IVAX Pharmaceuticals UK Ltd) 28 tablet 2 x 14 tablets
^ESCTAM849738	Amitriptyline 25mg tablets (A A H Pharmaceuticals Ltd) 500 tablet
^ESCTAM849739	Amitriptyline 25mg tablets (A A H Pharmaceuticals Ltd) 28 tablet 2 x 14 tablets
^ESCTAM849742	Amitriptyline 25mg tablets (Actavis UK Ltd) 28 tablet 2 x 14 tablets
^ESCTAM849743	Amitriptyline 25mg tablets (Teva UK Ltd) 28 tablet
^ESCTAM849744	Amitriptyline 25mg tablets (Kent Pharmaceuticals Ltd) 28 tablet
^ESCTAM849745	Amitriptyline 25mg tablets (Alliance Healthcare (Distribution) Ltd) 28 tablet 2 x 14 tablets
^ESCTAM849746	Amitriptyline 25mg tablets (Ranbaxy (UK) Ltd) 500 tablet
^ESCTAM849747	Amitriptyline 25mg tablets (IVAX Pharmaceuticals UK Ltd) 28 tablet 2 x 14 tablets
^ESCTAM849781	Amitriptyline 50mg tablets (A A H Pharmaceuticals Ltd) 28 tablet 2 x 14 tablets
^ESCTAM849782	Amitriptyline 50mg tablets (Actavis UK Ltd) 28 tablet 2 x 14 tablets
^ESCTAM849783	Amitriptyline 50mg tablets (Teva UK Ltd) 28 tablet
^ESCTAM849784	Amitriptyline 50mg tablets (Kent Pharmaceuticals Ltd) 28 tablet 2 x 14 tablets
^ESCTAM849785	Amitriptyline 50mg tablets (Alliance Healthcare (Distribution) Ltd) 28 tablet 2 x 14 tablets
^ESCTAM849786	Amitriptyline 50mg tablets (IVAX Pharmaceuticals UK Ltd) 28 tablet 2 x 14 tablets
^ESCTAM855013	Amitriptyline 25mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd) 150 ml
^ESCTAM855014	Amitriptyline 25mg/5ml oral solution sugar free (Kent Pharmaceuticals Ltd) 150 ml
^ESCTAM855015	Amitriptyline 25mg/5ml oral solution sugar free (Rosemont Pharmaceuticals Ltd) 150 ml
^ESCTAM855016	Amitriptyline 25mg/5ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd) 150 ml
^ESCTAM855018	Amitriptyline 50mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd) 150 ml
^ESCTAM855019	Amitriptyline 50mg/5ml oral solution sugar free (Rosemont Pharmaceuticals Ltd) 150 ml
^ESCTAM855020	Amitriptyline 50mg/5ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd) 150 ml
^ESCTAM870691	Amitriptyline 50mg modified-release capsules 56 capsule
^ESCTAM870702	Amitriptyline 25mg modified-release capsules 56 capsule
^ESCTAM876095	Amitriptyline 25mg tablets (Sandoz Ltd)
^ESCTAM876096	Amitriptyline 25mg tablets (Sandoz Ltd) 28 tablet 2 x 14 tablets
^ESCTAM904378	Amitriptyline 5mg/5ml oral solution 1 ml
^ESCTAM904379	Amitriptyline 5mg/5ml oral solution (Special Order)
^ESCTAM904381	Amitriptyline 5mg/5ml oral solution (Special Order) 1 ml
^ESCTAM904384	Amitriptyline 10mg/5ml oral suspension 1 ml
^ESCTAM904386	Amitriptyline 5mg/5ml oral suspension 1 ml
^ESCTAM904387	Amitriptyline 10mg/5ml oral suspension (Special Order)
^ESCTAM904388	Amitriptyline 5mg/5ml oral suspension (Special Order)
^ESCTAM904389	Amitriptyline 10mg/5ml oral suspension (Special Order) 1 ml
^ESCTAM904390	Amitriptyline 5mg/5ml oral suspension (Special Order) 1 ml
^ESCTAM904736	Amitriptyline 10mg/5ml oral suspension
^ESCTAM904737	Amitriptyline 5mg/5ml oral solution
^ESCTAM904738	Amitriptyline 5mg/5ml oral suspension
^ESCTAM923486	Amitriptyline 10mg tablets (Almus Pharmaceuticals Ltd)
^ESCTAM923487	Amitriptyline 10mg tablets (Almus Pharmaceuticals Ltd) 28 tablet 2 x 14 tablets
^ESCTAM923488	Amitriptyline 25mg tablets (Almus Pharmaceuticals Ltd)
^ESCTAM923489	Amitriptyline 25mg tablets (Almus Pharmaceuticals Ltd) 28 tablet 2 x 14 tablets
^ESCTAM923490	Amitriptyline 50mg tablets (Almus Pharmaceuticals Ltd)
^ESCTAM923491	Amitriptyline 50mg tablets (Almus Pharmaceuticals Ltd) 28 tablet 2 x 14 tablets
^ESCTAM937016	Amitriptyline 25mg tablets (Wockhardt UK Ltd)
^ESCTAM937017	Amitriptyline 25mg tablets (Wockhardt UK Ltd) 28 tablet 2 x 14 tablets
^ESCTAM937018	Amitriptyline 50mg tablets (Wockhardt UK Ltd)
^ESCTAM937019	Amitriptyline 50mg tablets (Wockhardt UK Ltd) 28 tablet 2 x 14 tablets
^ESCTAM941927	Amitriptyline 1.25mg/5ml oral solution 1 ml
^ESCTAM941928	Amitriptyline 1.25mg/5ml oral solution (Special Order)
^ESCTAM941929	Amitriptyline 1.25mg/5ml oral solution (Special Order) 1 ml
^ESCTAM941930	Amitriptyline 100mg/5ml oral solution 1 ml
^ESCTAM941931	Amitriptyline 100mg/5ml oral solution (Special Order)
^ESCTAM941932	Amitriptyline 100mg/5ml oral solution (Special Order) 1 ml
^ESCTAM941933	Amitriptyline 150mg/5ml oral solution 1 ml
^ESCTAM941934	Amitriptyline 150mg/5ml oral solution (Special Order)
^ESCTAM941935	Amitriptyline 150mg/5ml oral solution (Special Order) 1 ml
^ESCTAM941936	Amitriptyline 15mg/5ml oral solution 1 ml
^ESCTAM941937	Amitriptyline 15mg/5ml oral solution (Special Order)
^ESCTAM941938	Amitriptyline 15mg/5ml oral solution (Special Order) 1 ml
^ESCTAM941939	Amitriptyline 2.5mg/5ml oral solution 1 ml
^ESCTAM941940	Amitriptyline 2.5mg/5ml oral solution (Special Order)
^ESCTAM941941	Amitriptyline 2.5mg/5ml oral solution (Special Order) 1 ml
^ESCTAM941942	Amitriptyline 75mg/5ml oral solution 1 ml
^ESCTAM941943	Amitriptyline 75mg/5ml oral solution (Special Order)
^ESCTAM941945	Amitriptyline 75mg/5ml oral solution (Special Order) 1 ml
^ESCTAM941948	Amitriptyline 80mg/5ml oral solution 1 ml
^ESCTAM941950	Amitriptyline 80mg/5ml oral solution (Special Order)
^ESCTAM941951	Amitriptyline 80mg/5ml oral solution (Special Order) 1 ml
^ESCTAM942264	Amitriptyline 1.25mg/5ml oral solution
^ESCTAM942266	Amitriptyline 100mg/5ml oral solution
^ESCTAM942269	Amitriptyline 150mg/5ml oral solution
^ESCTAM942271	Amitriptyline 15mg/5ml oral solution
^ESCTAM942273	Amitriptyline 2.5mg/5ml oral solution
^ESCTAM942274	Amitriptyline 75mg/5ml oral solution
^ESCTAM942275	Amitriptyline 80mg/5ml oral solution
^ESCTAM958553	Amitriptyline 10mg tablets (Wockhardt UK Ltd)
^ESCTAM958555	Amitriptyline 10mg tablets (Wockhardt UK Ltd) 28 tablet 2 x 14 tablets
^ESCTAM966689	Amitriptyline 10mg/5ml oral solution 1 ml
^ESCTAM966690	Amitriptyline 10mg/5ml oral solution (Special Order)
^ESCTAM966699	Amitriptyline 10mg/5ml oral solution (Special Order) 1 ml
^ESCTAM966815	Amitriptyline 10mg/5ml oral solution
^ESCTAM978002	Amitriptyline 25mg tablets (Sigma Pharmaceuticals Plc)
^ESCTAM978004	Amitriptyline 25mg tablets (Sigma Pharmaceuticals Plc) 28 tablet
^ESCTAN798283	Anafranil 50mg capsules (Novartis Pharmaceuticals UK Ltd)
^ESCTAN803738	Anafranil SR 75mg tablets (Novartis Pharmaceuticals UK Ltd)
^ESCTAN820721	Anafranil 25mg capsules (Novartis Pharmaceuticals UK Ltd)
^ESCTAN821317	Anafranil 10mg capsules (Novartis Pharmaceuticals UK Ltd)
^ESCTAN851069	Anafranil 10mg capsules (Novartis Pharmaceuticals UK Ltd) 84 capsule 6 x 14 capsules
^ESCTAN851092	Anafranil 25mg capsules (Novartis Pharmaceuticals UK Ltd) 84 capsule 6 x 14 capsules
^ESCTAN851121	Anafranil 50mg capsules (Novartis Pharmaceuticals UK Ltd) 56 capsule 4 x 14 capsules
^ESCTAN855092	Anafranil SR 75mg tablets (Novartis Pharmaceuticals UK Ltd) 28 tablet 2 x 14 tablets
^ESCTAN870709	Anafranil 25mg/5ml syrup (Novartis Pharmaceuticals UK Ltd)
^ESCTAN870710	Anafranil 25mg/5ml syrup (Novartis Pharmaceuticals UK Ltd) 150 ml
^ESCTAN870862	Anafranil 25mg/2ml solution for injection ampoules (Novartis Pharmaceuticals UK Ltd)
^ESCTAN870863	Anafranil 25mg/2ml solution for injection ampoules (Novartis Pharmaceuticals UK Ltd) 10 ampoule
^ESCTBU425999	Butriptyline
^ESCTBU646443	Butriptyline
^ESCTCL1005353	Clomipramine 10mg capsules (Phoenix Healthcare Distribution Ltd)
^ESCTCL1005354	Clomipramine 10mg capsules (Phoenix Healthcare Distribution Ltd) 28 capsule
^ESCTCL1005355	Clomipramine 25mg capsules (Phoenix Healthcare Distribution Ltd)
^ESCTCL1005356	Clomipramine 25mg capsules (Phoenix Healthcare Distribution Ltd) 28 capsule
^ESCTCL1005357	Clomipramine 50mg capsules (Phoenix Healthcare Distribution Ltd)
^ESCTCL1005359	Clomipramine 50mg capsules (Phoenix Healthcare Distribution Ltd) 28 capsule
^ESCTCL1006356	Clomipramine 10mg capsules (Almus Pharmaceuticals Ltd)
^ESCTCL1006357	Clomipramine 10mg capsules (Almus Pharmaceuticals Ltd) 28 capsule
^ESCTCL1006358	Clomipramine 25mg capsules (Almus Pharmaceuticals Ltd)
^ESCTCL1006359	Clomipramine 25mg capsules (Almus Pharmaceuticals Ltd) 28 capsule
^ESCTCL1006360	Clomipramine 50mg capsules (Almus Pharmaceuticals Ltd)
^ESCTCL1006361	Clomipramine 50mg capsules (Almus Pharmaceuticals Ltd) 28 capsule
^ESCTCL1042181	Clomipramine 10mg capsules (Waymade Healthcare Plc)
^ESCTCL1042182	Clomipramine 10mg capsules (Waymade Healthcare Plc) 28 capsule
^ESCTCL1042183	Clomipramine 25mg capsules (Waymade Healthcare Plc)
^ESCTCL1042184	Clomipramine 25mg capsules (Waymade Healthcare Plc) 28 capsule
^ESCTCL1042186	Clomipramine 50mg capsules (Waymade Healthcare Plc)
^ESCTCL1042187	Clomipramine 50mg capsules (Waymade Healthcare Plc) 28 capsule
^ESCTCL1060462	Clomipramine 10mg capsules (DE Pharmaceuticals)
^ESCTCL1060464	Clomipramine 10mg capsules (DE Pharmaceuticals) 28 capsule
^ESCTCL1060475	Clomipramine 25mg capsules (DE Pharmaceuticals)
^ESCTCL1060486	Clomipramine 25mg capsules (DE Pharmaceuticals) 28 capsule
^ESCTCL1060491	Clomipramine 50mg capsules (DE Pharmaceuticals)
^ESCTCL1060493	Clomipramine 50mg capsules (DE Pharmaceuticals) 28 capsule
^ESCTCL1117042	Clomipramine 10mg capsules (Sigma Pharmaceuticals Plc)
^ESCTCL1117043	Clomipramine 10mg capsules (Sigma Pharmaceuticals Plc) 28 capsule
^ESCTCL1117044	Clomipramine 25mg capsules (Sigma Pharmaceuticals Plc)
^ESCTCL1117045	Clomipramine 25mg capsules (Sigma Pharmaceuticals Plc) 28 capsule
^ESCTCL1117046	Clomipramine 50mg capsules (Sigma Pharmaceuticals Plc)
^ESCTCL1117047	Clomipramine 50mg capsules (Sigma Pharmaceuticals Plc) 28 capsule
^ESCTCL1119085	Clomipramine 10mg capsules (Mawdsley-Brooks & Company Ltd)
^ESCTCL1119086	Clomipramine 10mg capsules (Mawdsley-Brooks & Company Ltd) 28 capsule
^ESCTCL1119087	Clomipramine 25mg capsules (Mawdsley-Brooks & Company Ltd)
^ESCTCL1119088	Clomipramine 25mg capsules (Mawdsley-Brooks & Company Ltd) 28 capsule
^ESCTCL1119089	Clomipramine 50mg capsules (Mawdsley-Brooks & Company Ltd)
^ESCTCL1119090	Clomipramine 50mg capsules (Mawdsley-Brooks & Company Ltd) 28 capsule
^ESCTCL1126842	Clomipramine 50mg/5ml oral suspension 100 ml
^ESCTCL1126843	Clomipramine 50mg/5ml oral suspension (Drug Tariff Special Order) 100 ml
^ESCTCL406874	Clomipramine
^ESCTCL609603	Clomipramine 10mg capsules
^ESCTCL609605	Clomipramine hydrochloride 10 mg/1 each oral capsule
^ESCTCL609606	Clomipramine 25mg capsules
^ESCTCL609608	Clomipramine hydrochloride 25 mg/1 each oral capsule
^ESCTCL609609	Clomipramine 50mg capsules
^ESCTCL609610	Clomipramine hydrochloride 50 mg/1 each oral capsule
^ESCTCL637295	Clomipramine
^ESCTCL641191	Clomipramine hydrochloride 75 mg/1 each oral capsule
^ESCTCL646479	Clomipramine hydrochloride
^ESCTCL771471	Clomipramine in oral dosage form
^ESCTCL800225	Clomipramine 10mg capsules (Teva UK Ltd)
^ESCTCL802159	Clomipramine 25mg capsules (Mylan Ltd)
^ESCTCL804683	Clomipramine 25mg capsules (Teva UK Ltd)
^ESCTCL805150	Clomipramine 50mg capsules (Mylan Ltd)
^ESCTCL806804	Clomipramine 50mg capsules (Actavis UK Ltd)
^ESCTCL807364	Clomipramine 25mg capsules (A A H Pharmaceuticals Ltd)
^ESCTCL807801	Clomipramine 10mg capsules (Actavis UK Ltd)
^ESCTCL808840	Clomipramine 10mg capsules (Mylan Ltd)
^ESCTCL809499	Clomipramine 25mg capsules (IVAX Pharmaceuticals UK Ltd)
^ESCTCL810054	Clomipramine 10mg capsules (IVAX Pharmaceuticals UK Ltd)
^ESCTCL811669	Clomipramine 25mg capsules (Kent Pharmaceuticals Ltd)
^ESCTCL813878	Clomipramine 50mg capsules (IVAX Pharmaceuticals UK Ltd)
^ESCTCL819854	Clomipramine 25mg capsules (Alliance Healthcare (Distribution) Ltd)
^ESCTCL819898	Clomipramine 10mg capsules (Alliance Healthcare (Distribution) Ltd)
^ESCTCL820556	Clomipramine 50mg capsules (Teva UK Ltd)
^ESCTCL820622	Clomipramine 50mg capsules (A A H Pharmaceuticals Ltd)
^ESCTCL820690	Clomipramine 10mg capsules (Kent Pharmaceuticals Ltd)
^ESCTCL822855	Clomipramine 10mg capsules (A A H Pharmaceuticals Ltd)
^ESCTCL823973	Clomipramine 50mg capsules (Alliance Healthcare (Distribution) Ltd)
^ESCTCL831245	Clomipramine 25mg capsules (Actavis UK Ltd)
^ESCTCL833024	Clomipramine 50mg capsules (Kent Pharmaceuticals Ltd)
^ESCTCL834844	Clomipramine 50mg capsules 100 capsule
^ESCTCL835309	Clomipramine 10mg capsules 28 capsule
^ESCTCL836397	Clomipramine 10mg capsules 84 capsule
^ESCTCL840203	Clomipramine 10mg capsules 100 capsule
^ESCTCL841120	Clomipramine 25mg capsules 28 capsule
^ESCTCL847456	Clomipramine 75mg modified-release tablets 28 tablet
^ESCTCL847852	Clomipramine 25mg capsules 84 capsule
^ESCTCL848461	Clomipramine 25mg capsules 100 capsule
^ESCTCL848663	Clomipramine 50mg capsules 28 capsule
^ESCTCL848676	Clomipramine 50mg capsules 56 capsule
^ESCTCL851055	Clomipramine 10mg capsules (A A H Pharmaceuticals Ltd) 28 capsule 2 x 14 capsules
^ESCTCL851056	Clomipramine 10mg capsules (A A H Pharmaceuticals Ltd) 100 capsule
^ESCTCL851058	Clomipramine 10mg capsules (Actavis UK Ltd) 28 capsule 2 x 14 capsules
^ESCTCL851060	Clomipramine 10mg capsules (Teva UK Ltd) 28 capsule 2 x 14 capsules
^ESCTCL851061	Clomipramine 10mg capsules (Mylan Ltd) 28 capsule 2 x 14 capsules
^ESCTCL851062	Clomipramine 10mg capsules (Mylan Ltd) 100 capsule
^ESCTCL851064	Clomipramine 10mg capsules (IVAX Pharmaceuticals UK Ltd) 28 capsule 2 x 14 capsules
^ESCTCL851066	Clomipramine 10mg capsules (Kent Pharmaceuticals Ltd) 28 capsule 2 x 14 capsules
^ESCTCL851070	Clomipramine 10mg capsules (Alliance Healthcare (Distribution) Ltd) 28 capsule 2 x 14 capsules
^ESCTCL851080	Clomipramine 25mg capsules (A A H Pharmaceuticals Ltd) 28 capsule 2 x 14 capsules
^ESCTCL851081	Clomipramine 25mg capsules (A A H Pharmaceuticals Ltd) 100 capsule
^ESCTCL851082	Clomipramine 25mg capsules (Actavis UK Ltd) 28 capsule 2 x 14 capsules
^ESCTCL851083	Clomipramine 25mg capsules (Teva UK Ltd) 28 capsule 2 x 14 capsules
^ESCTCL851085	Clomipramine 25mg capsules (Mylan Ltd) 28 capsule 2 x 14 capsules
^ESCTCL851086	Clomipramine 25mg capsules (Mylan Ltd) 100 capsule
^ESCTCL851088	Clomipramine 25mg capsules (IVAX Pharmaceuticals UK Ltd) 28 capsule 2 x 14 capsules
^ESCTCL851089	Clomipramine 25mg capsules (Kent Pharmaceuticals Ltd) 28 capsule 2 x 14 capsules
^ESCTCL851096	Clomipramine 25mg capsules (Alliance Healthcare (Distribution) Ltd) 28 capsule 2 x 14 capsules
^ESCTCL851098	Clomipramine 25mg capsules (Alliance Healthcare (Distribution) Ltd) 100 capsule
^ESCTCL851103	Clomipramine 50mg capsules (A A H Pharmaceuticals Ltd) 28 capsule 2 x 14 capsules
^ESCTCL851104	Clomipramine 50mg capsules (A A H Pharmaceuticals Ltd) 100 capsule
^ESCTCL851105	Clomipramine 50mg capsules (Actavis UK Ltd) 28 capsule 2 x 14 capsules
^ESCTCL851107	Clomipramine 50mg capsules (Teva UK Ltd) 28 capsule 2 x 14 capsules
^ESCTCL851110	Clomipramine 50mg capsules (Mylan Ltd) 28 capsule 2 x 14 capsules
^ESCTCL851111	Clomipramine 50mg capsules (Mylan Ltd) 100 capsule
^ESCTCL851116	Clomipramine 50mg capsules (IVAX Pharmaceuticals UK Ltd) 28 capsule 2 x 14 capsules
^ESCTCL851117	Clomipramine 50mg capsules (Kent Pharmaceuticals Ltd) 28 capsule 2 x 14 capsules
^ESCTCL851119	Clomipramine 50mg capsules (Kent Pharmaceuticals Ltd) 100 capsule
^ESCTCL851123	Clomipramine 50mg capsules (Alliance Healthcare (Distribution) Ltd) 28 capsule 2 x 14 capsules
^ESCTCL851494	Clomipramine 25mg capsules (Kent Pharmaceuticals Ltd) 100 capsule
^ESCTCL863581	Clomipramine 50mg capsules (Alliance Healthcare (Distribution) Ltd) 100 capsule
^ESCTCL870708	Clomipramine 25mg/5ml oral solution 150 ml
^ESCTCL870861	Clomipramine 25mg/2ml solution for injection ampoules 10 ampoule
^ESCTCL870918	Clomipramine 25mg/5ml oral solution
^ESCTCL880026	Clomipramine 75mg modified-release tablets 20 tablet
^ESCTCL880028	Clomipramine 75mg modified-release tablets 30 tablet
^ESCTCL905592	Clomipramine 37.5mg/5ml oral solution 1 ml
^ESCTCL905618	Clomipramine 37.5mg/5ml oral solution
