ResultCode	ResultDescription	(No column name)
US Doppler vein map upper limb Both	US Doppler vein map upper limb Both	187
USMLI	US Small bowel	187
Gastric/liver autoab	Gastric/liver autoab	187
FSHP	Follicle Stim Hormone (Paed)	187
LHP	Luteinising Hormone (Paeds)	186
Operative cholangiogram	Operative cholangiogram	186
UWRIL	US Wrist Lt	186
TTGI	tTG IgG Antibody (serum)	186
MRI Cerebrospinal fluid flow	MRI Cerebrospinal fluid flow	185
CAR	Anti Cardiolipin	184
CRTPER	CT Radiotherapy planning scan pelvis	184
CRTCHR	CT Radiotherapy planning scan thorax	184
CKIDBC	CT Renal with contrast Both	184
XR Sacrum	XR Sacrum	183
6172	24 right hand dorsum	182
186900	Left Nasal swab	182
APH	Pleural fluid pH	182
MRI Wrist Lt	MRI Wrist Lt	182
187660	Aspergillus PCR	181
UAORT	US Abdominal Aorta	181
UANKL	US Ankle Lt	180
XMMAL	XR Mammogram magnification view Lt	180
MRSA	Not tested	180
LPA	Lipoprotein (a)	179
600010	Burn Swab - Other	179
CSHRR	CT Shoulder Rt	179
Fluoroscopic guided injection hip Rt	Fluoroscopic guided injection hip Rt	179
XR Colonic Transit Study	XR Colonic Transit Study	179
PTH	PTH	179
SEND	SEND-AWAY	179
XR Skeletal Survey post mortem	XR Skeletal Survey post mortem	178
CSFPRO	CSF Protein	178
CT Adrenal with contrast Both	CT Adrenal with contrast Both	177
CT Kidney triple phase Both	CT Kidney triple phase Both	177
CPANSC	CT Pancreas with contrast	177
MFOOR	MRI Foot Rt	177
Salicylate	Salicylate	177
Urine protein/creatine ratio	Urine protein/creatine ratio	176
1THG	TG+Thyro autoabs	176
CT Knee Lt	CT Knee Lt	176
CHIGTT	Child GTT with insulin	176
CENTB	Centromere (serum)	176
AQUA	Aquaporin 4 (serum)	176
6194	40 lft foot dorsum	175
CPTRS	CT Petrous bones	175
LYMPHD	Lymphoma panel	175
601690	MERS Coronavirus PCR	175
XR Wrist Both	XR Wrist Both	175
XR Ankle Both	XR Ankle Both	175
RPCR	Respiratory PCR Panel	174
MTLSP	MRI Spine thoracolumbar	174
601730	Needlestick recipien	173
REF	Itraconazole	173
ACUTE	Acute leukaemia panel	173
187430	AFB - Urine Sample	173
CHIPL	CT Hip Lt	172
HFEG	HFE genotyping	172
1OSMS	Serum Osmolality....	172
Ureteric stent retrograde Rt	Ureteric stent retrograde Rt	172
UCACR	URINE CALCIUM / CREAT.	171
Water soluble contrast swallow	Water soluble contrast swallow	171
MRI Spine thoracolumbar	MRI Spine thoracolumbar	171
Fibrinogen (Clauss)	Fibrinogen (Clauss)	171
FDP/D-DIMER	FDP/D-DIMER	171
CANKR	CT Ankle Rt	170
MFOOL	MRI Foot Lt	170
MRV Venogram	MRV Venogram	170
6660	HSV total antibody	170
ID	Issue anti-D.	170
VITS	Vit A,E & ratio	170
XNEST	XR Neck Soft Tissue	169
MRI Orbit with contrast Both	MRI Orbit with contrast Both	169
PFA	PFA 100	169
CT Foot Lt	CT Foot Lt	168
DETECT	Detected:	168
XSTRM	XR Sternum	168
US Spine	US Spine	168
XFANKL	XR Foot and ankle Left	167
TM	Tobramycin	167
CR	CREATININE	167
6191	38 right foot dorsum	167
IDP	Issue D proph	167
6656	Hepatitis E Screen	166
Free T3	Free T3	166
6187	34 lower rgt lg frt	166
FLP	fluid Lipase	166
ABIL	FLUID BILIRUBIN	165
187809	Anti-Delta	165
MAR	CELL MARKERS	165
MRI Hip Both	MRI Hip Both	165
NGFR3	NM GFR Estimation (3 samples)	165
UULVR	US Doppler upper limb veins Rt	165
CT Foot Rt	CT Foot Rt	164
CT Abdomen with contrast	CT Abdomen with contrast	163
Angioplasty superficial femoral Lt	Angioplasty superficial femoral Lt	163
NCAC	NM CT attenuation correction	163
XMMAR	XR Mammogram magnification view Rt	163
US Knee Rt	US Knee Rt	162
Paracetamol	Paracetamol	162
INR	I.N.R.	162
AT3F	Anti-Thrombin Functn	162
6189	36 lower lft lg frnt	162
EFOBR	Bronchoscopy	162
IVEPOI	Fluoro Guid Insert venous access port	161
CHGNRH	GnRH Stimulation test	161
US Obstetric 3rd trimester	US Obstetric 3rd trimester	161
XSIJB	XR Sacroiliac Joint Both	161
TFT (monitoring Rx)	TFT (monitoring Rx)	161
SPC	Sputum Sample for M,C&S	161
US Knee Lt	US Knee Lt	160
UULVL	US Doppler upper limb veins Lt	160
ZNSENTR	NM SENTINAL NODE LOCATION RT	160
MWRIL	MRI Wrist Lt	160
MCTSP	MRI Spine cervicothoracic	160
SACMV	Cytomegalovirus	160
EENDU	Endoscopic US	160
CNECHC	CT Neck and thorax with contrast	160
CSHRL	CT Shoulder Lt	160
CAOTHC	CT Aorta thoracic with contrast	159
INFL	Infliximab-not Inflectra(serum	159
XR Lumbar Spine and sacroiliac Joint	XR Lumbar Spine and sacroiliac Joint	159
CULT	Wound Deep, Choc + SAB	159
UFCOR	uFree Cortisol	159
UPHO	URINE PHOSPHATE	158
UHIPLJ	US Guided injection hip Lt	158
6169	21 Lower lft arm fnt	158
AMMO	Ammonia	158
Creatinine (enz)	Creatinine (enz)	157
CT Renal Both	CT Renal Both	157
CT Knee Rt	CT Knee Rt	157
EMIF8	Emicizumab profile	157
US Vein Mapping	US Vein Mapping	157
XR Dental periapical 10+	XR Dental periapical 10+	157
FCM	F1 Routine enteric sample	156
IFANA	Immunofluorescent ANA(serum)	156
MRI Fetus	MRI Fetus	156
IMMFIX	ImmFix (serum)	155
MRI Femur Lt	MRI Femur Lt	155
ADEQ1	DIALYSATE ADEQUACY DIALYSATE	155
FLSPN	Fluoroscopy lumbar spine	155
XR Shoulder Both	XR Shoulder Both	155
GRASS	Timothy grass (serum)	155
RENIN	Renin (concentration)	155
FPRCT	Proctogram	154
THY	Thyroglobulin profile	154
UHANR	US Hand Rt	154
CKIDB	CT Renal Both	154
HGH	GROWTH HORMONE	154
Nm Radionuclide SeHCAT bile study	Nm Radionuclide SeHCAT bile study	154
MABPA	MRI Pancreas	153
Fluoroscopy lower limb Lt	Fluoroscopy lower limb Lt	153
US Arterial	US Arterial	153
Cardiac pressure wire and Cath insertion	Cardiac pressure wire and Cath insertion	152
LUPIN	Lupus Inhibitor	152
MRI Abdomen	MRI Abdomen	151
CANKL	CT Ankle Lt	151
UANKR	US Ankle Rt	151
2VANC	Vancomycin	151
AALB	FLUID ALBUMIN	150
RASTN	Allergy Testing	149
Nephrostomy Lt	Nephrostomy Lt	149
MSPNWC	MRI Spine whole with contrast	148
CTX	beta-CTX	148
US Obstetric fetal growth	US Obstetric fetal growth	148
UTHIL	US Thigh Lt	148
US Doppler upper limb arteries Lt	US Doppler upper limb arteries Lt	148
RUUE	Random Urine Elecs	148
FCM	Routine Faeces (Diff screen)	147
F8CH	VIII (Chrom)	147
XR Mammogram compression view Rt	XR Mammogram compression view Rt	147
CT Wrist Rt	CT Wrist Rt	147
CT Cone beam	CT Cone beam	147
COVID Antibody (pt)	COVID Antibody (pt)	147
1CK	CPK	147
Arthrogram shoulder Rt	Arthrogram shoulder Rt	146
1RHCG	HCG Rapid test	146
US Thigh Rt	US Thigh Rt	146
SNT	Sample not tested	145
6662	HTLV screen	145
NCLAC	NM CT Atten Correct & localisation	145
NM Solid gastric emptying study	NM Solid gastric emptying study	145
187853	Not tested	145
NMDA	NMDA rec.abs (serum)	145
6168	20 lower rgt arm bk	145
CACDB	CT Angio aortic arch and carotid Both	145
Fluoroscopy lower limb Rt	Fluoroscopy lower limb Rt	144
Fluoroscopy hip Rt	Fluoroscopy hip Rt	144
BILA	Bile Acids	144
MRI Femur Rt	MRI Femur Rt	143
XR Mammogram compression view Lt	XR Mammogram compression view Lt	143
US Hip Lt	US Hip Lt	142
186895	Right nasal swab	142
NM Parathyroid MIBI	NM Parathyroid MIBI	142
186975	Coil	142
CT Shoulder Rt	CT Shoulder Rt	142
SAEBV	Epstein-Barr Virus	141
RAST	RAST (Allergy Tests)	141
UPG	Pregnancy Test	141
US Hip Rt	US Hip Rt	140
CT Hip Both	CT Hip Both	140
CHNTPC	CT Head neck thorax Abdo and pelvis Cont	140
CAICN	CT Angiogram intracranial	140
Cortisol	Cortisol	139
1AH	AFP HCG	139
GFR estimate by MDRD	GFR estimate by MDRD	139
MRI Arthrogram Shoulder Rt	MRI Arthrogram Shoulder Rt	139
UGBLD	US Gallbladder	139
Water soluble contrast enema	Water soluble contrast enema	139
UTHIR	US Thigh Rt	138
MBL	MannoseBindingLectin	138
6156	15 upper rgt arm fnt	138
6159	17 upper lft arm fnt	138
GUTH	Cord Blood Analysis (Guthrie)	137
US Thigh Lt	US Thigh Lt	137
US Obstetric Chorionic Villus Sampling	US Obstetric Chorionic Villus Sampling	137
RUE2	Random Ur.Urea+Elecs	137
VALM	Valproate (mg/L)	136
CTSPN	CT Spine thoracic	136
CT Wrist Lt	CT Wrist Lt	136
ISAC	ISAC allergy test	136
GADAB	Glutamic Acid Abs	135
NCHEQ	NM Lung Perfusion Scan Q	135
AGLU	FLUID GLUCOSE	135
XAN	CSF Xanthochromia	135
UHANL	US Hand Lt	135
US Doppler upper limb arteries Rt	US Doppler upper limb arteries Rt	135
SAVED	Serum Save	135
Serum free light chains	Serum free light chains	134
Testosterone(IA)	Testosterone(IA)	134
Fluoroscopic joint injection	Fluoroscopic joint injection	134
NDMSA	NM Renal DMSA	134
RPCR2	Novel Cornoavirus Infinity	134
601695	Novel Cornoavirus Genetics	133
Micturating cystourethrogram	Micturating cystourethrogram	133
Fluoroscopic guided injection hip Lt	Fluoroscopic guided injection hip Lt	133
RPCR2	2019 Novel Corona Virus	133
CGAS	Childrens Blood Gas	133
UXORTL	Extracorporeal Lithotripsy Orthopaedic	132
XR Forefoot Rt	XR Forefoot Rt	132
Bone mineral densitometry peripheral	Bone mineral densitometry peripheral	131
Angio lower limbs Left	Angio lower limbs Left	131
GTT0	GTT Basal Sample	130
IMST	IM Screening Test	130
MWRIR	MRI Wrist Rt	130
FHIPRM	Mobile image intensifier hip Rt	129
BHB	Betahydroxybutyrate	129
VALP	Valproate	129
PROCALCITONIN	PROCALCITONIN	129
XR Forefoot Lt	XR Forefoot Lt	128
US Obstetric (Doppler Study)	US Obstetric (Doppler Study)	128
VGKCAB	Anti VGKC Antibodies (serum)	128
VITD3	25-hydroxy vitamin D3	128
F12	Factor XII	128
CABDO	CT Abdomen	128
INSC	Inhibitor Screen	128
INFLAB	Infliximab Abs not Inflectra	127
NM Thyroid scan With Uptake (Tc)	NM Thyroid scan With Uptake (Tc)	127
CT Shoulder Lt	CT Shoulder Lt	127
Anti CCP Antibodies	Anti CCP Antibodies	127
6206	9 RIGHT ABDOMEN	126
ZUMAGL	US Guided Magseed Insertion Left	126
AHTN	Urine Anti-Hypertensive Screen	125
APOB	Apolipoprotein B	125
SPC	Broncoaveolar lavage	125
BM	Bone Marrow	125
PB	PHENOBARBITONE	125
MRI Whole body	MRI Whole body	125
Angioplasty superficial femoral Rt	Angioplasty superficial femoral Rt	124
SATOR	TORCH SCREEN	124
Retrograde ureteropyelogram Lt	Retrograde ureteropyelogram Lt	124
US Guided core needle biopsy	US Guided core needle biopsy	124
USGSM	US Salivary Glands submandibular	124
XR Tibia/Fibula (Lower Leg) Lt	XR Tibia/Fibula (Lower Leg) Lt	124
FREC	URINE CORTISOL PROFILE	123
APXBN	Apixaban levels	123
Calcium	Calcium	123
CT Whole spine	CT Whole spine	123
NM Bone Dynamic	NM Bone Dynamic	123
FHIPLM	Mobile image intensifier hip Lt	123
NM Blood Pool Scan	NM Blood Pool Scan	122
MRI Pituitary with contrast	MRI Pituitary with contrast	122
MRI Renal Both	MRI Renal Both	122
CRTSKR	CT Radiotherapy planning scan head	122
FLUID	All Fluids	122
CVEIC	CT Venogram Intracranial	121
Fluoroscopy hip Lt	Fluoroscopy hip Lt	121
JAK2	JAK2 studies	121
US Hand Rt	US Hand Rt	121
1OSMU	Urine Osmolality....	120
MARK	Cell Markers	120
IPACEI	Cardiac permanent pacemaker insertion	119
Angio lower limbs Right	Angio lower limbs Right	119
MMAMB	MRI Breast Both	119
US Ankle Rt	US Ankle Rt	119
DEX	Serum Dexamethasone	119
XR Orbit Both	XR Orbit Both	119
Retrograde ureteropyelogram Rt	Retrograde ureteropyelogram Rt	118
Pre Dialysis Screen	Pre Dialysis Screen	118
MRI Breast with contrast Both	MRI Breast with contrast Both	118
MRA Renal and Visceral	MRA Renal and Visceral	118
Anti-Mullerian Horm.	Anti-Mullerian Horm.	118
 alpha-Fetoprotein	 alpha-Fetoprotein	118
CWRIR	CT Wrist Rt	118
CCABD	CT Thorax and abdomen	117
1CGA	Chromogranin A	117
MRI Pancreas with contrast	MRI Pancreas with contrast	117
PARVM	Parvovirus IgM	117
PLGF	PreEclampsia markers	117
TRP	Tubular reabsorp. phosphate	117
THI	Thiamine	117
CULT	W6 Superficial Skin (+Sab)	116
US Hand Lt	US Hand Lt	116
US Guided marker insertion breast Rt	US Guided marker insertion breast Rt	116
UAMNI	US Guided Amniocentesis	116
MRI Lower leg Lt	MRI Lower leg Lt	116
APO-E	Apo E genotype	116
CKNEL	CT Knee Lt	116
CB2	Conjugated Bilirubin	116
REN	COMPLETE URINE PROFILE	115
CKNER	CT Knee Rt	115
Anti Factor Xa	Anti Factor Xa	115
Bone, LFT	Bone, LFT	115
MVICV	MRV Cranial	115
PARVG	Parvovirus IgG	115
Triglycerides	Triglycerides	115
UCOT	Urine COTININE	115
UNECKN	US Guided Aspiration Neck	114
CHIPB	CT Hip Both	114
CWRIL	CT Wrist Lt	113
Percutaneous transhepatic cholangiogram	Percutaneous transhepatic cholangiogram	113
Mycology	Mycology	113
LACTATE DEHYDROGENASE	LACTATE DEHYDROGENASE	113
UCHES	US Thorax and Pleural Cavity	113
tTG IgA Antibody (serum)	tTG IgA Antibody (serum)	113
US Wrist Rt	US Wrist Rt	112
UELBR	US Elbow Rt	112
MALLB	MRA Lower Limb Both	112
MISC	Misc.Invest.	112
FCYSM	Fluoroscopic cystometrogram	112
CRITH	Crithidia (serum)	111
GTT120	GTT 2Hr Post Gluc	111
TEICO	TEICOPLANIN	111
1PROL	Prolactin	110
ZUMAGR	US Guided Magseed insertion Right	110
CBA	Collagen Binding Assay	110
Arthrogram shoulder Lt	Arthrogram shoulder Lt	110
FIT	FIT Test GP	109
MRI Lower leg Rt	MRI Lower leg Rt	109
US Lower leg Rt	US Lower leg Rt	109
XPEHL	XR Pelvis and hip left	109
187770	Toxoplasma serology	109
SESME	Sesame Seed (serum)	108
UFNA	US Guided fine needle aspiration	108
UDTAB	US Doppler temporal artery Both	108
MRI Perineum	MRI Perineum	108
K	Potassium	108
2GENT	Gentamicin	108
1IGFA	IGF-1	108
COMM	Comment	108
CRTSPR	CT Radiotherapy planning scan spine	107
OB	Occult Blood	107
XPEHR	XR Pelvis and hip right	107
US Guided marker insertion breast Lt	US Guided marker insertion breast Lt	106
PRED	Serum Prednisolone	106
601930	HHV6/7 PCR	106
MRI Arthrogram Shoulder Lt	MRI Arthrogram Shoulder Lt	106
CADRB	CT Adrenal Both	106
AntiNuclear Ab (serum)	AntiNuclear Ab (serum)	106
C1INH	C1 Inhibitor (serum)	106
CALRG	CALR investigation	106
Barium meal	Barium meal	105
LEG	Legionella Results	105
MRI Multiparametric prostate	MRI Multiparametric prostate	105
MRI Thorax	MRI Thorax	105
ur Protein/Cre ratio	ur Protein/Cre ratio	105
UFNECN	US Guided FNA biopsy neck	105
XR Acromioclavicular Joint Rt	XR Acromioclavicular Joint Rt	105
SAVZ	Varicella-Zoster	104
Urgents MCandS	Urgents MCandS	104
NM GFR Estimation 3 and late sample	NM GFR Estimation 3 and late sample	104
6120	Peritoneal Fluid	104
MIXMO	MIXED MOULD IgE Ab	104
C_SICL	FOQ FBC SICL	104
CT Angiogram renal and abdominal	CT Angiogram renal and abdominal	104
CT Aorta abdominal with contrast	CT Aorta abdominal with contrast	103
Aspart. Transaminase	Aspart. Transaminase	103
CHARG	Arginine Stimulation Test	103
Osmolality (serum)	Osmolality (serum)	103
MPROSC	MRI Prostate with contrast	103
XR Tibia/Fibula (Lower Leg) Rt	XR Tibia/Fibula (Lower Leg) Rt	103
XWSPN	XR Whole spine	102
UELBL	US Elbow Lt	102
1SHIA	Serum 5HIAA	102
HbOpathy Screen	HbOpathy Screen	102
MPROL	Macro Prolactin	102
ZABPAR	Abdominal Paracentesis	102
MIXDST	Dust Mix (serum)	102
CA153	CA15-3	101
MRI Temporomandibular Joint Both	MRI Temporomandibular Joint Both	101
186780	Urethral swab	101
US Hand Both	US Hand Both	101
XTHUB	XR Thumb Both	100
TP	TOTAL PROTEIN	100
MYOENA	Myositis ENA	100
SANSI	Needle Stick Injury	100
NMSTT	NM MPS Tf stress	100
Angioplasty infrapopliteal Lt	Angioplasty infrapopliteal Lt	100
ANCA.	ANCA.	100
CT Mandible	CT Mandible	100
