Q43z.00	Perinatal jaundice NOS
L3z..	Complications of labour and delivery NOS
L3z..00	Complications of labour and delivery NOS
L4010	Puerperal salpingitis unspecified
L401000	Puerperal salpingitis unspecified
L402z	Puerperal peritonitis NOS
L402z00	Puerperal peritonitis NOS
L403z	Puerperal septicaemia NOS
L403z00	Puerperal septicaemia NOS
L40z1	Major puerperal infection NOS - delivered with postnatal complication
L40z100	Major puerperal infection NOS - delivered with postnatal complication
L40z2	Major puerperal infection NOS with postnatal complication
L40z200	Major puerperal infection NOS with postnatal complication
L415.	Other phlebitis and thrombosis in pregnancy and the puerperium
L415.00	Other phlebitis and thrombosis in pregnancy and the puerperium
L4150	Other phlebitis and thrombosis in pregnancy and the puerperium unspecified
L415000	Other phlebitis and thrombosis in pregnancy and the puerperium unspecified
L4152	Other phlebitis and thrombosis in pregnancy and the puerperium - delivered with postnatal complication
L415200	Other phlebitis and thrombosis in pregnancy and the puerperium - delivered with postnatal complication
L4153	Other phlebitis and thrombosis in pregnancy and the puerperium with antenatal complication
L415300	Other phlebitis and thrombosis in pregnancy and the puerperium with antenatal complication
L4154	Other phlebitis and thrombosis in pregnancy and the puerperium with postnatal complication
L415400	Other phlebitis and thrombosis in pregnancy and the puerperium with postnatal complication
L4155	Other phlebitis in pregnancy
L415500	Other phlebitis in pregnancy
L415z	Other phlebitis and thrombosis in pregnancy and the puerperium NOS
L415z00	Other phlebitis and thrombosis in pregnancy and the puerperium NOS
L41y.	Other venous complication of pregnancy and the puerperium
L41y.00	Other venous complication of pregnancy and the puerperium
L41y0	Other venous complication of pregnancy and the puerperium unspecified
L41y000	Other venous complication of pregnancy and the puerperium unspecified
L41y1	Other venous complication of pregnancy and the puerperium - delivered
L41y100	Other venous complication of pregnancy and the puerperium - delivered
L41y2	Other venous complication of pregnancy and the puerperium - delivered with postnatal complication
L41y200	Other venous complication of pregnancy and the puerperium - delivered with postnatal complication
L41y3	Other venous complication of pregnancy and the puerperium with antenatal complication
L41y300	Other venous complication of pregnancy and the puerperium with antenatal complication
L41y4	Other venous complication of pregnancy and the puerperium with postnatal complication
L41y400	Other venous complication of pregnancy and the puerperium with postnatal complication
L41yz	Other venous complication of pregnancy and the puerperium NOS
L41yz00	Other venous complication of pregnancy and the puerperium NOS
L41z.	Venous complications of pregnancy and puerperium NOS
L41z.00	Venous complications of pregnancy and puerperium NOS
L41z0	Venous complication of pregnancy and the puerperium NOS, unspecified
L41z000	Venous complication of pregnancy and the puerperium NOS, unspecified
L41z1	Venous complication of pregnancy and the puerperium NOS - delivered
L41z100	Venous complication of pregnancy and the puerperium NOS - delivered
L41z2	Venous complication of pregnancy and the puerperium NOS - delivered with postnatal complication
L41z200	Venous complication of pregnancy and the puerperium NOS - delivered with postnatal complication
L41z3	Venous complication of pregnancy and the puerperium NOS with antenatal complication
L41z300	Venous complication of pregnancy and the puerperium NOS with antenatal complication
L41z4	Venous complication of pregnancy and the puerperium NOS with postnatal complication
L41z400	Venous complication of pregnancy and the puerperium NOS with postnatal complication
L41zz	Venous complication of pregnancy and puerperium NOS
L41zz00	Venous complication of pregnancy and puerperium NOS
L43..	Obstetric pulmonary embolism
L43..00	Obstetric pulmonary embolism
L43..11	Obstetric pulmonary embolus
L43y.00	Other obstetric pulmonary embolism
L43y0	Other obstetric pulmonary embolism unspecified
L43y000	Other obstetric pulmonary embolism unspecified
L43y1	Other obstetric pulmonary embolism - delivered
L43y100	Other obstetric pulmonary embolism - delivered
L43y2	Other obstetric pulmonary embolism - delivered with postnatal complication
L43y200	Other obstetric pulmonary embolism - delivered with postnatal complication
L43y3	Other obstetric pulmonary embolism with antenatal complication
L43y300	Other obstetric pulmonary embolism with antenatal complication
L43y4	Other obstetric pulmonary embolism with postnatal complication
L43y400	Other obstetric pulmonary embolism with postnatal complication
L43yz	Other obstetric pulmonary embolism NOS
L43yz00	Other obstetric pulmonary embolism NOS
L43z.	Obstetric pulmonary embolism NOS
L43z.00	Obstetric pulmonary embolism NOS
L43z0	Obstetric pulmonary embolism NOS, unspecified
L43z000	Obstetric pulmonary embolism NOS, unspecified
L43z2	Obstetric pulmonary embolism NOS - delivered with postnatal complication
L43z200	Obstetric pulmonary embolism NOS - delivered with postnatal complication
L43z3	Obstetric pulmonary embolism NOS with antenatal complication
L43z300	Obstetric pulmonary embolism NOS with antenatal complication
L43zz	Obstetric pulmonary embolism NOS
L43zz00	Obstetric pulmonary embolism NOS
L4431	Other complication of obstetric surgical wound - delivered with postnatal complication
L443100	Other complication of obstetric surgical wound - delivered with postnatal complication
L44y2	Other complications of the puerperium with postnatal complication
L44y200	Other complications of the puerperium with postnatal complication
L44z2	Complications of the puerperium NOS with postnatal complication
L44z200	Complications of the puerperium NOS with postnatal complication
L45..	Obstetric breast infections
L45..00	Obstetric breast infections
L45y.	Other obstetric breast infections
L45y.00	Other obstetric breast infections
L45y0	Other obstetric breast infection unspecified
L45y000	Other obstetric breast infection unspecified
L45y2	Other obstetric breast infection - delivered with postnatal complication
L45y200	Other obstetric breast infection - delivered with postnatal complication
L45y3	Other obstetric breast infection with antenatal complication
L45y300	Other obstetric breast infection with antenatal complication
L45y4	Other obstetric breast infection with postnatal complication
L45y400	Other obstetric breast infection with postnatal complication
L45yz	Other obstetric breast infection NOS
L45yz00	Other obstetric breast infection NOS
L45z.	Obstetric breast infection NOS
L45z.00	Obstetric breast infection NOS
L45z0	Obstetric breast infection NOS, unspecified
L45z000	Obstetric breast infection NOS, unspecified
L45z2	Obstetric breast infection NOS - delivered with postnatal complication
L45z200	Obstetric breast infection NOS - delivered with postnatal complication
L45z3	Obstetric breast infection NOS with antenatal complication
L45z300	Obstetric breast infection NOS with antenatal complication
L45zz	Obstetric breast infection NOS
L45zz00	Obstetric breast infection NOS
L46..00	Obstetric breast and lactation disorders NOS
L462.	Breast engorgement in pregnancy, the puerperium or lactation
L462.00	Breast engorgement in pregnancy, the puerperium or lactation
L4620	Breast engorgement in pregnancy, the puerperium or lactation unspecified
L462000	Breast engorgement in pregnancy, the puerperium or lactation unspecified
L463.	Other breast disorder in pregnancy, the puerperium or lactation
L463.00	Other breast disorder in pregnancy, the puerperium or lactation
L4630	Other breast disorder in pregnancy, the puerperium or lactation unspecified
L463000	Other breast disorder in pregnancy, the puerperium or lactation unspecified
L4632	Other breast disorder in pregnancy, the puerperium or lactation - delivered with postnatal complication
L463200	Other breast disorder in pregnancy, the puerperium or lactation - delivered with postnatal complication
L4633	Other breast disorder in pregnancy, the puerperium or lactation with antenatal complication
L463300	Other breast disorder in pregnancy, the puerperium or lactation with antenatal complication
L463z	Other breast disorder in pregnancy, the puerperium or lactation NOS
L463z00	Other breast disorder in pregnancy, the puerperium or lactation NOS
L46y.00	Other disorders of lactation
L46y0	Other disorder of lactation unspecified
L46y000	Other disorder of lactation unspecified
L46y2	Other disorder of lactation - delivered with postnatal complication
L46y200	Other disorder of lactation - delivered with postnatal complication
L46y3	Other disorder of lactation with antenatal complication
L46y300	Other disorder of lactation with antenatal complication
L46yz	Other disorder of lactation NOS
L46yz00	Other disorder of lactation NOS
L46z.	Disorders of lactation NOS
L46z.00	Disorders of lactation NOS
L46z0	Disorder of lactation NOS, unspecified
L46z000	Disorder of lactation NOS, unspecified
L46z1	Disorder of lactation NOS - delivered
L46z100	Disorder of lactation NOS - delivered
L46z2	Disorder of lactation NOS - delivered with postnatal complication
L46z200	Disorder of lactation NOS - delivered with postnatal complication
L46z3	Disorder of lactation NOS with antenatal complication
L46z300	Disorder of lactation NOS with antenatal complication
L46z4	Disorder of lactation NOS with postnatal complication
L46z400	Disorder of lactation NOS with postnatal complication
L46zz	Disorder of lactation NOS
L46zz00	Disorder of lactation NOS
L5...	Maternal care for fetus
L5...00	Maternal care for fetus
L50..	Maternal care for compound presentation
L50..00	Maternal care for compound presentation
L51..	Maternal care for other known or suspected fetal problems
L51..00	Maternal care for other known or suspected fetal problems
L510.	Maternal care for hydrops fetalis
L510.00	Maternal care for hydrops fetalis
L511.	Maternal care for viable fetus in abdominal pregnancy
L511.00	Maternal care for viable fetus in abdominal pregnancy
L512.	Maternal care for diminished fetal movements
L512.00	Maternal care for diminished fetal movements
L514.	Maternal care for poor fetal growth
L514.00	Maternal care for poor fetal growth
L51X.	Maternal care for known or suspected fetal problem, unspecified
L51X.00	Maternal care for known or suspected fetal problem, unspecified
Ly...	Other specified complications of pregnancy, childbirth or the puerperium
Ly...00	Other specified complications of pregnancy, childbirth or the puerperium
Ly2..	Sequelae of complication of pregnancy, childbirth and the puerperium
Ly2..00	Sequelae of complication of pregnancy, childbirth and the puerperium
Lyu1.	[X]Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium
Lyu1.00	[X]Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium
Lyu2.	[X]Other maternal disorders predominantly related to pregnancy
Lyu2.00	[X]Other maternal disorders predominantly related to pregnancy
Lyu27	[X]Other complications of spinal and epidural anaesthesia during pregnancy
Lyu2700	[X]Other complications of spinal and epidural anaesthesia during pregnancy
Lyu28	[X]Other complications of anaesthesia during pregnancy
Lyu2800	[X]Other complications of anaesthesia during pregnancy
Lyu33	[X]Maternal care for other abnormalities of cervix
Lyu3300	[X]Maternal care for other abnormalities of cervix
Lyu3A	[X]Maternal care for known or suspected fetal problem, unspecified
Lyu3A00	[X]Maternal care for known or suspected fetal problem, unspecified
Lyu4.	[X]Complications of labour and delivery
Lyu4.00	[X]Complications of labour and delivery
Lyu4B	[X]Other obstetric injury to pelvic organs
Lyu4B00	[X]Other obstetric injury to pelvic organs
Lyu4C	[X]Other specified obstetric trauma
Lyu4C00	[X]Other specified obstetric trauma
Lyu4H	[X]Other infection during labour
Lyu4H00	[X]Other infection during labour
Lyu4J	[X]Other complications of obstetric surgery and procedures
Lyu4J00	[X]Other complications of obstetric surgery and procedures
Lyu4K	[X]Other specified complications of labour and delivery
Lyu4K00	[X]Other specified complications of labour and delivery
Lyu64	[X]Other obstetric embolism
Lyu6400	[X]Other obstetric embolism
Lyu66	[X]Other complications of anaesthesia during the puerperium
Lyu6600	[X]Other complications of anaesthesia during the puerperium
Lyu68	[X]Other and unspecified disorders of breast associated with childbirth
Lyu6800	[X]Other and unspecified disorders of breast associated with childbirth
Lyu69	[X]Other and unspecified disorders of lactation
Lyu6900	[X]Other and unspecified disorders of lactation
Lyu7.	[X]Other obstetric conditions, not elsewhere classified
Lyu7.00	[X]Other obstetric conditions, not elsewhere classified
Lyu70	[X]Other infections with a predominantly sexual mode of transmission complicating pregnancy childbirth and the puerperium
Lyu7000	[X]Other infections with a predominantly sexual mode of transmission complicating pregnancy childbirth and the puerperium
Lyu72	[X]Other infectious and parasitic diseases complicating pregnancy, childbirth and the puerperium
Lyu7200	[X]Other infectious and parasitic diseases complicating pregnancy, childbirth and the puerperium
Lyu74	[X]Other specified diseases and conditions complicating pregnancy, childbirth and the puerperium
Lyu7400	[X]Other specified diseases and conditions complicating pregnancy, childbirth and the puerperium
Lz...	Complications of pregnancy, childbirth and the puerperium NOS
Lz...00	Complications of pregnancy, childbirth and the puerperium NOS
M2618	Infantile acne
M261800	Infantile acne
P7z..11	Fetal circulation
Q11z.	Born premature NOS
Q11z.00	Born premature NOS
Q12z.	Large or postmature infant NOS
Q12z.00	Large or postmature infant NOS
Q203z	Skeleton injury due to birth trauma NOS
Q203z00	Skeleton injury due to birth trauma NOS
Q207y	Other specified cranial or peripheral nerve palsy due to birth trauma
Q207y00	Other specified cranial or peripheral nerve palsy due to birth trauma
Q312y	Other specified perinatal interstitial emphysema or related condition
Q312y00	Other specified perinatal interstitial emphysema or related condition
Q313y	Other specified perinatal pulmonary haemorrhage
Q313y00	Other specified perinatal pulmonary haemorrhage
Q315z	Perinatal pulmonary collapse NOS
Q315z00	Perinatal pulmonary collapse NOS
Q4030	Tetanus neonatorum, unspecified
Q403000	Tetanus neonatorum, unspecified
Q403z	Tetanus neonatorum NOS
Q403z00	Tetanus neonatorum NOS
Q414y	Other specified perinatal gastrointestinal haemorrhage
Q414y00	Other specified perinatal gastrointestinal haemorrhage
Q414z	Perinatal gastrointestinal haemorrhage NOS
Q414z00	Perinatal gastrointestinal haemorrhage NOS
Q416y	Other specified perinatal cutaneous haemorrhage
Q416y00	Other specified perinatal cutaneous haemorrhage
Q41y.	Other fetal and newborn haemorrhage
Q41y.00	Other fetal and newborn haemorrhage
Q41yy	Other specified fetal or newborn haemorrhage
Q41yy00	Other specified fetal or newborn haemorrhage
Q41yz	Fetal or newborn haemorrhage NOS
Q41yz00	Fetal or newborn haemorrhage NOS
Q41z.	Haemorrhage of fetus and newborn NOS
Q41z.00	Haemorrhage of fetus and newborn NOS
Q422.	Haemolytic disease due to isoimmunisation NOS
Q422.00	Haemolytic disease due to isoimmunisation NOS
Q431y	Perinatal jaundice from other specified haemolysis
Q431y00	Perinatal jaundice from other specified haemolysis
Q4442	Cow's milk hypocalcaemia in newborn
Q444200	Cow's milk hypocalcaemia in newborn
Q44yz	Other transitory neonatal endocrine or metabolic disturbance NOS
Q44yz00	Other transitory neonatal endocrine or metabolic disturbance NOS
Q45..	Fetal and newborn blood disorders
Q45..00	Fetal and newborn blood disorders
Q45z.	Fetal or newborn blood disorder NOS
Q45z.00	Fetal or newborn blood disorder NOS
Q471z	Sclerema neonatorum NOS
Q471z00	Sclerema neonatorum NOS
Q474.	Other newborn temperature regulation disorders
Q474.00	Other newborn temperature regulation disorders
Q48D.	[X] Stillbirth
Q48D.00	[X] Stillbirth
Qyu..	[X]Additional perinatal disease classification terms
Qyu..00	[X]Additional perinatal disease classification terms
Qyu11	[X]Other preterm infants
Qyu1100	[X]Other preterm infants
Qyu2.	[X]Birth trauma
Qyu2.00	[X]Birth trauma
Qyu23	[X]Other birth injuries to skull
Qyu2300	[X]Other birth injuries to skull
Qyu24	[X]Other brachial plexus birth injuries
Qyu2400	[X]Other brachial plexus birth injuries
Qyu26	[X]Birth injury to central nervous system, unspecified
Qyu2600	[X]Birth injury to central nervous system, unspecified
Qyu27	[X]Birth injuries to other parts of peripheral nervous system
Qyu2700	[X]Birth injuries to other parts of peripheral nervous system
Qyu3.	[X]Respiratory and cardiovascular disorders specific to the perinatal period
Qyu3.00	[X]Respiratory and cardiovascular disorders specific to the perinatal period
Qyu4.	[X]Infections specific to the perinatal period
Qyu4.00	[X]Infections specific to the perinatal period
Qyu40	[X]Other congenital viral diseases
Qyu4000	[X]Other congenital viral diseases
Qyu45	[X]Other infections specific to the perinatal period
Qyu4500	[X]Other infections specific to the perinatal period
Qyu46	[X]Other specified infections specific to the perinatal period
Qyu4600	[X]Other specified infections specific to the perinatal period
Qyu47	[X]Congenital viral disease, unspecified
Qyu4700	[X]Congenital viral disease, unspecified
Qyu49	[X]Congenital infectious and parasitic disease, unspecified
Qyu4900	[X]Congenital infectious and parasitic disease, unspecified
Qyu5.	[X]Haemorrhagic and haematological disorders of fetus and newborn
Qyu5.00	[X]Haemorrhagic and haematological disorders of fetus and newborn
Qyu54	[X]Other specified fetal and neonatal haemorrhages
Qyu5400	[X]Other specified fetal and neonatal haemorrhages
Qyu57	[X]Other specified kernicterus
Qyu5700	[X]Other specified kernicterus
Qyu5E	[X]Other specified perinatal haematological disorders
Qyu5E00	[X]Other specified perinatal haematological disorders
Qyu61	[X]Other transitory disorders of carbohydrate metabolism of fetus and newborn
Qyu6100	[X]Other transitory disorders of carbohydrate metabolism of fetus and newborn
Qyu65	[X]Other specified transitory neonatal endocrine disorders
Qyu6500	[X]Other specified transitory neonatal endocrine disorders
Qyu67	[X]Other transitory metabolic disturbances of newborn
Qyu6700	[X]Other transitory metabolic disturbances of newborn
Qyu69	[X]Transitory neonatai disorder of calcium and magnesium metabolism unspecified
Qyu6900	[X]Transitory neonatai disorder of calcium and magnesium metabolism unspecified
Qyu6A	[X]Neonatal goitre, not elsewhere classified
Qyu6A00	[X]Neonatal goitre, not elsewhere classified
Qyu6B	[X]Transitory neonatal endocrine disorder, unspecified
Qyu6B00	[X]Transitory neonatal endocrine disorder, unspecified
Qyu70	[X]Other specified intestinal obstruction of newborn
Qyu7000	[X]Other specified intestinal obstruction of newborn
Qyu71	[X]Other neonatal peritonitis
Qyu7100	[X]Other neonatal peritonitis
Qyu81	[X]Other specified disturbances of temperature regulation of newborn
Qyu8100	[X]Other specified disturbances of temperature regulation of newborn
ZV27.12	[V]Stillbirth
ZV277	[V]Other multiple birth, all stillborn
ZV27700	[V]Other multiple birth, all stillborn
ZV3z.	[V]Unspecified birth
ZV3z.00	[V]Unspecified birth
ZV3zz	[V]Unspecified birth, NOS
ZV3zz00	[V]Unspecified birth, NOS
ZV6H0	[V]Normal care administered to neonates
ZV6H000	[V]Normal care administered to neonates
ZV6H3	[V]Level 1 intensive care (maximal intensive care) administered to neonates
ZV6H300	[V]Level 1 intensive care (maximal intensive care) administered to neonates
ZV77.	[V]Screening for endocrine, nutritional, metabolic and immunity disorders
ZV77.00	[V]Screening for endocrine, nutritional, metabolic and immunity disorders
ZV77.11	[V]Screening for immunity disorder
ZV77.12	[V]Screening for metabolic disorder
ZV77.13	[V]Screening for nutrition disorder
ZV7y3	[V]Screening for congenital dislocation of hip
ZV7y300	[V]Screening for congenital dislocation of hip
ZV7y8	[V]Special screening examination for chromosomal abnormalities
ZV7y800	[V]Special screening examination for chromosomal abnormalities
