635..13	Premature baby
Lyu3E00	[X]Other antepartum haemorrhage
Lyu4200	[X]Other abnormalities of forces of labour
Lyu4300	[X]Obstructed labour due to other malposition and malpresentation
Lyu4600	[X]Other specified obstructed labour
Lyu4700	[X]Other intrapartum haemorrhage
Lyu4A00	[X]Labour and delivery complicated by other cord complications
Lyu4B00	[X]Other obstetric injury to pelvic organs
Lyu4E00	[X]Other pulmonary complications of anaesthesia during labour and delivery
Lyu4F00	[X]Other complications of spinal and epidural anaesthesia during labour and delivery
Lyu4G00	[X]Other complications of anaesthesia during labour and delivery
Lyu4H00	[X]Other infection during labour
Lyu4J00	[X]Other complications of obstetric surgery and procedures
Lyu4K00	[X]Other specified complications of labour and delivery
Lyu4M00	[X]Intrapartum haemorrhage, unspecified
Lyu4N00	[X]Labour and delivery complicated by fetal stress, unspecified
Lyu4P00	[X]Complication of anaesthesia during labour and delivery unspecified
Lyu6100	[X]Other genitourinary tract infections following delivery
Lyu7.00	[X]Other obstetric conditions, not elsewhere classified
Lyu70	[X]Other infections with a predominantly sexual mode of transmission complicating pregnancy childbirth and the puerperium
Lyu7000	[X]Other infections with a predominantly sexual mode of transmission complicating pregnancy childbirth and the puerperium
Lyu7100	[X]Other viral diseases complicating pregnancy, childbirth and the puerperium
Lyu7200	[X]Other infectious and parasitic diseases complicating pregnancy, childbirth and the puerperium
Lyu7400	[X]Other specified diseases and conditions complicating pregnancy, childbirth and the puerperium
Lz...	Complications of pregnancy, childbirth and the puerperium NOS
Lz...00	Complications of pregnancy, childbirth and the puerperium NOS
Q025z	Fetus or neonate affected by cord compression NOS
Q025z00	Fetus or neonate affected by cord compression NOS
Q031y00	Fetus or neonate affected by other specified malposition, malpresentation or disproportion during labour and delivery
Q035.00	Fetus or neonate affected by maternal anaesthetic and analgesic agents during labour and delivery
Q035y00	Fetus or neonate affected by other specified maternal anaesthesia or analgesia during labour and delivery
Q035z00	Fetus or neonate affected by maternal anaesthetic or analgesic agent NOS
Q037y00	Fetus or neonate affected by other specified abnormal uterine contractions
Q037z00	Fetus or neonate affected by abnormal uterine contractions NOS
Q03y.00	Fetus or neonate affected by other labour and delivery problems
Q03yy00	Fetus or neonate affected by other specified complication of labour or delivery
Q03yz00	Fetus or neonate affected by complication of labour or delivery NOS
Q12..00	Disorders relating to long gestation and high birthweight
Q12..11	Large baby born
Q120.00	Very large baby - weight greater than 4500gm
Q121.00	Other "large-for-dates" infant
Qyu0A00	[X]Fetus and newborn affected by other specified complications of labour and delivery
SE23111	Perianal haematoma
ZV27600	[V]Other multiple birth, some live born
ZV31100	[V]Twin, born before admission to hospital, mate live born
ZV32100	[V]Twin, born before admission to hospital, mate stillborn
ZV32200	[V]Twin, born outside hospital and not hospitalised, mate stillborn
ZV33100	[V]Twin, unspecified, born before admission to hospital
ZV33200	[V]Twin, unspecified, born outside hospital and not hospitalised
ZV34000	[V]Other multiple birth, born in hospital, mates live born
ZV34100	[V]Other multiple birth, born before admission to hospital, mates liveborn
ZV34200	[V]Other multiple birth, born outside hospital and not hospitalised, mates liveborn
ZV34z00	[V]Other multiple birth, mates live born, NOS
ZV35.00	[V]Other multiple birth, mates stillborn
ZV35000	[V]Other multiple birth, born in hospital, mates stillborn
ZV35100	[V]Other multiple birth, born before admission to hospital, mates stillborn
ZV35200	[V]Other multiple birth, born outside hospital and not hospitalised, mates stillborn
ZV35z00	[V]Other multiple birth, mates stillborn, NOS
ZV36.00	[V]Other multiple birth, mates live and stillborn
ZV36000	[V]Other multiple birth, born in hospital, mates live and stillborn
ZV36200	[V]Other multiple birth, born outside hospital and not hospitalised, mates live and stillborn
ZV3y000	[V]Other multiple birth, unspecified, born in hospital
ZV3y100	[V]Other multiple birth, unspecified, born before admission to hospital
ZV3y200	[V]Other multiple birth, unspecified, born outside hospital and not hospitalised
ZVu2C00	[X]Other multiple births, all stillborn
ZVu2D00	[X]Other multiple liveborn infants, born in hospital
ZVu2E00	[X]Other multiple liveborn infants, born outside hospital
ZVu2F00	[X]Oth multip liveborn infants, unspec as to place of birth
