H06z011	Chest infection
K404.00	Chronic parametritis and pelvic cellulitis
H043100	Acute epiglottitis with obstruction
A871.00	Tick-borne relapsing fever
A545.00	Herpes simplex septicaemia
F530000	Acute mastoiditis without complications
A906.00	Latent late congenital syphilis
AAz..00	Spirochaetal infection NOS
H222.11	Pneumonia due to haemophilus influenzae
K100500	Chronic obstructive pyelonephritis
N301z00	Other chronic osteomyelitis
A983100	Chronic gonococcal cystitis
J552A00	Retrocaecal abscess
A220.11	Malignant pustule
A844100	Plasmodium malariae malaria with nephropathy
F034G00	Post influenza vaccination encephalitis
K4y..00	Other specified female pelvic inflammatory disease
J641.00	Gallbladder calculus with other cholecystitis
A167000	Tuberculous cervicitis
A392.00	Abdominal actinomycosis
A812.12	Kedani fever
J641000	Gallbladder calculus with other cholecystitis +no obstruct
AC51.00	Malayan filariasis
K102200	Renal carbuncle
A160200	Tuberculous pyelonephritis
AD10300	Trichomonal prostatitis
F530200	Gradenigo's syndrome
A32z.00	Diphtheria NOS
A985100	Gonococcal synovitis or tenosynovitis
L174.00	Maternal malaria in pregnancy, childbirth and the puerperium
H24y600	Pneumonia with typhoid fever
A14y500	Tuberculosis of retroperitoneal lymph nodes
A844000	Malaria due to simian plasmodia
H501400	Purulent pleurisy
F013.00	Meningitis due to sarcoidosis
A57y400	Pseudoscarlatina
A861000	Chagas' disease with digestive system involvement
A165100	Tuberculosis seminal vesicle
A121200	Tuberculosis of tracheobronchial lymph nodes
A3BXG00	Bacillus fragilis/cause/diseases classified/oth chapters
L40zz00	Major puerperal infection NOS
N035.00	Neuropathic arthropathy
A380500	Vancomycin resistant enterococcal septicaemia
A3B6000	Proteus mirabilis infection
F022.00	Chronic meningitis
N301000	Other chronic osteomyelitis
A7y0.00	Viral agent as the cause of other diseases
A070000	Enteropathogenic Escherichia coli infection
N11y100	Enterobacterial spondylitis
K420700	Endocervicitis with Nabothian cyst
G5y8.00	Rheumatoid myocarditis
H060900	Acute neisseria catarrhalis bronchitis
H160200	Chronic hypertrophic laryngitis
K154000	Cystitis in actinomycosis
F530100	Subperiosteal mastoid abscess
Ayu8C00	[X]Other viral meningitis
A795.00	Coronavirus infection
A302.00	Indeterminate leprosy (type I)
A789400	HIV disease resulting in multiple infections
L452.11	Lymphangitis of breast - obstetric
A2...00	Zoonotic bacterial diseases
A12yz00	Other specified respiratory tuberculosis NOS
N301512	Other chronic osteomyelitis
A16z.00	Genitourinary tuberculosis NOS
A903.00	Syphilitic interstitial keratitis
F003.00	Staphylococcal meningitis
N302400	Osteomyelitis, unspecified
A912.00	Other primary syphilis
H060000	Acute fibrinous bronchitis
A730.00	Ornithosis with pneumonia
A168.00	Tuberculosis of urinary tract
A531000	Herpes zoster with other CNS complications
A983300	Chronic gonococcal epididymo-orchitis
L090100	Parametritis following abortive pregnancy
M142.00	Juvenile dermatitis herpetiformis
A36yz00	Other specified meningococcal infection NOS
F040300	Epidural intracranial abscess
A270300	Listerial cerebral arteritis
F041000	Epidural intraspinal abscess
A160100	Tuberculous pyelitis
A070300	Enterohaemorrhagic Escherichia coli infection
H22y.00	Pneumonia due to other specified bacteria
A17y100	Tuberculosis myocardium
F007100	Meningitis due to listeriosis
A986.00	Gonococcal pharynx infection
A3BX300	Streptococc,group D/cause/disease classified/oth chapters
A12y.00	Other specified respiratory tuberculosis
A421.00	ECHO viral meningitis
A070200	Enteroinvasive Escherichia coli infection
A663000	Bunyamwera fever
A4y1.00	Enteroviral exanthematous fever
AA2..11	Framboesia
A172100	Scrofulous tuberculous abscess
A04y000	Foodborne Bacillus cereus intoxication
N010311	Pyogenic arthritis, unspecified
A3A0.00	Gas gangrene
N302100	Osteomyelitis, unspecified
L090200	Pelvic peritonitis following abortive pregnancy
F035011	Encephalitis due to varicella
A3By400	Pleuropneumonia-like organism (PPLO) infection
A983600	Chronic gonococcal endometritis
A78yz00	Other specified viral and chlamydial diseases NOS
J511600	Diverticulitis of the large intestine unspecified
J661100	Chronic cholangitis
H040600	Acute suppurative laryngitis
A01..00	Typhoid and paratyphoid fevers
N015x00	Arthropathy with other viral disease, of multiple sites
A270000	Listeria infection
F030900	Encephalitis due to herpes zoster
A789X00	HIV dis reslt/oth mal neopl/lymph,h'matopoetc+reltd tissu
AC8..00	Other and unspecified helminthiases
H1yz000	Abscess of trachea
A985300	Gonococcal spondylitis
AD00.00	Toxoplasma meningoencephalitis
A270100	Listeria septicaemia
A663D00	Zika fever
H247000	Pneumonia with candidiasis
F374300	Polyneuropathy in diphtheria
A531.00	Herpes zoster with other central nervous system complication
A132.00	Tuberculoma of brain
K401000	Chronic oophoritis
A160000	Tuberculous nephropathy
A53x100	Disseminated zoster
A3BXC00	E coli as cause of diseases classified to other chapters
A705200	Acute hepatitis E
M032800	Cellulitis of trunk
A987100	Gonococcal rectal infection
H22yX00	Pneumonia due to other aerobic gram-negative bacteria
F031.00	Encephalitis due to rickettsia EC
A663100	Bwamba fever
N301500	Other chronic osteomyelitis
F00y200	Meningitis due to escherichia coli
A4y0.00	Enteroviral encephalitis
Hyu0800	[X]Other viral pneumonia
K1A..00	Urinary calculus in schistosomiasis
Q402500	Congenital falciparum malaria
A94y100	Syphilitic parkinsonism
A412.00	Subacute sclerosing panencephalitis
F00y611	Pseudomonas meningitis
AyuK100	[X]Streptococc,group B/cause/disease classified/oth chapters
H040x00	Acute bacterial laryngitis unspecified
Ayu3S00	[X]Staphylococcal infection, unspecified
N300M00	Other acute osteomyelitis
Ayu3R00	[X]Other specified bacterial diseases
AyuK600	[X]Staphylococ aureus/cause/diseases classified/oth chapters
A5y..00	Other specified viral diseases with exanthemata
Hyu0.00	[X]Acute upper respiratory infections
AyuA700	[X]Measles without complication
A78A300	Chlamydial inf of pelviperitoneum oth genitourinary organs
F03y.00	Other causes of encephalitis
A38y.00	Other specified septicaemias
N010200	Pyogenic arthritis, unspecified
A18z.00	Miliary tuberculosis NOS
N300T00	Other acute osteomyelitis
H023z00	Acute bacterial pharyngitis NOS
F040200	Otogenic intracranial abscess
A122z00	Isolated tracheal or bronchial tuberculosis NOS
J614300	Recurrent hepatitis
A80..00	Louse-borne epidemic typhus
H501.00	Empyema with no fistula
G520100	Acute myocarditis - coxsackie
A162.00	Tuberculosis of ureter
A072.00	Aerobacter aerogenes gastrointestinal tract infection
A840000	Plasmodium falciparum malaria with cerebral complications
A402.00	Acute non-paralytic poliomyelitis
A788400	Human immunodeficiency virus with neurological disease
L451100	Obstetric breast abscess - delivered
L452300	Obstetric nonpurulent mastitis with antenatal complication
A110.00	Infiltrative lung tuberculosis
AA25.11	Rhinopharyngitis mutilans
FyuP200	[X]Other chronic suppurative otitis media
A074011	Diarrhoea due to staphylococcus
Ayu6200	[X]Chlamydial infection, unspecified
Hyu0H00	[X]Other pneumonia, organism unspecified
Ayu3J00	[X]Septicaemia, unspecified
A3B6z00	Proteus infection NOS
Ayu3L00	[X]Actinomycosis, unspecified
N30z400	Osteomyelitis, unspecified
N306100	Tuberculosis of bones and joints
AyuER00	[X]Mycetoma, unspecified
J614y00	Chronic hepatitis unspecified
A33y.00	Whooping cough - other specified organism
AyuDF00	[X]Other viral infections of unspecified site
AyuD300	[X]Mumps without complication
K10y.00	Pyelonephritis and pyonephrosis unspecified
Hyu0D00	[X]Pneumonia in viral diseases classified elsewhere
H247z00	Pneumonia with systemic mycosis NOS
A9z..00	Syphilis or venereal disease NOS
F035200	Rasmussen syndrome
H5y0100	Tracheostomy sepsis
L169300	Herpes gestationis - not delivered
A3By600	Coccal infection NEC
AA0y000	Leptospiral meningitis
K400.11	Oophoritis - acute
N307.00	Osteopathy from poliomyelitis
L45z100	Obstetric breast infection NOS - delivered
K408.00	Other chronic female pelvic peritonitis
F011400	Meningitis due to mumps virus
N300Y00	Other acute osteomyelitis
F011300	Meningitis due to herpes simplex virus
A3B..00	Bacterial infections - causative organisms
N30z800	Osteomyelitis, unspecified
A20y200	Plague - pestis minor
AC2..00	Echinococcosis
A7y0100	Retrovirus as cause of diseases classified to other chapters
A92..00	Latent early syphilis
A271000	Erysipelothrix infection
H061000	Acute capillary bronchiolitis
A384400	Serratia septicaemia
AC02.00	Schistosoma japonicum
A074100	Pseudomonas gastrointestinal tract infection
A98yz11	Gonococcaemia NOS
A14y.00	Other gastrointestinal tract tuberculosis
A14z.00	Tuberculosis of gastrointestinal tract NOS
A957100	Syphilis of tendon
H12z.00	Chronic pharyngitis and nasopharyngitis NOS
Hyu6.00	[X]Suppurative & necrotic conditions of lower respir tract
A850.11	Dumdum fever
L170.00	Maternal syphilis in pregnancy/childbirth/puerperium
L40z000	Major puerperal infection NOS, unspecified
A34..00	Streptococcal sore throat and scarlatina
A621.00	Western equine encephalitis
A130000	Tuberculosis of cerebral meninges
F040600	Tuberculous intracranial abscess
N303700	Osteomyelitis, unspecified
F030400	Encephalitis due to herpes simplex virus
N301C00	Osteomyelitis of vertebra
F040500	Subdural intracranial abscess
A3By500	Serratia infection
K154600	Cystitis in moniliasis
A57y200	Fourth disease
Ayu1300	[X]Resp TB unspcf,w'out mention/bacterial or histol confrmtn
H060v00	Subacute bronchitis unspecified
A57yz00	Other specified viral exanthemata NOS
K411400	Chronic pyometra
K242300	Epididymo-orchitis in diseases EC
AB64.11	Madura foot, mycotic
A3A..00	Other bacterial diseases
Q40y011	Congenital sepsis NOS
A044.00	Vibrio parahaemolyticus food poisoning
A54x000	Visceral herpes simplex
A173200	Tuberculous interstitial keratitis
G520300	Acute myocarditis - influenzal
Q407500	Neonatal candida septicaemia
K410900	Subacute pyometra
A55x.00	Measles with other specified complication
A17..00	Tuberculosis of other organs
L175300	Maternal rubella during pregnancy - baby not yet delivered
A932100	Syphilitic endocarditis of mitral valve
A72x.00	Mumps with other specified complications
A700.00	Viral hepatitis A with coma
N303z00	Osteomyelitis, unspecified
A40z.00	Acute poliomyelitis NOS
A971.00	Latent syphilis unspecified
N300200	Other acute osteomyelitis
AA23.11	Ghoul hand
G532000	Concato's disease
AyuK.00	[X]Bacterial, viral and other infectious agents
N302H00	Osteomyelitis, unspecified
N302W00	Osteomyelitis, unspecified
A4zy.00	Other specified non-arthropod-borne viral disease of the CNS
Q40A100	Sepsis of newborn due to Escherichia coli
A94z.00	Neurosyphilis NOS
F007800	Meningitis due to pertussis
A941.12	Taboparesis
AA21.00	Multiple papillomata and wet crab yaws
A98y000	Gonococcal keratosis
F4Cy000	Filarial infection of conjunctiva
A32y500	Diphtheria of penis
A070100	Enterotoxigenic Escherichia coli infection
A56..12	French measles
A7A..00	Viral carditis
A178.00	Tuberculosis oesophagus
J552300	Mesenteric abscess
AD04.00	Toxoplasma pneumonitis
K154800	Cystitis in tuberculosis
A251.00	Subacute and chronic melioidosis
A022000	Local salmonella infection unspecified
A321.00	Nasopharyngeal diphtheria
A4zz.00	Non-arthropod-borne viral diseases of CNS NOS
A171z00	Erythema nodosum with tuberculosis NOS
A120z00	Tuberculous pleurisy NOS
N01zK00	Pyogenic arthritis, unspecified
AA21.11	Butter yaws
A074111	Diarrhoea due to Pseudomonas pyocyanea
J552C11	Abscess iliopsoas non tuberculous
N301200	Other chronic osteomyelitis
K410200	Acute myometritis
H51y000	Encysted pleurisy
A843.00	Ovale malaria
G500300	Acute pericarditis - tuberculous
N300C00	Osteomyelitis of vertebra
L400200	Puerperal endometritis with postnatal complication
N300R00	Other acute osteomyelitis
F040311	Epidural intracranial abscess
A3BX.00	Bacterial causes of diseases classified elsewhere
F030500	Encephalitis due to mumps virus
A904200	Congenital syphilitic meningitis
A022100	Salmonella meningitis
AA00.00	Leptospirosis icterohaemorrhagica
G767.00	Aortitis - syphilitic
A133.00	Tuberculous abscess of brain
N301711	Other chronic osteomyelitis
A131.00	Tuberculoma of meninges
AC03.00	Cutaneous schistosomiasis
A3BXK00	Met resist stap aureus cause disease class other chapters
A166.00	Tuberculous oophoritis or salpingitis
K410300	Acute perimetritis
F024.00	Benign recurrent meningitis
F040000	Cerebral intracranial abscess
K100100	Chronic pyelonephritis with medullary necrosis
J065000	Alveolitis of jaws
N305400	Tuberculosis of bones and joints
N300900	Other acute osteomyelitis
H530200	Gangrenous pneumonia
A39zz00	Actinomycosis unspecified site NOS
A985.00	Gonococcal infection of musculoskeletal system
N000100	Libman-Sacks disease
F531000	Caries of mastoid
N300K00	Other acute osteomyelitis
F011211	Herpes zoster meningitis
G1yz.00	Other and unspecified rheumatic heart disease
AC20.00	Liver echinococcus granulosus
N33z300	Other osteomyelitis
N302300	Osteomyelitis, unspecified
A32y200	Diphtheritic peritonitis
L173000	Maternal tuberculosis,unspec whether in pregnancy/puerperium
H035000	Acute pneumococcal tonsillitis
A383000	Fusobacterial necrotising tonsillitis
F030.00	Encephalitis in viral disease EC
F038.00	Tropical spastic paraplegia
A124300	Tuberculosis of lung, confirmed by unspecified means
A174.00	Tuberculosis of ear
N302R00	Osteomyelitis, unspecified
N01zB00	Pyogenic arthritis, unspecified
A94y200	Syphilitic disseminated retinochoroiditis
A91..00	Early symptomatic syphilis
G500000	Acute pericarditis - coxsackie
A121.00	Tuberculosis of intrathoracic lymph nodes
A788000	Acute human immunodeficiency virus infection
A788100	Asymptomatic human immunodeficiency virus infection
A52y.00	Varicella with unspecified complications NOS
J631500	Hepatitis in other viral disease
L45y000	Other obstetric breast infection unspecified
A3BXH00	Clostridium perfring/cause/diseases classfd/oth chapters
A022200	Salmonella pneumonia
43v..00	CD4 immune monitoring
K241100	Epididymitis with no abscess
A787100	Machupo haemorrhagic fever
A202.00	Septicaemic plague
J55y400	Peritonitis due to urine
L433.12	Septic obstetric embolism
A14y400	Tuberculosis of rectum
K10yz00	Unspecified pyelonephritis NOS
A136.00	Tuberculous encephalitis or myelitis
A78A200	Chlamydial infection of anus and rectum
H500.00	Empyema with fistula
A861.00	Chagas' disease with other organ involvement
A76z.00	Unspecified trachoma
A982.00	Chronic gonorrhoea lower genitourinary tract
L090400	Salpingo-oophoritis following abortive pregnancy
A918000	Acute secondary syphilitic meningitis
AC0y300	Schistosoma spindale
K310700	Retromammary breast abscess
L176500	Viral hepatitis comp pregnancy, childbirth & the puerperium
H501600	Pyothorax
AC7..00	Other intestinal helminthiases
A862.00	Chagas' disease without mention of organ involvement
G50z400	Acute pericarditis - streptococcal
F034000	Post BCG vaccination encephalitis
L450z00	Obstetric nipple infection NOS
G1yzz00	Other rheumatic heart disease NOS
N305300	Tuberculosis of bones and joints
K406z00	Acute and unspecified female pelvic peritonitis NOS
G0y..00	Other specified acute rheumatic fever
H034.00	Acute gangrenous tonsillitis
A165000	Tuberculosis of prostate
A985111	Gonococcal synovitis
AC8yz00	Other specified helminthiasis NOS
H230.00	Pneumonia due to Eaton's agent
H51z000	Exudative pleurisy NOS
A821100	India tick virus
AB40100	Histoplasma capsulatum with meningitis
H22y011	E.coli pneumonia
A25..00	Melioidosis
A863.00	Gambian trypanosomiasis
N300J00	Other acute osteomyelitis
A3BX900	Unspcfd staphlococ/cause/diseases classified/oth chapters
N010700	Pyogenic arthritis, unspecified
H24y300	Pneumonia with Q-fever
F041z00	Intraspinal abscess NOS
Q40A300	Perinatal coagulase negative staphylococcus
N010711	Pyogenic arthritis, unspecified
A250.00	Acute and fulminating melioidosis
A941.00	General paresis - neurosyphilis
H01yz00	Other acute sinusitis NOS
A942.00	Syphilitic meningitis
L452200	Obstetric nonpurulent mastitis - deliv with p/n complication
K401z00	Chronic salpingitis and oophoritis NOS
A206.00	Plague meningitis
A91X.00	Early syphilis, unspecified
A916.00	Secondary syphilis of viscera or bone
A981z00	Acute gonorrhoea upper genitourinary tract NOS
AA4z.00	Other spirochaetal infection NOS
A913.00	Secondary syphilis of skin or mucus membranes
J644z00	Bile duct calculus + other cholecystitis - obstruction NOS
A3By100	Eaton's agent infection
N300B00	Osteomyelitis of vertebra
G500100	Acute pericarditis - meningococcal
A932300	Syphilitic endocarditis of tricuspid valve
AE0z.00	Late effects of tuberculosis NOS
A626.00	Rocio virus disease
A4zy100	Acute necrotising encephalitis
A600.00	Sylvatic yellow fever
F520300	Acute suppurative otitis media due to disease EC
A074012	Diarrhoea due to staphylococcal toxin
A932.00	Syphilitic endocarditis
N300513	Other acute osteomyelitis
H24y000	Pneumonia with actinomycosis
A60z.00	Yellow fever unspecified
A222.00	Gastrointestinal anthrax
F010.00	Meningitis due to fungal organisms
J511200	Diverticulitis of the ileum
AA26.00	Bone and joint yaws lesions
A39z000	Maduromycosis NOS
F03y.11	Encephalomyelitis NOS
A62..00	Mosquito-borne viral encephalitis
J511100	Diverticulitis of the jejunum
A770.11	Paratrachoma
N010300	Pyogenic arthritis, unspecified
Fyu0400	[X]Meningitis due to other specified causes
A2z..00	Zoonotic bacterial disease NOS
N01z.00	Pyogenic arthritis, unspecified
AA4y.00	Other specified spirochaetal infection
N300V00	Other acute osteomyelitis
N300A00	Osteomyelitis of vertebra
N301900	Other chronic osteomyelitis
A170700	Tuberculosis papulonecrotica
A930.00	Syphilitic aortic aneurysm
A62y.11	Ilheus virus encephalitis
A913500	Secondary syphilis of vulva
A3BXE00	Proteus(mirabilis)(morganii)cause/dis classfd/oth chapter
G1y0.00	Rheumatic myocarditis
A113.00	Tuberculosis of bronchus
G511400	Endocarditis - typhoid
A880100	Cutaneous and mucocutaneous bartonellosis
AyuA100	[X]Herpesviral infection, unspecified
A124200	Tuberculosis of lung, confirmed histologically
Fyu0B00	[X]Intracranial+intraspinal abscess+granuloma in diseases CE
H242.00	Pneumonia with ornithosis
H270100	Influenza with pneumonia, influenza virus identified
A63..00	Tick-borne viral encephalitis
N015500	Arthropathy with other viral disease, of pelvic region/thigh
AA0yz12	Pretibial fever
AyuC.00	[X]Human immunodeficiency virus disease
H040100	Acute ulcerative laryngitis
L400100	Puerperal endometritis - delivered with postnatal comp
A788y00	Human immunodeficiency virus with other clinical findings
H510600	Chronic dry pleurisy
L401z00	Puerperal salpingitis NOS
N305100	Tuberculosis of bone
A33y000	Bordetella bronchiseptica
J511700	Diverticulitis of the large intestine NOS
F041100	Extradural intraspinal abscess
F00z.00	Bacterial meningitis NOS
H450.00	Pneumoconiosis associated with tuberculosis
J640000	Gallbladder calculus with acute cholecystitis +no obstruct
A787.00	Arenaviral haemorrhagic fever
G021.00	Rheumatic chorea without mention of heart involvement
J651y00	Other cholecystitis OS
A543.11	Simian B disease
A663500	Mucambo fever
A170500	Tuberculosis cutis	
A72y.00	Mumps with unspecified complication
AB2y200	Candidal meningitis
J632200	Hepatitis in secondary syphilis
AC56000	Filariasis due to Brugia timori
A073z00	Proteus gastrointestinal tract infection NOS
G86y000	Chylocele - nonfilarial
A400.00	Acute paralytic bulbar poliomyelitis
A97..00	Other and unspecified syphilis
Hyu2200	[X]Other chronic sinusitis
A531z00	Herpes zoster with other CNS complication NOS
L451000	Obstetric breast abscess unspecified
Hyu0A00	[X]Other bacterial pneumonia
K406.00	Acute and unspecified female pelvic peritonitis
Ayu3U00	[X]Haemophilus influenzae infection, unspecified
Q46y000	Neonatal peritonitis NOS
A166z00	Tuberculous oophoritis or salpingitis NOS
A880.00	Bartonellosis
N300H00	Other acute osteomyelitis
H223000	Pneumonia due to streptococcus, group B
A12..00	Other respiratory tuberculosis
F01y.00	Other non-bacterial meningitis
J640z00	Gallbladder calculus with acute cholecystitis - obst NOS
K402z00	Unspecified salpingitis and oophoritis NOS
N301400	Other chronic osteomyelitis
A4zy500	Adenoviral encephalitis
A850.00	Visceral leishmaniasis
N302G00	Osteomyelitis, unspecified
A33yz00	Other whooping cough NOS
L450.00	Obstetric nipple infection
A391.00	Pulmonary actinomycosis
AC02.12	Katayama disease
J661z00	Cholangitis NOS
K101000	Acute pyelonephritis without medullary necrosis
A300000	Borderline lepromatous leprosy
F021.00	Eosinophilic meningitis
L175100	Maternal rubella during pregnancy - baby delivered
A000.00	Cholera - Vibrio cholerae
A055.00	Amoebic brain abscess
A72xz00	Mumps with other specified complications NOS
H571.00	Rheumatic pneumonia
H060E00	Acute bronchitis due to rhinovirus
AC5..00	Filarial infection and dracontiasis
K410z00	Acute uterine inflammatory diseases NOS
H035100	Acute staphylococcal tonsillitis
AA2x000	Juxta-articular yaws nodules
A624.00	Australian encephalitis
A957000	Syphilis of synovium
A704000	Viral hepatitis C with coma
A789900	HIV disease resulting in lymphoid interstitial pneumonitis
F034x00	Post mixed vaccination encephalitis
A071.00	Arizona paracolon gastrointestinal tract infection
A970.00	Late syphilis unspecified
A705z00	Other specified viral hepatitis without mention of coma NOS
A810.00	Murine endemic flea typhus
A913z00	Secondary syphilis of skin or mucus membranes NOS
H22y000	Pneumonia due to escherichia coli
AE00.00	Late effects of respiratory tuberculosis
F034800	Post smallpox vaccination encephalitis
A73z.00	Unspecified Ornithosis
F035z00	Postinfectious encephalitis NOS
H043000	Acute epiglottitis without obstruction
J552500	Subperitoneal abscess
A832.00	Rickettsialpox
A81z.00	Other typhus NOS
A42y.00	Other specified viral meningitis
A93y000	Syphilitic pericarditis
H060F00	Acute bronchitis due to echovirus
Ayu4D00	[X]Sexually transmitted chlamydial infection of other sites
A912z00	Other primary syphilis NOS
Ayu4K00	[X]Chlamydial infection of genitourinary tract, unspecified
N304200	Tuberculosis of bones and joints
A4zy200	Epidemic encephalitis
A3A0111	Clostridium oedematiens infection
Gy0..00	Cardiovascular syphilis
F00y100	Meningitis due to bacillus pyocyaneus
A916.11	Secondary syphilis of bone
A663.00	Other mosquito-borne fever
A56y.00	Rubella with unspecified complication
AD05.00	Toxoplasma hepatitis
H061600	Acute bronchiolitis due to other specified organisms
F033400	Encephalitis due to toxoplasmosis
N015600	Arthropathy with other viral disease, of lower leg
AC00.11	Vesical schistosomiasis
H24z.00	Pneumonia with infectious diseases EC NOS
A789700	HIV dis resulting oth types of non-Hodgkin's lymphoma
A789100	HIV disease resulting in cytomegaloviral disease
AA2z.00	Unspecified yaws
Hyu1.00	[X]Other acute lower respiratory infections
N301800	Other chronic osteomyelitis
A117.00	Tuberculous pneumothorax
N01zH00	Pyogenic arthritis, unspecified
J614400	Chronic lobular hepatitis
L170100	Maternal syphilis during pregnancy - baby delivered
U601500	[X]Antiviral drugs causing adverse effects in therapeut use
F007z00	Unspecified meningitis in bacterial disease EC
A167.00	Tuberculosis of other female genital organs
AA4..00	Other spirochaetal infections
K41..00	Uterine inflammatory diseases excluding the cervix
A364.00	Meningococcal carditis
N010900	Pneumococcal arthritis and polyarthritis
A00z.00	Cholera NOS
A913300	Secondary syphilis of skin
H500000	Empyema with bronchocutaneous fistula
N303800	Osteomyelitis, unspecified
F034500	Post tetanus vaccination encephalitis
F212.00	Acute and subacute haemorrhagic leukoencephalitis [Hurst]
N010z00	Pyogenic arthritis, unspecified
A177.00	Tuberculosis spleen
N015400	Arthropathy with other viral disease, of hand
A786.00	Haemorrhagic nephrosonephritis
AC0y.00	Other specified schistosomiasis
K411.00	Chronic uterine inflammatory disease
A160z00	Tuberculosis of kidney NOS
AC2y.00	Liver echinococcus unspecified
A390.00	Cutaneous actinomycosis
N304100	Tuberculosis of bones and joints
N300400	Other acute osteomyelitis
N300E00	Osteomyelitis of vertebra
A39y100	Cutaneous nocardiosis
Lyu6100	[X]Other genitourinary tract infections following delivery
F011z11	Acute aseptic meningitis
M162400	Parapsoriasis herpetiformis
Q40y000	Intrauterine fetal sepsis, unspecified
N230000	Infective myositis-neck
A880.13	Verruga peruana
AC27.00	Unspecified echinococcus multilocularis
A622.00	Eastern equine encephalitis
A663200	Chikungunya fever
A750.00	Gammaherpesviral mononucleosis
A987000	Gonococcal anal infection
ZV05000	[V]Arthropod-borne viral encephalitis vaccination
A788W00	HIV disease resulting in unspecified malignant neoplasm
N306300	Tuberculosis of bone
A170000	Tuberculosis - lupus exedens
N303100	Osteomyelitis, unspecified
A3Ay.00	Other specified bacterial disease
F033000	Encephalitis due to meningococcus
F034C00	Post measles vaccination encephalitis
AA40.12	Njovera
H200.00	Pneumonia due to adenovirus
A032.00	Shigella boydii (group C)
H24y100	Pneumonia with nocardiasis
A985z11	Rheumatism - gonococcal
F040100	Cerebellar intracranial abscess
L166.00	Genitourinary tract infections in pregnancy
G14..00	Other chronic rheumatic endocardial disease
N305200	Tuberculosis of bones and joints
N015700	Arthropathy with other viral disease, of ankle and foot
A841000	Plasmodium vivax malaria with rupture of spleen
F030711	Cytomegaloviral encephalitis
A4z1.00	Adenoviral meningitis
Hyu2.00	[X]Other diseases of the upper respiratory tract
Ayu3800	[X]Diphtheria, unspecified
A393.00	Cervicofacial actinomycosis
F034700	Post pertussis vaccination encephalitis
A39y.00	Other specified actinomycosis
G520700	Acute myocarditis - meningococcal
A742.00	Coxsackie carditis
K400z00	Acute salpingitis and oophoritis NOS
A364300	Meningococcal myocarditis
J620000	Liver abscess due to portal pyaemia
A201.00	Cellulocutaneous plague
K410700	Subacute myometritis
A932.11	Syphilitic valve disease
A165.00	Tuberculosis of other male genital organs
N30z700	Osteomyelitis, unspecified
N301300	Other chronic osteomyelitis
G01z.00	Acute rheumatic heart disease NOS
H041100	Acute tracheitis with obstruction
N015300	Arthropathy with other viral disease, of forearm
K154500	Cystitis in gonorrhoea
AyuB.00	[X]Viral hepatitis
A167z00	Tuberculosis of other female genital organs NOS
AA2y.00	Latent yaws
F00y411	Klebsiella meningitis
A702.00	Viral hepatitis B with coma
A7y0300	Reovirus as cause of diseases classified to other chapters
K41z300	Perimetritis unspecified
A32y300	Diphtheritic cystitis
A165z00	Tuberculosis of other male genital organs NOS
A821200	Kenya tick virus
H061300	Acute exudative bronchiolitis
AA23.12	Worm-eaten soles
L169000	Herpes gestationis unspecified
A122.00	Isolated tracheal or bronchial tuberculosis
N30z600	Osteomyelitis, unspecified
Q402200	Congenital malaria
A130z00	Tuberculous meningitis NOS
F030800	Encephalitis due to influenza-specific virus not identified
H510B00	Streptococcal pleurisy
N015000	Arthropathy with other viral disease, of unspecified site
F030911	Herpes zoster encephalitis
A982200	Chronic gonococcal vulvovaginitis
N307600	Poliomyelitis osteopathy of the lower leg
A125X00	Resp TB unspcf,w'out mention/bacterial or histol confrmtn
H043.11	Viral epiglottitis
AB65200	Cryptococcal meningitis
A704.00	Other specified viral hepatitis with coma
A845.00	Mixed malaria
L17y200	Other mat.infect/parasit dis in puerperium - baby delivered
G511100	Endocarditis - coxsackie
AB32.00	Coccidioidal meningitis
A654.11	Chikungunya haemorrhagic fever
J100000	Megaoesophagus in Chagas' disease
A788200	HIV infection with persistent generalised lymphadenopathy
AyuC600	[X]HIV disease resulting in other non-Hodgkin's lymphoma
Ayu0300	[X]Salmonella infection, unspecified
AyuF100	[X]Plasmodium falciparum malaria, unspecified
H24y.00	Pneumonia with other infectious diseases EC
A001.00	Cholera - Vibrio cholerae El Tor
A4z..00	Non-arthropod-borne viral dis.central nervous system OS/NOS
N017100	Helminthiasis with arthropathy of the shoulder region
A918100	Syphilitic alopecia
A940.12	Syphilitic posterior spinal sclerosis
H042100	Acute laryngotracheitis with obstruction
A73y.00	Ornithosis with unspecified complications
A844.00	Other malaria
G020.00	Rheumatic chorea with heart involvement
A912000	Primary breast syphilis
A20z.00	Plague unspecified
A13z.00	Tuberculosis of central nervous system NOS
F00y511	Proteus morganii meningitis
N30z200	Osteomyelitis, unspecified
Kyu5100	[X]Other cystitis
N230D00	Muscle abscess-shoulder
N230E00	Muscle abscess-arm
AyuA500	[X]Zoster without complications
Ayu3X00	[X]Bacterial infection, unspecified
N230F00	Muscle abscess-forearm
AyuF700	[X]Unspecified malaria
Ayu3600	[X]Other tetanus
AyuA300	[X]Varicella without complications
Ayu3V00	[X]Mycoplasma infection, unspecified
A94y.00	Other specified neurosyphilis
G717.00	Aortic aneurysm - syphilitic
N304000	Tuberculosis of spine
AC0y000	Schistosoma bovis
A56x.00	Rubella with other specified complication
F00y500	Meningitis due to proteus morganii
