^ESCT1177677	Mononucleosis syndrome
^ESCTNO337710	Nonbacterial verrucous endocarditis
^ESCTNO345642	North-east Buenos Aires hemorrhagic viremia
^ESCTNO345643	North-east Buenos Aires haemorrhagic viraemia
^ESCTNO362190	North Queensland tick typhus
^ESCTNO364039	Nodular leprosy
^ESCTNO381104	Nodular tuberculosis of lung
^ESCTNO463422	Notification of acquired immune deficiency syndrome
^ESCTNO474316	North Asian tick typhus
^ESCTNO477979	Nonfilarial chylocele
^ESCTNO478127	Nocardial pneumonia
^ESCTNO478923	Non-obstructive reflux-associated chronic pyelonephritis
^ESCTNO518866	Non-enveloped dsDNA virus
^ESCTNO518867	Non-enveloped double-stranded deoxyribonucleic acid virus
^ESCTNO552454	Non-venereal endemic syphilis
^ESCTNO556553	Non-specific orchitis
^ESCTNO704472	Nosocomial pneumonia
^ESCTOB480281	Obstetric non-purulent mastitis - delivered with postnatal complication
^ESCTOB480282	Obstetric non-purulent mastitis with antenatal complication
^ESCTOB480285	Obstetric non-purulent mastitis with postnatal complication
^ESCTOB549980	Obstetric pyemic and septic pulmonary embolism
^ESCTOC329457	Ocular tuberculosis
^ESCTOH327851	OHF - Omsk haemorrhagic fever
^ESCTOH327852	OHF - Omsk hemorrhagic fever
^ESCTOH345635	O'Higgins' disease
^ESCTOL316434	Old World cutaneous leishmaniasis
^ESCTOM327850	Omsk hemorrhagic fever
^ESCTOM347716	OM - Osteomyelitis
^ESCTOM356273	OM - Otitis media
^ESCTON312045	Onchocercosis
^ESCTON455550	On examination - consolidation present
^ESCTON457758	On examination - tonsils - quinsy present
^ESCTON457760	On examination - follicular tonsillitis
^ESCTON457764	On examination - granular pharyngitis
^ESCTOR316432	Oriental sore
^ESCTOR316433	Oriental leishmaniasis
^ESCTOR561882	Oral sinus
^ESCTOR607641	Oral herpetiform aphthous ulceration
^ESCTOS347715	OSTM - Osteomyelitis
^ESCTOS481915	Osteomyelitis of coccyx
^ESCTOS481917	Osteomyelitis of clavicle
^ESCTOT311847	Otitis media with effusion - purulent
^ESCTOV280698	Ovale tertian malaria
^ESCTPA274796	Palmar hyperkeratosis of yaws
^ESCTPA274798	Palmar yaws hyperkeratosis
^ESCTPA293640	Paravaccinia
^ESCTPA305919	Parvovirus B19 infection
^ESCTPA316295	Papulonecrotic tuberculid
^ESCTPA316296	Papulonecrotic tuberculide
^ESCTPA322005	Patch of erysipelas
^ESCTPA325908	PAP due to Mycoplasma pneumoniae
^ESCTPA325918	PAP caused by Mycoplasma pneumoniae
^ESCTPA334166	Paretic neurosyphilis
^ESCTPA334170	Paralytic dementia
^ESCTPA348111	Parenchymal intracranial abscess
^ESCTPA349857	Paludism
^ESCTPA355587	Parainfluenza virus pneumonia
^ESCTPA355588	Parainfluenzal pneumonia
^ESCTPA355590	Parainfluenza pneumonia
^ESCTPA365625	Paratyphoid B fever
^ESCTPA365626	Paratyphoid B
^ESCTPA372143	Parrot fever due to Chlamydia psitacci
^ESCTPA374624	Paratyphoid A fever
^ESCTPA374625	Paratyphoid A
^ESCTPA388927	Passive pneumonia
^ESCTPA454834	Pain in the pharynx
^ESCTPA478656	Paracolic abscess
^ESCTPC687051	PCP - Pneumocystis pneumonia
^ESCTPE270476	Periostitis of ankle AND/OR foot
^ESCTPE273499	Penile cellulitis
^ESCTPE328733	Peritonitis of undetermined cause
^ESCTPE345439	Pest
^ESCTPE345440	Pestilential fever
^ESCTPE351908	Pernicious malaria
^ESCTPE366963	Perionychia
^ESCTPE381166	Perirenal abscess
^ESCTPE388063	Peripharyngeal abscess
^ESCTPE389946	Pemphigoid gestationis
^ESCTPE406392	Persistent generalised lymphadenopathy
^ESCTPE406393	Persistent generalized lymphadenopathy
^ESCTPE474140	Pestis minor
^ESCTPE478659	Pericecal abscess
^ESCTPE481940	Periostitis without osteomyelitis, of the pelvic region and/or thigh
^ESCTPE515074	Periostitis of yaws
^ESCTPE559205	Peritonitis secondary to peritoneal dialysis
^ESCTPE599238	Perinatal coagulase-negative staphylococcus
^ESCTPE650997	Perionychia of toe
^ESCTPG406394	PGL - Persistent generalised lymphadenopathy
^ESCTPG406397	PGL - Persistent generalized lymphadenopathy
^ESCTPH253365	PHN - Post-herpetic neuralgia
^ESCTPH286545	Physalopterosis
^ESCTPH286935	Pharyngeal cellulitis
^ESCTPH454837	Pharyngeal pain
^ESCTPH474430	Phaeohyphomycotic brain abscess
^ESCTPH474431	Pheohyphomycotic brain abscess
^ESCTPH474432	Pheomycotic brain abscess
^ESCTPI316630	Piry virus disease
^ESCTPI364896	Pian
^ESCTPI510258	PID - Acute pelvic inflammatory disease
^ESCTPL349520	Plantar hyperkeratosis of yaws
^ESCTPL349522	Plantar yaws hyperkeratosis
^ESCTPL349858	Plasmodiosis
^ESCTPL351911	Plasmodium falciparum malaria
^ESCTPL478215	Pleuritis
^ESCTPL552521	Pleural empyema with fistula
^ESCTPL552522	Pleural empyema with no fistula
^ESCTPM659782	PM - Poliomyelitis
^ESCTPN276690	Pneumococcal disease
^ESCTPN302015	Pneumonia in Q fever
^ESCTPN304781	Pneumonia due to Streptococcus
^ESCTPN304783	Pneumonia caused by Streptococcus
^ESCTPN316680	Pneumonia due to Pseudomonas
^ESCTPN316682	Pneumonia caused by Pseudomonas
^ESCTPN323103	Pneumonia in typhoid fever
^ESCTPN325911	Pneumonia due to PPLO
^ESCTPN325914	Pneumonia due to Mycoplasma pneumoniae
^ESCTPN325916	Pneumonia caused by Mycoplasma pneumoniae
^ESCTPN325919	Pneumonia caused by PPLO
^ESCTPN333490	Pneumonia due to Escherichia coli
^ESCTPN333491	Pneumonia due to E. coli
^ESCTPN333493	Pneumonia caused by E. coli
^ESCTPN333494	Pneumonia caused by Escherichia coli
^ESCTPN346596	Pneumonia in pertussis
^ESCTPN346597	Pneumonia in whooping cough
^ESCTPN354859	Pneumonia caused by Klebsiella pneumoniae
^ESCTPN355589	Pneumonia due to parainfluenza virus
^ESCTPN420092	Pneumonia in aspergillosis
^ESCTPN478113	Pneumonia caused by respiratory syncytial virus
^ESCTPN478120	Pneumonia due to pleuropneumonia-like organism
^ESCTPN478121	Pneumonia caused by pleuropneumonia-like organism
^ESCTPN505345	Pneumonia caused by Chlamydiaceae
^ESCTPN687053	Pneumocystosis jirovecii pneumonia
^ESCTPN695354	Pneumocystosis associated with acquired immunodeficiency syndrome
^ESCTPN697594	Pneumonia associated with AIDS
^ESCTPN697595	Pneumonia associated with acquired immunodeficiency syndrome
^ESCTPN730276	Pneumonia caused by Human metapneumovirus
^ESCTPO254461	Postpartum sepsis
^ESCTPO271266	Post measles otitis media
^ESCTPO284925	Postherpetic geniculate ganglionitis
^ESCTPO286704	Post-tuberculous bronchiectasis
^ESCTPO307971	Pott's disease
^ESCTPO320653	Postauricular fistula
^ESCTPO320654	Postaural fistula
^ESCTPO320655	Postaural mastoid fistula
^ESCTPO367300	Postauricular mastoid abscess
^ESCTPO420074	Post measles encephalitis
^ESCTPO468257	Postnatal infection
^ESCTPO468258	Postpartum infection
^ESCTPO474221	Postchickenpox encephalitis
^ESCTPO476476	Post measles pneumonia
^ESCTPO476809	Post-immunisation encephalitis
^ESCTPO476810	Post-immunization encephalitis
^ESCTPO476812	Post-bacillus Calmette-Guerin vaccination encephalitis
^ESCTPO477372	Postseptal orbital cellulitis
^ESCTPO479565	Postpartum urinary tract infection
^ESCTPO480270	Postpartum nipple infection
^ESCTPO480276	Postpartum breast abscess
^ESCTPO480732	Poliosis - acquired
^ESCTPO481972	Poliomyelitis osteopathy of the ankle and/or foot
^ESCTPO659781	Polio
^ESCTPO659783	Poliomyelitis
^ESCTPO811450	Positive virology findings
^ESCTPO819101	Possible influenza due to Influenza A virus subtype H1N1
^ESCTPO819102	Possible swine influenza
^ESCTPR266453	Primary syphilis of tonsils
^ESCTPR268848	Primary bacterial peritonitis
^ESCTPR294014	Primary syphilis of breast
^ESCTPR295258	Primary syphilis of lip
^ESCTPR304534	Prosector's wart
^ESCTPR311161	Progressive malignant polyserositis
^ESCTPR325907	Primary atypical pneumonia due to Mycoplasma pneumoniae
^ESCTPR325917	Primary atypical pneumonia caused by Mycoplasma pneumoniae
^ESCTPR334165	Progressive general paresis
^ESCTPR344093	Primary herpetic gingivostomatitis
^ESCTPR352961	Primary tuberculosis
^ESCTPR352963	Primary (TB) tuberculosis
^ESCTPR359768	Pregnancy loss with sepsis
^ESCTPR373402	Proliferative Garre's osteomyelitis
^ESCTPR380877	Progressive emphysematous necrosis
^ESCTPR474099	Primary progressive tuberculosis with tuberculous pleurisy
^ESCTPR478115	Proteus pneumonia
^ESCTPR487152	Prosthetic joint infection
^ESCTPR549155	Primary syphilis - chancre
^ESCTPS293639	Pseudocowpox
^ESCTPS338239	Pseudorubella
^ESCTPS549300	Psoas muscle abscess
^ESCTPS701031	Pseudomembranous enterocolitis
^ESCTPT451460	PTB - Pulmonary tuberculosis
^ESCTPU254457	Puerperal septicemia
^ESCTPU254458	Puerperal fever
^ESCTPU255464	Pulmonary candidiasis
^ESCTPU255465	Pulmonary candidosis
^ESCTPU365093	Purulent dermatitis
^ESCTPU365097	Pustuloderma
^ESCTPU387234	Pulmonary disease caused by Mycobacteria
^ESCTPU474156	Pulmonary Mycobacterium avium complex infection
^ESCTPU508819	Purulent peritonitis
^ESCTPU626187	Puumala virus nephropathy
^ESCTPU687052	Pulmonary pneumocystosis
^ESCTPY299024	Pyothorax with bronchocutaneous fistula
^ESCTPY309114	Pyogenic arthritis of shoulder region
^ESCTPY347714	Pyogenic inflammation of bone
^ESCTPY349302	Pyogenic arthritis of hand
^ESCTPY355154	Pyogranulomatous dermatitis
^ESCTPY355864	Pyomyositis
^ESCTPY365092	Pyodermia
^ESCTPY365096	Pyogenic dermatitis
^ESCTPY394618	Pyometrium
^ESCTPY478933	Pyelonephritis associated with another disorder
^ESCTPY478936	Pyelitis associated with another disorder
^ESCTPY550219	Pyogenic arthritis of the ankle and/or foot
^ESCTPY637357	Pyoarthrosis
^ESCTPY637361	Pyogenic arthritis of hip
^ESCTPY638326	Pyocystis
^ESCTPY659317	Pyosalpingitis
^ESCTQF302016	Q fever pneumonia
^ESCTQU375866	Queensland fever
^ESCTRA284924	Ramsay Hunt syndrome - auricular
^ESCTRA284926	Ramsay Hunt syndrome 2
^ESCTRA320672	Ray fungus disease of the intestines
^ESCTRA334510	Rat-bite fever due to Streptobacillus moniliformis
^ESCTRA478023	RAT - Recurrent acute tonsillitis
^ESCTRA500472	Rasmussen encephalitis
^ESCTRB837474	RBC (red blood cell) malaria parasitaemia count
^ESCTRE268147	Respiratory anthrax
^ESCTRE276024	Retroperitoneal tuberculosis
^ESCTRE278718	Retrocecal abscess
^ESCTRE318920	Rectal gonorrhoea
^ESCTRE318921	Rectal gonorrhea
^ESCTRE327261	Recrudescent typhus fever
^ESCTRE327262	Recrudescent typhus due to Rickettsia prowazekii
^ESCTRE478927	Reflux nephropathy
^ESCTRE479024	Recurrent UTI - urinary tract infection
^ESCTRE694791	Recurrent fever
^ESCTRE694792	Recurrent fever due to Borrelia
^ESCTRE694793	Relapsing fever due to Borrelia
^ESCTRE826531	Referral to community HIV (human immunodeficiency virus) nurse specialist
^ESCTRH262001	Rheumatic pneumonitis
^ESCTRH269134	Rheumatic disease of aortic valve
^ESCTRH287799	Rheumatic pancarditis
^ESCTRH288424	Rhinopharyngitis mutilans of yaws
^ESCTRH329084	Rheumatic disease of endocardium
^ESCTRH341793	Rheumatic adherent pericardium
^ESCTRH354940	Rhinorrhea
^ESCTRH477573	Rheumatic degeneration of myocardium
^ESCTRI372108	Rickettsialpox due to Rickettsia akari
^ESCTRI375867	Rice-field worker's disease
^ESCTRI578765	Ribavirin adverse reaction
^ESCTRN478926	RN - Reflux nephropathy
^ESCTRO474094	Rotavirus enteritis
^ESCTRO549149	Rochalimaea infection
^ESCTRS340541	RSV - Respiratory syncytial virus infection
^ESCTRT557383	RTI - Respiratory tract infection
^ESCTRU272476	Rubeola
^ESCTRU280839	Rubella arthritis
^ESCTRU349283	Rubeola scarlatinosa
^ESCTRU349284	Rubella scarlatiniforma
^ESCTRU388156	Rubella in mother complicating pregnancy, childbirth AND/OR puerperium
^ESCTRU474248	Russian spring-summer encephalitis
^ESCTSA325147	Salpingo-oophoritis
^ESCTSA325149	Salpingitis and oophoritis
^ESCTSA328224	Sauna takers lung
^ESCTSA476788	Sarcoid meningitis
^ESCTSA477724	Sarcoid heart muscle disease
^ESCTSA690937	Saint Louis encephalitis
^ESCTSB268850	SBP - Spontaneous bacterial peritonitis
^ESCTSB369943	SBE
^ESCTSB369945	SBE - Subacute bacterial endocarditis
^ESCTSC266080	Schistosomosis
^ESCTSC337728	Scrofula
^ESCTSC349070	Schistosoma haematobium infection
^ESCTSC349073	Schistosomiasis of bladder
^ESCTSC373399	Sclerosing osteomyelitis of Garr?
^ESCTSC373400	Sclerosing osteomyelitis of Garre
^ESCTSC384703	Scrofuloderma
^ESCTSC474451	Schistosome dermatitis
^ESCTSC474453	Schistosomal cercarial dermatitis
^ESCTSC480570	Scalded skin syndrome
^ESCTSC550306	Schistosoma japonicum infection
^ESCTSC552447	Scrub typhus
^ESCTSE262919	Sexually transmissible disease
^ESCTSE264404	Septicemic plague
^ESCTSE275135	Searles's ulcer
^ESCTSE282342	Septic arthritis of ankle
^ESCTSE283299	Severe dengue
^ESCTSE306274	Septic arthritis of multiple sites
^ESCTSE309116	Septic arthritis of shoulder region
^ESCTSE320635	Septic sore throat
^ESCTSE347331	Secondary syphilitic adenopathy
^ESCTSE347332	Secondary syphilitic lymphadenitis
^ESCTSE347334	Secondary syphilitic lymphadenopathy
^ESCTSE349304	Septic arthritis of hand
^ESCTSE365095	Septic dermatitis
^ESCTSE374534	Septicaemic shock
^ESCTSE374535	Septicemic shock
^ESCTSE374536	Sepsis-associated hypotension
^ESCTSE375861	Seven day fever
^ESCTSE381364	Secondary syphilis of liver
^ESCTSE382274	Secondary syphilis of tonsil
^ESCTSE417716	Sequelae of poliomyelitis
^ESCTSE417718	Sequela of infection caused by Human poliovirus
^ESCTSE474354	Secondary syphilis of skin and mucous membrane
^ESCTSE474505	Sequelae of central nervous system tuberculosis
^ESCTSE474508	Sequelae of genitourinary tuberculosis
^ESCTSE474512	Sequelae of tuberculosis of bones and joints
^ESCTSE478935	Secondary pyelonephritis
^ESCTSE479883	Sepsis during labour, delivered
^ESCTSE479884	Septicemia during labor - delivered
^ESCTSE479886	Sepsis during labor, delivered
^ESCTSE483729	Sepsis of newborn caused by Staphylococcus aureus
^ESCTSE483731	Sepsis of newborn caused by Escherichia coli
^ESCTSE513904	Septic arthritis of wrist
^ESCTSE513906	Septic arthritis of elbow
^ESCTSE549157	Secondary syphilis of viscera or bone
^ESCTSE550218	Septic arthritis of the pelvic region and thigh
^ESCTSE550221	Septic arthritis of the ankle and/or foot
^ESCTSE558893	Sepsis neonatorum
^ESCTSE600272	Septicemia due to enterococcus
^ESCTSE600273	Sepsis due to enterococcus
^ESCTSE600274	Septicemia caused by enterococcus
^ESCTSE600275	Sepsis caused by enterococcus
^ESCTSE600276	Septicaemia caused by enterococcus
^ESCTSE637363	Septic arthritis of hip
^ESCTSE734459	Sepsis caused by Haemophilus influenzae
^ESCTSE734652	Sepsis caused by Candida
^ESCTSE734655	Sepsis caused by anaerobic bacteria
^ESCTSE734717	Sepsis caused by Staphylococcus
^ESCTSE734723	Sepsis caused by Actinomyces
^ESCTSE734725	Sepsis caused by Escherichia coli
^ESCTSE735466	Sepsis caused by Staphylococcus aureus
^ESCTSE735468	Sepsis caused by Streptococcus
^ESCTSE735469	Sepsis due to Streptococcus agalactiae
^ESCTSE735471	Sepsis caused by Streptococcus agalactiae
^ESCTSE735472	Sepsis caused by Streptococcus group B
^ESCTSE735476	Sepsis caused by Streptococcus pneumoniae
^ESCTSE736013	Sepsis due to herpes simplex
^ESCTSE736014	Sepsis caused by herpes simplex
^ESCTSE736053	Sepsis caused by Pseudomonas
^ESCTSE736445	Sepsis caused by Gram negative bacteria
^ESCTSE736447	Sepsis caused by Salmonella
^ESCTSE736448	Sepsis due to Serratia
^ESCTSE736449	Sepsis caused by Serratia
^ESCTSE736853	Sepsis caused by Listeria monocytogenes
^ESCTSE737110	Sepsis due to Streptococcus pyogenes
^ESCTSE737112	Sepsis caused by Streptococcus pyogenes
^ESCTSE737113	Sepsis caused by Streptococcus group A
^ESCTSE737115	Sepsis caused by coagulase negative Staphylococcus
^ESCTSH256737	Shigella sonne
^ESCTSH256738	Shigella biogroup D
^ESCTSH291073	Shop typhus
^ESCTSH308323	Shigella gastroenteritis
^ESCTSH308326	Shigella dysentery
^ESCTSH320232	Shiga's bacillus
^ESCTSH320233	Shigella serogroup A
^ESCTSH320235	Shigella biogroup A
^ESCTSH357443	SH - Serum hepatitis
^ESCTSH389359	Shigella biogroup B
^ESCTSI338240	Sixth disease
^ESCTSI382625	Simple chronic serous otitis media
^ESCTSI474340	Sirkari disease
^ESCTSL690936	SLE - Saint Louis encephalitis
^ESCTSL698193	Slim disease
^ESCTSM364038	Smooth leprosy
^ESCTSO376118	South American trypanosomiasis
^ESCTSP293223	Spermatocystitis
^ESCTSP316229	Spirochetal infection
^ESCTSP316230	Spirochetosis
^ESCTSP353470	Spinal epidural abscess
^ESCTSP353471	Spinal extradural abscess
^ESCTSP362191	Spotted fever due to Rickettsia australis
^ESCTSP375860	Spirochetal jaundice
^ESCTSP474207	Spinal paralytic poliomyelitis
^ESCTSP677977	Splenic fever
^ESCTSS476794	SSPE - Subacute sclerosing panencephalitis
^ESCTSS480571	SSSS - Staphylococcal scalded skin syndrome
^ESCTST262922	STD - Sexually transmitted disease
^ESCTST262923	Statutory venereal disease
^ESCTST287514	Steere's disease
^ESCTST320637	Strept throat
^ESCTST320638	Strep throat
^ESCTST334508	Streptobacillary fever
^ESCTST341051	Staphylococcosis
^ESCTST351906	ST - Subtertian malaria
^ESCTST351909	STM - Subtertian malaria
^ESCTST387649	Staphylococcal toxemia specified as due to food
^ESCTST387650	Staphylococcal toxemia due to food
^ESCTST387651	Staphylococcal toxaemia due to food
^ESCTST387652	Staphylococcal toxaemia specified as due to food
^ESCTST387655	Staphylococcal toxemia caused by food
^ESCTST387656	Staphylococcal toxaemia specified as caused by food
^ESCTST387657	Staphylococcal toxaemia caused by food
^ESCTST387658	Staphylococcal toxemia specified as caused by food
^ESCTST389422	Streptococcosis
^ESCTST591125	Streptococcus pyogenes infection
^ESCTST607639	Stomatitis herpetiformis
^ESCTST660315	Staphylococcus aureus food poisoning
^ESCTST690935	St. Louis encephalitis virus neuroinvasive disease
^ESCTST690938	St. Louis encephalitis
^ESCTST706645	Streptococcus agalactiae infection
^ESCTSU313204	Suppurative otitis media
^ESCTSU335078	Subdiaphragmatic abscess
^ESCTSU345109	Suppurative pleurisy
^ESCTSU359507	Subacute osteomyelitis with or without periostitis
^ESCTSU365094	Suppurative dermatitis
^ESCTSU367298	Subperiosteal abscess of mastoid
^ESCTSU508820	Suppurative peritonitis
^ESCTSU605174	Suspected UTI (urinary tract infection)
^ESCTSU605176	Suspected urinary tract infection
^ESCTSU637356	Suppurative arthritis
^ESCTSU762463	Suspected Ebola virus disease
^ESCTSU762464	Suspected Ebola hemorrhagic fever
^ESCTSU762465	Suspected Ebola haemorrhagic fever
^ESCTSU819051	Suspected influenza A virus subtype H1N1 infection
^ESCTSW474455	Swamp itch
^ESCTSW474457	Swimmer's itch
^ESCTSY258074	Systemic gonococcal infection
^ESCTSY269472	Syphilitic aneurysm of aorta
^ESCTSY269473	Syphilitic dilatation of aorta
^ESCTSY282967	Syphilis-associated aortitis
^ESCTSY291660	Syphilis of central nervous system
^ESCTSY317857	Sylvan yellow fever
^ESCTSY346220	Syphilid
^ESCTSY398346	Systemic infection
^ESCTSY549154	Syphilitic chancre
^ESCTTA271098	Taboparesis
^ESCTTA271099	Tabo paresis
^ESCTTA312954	Tabardillo
^ESCTTA362493	Taenia saginata taeniasis
^ESCTTA373899	Taeniasis
^ESCTTA373900	Taeniosis
^ESCTTA373902	Taenia infection
^ESCTTA515250	Taenia solium infection
^ESCTTA549190	Taenia solium infection, intestinal form
^ESCTTA606063	Tabes dorsalis
^ESCTTB256970	TB - Urogenital tuberculosis
^ESCTTB301956	TB - Tuberculous cystitis
^ESCTTB321405	TB - Renal tuberculosis
^ESCTTB342137	TB - Tuberculosis
^ESCTTB344953	TB - Tuberculous meningitis
^ESCTTB344954	TBM - Tuberculous meningitis
^ESCTTB382304	TB - Tuberculosis of ureter
^ESCTTB420023	TB - Urinary tuberculosis
^ESCTTB451461	TB - Pulmonary tuberculosis
^ESCTTE367267	Tertiary syphilis
^ESCTTE373901	Teniasis
^ESCTTE405931	Testicular abscess
^ESCTTE476807	TE - Toxoplasma encephalitis
^ESCTTE749877	Termination of pregnancy complicated by parametritis
^ESCTTE749879	Termination of pregnancy complicated by pelvic peritonitis
^ESCTTE749895	Termination of pregnancy complicated by salpingitis
^ESCTTE749899	Termination of pregnancy complicated by sepsis
^ESCTTE749901	Termination of pregnancy complicated by septic embolism
^ESCTTH284748	Thoracic actinomycosis
^ESCTTH338242	Three day fever
^ESCTTI312957	Tifus exanthematico
^ESCTTI362189	Tick typhus due to Rickettsia australis
^ESCTTI387994	Tinea circinata
^ESCTTI387998	Tinea circinatus
^ESCTTI474312	Tick typhus due to Rickettsia conorii
^ESCTTI474317	Tick fever due to Rickettsia siberica
^ESCTTO274425	Toxaemia of pregnancy
^ESCTTO476803	Toxoplasmosis of brain
^ESCTTR258825	Trypanosomiasis with meningitis
^ESCTTR276378	Transverse myelopathy syndrome
^ESCTTR291745	Trematodosis
^ESCTTR291749	Trematode infestation
^ESCTTR293252	Trachomatous granular conjunctivitis
^ESCTTR298261	Trachoma, initial stage
^ESCTTR298262	Trachoma dubium
^ESCTTR310577	Trachelitis
^ESCTTR326603	Tropical steatorrhea
^ESCTTR326604	Tropical steatorrhoea
^ESCTTR326606	Tropical enteropathy
^ESCTTR330781	Trichonocardiasis axillaris
^ESCTTR330783	Trichomycosis nodosa
^ESCTTR335633	Trachoma, active stage
^ESCTTR342491	Tracheal abscess
^ESCTTR355863	Tropical myositis
^ESCTTR374070	Treponemal disease
^ESCTTR378387	Trypanosomosis
^ESCTTR478984	Trichomonal cystitis
^ESCTTR552455	Treponarid
^ESCTTR561384	Tropical pulmonary eosinophilia
^ESCTTR578763	Tribavirin adverse reaction
^ESCTTR771731	Tropical spastic paraparesis
^ESCTTS279378	TSS - Toxic shock syndrome
^ESCTTS326605	TS - Tropical sprue
^ESCTTT364042	TT - Full tuberculoid leprosy
^ESCTTU256969	Tuberculosis of genitourinary system
^ESCTTU265564	Tuberculosis cutis lichenoides
^ESCTTU266736	Tuberculosis cutis luposa
^ESCTTU266738	Tuberculosis lupus exedens
^ESCTTU266739	Tuberculosis luposa cutis
^ESCTTU267323	Tuberculous lymphadenopathy
^ESCTTU267324	Tuberculosis of lymph node
^ESCTTU269096	Tuberculosis infection latent
^ESCTTU269313	Tuberculous enteritis
^ESCTTU270621	Tuberculosis of seminal vesicle
^ESCTTU272473	Tuberculosis of hip
^ESCTTU272474	Tuberculosis of hip joint
^ESCTTU273007	Tuberculous pleural empyema
^ESCTTU274235	Tuberculosis of oesophagus
^ESCTTU274236	Tuberculosis of esophagus
^ESCTTU277193	Tuberculosis of knee
^ESCTTU277194	Tuberculosis of knee joint
^ESCTTU278008	Tuberculosis of bones and/or joints
^ESCTTU295606	Tuberculosis of spleen
^ESCTTU307972	Tuberculous spondylitis
^ESCTTU311651	Tuberculous osteitis
^ESCTTU321835	Tuberculosis of peritoneum
^ESCTTU321837	Tuberculosis (TB) peritonitis
^ESCTTU325146	Tubo-ovarian inflammatory disease
^ESCTTU326459	Tuberculosis of myocardium
^ESCTTU330213	Tuberculosis (TB) salpingitis
^ESCTTU335929	Tuberculosis of endocardium
^ESCTTU337729	Tuberculosis of cervical lymph nodes
^ESCTTU344951	Tuberculosis of meninges
^ESCTTU345467	Tuberculous osteomyelitis
^ESCTTU345770	Tubo ovarian abscess
^ESCTTU352120	Tuberculosis (TB) of uterine cervix
^ESCTTU358919	Tuberculosis of skin
^ESCTTU358921	Tuberculoderma
^ESCTTU359400	Tuberculosis of pericardium
^ESCTTU359401	Tuberculous pericarditis
^ESCTTU364036	Tuberculoid leprosy
^ESCTTU364043	Tuberculoid Hansen's disease (leprosy)
^ESCTTU364389	Tuberculosis of larynx
^ESCTTU364391	Tuberculosis (TB) with laryngitis
^ESCTTU366119	Tuberculosis of mastoid process
^ESCTTU371263	Tuberculosis with erythema nodosum AND hypersensitivity reaction
^ESCTTU371264	Tuberculosis (TB) with erythema nodosum
^ESCTTU376360	Tuberculosis of trachea
^ESCTTU384705	Tuberculosis colliquativa cutis
^ESCTTU386111	Tuberculosis of epididymis
^ESCTTU386112	Tuberculous epididymitis
^ESCTTU389296	Tuberculous tracheobronchial adenopathy
^ESCTTU471915	Tuberculosis chemotherapy
^ESCTTU474106	Tuberculous pleuritis
^ESCTTU474129	Tuberculous Addison's disease
^ESCTTU474132	Tuberculous Addison disease
^ESCTTU475936	Tuberculous arthropathy
^ESCTTU475937	Tuberculous rheumatism
^ESCTTU479607	Tuberculosis in mother complicating pregnancy, childbirth AND/OR puerperium
^ESCTTU481953	Tuberculosis of humerus
^ESCTTU481955	Tuberculosis of the pelvic and/or thigh bones
^ESCTTU481961	Tuberculosis of the bones of the ankle and/or foot
^ESCTTU505987	Tuberculous mesenteric adenitis
^ESCTTY272799	Type I leprosy
^ESCTTY284296	Type L leprosy
^ESCTTY284299	Type LL leprosy
^ESCTTY291071	Typhus due to Rickettsia typhi
^ESCTTY312950	Typhus due to Rickettsia prowazekii
^ESCTTY323104	Typhoid pneumonia
^ESCTTY332123	Type C viral hepatitis
^ESCTTY357440	Type B viral hepatitis
^ESCTTY364037	Type T leprosy
^ESCTTY364041	Type TT leprosy
^ESCTTY514722	Type BT leprosy
^ESCTTY514725	Type BL leprosy
^ESCTTY515009	Typhus
^ESCTTY690939	Type C lethargic encephalitis
^ESCTUN362492	Unarmed tapeworm infection
^ESCTUP337838	Upper respiratory tract infection
^ESCTUP480667	Upper respiratory disease
^ESCTUR256971	Urogenital tuberculosis
^ESCTUR291074	Urban typhus
^ESCTUR320277	Urine peritonitis
^ESCTUR320278	Uroperitonitis
^ESCTUR320279	Urinary peritonitis
^ESCTUR337837	URTI - Infection of the upper respiratory tract
^ESCTUR337839	URI - Upper respiratory infection
^ESCTUR361568	Urinary tract infectious disease
^ESCTUR420022	Urinary tuberculosis
^ESCTUR565587	URTI - Viral upper respiratory tract infection
^ESCTUR753430	Urinary tract infection associated with catheter
^ESCTUT296271	Uterine inflammatory disease
^ESCTUT301534	Uterus - chronic gonorrhea
^ESCTUT356157	Uterus - acute gonorrhea
^ESCTUT361570	UTI - Urinary tract infection
^ESCTUT371842	Uterine abscess
^ESCTVA266688	Varicella-zoster meningitis
^ESCTVA474223	Varicella encephalitis
^ESCTVA478131	Varicella pneumonia
^ESCTVA600252	Vancomycin resistant enterococcal septicaemia
^ESCTVA600253	Vancomycin resistant enterococcal septicemia
^ESCTVD262924	VD - Venereal disease
^ESCTVE255138	Vesical blood fluke
^ESCTVE262918	Venereal disease
^ESCTVE304532	Verruca necrogenica
^ESCTVE328222	Ventilation pneumonitis
^ESCTVE372107	Vesicular rickettsiosis
^ESCTVE376105	Vervet monkey disease
^ESCTVE514658	Verotoxigenic Escherichia coli gastrointestinal tract infection
^ESCTVH255858	VH - Viral hepatitis
^ESCTVH514889	VHF - Viral haemorrhagic fever
^ESCTVH514890	VHF - Viral hemorrhagic fever
^ESCTVI253928	Viremia
^ESCTVI253929	Viral sepsis
^ESCTVI275471	Viral hepatitis A with hepatic coma
