^ESCT1165213	Olanzapine pamoate
^ESCTOL1022213	Olanzapine 20mg orodispersible tablets sugar free (Alliance Healthcare (Distribution) Ltd) 28 tablet
^ESCTOL1022508	Olanzapine 5mg orodispersible tablets sugar free (Dr Reddys Laboratories (UK) Ltd)
^ESCTOL1022509	Olanzapine 5mg orodispersible tablets sugar free (Dr Reddys Laboratories (UK) Ltd) 28 tablet
^ESCTOL1022510	Olanzapine 10mg orodispersible tablets sugar free (Dr Reddys Laboratories (UK) Ltd)
^ESCTOL1022511	Olanzapine 10mg orodispersible tablets sugar free (Dr Reddys Laboratories (UK) Ltd) 28 tablet
^ESCTOL1022512	Olanzapine 15mg orodispersible tablets sugar free (Dr Reddys Laboratories (UK) Ltd)
^ESCTOL1022513	Olanzapine 15mg orodispersible tablets sugar free (Dr Reddys Laboratories (UK) Ltd) 28 tablet
^ESCTOL1022514	Olanzapine 20mg orodispersible tablets sugar free (Dr Reddys Laboratories (UK) Ltd)
^ESCTOL1022515	Olanzapine 20mg orodispersible tablets sugar free (Dr Reddys Laboratories (UK) Ltd) 28 tablet
^ESCTOL1023575	Olanzapine 2.5mg tablets (Mylan Ltd)
^ESCTOL1023576	Olanzapine 2.5mg tablets (Mylan Ltd) 28 tablet 2 x 14 tablets
^ESCTOL1023589	Olanzapine 10mg tablets (Mylan Ltd)
^ESCTOL1023590	Olanzapine 10mg tablets (Mylan Ltd) 28 tablet 2 x 14 tablets
^ESCTOL1023591	Olanzapine 20mg tablets (Mylan Ltd)
^ESCTOL1023592	Olanzapine 20mg tablets (Mylan Ltd) 28 tablet 2 x 14 tablets
^ESCTOL1023593	Olanzapine 15mg tablets (Mylan Ltd)
^ESCTOL1023594	Olanzapine 15mg tablets (Mylan Ltd) 28 tablet 2 x 14 tablets
^ESCTOL1023595	Olanzapine 7.5mg tablets (Mylan Ltd)
^ESCTOL1023596	Olanzapine 7.5mg tablets (Mylan Ltd) 56 tablet 4 x 14 tablets
^ESCTOL1023597	Olanzapine 5mg tablets (Mylan Ltd)
^ESCTOL1023598	Olanzapine 5mg tablets (Mylan Ltd) 28 tablet 2 x 14 tablets
^ESCTOL1024180	Olanzapine 5mg tablets (Zentiva)
^ESCTOL1024181	Olanzapine 5mg tablets (Zentiva) 28 tablet 4 x 7 tablets
^ESCTOL1024214	Olanzapine 2.5mg tablets (Zentiva)
^ESCTOL1024215	Olanzapine 2.5mg tablets (Zentiva) 28 tablet 4 x 7 tablets
^ESCTOL1024220	Olanzapine 7.5mg tablets (Zentiva)
^ESCTOL1024222	Olanzapine 7.5mg tablets (Zentiva) 56 tablet 8 x 7 tablets
^ESCTOL1024223	Olanzapine 10mg tablets (Zentiva)
^ESCTOL1024224	Olanzapine 10mg tablets (Zentiva) 28 tablet 4 x 7 tablets
^ESCTOL1024609	Olanzapine 7.5mg tablets (Teva UK Ltd) 28 tablet 4 x 7 tablets
^ESCTOL1024953	Olanzapine 5mg orodispersible tablets (A A H Pharmaceuticals Ltd)
^ESCTOL1024954	Olanzapine 5mg orodispersible tablets (A A H Pharmaceuticals Ltd) 28 tablet 4 x 7 tablets
^ESCTOL1024955	Olanzapine 10mg orodispersible tablets (A A H Pharmaceuticals Ltd)
^ESCTOL1024956	Olanzapine 15mg orodispersible tablets (A A H Pharmaceuticals Ltd)
^ESCTOL1024958	Olanzapine 15mg orodispersible tablets (A A H Pharmaceuticals Ltd) 28 tablet 4 x 7 tablets
^ESCTOL1024959	Olanzapine 20mg orodispersible tablets (A A H Pharmaceuticals Ltd)
^ESCTOL1024961	Olanzapine 20mg orodispersible tablets (A A H Pharmaceuticals Ltd) 28 tablet 4 x 7 tablets
^ESCTOL1024963	Olanzapine 10mg orodispersible tablets (A A H Pharmaceuticals Ltd) 28 tablet 4 x 7 tablets
^ESCTOL1025849	Olanzapine 2.5mg tablets (Ranbaxy (UK) Ltd)
^ESCTOL1025852	Olanzapine 2.5mg tablets (Ranbaxy (UK) Ltd) 28 tablet 4 x 7 tablets
^ESCTOL1025854	Olanzapine 5mg tablets (Ranbaxy (UK) Ltd)
^ESCTOL1025855	Olanzapine 5mg tablets (Ranbaxy (UK) Ltd) 28 tablet 4 x 7 tablets
^ESCTOL1025856	Olanzapine 7.5mg tablets (Ranbaxy (UK) Ltd)
^ESCTOL1025857	Olanzapine 7.5mg tablets (Ranbaxy (UK) Ltd) 56 tablet 8 x 7 tablets
^ESCTOL1025858	Olanzapine 10mg tablets (Ranbaxy (UK) Ltd)
^ESCTOL1025859	Olanzapine 10mg tablets (Ranbaxy (UK) Ltd) 28 tablet 4 x 7 tablets
^ESCTOL1027826	Olanzapine 2.5mg tablets (Sandoz Ltd)
^ESCTOL1027829	Olanzapine 2.5mg tablets (Sandoz Ltd) 28 tablet
^ESCTOL1027834	Olanzapine 5mg tablets (Sandoz Ltd)
^ESCTOL1027835	Olanzapine 5mg tablets (Sandoz Ltd) 28 tablet
^ESCTOL1027836	Olanzapine 7.5mg tablets (Sandoz Ltd)
^ESCTOL1027837	Olanzapine 7.5mg tablets (Sandoz Ltd) 56 tablet
^ESCTOL1027842	Olanzapine 10mg tablets (Sandoz Ltd)
^ESCTOL1027843	Olanzapine 10mg tablets (Sandoz Ltd) 28 tablet
^ESCTOL1027849	Olanzapine 15mg tablets (Sandoz Ltd)
^ESCTOL1027851	Olanzapine 15mg tablets (Sandoz Ltd) 28 tablet
^ESCTOL1027856	Olanzapine 20mg tablets (Sandoz Ltd)
^ESCTOL1027859	Olanzapine 20mg tablets (Sandoz Ltd) 28 tablet
^ESCTOL1027866	Olanzapine 5mg orodispersible tablets sugar free (Sandoz Ltd)
^ESCTOL1027869	Olanzapine 5mg orodispersible tablets sugar free (Sandoz Ltd) 28 tablet
^ESCTOL1027870	Olanzapine 10mg orodispersible tablets sugar free (Sandoz Ltd)
^ESCTOL1027871	Olanzapine 10mg orodispersible tablets sugar free (Sandoz Ltd) 28 tablet
^ESCTOL1027872	Olanzapine 15mg orodispersible tablets sugar free (Sandoz Ltd)
^ESCTOL1027873	Olanzapine 15mg orodispersible tablets sugar free (Sandoz Ltd) 28 tablet
^ESCTOL1027874	Olanzapine 20mg orodispersible tablets sugar free (Sandoz Ltd)
^ESCTOL1027875	Olanzapine 20mg orodispersible tablets sugar free (Sandoz Ltd) 28 tablet
^ESCTOL1033602	Olanzapine 15mg tablets (Zentiva)
^ESCTOL1033603	Olanzapine 15mg tablets (Zentiva) 28 tablet
^ESCTOL1033604	Olanzapine 20mg tablets (Zentiva)
^ESCTOL1033605	Olanzapine 20mg tablets (Zentiva) 28 tablet
^ESCTOL1034072	Olanzapine 5mg orodispersible tablets (Zentiva)
^ESCTOL1034073	Olanzapine 5mg orodispersible tablets (Zentiva) 28 tablet
^ESCTOL1034074	Olanzapine 10mg orodispersible tablets (Zentiva)
^ESCTOL1034075	Olanzapine 10mg orodispersible tablets (Zentiva) 28 tablet
^ESCTOL1034076	Olanzapine 15mg orodispersible tablets (Zentiva)
^ESCTOL1034077	Olanzapine 15mg orodispersible tablets (Zentiva) 28 tablet
^ESCTOL1034078	Olanzapine 20mg orodispersible tablets (Zentiva)
^ESCTOL1034079	Olanzapine 20mg orodispersible tablets (Zentiva) 28 tablet
^ESCTOL1035326	Olanzapine 7.5mg tablets (A A H Pharmaceuticals Ltd) 28 tablet 4 x 7 tablets
^ESCTOL1041720	Olanzapine 5mg orodispersible tablets sugar free (Ranbaxy (UK) Ltd)
^ESCTOL1041721	Olanzapine 5mg orodispersible tablets sugar free (Ranbaxy (UK) Ltd) 28 tablet 4 x 7 tablets
^ESCTOL1041723	Olanzapine 10mg orodispersible tablets sugar free (Ranbaxy (UK) Ltd)
^ESCTOL1041724	Olanzapine 10mg orodispersible tablets sugar free (Ranbaxy (UK) Ltd) 28 tablet 4 x 7 tablets
^ESCTOL1041725	Olanzapine 15mg orodispersible tablets sugar free (Ranbaxy (UK) Ltd)
^ESCTOL1041726	Olanzapine 15mg orodispersible tablets sugar free (Ranbaxy (UK) Ltd) 28 tablet 4 x 7 tablets
^ESCTOL1041728	Olanzapine 20mg orodispersible tablets sugar free (Ranbaxy (UK) Ltd)
^ESCTOL1041731	Olanzapine 20mg orodispersible tablets sugar free (Ranbaxy (UK) Ltd) 28 tablet 4 x 7 tablets
^ESCTOL1041832	Olanzapine 2.5mg tablets (Waymade Healthcare Plc)
^ESCTOL1041833	Olanzapine 2.5mg tablets (Waymade Healthcare Plc) 28 tablet
^ESCTOL1041835	Olanzapine 5mg tablets (Waymade Healthcare Plc)
^ESCTOL1041837	Olanzapine 5mg tablets (Waymade Healthcare Plc) 28 tablet
^ESCTOL1041838	Olanzapine 7.5mg tablets (Waymade Healthcare Plc)
^ESCTOL1041839	Olanzapine 7.5mg tablets (Waymade Healthcare Plc) 28 tablet
^ESCTOL1041840	Olanzapine 7.5mg tablets (Waymade Healthcare Plc) 56 tablet
^ESCTOL1041850	Olanzapine 10mg tablets (Waymade Healthcare Plc)
^ESCTOL1041851	Olanzapine 10mg tablets (Waymade Healthcare Plc) 28 tablet
^ESCTOL1041852	Olanzapine 15mg tablets (Waymade Healthcare Plc)
^ESCTOL1041853	Olanzapine 15mg tablets (Waymade Healthcare Plc) 28 tablet
^ESCTOL1041854	Olanzapine 20mg tablets (Waymade Healthcare Plc)
^ESCTOL1041856	Olanzapine 20mg tablets (Waymade Healthcare Plc) 28 tablet
^ESCTOL1056450	Olanzapine 2.5mg/5ml oral suspension 70 ml
^ESCTOL1056451	Olanzapine 2.5mg/5ml oral suspension (Drug Tariff Special Order) 70 ml
^ESCTOL1057240	Olanzapine 10mg tablets (Accord Healthcare Ltd)
^ESCTOL1057241	Olanzapine 10mg tablets (Accord Healthcare Ltd) 28 tablet 2 x 14 tablets
^ESCTOL1057242	Olanzapine 15mg tablets (Accord Healthcare Ltd)
^ESCTOL1057244	Olanzapine 15mg tablets (Accord Healthcare Ltd) 28 tablet 2 x 14 tablets
^ESCTOL1057246	Olanzapine 2.5mg tablets (Accord Healthcare Ltd)
^ESCTOL1057249	Olanzapine 2.5mg tablets (Accord Healthcare Ltd) 28 tablet 2 x 14 tablets
^ESCTOL1057250	Olanzapine 5mg tablets (Accord Healthcare Ltd)
^ESCTOL1057251	Olanzapine 5mg tablets (Accord Healthcare Ltd) 28 tablet 2 x 14 tablets
^ESCTOL1057252	Olanzapine 7.5mg tablets (Accord Healthcare Ltd)
^ESCTOL1057253	Olanzapine 7.5mg tablets (Accord Healthcare Ltd) 28 tablet 2 x 14 tablets
^ESCTOL1061748	Olanzapine 5mg tablets (Milpharm Ltd)
^ESCTOL1061749	Olanzapine 5mg tablets (Milpharm Ltd) 28 tablet 2 x 14 tablets
^ESCTOL1061750	Olanzapine 10mg tablets (Milpharm Ltd)
^ESCTOL1061751	Olanzapine 10mg tablets (Milpharm Ltd) 28 tablet 2 x 14 tablets
^ESCTOL1061752	Olanzapine 15mg tablets (Milpharm Ltd)
^ESCTOL1061753	Olanzapine 15mg tablets (Milpharm Ltd) 28 tablet 2 x 14 tablets
^ESCTOL1061754	Olanzapine 20mg orodispersible tablets sugar free (Milpharm Ltd)
^ESCTOL1061755	Olanzapine 20mg orodispersible tablets sugar free (Milpharm Ltd) 28 tablet 2 x 14 tablets
^ESCTOL1098905	Olanzapine 20mg tablets (Accord Healthcare Ltd)
^ESCTOL1098906	Olanzapine 20mg tablets (Accord Healthcare Ltd) 28 tablet
^ESCTOL1118330	Olanzapine 10mg tablets (Sigma Pharmaceuticals Plc)
^ESCTOL1118331	Olanzapine 10mg tablets (Sigma Pharmaceuticals Plc) 28 tablet
^ESCTOL1118332	Olanzapine 15mg tablets (Sigma Pharmaceuticals Plc)
^ESCTOL1118333	Olanzapine 15mg tablets (Sigma Pharmaceuticals Plc) 28 tablet
^ESCTOL1118334	Olanzapine 2.5mg tablets (Sigma Pharmaceuticals Plc)
^ESCTOL1118335	Olanzapine 2.5mg tablets (Sigma Pharmaceuticals Plc) 28 tablet
^ESCTOL1118336	Olanzapine 20mg tablets (Sigma Pharmaceuticals Plc)
^ESCTOL1118337	Olanzapine 20mg tablets (Sigma Pharmaceuticals Plc) 28 tablet
^ESCTOL1118338	Olanzapine 5mg tablets (Sigma Pharmaceuticals Plc)
^ESCTOL1118339	Olanzapine 5mg tablets (Sigma Pharmaceuticals Plc) 28 tablet
^ESCTOL1118340	Olanzapine 7.5mg tablets (Sigma Pharmaceuticals Plc)
^ESCTOL1118341	Olanzapine 7.5mg tablets (Sigma Pharmaceuticals Plc) 56 tablet
^ESCTOL1119472	Olanzapine 7.5mg tablets (DE Pharmaceuticals)
^ESCTOL1119473	Olanzapine 7.5mg tablets (DE Pharmaceuticals) 56 tablet
^ESCTOL1119474	Olanzapine 10mg tablets (DE Pharmaceuticals)
^ESCTOL1119475	Olanzapine 10mg tablets (DE Pharmaceuticals) 28 tablet
^ESCTOL1119476	Olanzapine 15mg tablets (DE Pharmaceuticals)
^ESCTOL1119477	Olanzapine 15mg tablets (DE Pharmaceuticals) 28 tablet
^ESCTOL1119478	Olanzapine 20mg tablets (DE Pharmaceuticals)
^ESCTOL1119479	Olanzapine 5mg orodispersible tablets (DE Pharmaceuticals)
^ESCTOL1119480	Olanzapine 5mg orodispersible tablets (DE Pharmaceuticals) 28 tablet
^ESCTOL1119481	Olanzapine 10mg orodispersible tablets (DE Pharmaceuticals)
^ESCTOL1119482	Olanzapine 10mg orodispersible tablets (DE Pharmaceuticals) 28 tablet
^ESCTOL1119483	Olanzapine 15mg orodispersible tablets (DE Pharmaceuticals)
^ESCTOL1119484	Olanzapine 15mg orodispersible tablets (DE Pharmaceuticals) 28 tablet
^ESCTOL1119485	Olanzapine 20mg orodispersible tablets (DE Pharmaceuticals)
^ESCTOL1119486	Olanzapine 20mg orodispersible tablets (DE Pharmaceuticals) 28 tablet
^ESCTOL1119640	Olanzapine 20mg tablets (DE Pharmaceuticals) 28 tablet
^ESCTOL1126893	Olanzapine 20mg orodispersible tablets (Mawdsley-Brooks & Company Ltd)
^ESCTOL1126894	Olanzapine 20mg orodispersible tablets (Mawdsley-Brooks & Company Ltd) 28 tablet
^ESCTOL1126897	Olanzapine 2.5mg tablets (Mawdsley-Brooks & Company Ltd)
^ESCTOL1126898	Olanzapine 2.5mg tablets (Mawdsley-Brooks & Company Ltd) 28 tablet
^ESCTOL1126899	Olanzapine 5mg tablets (Mawdsley-Brooks & Company Ltd)
^ESCTOL1126900	Olanzapine 5mg tablets (Mawdsley-Brooks & Company Ltd) 28 tablet
^ESCTOL1127021	Olanzapine 5mg orodispersible tablets (Mawdsley-Brooks & Company Ltd)
^ESCTOL1127022	Olanzapine 5mg orodispersible tablets (Mawdsley-Brooks & Company Ltd) 28 tablet
^ESCTOL1127023	Olanzapine 10mg orodispersible tablets (Mawdsley-Brooks & Company Ltd)
^ESCTOL1127024	Olanzapine 10mg orodispersible tablets (Mawdsley-Brooks & Company Ltd) 28 tablet
^ESCTOL1127025	Olanzapine 15mg orodispersible tablets (Mawdsley-Brooks & Company Ltd)
^ESCTOL1127026	Olanzapine 15mg orodispersible tablets (Mawdsley-Brooks & Company Ltd) 28 tablet
^ESCTOL1142144	Olanzapine 2.5mg tablets (Kent Pharmaceuticals Ltd)
^ESCTOL1142147	Olanzapine 2.5mg tablets (Kent Pharmaceuticals Ltd) 28 tablet
^ESCTOL1142149	Olanzapine 5mg tablets (Kent Pharmaceuticals Ltd)
^ESCTOL1142151	Olanzapine 5mg tablets (Kent Pharmaceuticals Ltd) 28 tablet
^ESCTOL1142152	Olanzapine 7.5mg tablets (Kent Pharmaceuticals Ltd)
^ESCTOL1142153	Olanzapine 7.5mg tablets (Kent Pharmaceuticals Ltd) 56 tablet
^ESCTOL1142154	Olanzapine 10mg tablets (Kent Pharmaceuticals Ltd)
^ESCTOL1142156	Olanzapine 10mg tablets (Kent Pharmaceuticals Ltd) 28 tablet
^ESCTOL1142162	Olanzapine 15mg tablets (Kent Pharmaceuticals Ltd)
^ESCTOL1142163	Olanzapine 15mg tablets (Kent Pharmaceuticals Ltd) 28 tablet
^ESCTOL1142165	Olanzapine 20mg tablets (Kent Pharmaceuticals Ltd)
^ESCTOL1142167	Olanzapine 20mg tablets (Kent Pharmaceuticals Ltd) 28 tablet
^ESCTOL1144119	Olanzapine 12.5mg/5ml oral suspension 1 ml
^ESCTOL1144120	Olanzapine 12.5mg/5ml oral suspension (Special Order)
^ESCTOL1144121	Olanzapine 12.5mg/5ml oral suspension (Special Order) 1 ml
^ESCTOL1144163	Olanzapine 12.5mg/5ml oral suspension
^ESCTOL1144417	Olanzapine 15mg/5ml oral solution 1 ml
^ESCTOL1144418	Olanzapine 15mg/5ml oral solution (Special Order)
^ESCTOL1144419	Olanzapine 15mg/5ml oral solution (Special Order) 1 ml
^ESCTOL1144554	Olanzapine 15mg/5ml oral solution
^ESCTOL680468	Olanzapine 10mg powder for injection
^ESCTOL680469	Olanzapine 10mg injection (pdr for recon)
^ESCTOL729998	Olanzapine 405mg powder for injection suspension
^ESCTOL730491	Olanzapine 210mg powder for injection suspension
^ESCTOL730492	Olanzapine 300mg powder for injection suspension
^ESCTOL839957	Olanzapine 15mg oral lyophilisates sugar free 28 tablet
^ESCTOL847453	Olanzapine 7.5mg tablets 56 tablet
^ESCTOL847551	Olanzapine 15mg tablets 28 tablet
^ESCTOL847652	Olanzapine 10mg oral lyophilisates sugar free 28 tablet
^ESCTOL847827	Olanzapine 2.5mg tablets 28 tablet
^ESCTOL847876	Olanzapine 5mg oral lyophilisates sugar free 28 tablet
^ESCTOL847999	Olanzapine 5mg tablets 28 tablet
^ESCTOL848739	Olanzapine 10mg tablets 28 tablet
^ESCTOL848793	Olanzapine 10mg tablets 56 tablet
^ESCTOL878476	Olanzapine 7.5mg tablets 28 tablet
^ESCTOL880721	Olanzapine 10mg powder for solution for injection vials 1 vial
^ESCTOL924313	Olanzapine 20mg oral lyophilisates sugar free 28 tablet
^ESCTOL933842	Olanzapine 20mg tablets 28 tablet
^ESCTOL967606	Olanzapine 2.5mg/5ml oral solution 1 ml
^ESCTOL967608	Olanzapine 2.5mg/5ml oral solution (Special Order)
^ESCTOL967609	Olanzapine 2.5mg/5ml oral solution (Special Order) 1 ml
^ESCTOL967610	Olanzapine 2.5mg/5ml oral suspension 1 ml
^ESCTOL967611	Olanzapine 2.5mg/5ml oral suspension (Drug Tariff Special Order)
^ESCTOL967612	Olanzapine 2.5mg/5ml oral suspension (Drug Tariff Special Order) 1 ml
^ESCTOL968002	Olanzapine 2.5mg/5ml oral solution
^ESCTOL968003	Olanzapine 2.5mg/5ml oral suspension
^ESCTOL975144	Olanzapine 10mg oral lyophilisates sugar free 56 tablet
^ESCTOL982279	Olanzapine 5mg tablets (A A H Pharmaceuticals Ltd)
^ESCTOL982280	Olanzapine 5mg tablets (A A H Pharmaceuticals Ltd) 28 tablet
^ESCTOL983557	Olanzapine 1.25mg/5ml oral solution 1 ml
^ESCTOL983561	Olanzapine 1.25mg/5ml oral solution (Special Order)
^ESCTOL983566	Olanzapine 1.25mg/5ml oral solution (Special Order) 1 ml
^ESCTOL983578	Olanzapine 1.25mg/5ml oral suspension 1 ml
^ESCTOL983585	Olanzapine 1.25mg/5ml oral suspension (Special Order)
^ESCTOL983593	Olanzapine 1.25mg/5ml oral suspension (Special Order) 1 ml
^ESCTOL983701	Olanzapine 1.25mg/5ml oral solution
^ESCTOL983702	Olanzapine 1.25mg/5ml oral suspension
^ESCTOL997666	Olanzapine embonate 210mg powder and solvent for suspension for injection vials 1 vial
^ESCTOL997672	Olanzapine embonate 300mg powder and solvent for suspension for injection vials 1 vial
^ESCTOL997677	Olanzapine embonate 405mg powder and solvent for suspension for injection vials 1 vial
^ESCTOL997941	Olanzapine embonate
^ESCTZA1021337	Zalasta 2.5mg tablets (Consilient Health Ltd) 28 tablet 4 x 7 tablets
^ESCTZA1021339	Zalasta 5mg tablets (Consilient Health Ltd) 28 tablet 4 x 7 tablets
^ESCTZA1021341	Zalasta 7.5mg tablets (Consilient Health Ltd) 56 tablet 8 x 7 tablets
^ESCTZA1021343	Zalasta 10mg tablets (Consilient Health Ltd) 28 tablet 4 x 7 tablets
^ESCTZA1021345	Zalasta 15mg tablets (Consilient Health Ltd) 28 tablet 4 x 7 tablets
^ESCTZA1021347	Zalasta 20mg tablets (Consilient Health Ltd) 28 tablet 4 x 7 tablets
^ESCTZA1021521	Zalasta 5mg orodispersible tablets (Consilient Health Ltd) 28 tablet 4 x 7 tablets
^ESCTZA1021536	Zalasta 10mg orodispersible tablets (Consilient Health Ltd) 28 tablet 4 x 7 tablets
^ESCTZA1021538	Zalasta 15mg orodispersible tablets (Consilient Health Ltd) 28 tablet 4 x 7 tablets
^ESCTZA1021540	Zalasta 20mg orodispersible tablets (Consilient Health Ltd) 28 tablet 4 x 7 tablets
^ESCTZA936021	Zalasta
^ESCTZY1001797	Zyprexa 2.5mg tablets (Mawdsley-Brooks & Company Ltd)
^ESCTZY1001798	Zyprexa 2.5mg tablets (Mawdsley-Brooks & Company Ltd) 28 tablet
^ESCTZY1001799	Zyprexa 5mg tablets (Mawdsley-Brooks & Company Ltd)
^ESCTZY1001800	Zyprexa 5mg tablets (Mawdsley-Brooks & Company Ltd) 28 tablet
^ESCTZY1001801	Zyprexa 7.5mg tablets (Mawdsley-Brooks & Company Ltd)
^ESCTZY1001802	Zyprexa 7.5mg tablets (Mawdsley-Brooks & Company Ltd) 56 tablet
^ESCTZY1001803	Zyprexa 7.5mg tablets (Mawdsley-Brooks & Company Ltd) 28 tablet
^ESCTZY1001804	Zyprexa 10mg Velotabs (Mawdsley-Brooks & Company Ltd)
^ESCTZY1001805	Zyprexa 10mg Velotabs (Mawdsley-Brooks & Company Ltd) 28 tablet
^ESCTZY1001806	Zyprexa 15mg Velotabs (Mawdsley-Brooks & Company Ltd)
^ESCTZY1001807	Zyprexa 10mg tablets (Mawdsley-Brooks & Company Ltd)
^ESCTZY1001808	Zyprexa 10mg tablets (Mawdsley-Brooks & Company Ltd) 28 tablet
^ESCTZY1001809	Zyprexa 15mg tablets (Mawdsley-Brooks & Company Ltd)
^ESCTZY1001810	Zyprexa 15mg tablets (Mawdsley-Brooks & Company Ltd) 28 tablet
^ESCTZY1001811	Zyprexa 20mg tablets (Mawdsley-Brooks & Company Ltd)
^ESCTZY1001812	Zyprexa 20mg tablets (Mawdsley-Brooks & Company Ltd) 28 tablet
^ESCTZY1001813	Zyprexa 5mg Velotabs (Mawdsley-Brooks & Company Ltd)
^ESCTZY1001814	Zyprexa 5mg Velotabs (Mawdsley-Brooks & Company Ltd) 28 tablet
^ESCTZY1001815	Zyprexa 20mg Velotabs (Mawdsley-Brooks & Company Ltd)
^ESCTZY1001816	Zyprexa 20mg Velotabs (Mawdsley-Brooks & Company Ltd) 28 tablet
^ESCTZY1001826	Zyprexa 15mg Velotabs (Mawdsley-Brooks & Company Ltd) 28 tablet
^ESCTZY1002872	Zyprexa 10mg tablets (Sigma Pharmaceuticals Plc) 56 tablet
^ESCTZY1007270	Zyprexa 7.5mg tablets (Lexon (UK) Ltd)
^ESCTZY1007272	Zyprexa 7.5mg tablets (Lexon (UK) Ltd) 28 tablet
^ESCTZY1008616	Zyprexa 7.5mg tablets (Necessity Supplies Ltd)
^ESCTZY1008617	Zyprexa 7.5mg tablets (Necessity Supplies Ltd) 56 tablet
^ESCTZY1008618	Zyprexa 10mg tablets (Necessity Supplies Ltd)
^ESCTZY1008619	Zyprexa 10mg tablets (Necessity Supplies Ltd) 28 tablet
^ESCTZY1008620	Zyprexa 10mg tablets (Necessity Supplies Ltd) 56 tablet
^ESCTZY1008621	Zyprexa 15mg tablets (Necessity Supplies Ltd)
^ESCTZY1008623	Zyprexa 15mg tablets (Necessity Supplies Ltd) 28 tablet
^ESCTZY1008625	Zyprexa 2.5mg tablets (Necessity Supplies Ltd)
^ESCTZY1008626	Zyprexa 2.5mg tablets (Necessity Supplies Ltd) 28 tablet
^ESCTZY1008628	Zyprexa 5mg tablets (Necessity Supplies Ltd)
^ESCTZY1008630	Zyprexa 5mg tablets (Necessity Supplies Ltd) 28 tablet
^ESCTZY1008634	Zyprexa 10mg Velotabs (Necessity Supplies Ltd)
^ESCTZY1008635	Zyprexa 10mg Velotabs (Necessity Supplies Ltd) 28 tablet
^ESCTZY1008637	Zyprexa 15mg Velotabs (Necessity Supplies Ltd)
^ESCTZY1008638	Zyprexa 15mg Velotabs (Necessity Supplies Ltd) 28 tablet
^ESCTZY1008641	Zyprexa 5mg Velotabs (Necessity Supplies Ltd)
^ESCTZY1008642	Zyprexa 5mg Velotabs (Necessity Supplies Ltd) 28 tablet
^ESCTZY1012344	Zyprexa 15mg Velotabs (DE Pharmaceuticals)
^ESCTZY1012350	Zyprexa 15mg Velotabs (DE Pharmaceuticals) 28 tablet
^ESCTZY1025184	Zyprexa 5mg Velotabs (Lexon (UK) Ltd)
^ESCTZY1025185	Zyprexa 5mg Velotabs (Lexon (UK) Ltd) 28 tablet
^ESCTZY1025186	Zyprexa 10mg Velotabs (Lexon (UK) Ltd)
^ESCTZY1025187	Zyprexa 10mg Velotabs (Lexon (UK) Ltd) 28 tablet
^ESCTZY1025188	Zyprexa 15mg Velotabs (Lexon (UK) Ltd)
^ESCTZY1025189	Zyprexa 15mg Velotabs (Lexon (UK) Ltd) 28 tablet
^ESCTZY1025190	Zyprexa 20mg Velotabs (Lexon (UK) Ltd)
^ESCTZY1025191	Zyprexa 20mg Velotabs (Lexon (UK) Ltd) 28 tablet
^ESCTZY853963	Zyprexa 2.5mg tablets (Eli Lilly and Company Ltd) 28 tablet 4 x 7 tablets
^ESCTZY853965	Zyprexa 7.5mg tablets (Eli Lilly and Company Ltd) 56 tablet 8 x 7 tablets
^ESCTZY853967	Zyprexa 5mg tablets (Eli Lilly and Company Ltd) 28 tablet 4 x 7 tablets
^ESCTZY853969	Zyprexa 10mg tablets (Eli Lilly and Company Ltd) 28 tablet 4 x 7 tablets
^ESCTZY853970	Zyprexa 10mg tablets (Eli Lilly and Company Ltd) 56 tablet 8 x 7 tablets
^ESCTZY854009	Zyprexa 10mg Velotabs (Eli Lilly and Company Ltd) 28 tablet 4 x 7 tablets
^ESCTZY854010	Zyprexa 5mg Velotabs (Eli Lilly and Company Ltd) 28 tablet 4 x 7 tablets
^ESCTZY856636	Zyprexa 15mg Velotabs (Eli Lilly and Company Ltd) 28 tablet 4 x 7 tablets
^ESCTZY856638	Zyprexa 15mg tablets (Eli Lilly and Company Ltd) 28 tablet 4 x 7 tablets
^ESCTZY878471	Zyprexa 2.5mg tablets (Waymade Healthcare Plc)
^ESCTZY878472	Zyprexa 2.5mg tablets (Waymade Healthcare Plc) 28 tablet
^ESCTZY878473	Zyprexa 5mg tablets (Waymade Healthcare Plc)
^ESCTZY878474	Zyprexa 5mg tablets (Waymade Healthcare Plc) 28 tablet
^ESCTZY878475	Zyprexa 7.5mg tablets (Waymade Healthcare Plc)
^ESCTZY878477	Zyprexa 7.5mg tablets (Waymade Healthcare Plc) 28 tablet
^ESCTZY878478	Zyprexa 7.5mg tablets (Waymade Healthcare Plc) 56 tablet
^ESCTZY878479	Zyprexa 10mg tablets (Waymade Healthcare Plc)
^ESCTZY878480	Zyprexa 10mg tablets (Waymade Healthcare Plc) 28 tablet
^ESCTZY878490	Zyprexa 5mg Velotabs (Waymade Healthcare Plc)
^ESCTZY878493	Zyprexa 5mg Velotabs (Waymade Healthcare Plc) 28 tablet
^ESCTZY878494	Zyprexa 10mg Velotabs (Waymade Healthcare Plc)
^ESCTZY878495	Zyprexa 10mg Velotabs (Waymade Healthcare Plc) 28 tablet
^ESCTZY880725	Zyprexa 10mg powder for solution for injection vials (Eli Lilly and Company Ltd) 1 vial
^ESCTZY917462	Zyprexa
