ACGE9236HILLI	Actonorm  Gel  
MESU24200EMIS	Mesalazine  Suppositories  1 gram
VEPO90870NEMIS	Vedolizumab  Powder for solution for infusion  300 mg vial
BISU33972MGEMIS	Bisacodyl  Suppositories  10 mg (Unichem)
CITA34352MGEMIS	Cimetidine  Tablets  800 mg (Unichem)
ATTA33902MGEMIS	Atropine Sulfate  Tablets  600 micrograms (A.A.H. Pharm)
SESY138550NEMIS	Senokot 12 Years Plus  Syrup  7.5 mg/5 ml
SETA36935MGEMIS	Senna  Tablets  7.5 mg (Thornton & Ross)
COCA34448MGEMIS	Co-Danthramer Strong  Capsules  (Napp)
LOTA1687	Lomotil  Tablets  
LITA8608EGTON	Lisinopril  Tablets  10 mg
SETA36937MGEMIS	Senna  Tablets  7.5 mg (Aspar)
RECH51625NEMIS	Remegel  Chewable tablets  800 mg, mint
ROTA15071NEMIS	Rosuvastatin  Tablets  20 mg
BUEN30008EMIS	Budesonide  Enema  20 micrograms/ml, 100 ml enema
BURE25774NEMIS	Budesonide  Rectal Foam Enema  2 mg, 14 dose can
AXCA9142BRIDL	Axid  Capsules  300 mg
FRSO34644EMIS	Frusol  Solution  20 mg/5 ml
SPCA4334	Spasmonal  Capsules  60 mg
URTA37355MGEMIS	Ursodeoxycholic Acid  Tablets  150 mg (Unichem)
IMCA125201NEMIS	Imodium Ibs Relief  Capsules  2 mg
OMCA36318MGEMIS	Omeprazole  Capsules  40 mg (Kent Pharm)
CITA138193NEMIS	Cimetidine (Imported)  Tablets  800 mg
SOOR40338NEMIS	Sodium Bicarbonate  Oral Solution, Sugar Free  1 mmol/ml
EMTA8949BRIDL	Bisoprolol Fumarate  Tablets  10 mg
URTA32286EMIS	Ursodeoxycholic Acid  Tablets  300 mg
RATA36873MGEMIS	Ranitidine  Tablets  300 mg (Alpharma)
SOCH19664NEMIS	Sodium Alginate And Potassium Bicarbonate  Chewable Tablets Sugar Free  500 mg + 100 mg
HYRE18529NEMIS	Hydrocortisone And Pramocaine  Rectal foam  1 % + 1 % per dose
GLOR89408NEMIS	Glycopyrronium Bromide  Oral suspension  500 micrograms/5 ml
S-OR140363NEMIS	NULL
CITA34329MGEMIS	Cimetidine  Tablets  200 mg (Generics (UK))
MEOR33484NEMIS	Mesalazine  Oral suspension  500 mg/5 ml
SETA36931MGEMIS	Senna  Tablets  7.5 mg (A.A.H. Pharm)
MOTA1866	Moduret 25  Tablets  
ALTA6749	Alexitol Sodium  Tablets  360 mg
ASM/28978NEMIS	Asacol Mr  Gastro-resistant Tablets  800 mg
RATA36872MGEMIS	Ranitidine  Tablets  300 mg (Ranbaxy)
LITA8611EGTON	Lisinopril  Tablets  5 mg
COOR124311NEMIS	Co-Magaldrox 175/200  Oral Suspension Sugar Free  
FATA35020MGEMIS	Famotidine  Tablets  40 mg (Teva UK)
CIIN623	Cimetidine  Injection  100 mg/ml, 2 ml ampoule
NICA36239MGEMIS	Nizatidine  Capsules  150 mg (Unichem)
BIOR33332NEMIS	Bismuth Subsalicylate  Oral Suspension Sugar Free  87.5 mg/5 ml
MEGA27795NEMIS	Mezavant Xl  Gastro-resistant M/R Tablets  1.2 grams
IMCA52818NEMIS	Imodium Classic  Capsules  2 mg
AMCA82702NEMIS	Amitiza  Capsules  24 micrograms
COOR100555NEMIS	Cosmocol Plain  Oral powder  
PETA5855	Pepcid  Tablets  20 mg
PRSU20313EMIS	Prepulsid  Suspension  5 mg/5 ml
MOLI51058NEMIS	Movicol  Liquid  
STSA5086NEMIS	Sterculia And Frangula  Sachets  62 % + 8 %, 7 grams/sachet, gluten free
SUEN78641NEMIS	Sucralfate  Enema  2 gram/20 ml
MACO35861MGEMIS	Magnesium Trisilicate  Compound tablets  (A.A.H. Pharm)
FATA10123BRIDL	Famotidine  Tablets  40 mg
MAOR122375NEMIS	Macrogol 3350  Oral Powder, Sugar Free  8.5 gram sachet
URTA5490	Ursodeoxycholic Acid  Tablets  150 mg
KAMI3796	Kaodene  Mixture  
RACA57NEMIS	Ramipril  Capsules  10 mg
MOOR117669NEMIS	Molative Paediatric  Oral powder  6.9 gram sachet
RATA16402NEMIS	Ramipril  Tablets  10 mg
URSU1906NEMIS	Ursodeoxycholic Acid  Sugar-free suspension  250 mg/5 ml
PELI20930NEMIS	Peptac  Liquid (peppermint)  
ALTA10467BRIDL	Alimix  Tablets  10 mg
CIPO27040NEMIS	Citrafleet  Powder For Oral Solution  16.11 gram sachets
MALI35866MGEMIS	Magnesium Trisilicate Mixture  Liquid  (Vantage)
PRTA2393	Propranolol Hydrochloride  Tablets  10 mg
ENIN9286EMIS	Enoxaparin  Injection  40 mg/0.4 ml pre-filled syringe
RATA36877MGEMIS	Ranitidine  Tablets  300 mg (Ivax Pharmaceuticals)
GLOR42931NEMIS	Glycopyrronium Bromide  Oral solution  500 micrograms/5 ml
COSA21955EMIS	Colestid Orange  Sachets  5 grams/sachet
CLIN12836NEMIS	Clexane Forte  Injection  150 mg/1 ml, pre-filled syringe
CACH51623NEMIS	Calcium Carbonate  Chewable tablets  800 mg
SOTA6816	Sotalol Hydrochloride  Tablets  40 mg
MEM/98847NEMIS	Mesalazine  M/R Granules Sugar Free  4 gram/sachet
RAEF36855MGEMIS	Ranitidine  Effervescent tablets  300 mg (Unichem)
LOPO4911NEMIS	Losec  Powder with solvent for injection  40 mg vial
OMCA36307MGEMIS	Omeprazole  Capsules  20 mg (Sterwin Medicines)
RESA28574EMIS	Regulan  Sachets (lemon/lime)  3.4 grams/sachet
VATA19082NEMIS	Valsartan  Tablets  40 mg
URTA32284EMIS	Urdox  Tablets  300 mg
FYEF23543EMIS	Fybogel Mebeverine  Effervescent granules  
FLEN3596	Fletchers Phosphate  Enema  standard tube
SETA20931NEMIS	Senna  Tablets  15 mg
DOPA542NEMIS	Docusate Sodium  Paediatric Oral Solution  Sugar Free 12.5 mg/5 ml
MEGA133916NEMIS	Mesalazine  Gastro-resistant Tablets  1.6 grams
FRTA1249	Frusemide  Tablets  40 mg
XETA124811NEMIS	Xermelo  Tablets  250 mg
BEME124791NEMIS	Belladonna  Medicated Plaster  9.5 cm x 12.5 cm
CIEF9243EMIS	Cimetidine  Effervescent tablets  400 mg
CIEF9052EMIS	Citramag  Effervescent powder  sachets
URSU1907NEMIS	Ursofalk  Sugar-free suspension  250 mg/5 ml
PRFO5322	Prednisolone  Foam  20 mg/application
LOTA37619MGEMIS	Loperamide Hydrochloride  Tablets  2 mg (Unichem)
CISU19977NEMIS	Cinchocaine Hydrochloride And Hydrocortisone  Suppositories  5 mg + 5 mg
MEFO24953EMIS	Mesalazine  Foam enema  1 gram per dose
LACA24446EMIS	Lansoprazole  Capsules (Gastro-Resistant)  30 mg
DICA24276EMIS	Diocaps  Capsules  2 mg
TATA2777	Tagamet  Tablets  800 mg
ACOR124095NEMIS	Acidex Advance  Oral suspension (peppermint)  
MALI35867MGEMIS	Magnesium Trisilicate Mixture  Liquid  (Thornton & Ross)
CITA34355MGEMIS	Cimetidine  Tablets  800 mg (Ranbaxy)
OMIN931NEMIS	Omeprazole  Powder for solution for infusion  40 mg vial
SAGA47515NEMIS	Salofalk  Gastro-resistant Tablets  500 mg
NICA36235MGEMIS	Nizatidine  Capsules  150 mg (Kent Pharm)
ENIN3348NEMIS	Enoxaparin  Injection  120 mg/0.8 ml pre-filled syringe
ESTA5126NEMIS	Esomeprazole  Gastro-resistant Tablets  40 mg
GACH19665NEMIS	Gaviscon Advance  Chewable Tablets Sugar Free  Mint
PRTA2395	Propranolol Hydrochloride  Tablets  40 mg
DACA51688NEMIS	Dabigatran Etexilate  Capsules  150 mg
ZAIN3089	Zantac  Solution for injection  25 mg/ml, 2 ml ampoule
PETA9809HILLI	Perindopril Erbumine  Tablets  2 mg
ANSU22834EMIS	Antepsin  Suspension  1 gram/5 ml
GLSU35300MGEMIS	Glycerol (Infant)  Suppositories  1 gram (A.A.H. Pharm)
FIGR20242NEMIS	Fibrelief  Granules for Oral Suspension  Natural, 3.5 grams/sachet
GALI8405EGTON	Gastrocote  Liquid  
MACA83102NEMIS	Magnesite  Capsules  500 mg
ANSU19252NEMIS	Antacid And Oxetacaine  Oral suspension  
LIOR10494BRIDL	Liquid Paraffin  Oral emulsion  
MEGA52633NEMIS	Mesalazine  Gastro-resistant M/R granules  3 gram/sachet, sugar free
PAIN35340EMIS	Pantoprazole  Powder For Solution For Injection  40 mg/vial
GALI34400NEMIS	Gaviscon Double Action Liquid  Liquid (aniseed)  
RAEF36847MGEMIS	Ranitidine  Effervescent tablets  150 mg (Alpharma)
COCA34444MGEMIS	Co-Danthramer 25/200  Capsules  (Napp)
LOOR89412NEMIS	Loperamide Hydrochloride  Oral solution  25 mg/5 ml
ORCU76740NEMIS	Ortisan Fruits And Fibre  Cubes  
BISU33970MGEMIS	Bisacodyl  Suppositories  10 mg (A.A.H. Pharm)
ASE/24520EMIS	Aspirin  E/c tablets  75 mg
MATA105657NEMIS	Magdose  Tablets  160 mg
MATA3861	Maalox Plus  Tablets  
DICA23705EMIS	Dioctyl  Capsules  100 mg
OMCA36340MGEMIS	Omeprazole  Capsules  10 mg (Winthrop Pharmaceuticals )
SUTA38267MGEMIS	Sulfasalazine  Tablets  500 mg (Alpharma)
CAOI37842MGEMIS	Castor  Oil  BP (Thornton & Ross)
GLOR27610NEMIS	Glycopyrronium Bromide  Oral solution  1 mg/5 ml
GATA28651EMIS	Gaviscon  Tablets (peppermint)  
OCTA121237NEMIS	Ocaliva  Tablets  5 mg
ASTA5694	Aspirin Dispersible Low Dose  Tablets  75 mg
ANTA5865	Antepsin  Tablets  1 g
JOOR127696NEMIS	Jorveza  Orodispersible tablets  1 mg
DOAD347NEMIS	Docusate Sodium  Adult Oral Solution  Sugar Free 50 mg/5 ml
SOOR45628NEMIS	Sodium Bicarbonate  Oral suspension  420 mg/5 ml (1 mmol/ml)
OMCA36323MGEMIS	Omeprazole  Capsules  40 mg (Teva UK)
PATA34090EMIS	Pariet  E/c tablets  10 mg
BIOR45704NEMIS	Bisacodyl  Oral suspension  2.5 mg/5 ml
PEE/4784NEMIS	Peppermint Oil  E/C, M/R capsules  0.2 ml
PELI34113EMIS	Peptac  Liquid  (aniseed)
SASU4298	Salazopyrin  Suppositories  500 mg
ZATA32170EMIS	Zaedoc 150  Tablets  150 mg
OMCA36334MGEMIS	Omeprazole  Capsules  10 mg (Unichem)
OMCA36311MGEMIS	Omeprazole  Capsules  20 mg (Wockhardt UK)
IZCO106511NEMIS	Izinova  Concentrate For Oral Solution  
GACH135296NEMIS	Gaviscon Double Action  Chewable tablets  Mixed Berries
GLSU35302MGEMIS	Glycerol (Infant)  Suppositories  1 gram (Martindale)
CLTA30106NEMIS	Clopidogrel  Tablets  300 mg
CATA31825EMIS	Candesartan Cilexetil  Tablets  2 mg
DITA17628NEMIS	Dicycloverine  Tablets  20 mg
BACA31633EMIS	Balsalazide Sodium  Capsules  750 mg
CITA34346MGEMIS	Cimetidine  Tablets  400 mg (Kent Pharm)
IRTA31578EMIS	Irbesartan  Tablets  75 mg
MEM/23703EMIS	Mesalazine  M/R tablets  500 mg
ATTA230	Atenolol  Tablets  100 mg
ZIGA134768NEMIS	Zintasa Ec  Gastro-resistant Tablets  400 mg
SAGA126933NEMIS	Salofalk  Gastro-resistant Tablets  1 gram
BITA381	Bisacodyl  E/c tablets  5 mg
LACA35652MGEMIS	Lansoprazole  Capsules (Gastro-Resistant)  30 mg (Kent Pharm)
MOOR38718NEMIS	Molaxole  Oral powder  13.8 grams/sachet
CITA34337MGEMIS	Cimetidine  Tablets  200 mg (Teva UK)
SEGR2537	Senokot  Granules  15 mg/5 ml
SCSU2504	Scheriproct  Suppositories  
RACA8950EMIS	Ramipril  Capsules  1.25 mg
CITA10337BRIDL	Cisapride  Tablets  10 mg
OCGA133917NEMIS	Octasa Mr  Gastro-resistant Tablets  1.6 grams
OMCA36308MGEMIS	Omeprazole  Capsules  20 mg (Ivax Pharmaceuticals)
AUCA51042NEMIS	Audmonal  Capsules  60 mg
ARMI5902	Aromatic Chalk With Opium  Mixture  
ROTA15072NEMIS	Rosuvastatin  Tablets  40 mg
UNOI21983EMIS	Uniroid Hc  Ointment  
PRTA5341	Propantheline Bromide  Tablets  15 mg
GACH36665NEMIS	Gaviscon Cool  Chewable tablets  
GLOI11103NEMIS	Glyceryl Trinitrate  Ointment  0.2 %
CHTA116562NEMIS	Cholurso  Tablets  500 mg
LASO35673MGEMIS	Lactulose  Solution  3.35 g/5 ml (Ivax Pharmaceuticals)
NACA10574BRIDL	Naftidrofuryl Oxalate  Capsules  100 mg
LAOR45103NEMIS	Laxido Orange  Oral Powder Sachets Sugar Free  
GESP15486NEMIS	Germoloids Hc  Spray  
EMGA45519NEMIS	Emozul  Gastro-resistant Capsules  20 mg
CITA34331MGEMIS	Cimetidine  Tablets  200 mg (Kent Pharm)
FATA138196NEMIS	Famotidine (Imported)  Tablets  40 mg
ALTA3157	Aluminium Hydroxide  Tablets  Chewable 500 mg
PETA9082BRIDL	Pepcid  Tablets  40 mg
COCA26267EMIS	Co-Danthramer Strong  Capsules  37.5 mg + 500 mg
PRTA29717EMIS	Protium  E/c tablets  40 mg
SITA10076BRIDL	Simvastatin  Tablets  10 mg
MEM/30152NEMIS	Mesalazine  M/R Granules Sugar Free  2 gram/sachet
BIEN126277NEMIS	Bisacodyl  Enema  10 mg/30 ml
EZTA15249NEMIS	Ezetimibe  Tablets  10 mg
BUCA35545EMIS	Budenofalk  Capsules (Gastro-Resistant)  3 mg
SETA2539	Senokot  Tablets  7.5 mg
DECO1115NEMIS	Dentinox  Colic Drops  21 mg/2.5 ml
BIRE30577EMIS	Bisacodyl  Rectal solution  0.274 %
RAEF36846MGEMIS	Ranitidine  Effervescent tablets  150 mg (A.A.H. Pharm)
NICA6794	Nizatidine  Capsules  150 mg
COOR88761NEMIS	Cosmocol Orange Lemon And Lime  Oral powder sachets  
ENSO136658NEMIS	Entyvio  Solution for injection  108 mg/0.68 ml pre-filled pen
RAEF36852MGEMIS	Ranitidine  Effervescent tablets  300 mg (Sandoz)
BIE/33984MGEMIS	Bisacodyl  E/c tablets  5 mg (A.A.H. Pharm)
GLSU37806MGEMIS	Glycerol (Adult)  Suppositories  4 gram (Alpharma)
SATA2478	Salazopyrin  Tablets  500 mg
SUTA38268MGEMIS	Sulfasalazine  Tablets  500 mg (Unichem)
MACA105654NEMIS	Magdose  Capsules  160 mg
PAGR10592BRIDL	Pancrex  Granules  
ATTA33905MGEMIS	Atropine Sulfate  Tablets  600 micrograms (Unichem)
ASTA139731NEMIS	NULL
LASO35668MGEMIS	Lactulose  Solution  3.35 g/5 ml (Kent Pharm)
PEM/51815NEMIS	Pentasa  M/R tablets  1 gram
GACH36668NEMIS	Gaviscon Extra Strength  Chewable tablets  Lemon
BETA302	Bendrofluazide  Tablets  2.5 mg
COOR100557NEMIS	Cosmocol Half  Oral powder  6.9 grams/sachet
GLOR38707NEMIS	Glycopyrronium Bromide  Oral suspension  1 mg/5 ml
NOMI9581EMIS	Norgalax  Micro-enema  120 mg/10 gram enema
META10038BRIDL	Merbentyl  Tablets  20 mg
META1734	Mebeverine Hydrochloride  Tablets  135 mg
LITA8609EGTON	Lisinopril  Tablets  2.5 mg
ZICA26141EMIS	Zinga  Capsules  150 mg
EMGA45520NEMIS	Emozul  Gastro-resistant Capsules  40 mg
MICA5851	Mintec  E/c capsules  0.2 ml
DITA28175EMIS	Dipentum  Tablets  500 mg
NUE/24518EMIS	Nu-Seals Aspirin  E/c tablets  75 mg
LILI35746MGEMIS	Liquid Paraffin B.P.  Liquid  (A.A.H. Pharm)
DIM/30235EMIS	Diltiazem Hydrochloride  M/R tablets  60 mg
LOTA796NEMIS	Loperamide Hydrochloride  Tablets  2 mg
AMTA113	Amiodarone  Tablets  200 mg
SUE/38259MGEMIS	Sulfasalazine  E/c tablets  500 mg (A.A.H. Pharm)
AUCA51044NEMIS	Audmonal Forte  Capsules  120 mg
LAOR46484NEMIS	Lansoprazole  Oral suspension  15 mg/5 ml
DUTA1005	Dulcolax  E/c tablets  5 mg
CITA138191NEMIS	Cimetidine (Imported)  Tablets  200 mg
ROTA21335NEMIS	Rosuvastatin  Tablets  5 mg
BITA2332NEMIS	Bisoprolol Fumarate  Tablets  1.25 mg
KAMI37783MGEMIS	Kaolin  Mixture  BP (Unichem)
GLOR36209NEMIS	Glycopyrronium Bromide  Oral solution  5 mg/5 ml
SAGA33313NEMIS	Salofalk  Gastro-resistant M/R granules  1.5 gram/sachet
MATA1721	Marevan  Tablets  3 mg
VACA29706EMIS	Valsartan  Capsules  40 mg
ENTA1060	Enalapril Maleate  Tablets  10 mg
TRTA123812NEMIS	Truberzi  Tablets  75 mg
PROI2360	Proctosedyl  Ointment  
IRTA31576EMIS	Irbesartan  Tablets  150 mg
ASFO24951EMIS	Asacol  Foam enema  1 gram per dose
LOOR20144NEMIS	Loperamide Hydrochloride  Oral suspension  25 mg/5 ml
CITA626	Cimetidine  Tablets  200 mg
FEM/29632EMIS	Felodipine  M/R tablets  2.5 mg
FATA35015MGEMIS	Famotidine  Tablets  40 mg (Kent Pharm)
DYTA17494NEMIS	Dymotil  Tablets  
SICA71624NEMIS	Simeticone  Capsules  125 mg
ISGR1525	Ispaghula Husk  Granules  Sugar Free 90 %
STGR5085NEMIS	Sterculia And Frangula  Granules  62 % + 8 %, gluten free
LAOR52766NEMIS	Lactulose  Oral solution  10 grams/15 ml sachets, sugar free
LASO35674MGEMIS	Lactulose  Solution  3.35 g/5 ml (Teva UK)
SOSU21764NEMIS	Sodium Acid Phosphate And Sodium Bicarbonate  Suppositories  1.69 grams + 1.08 grams
LIEM35744MGEMIS	Liquid Paraffin And Magnesium Hydroxide  Emulsion  (Loveridge)
CRGA18519NEMIS	Creon Micro  Gastro-resistant Granules  
COCA34446MGEMIS	Co-Danthramer 25/200  Capsules  (Unichem)
LICA78561NEMIS	Linaclotide  Capsules  290 micrograms
BICH33330NEMIS	Bismuth Subsalicylate  Chewable Tablets Sugar Free  262.5 mg
SITA2579	Sinthrome  Tablets  1 mg
TAEF9241EMIS	Tagamet  Effervescent tablets  400 mg
CAOR45711NEMIS	Calcium Carbonate  Oral suspension  120 mg/5 ml
RATA36864MGEMIS	Ranitidine  Tablets  150 mg (Kent Pharm)
META35926MGEMIS	Mebeverine Hydrochloride  Tablets  135 mg (Alpharma)
CITA34333MGEMIS	Cimetidine  Tablets  200 mg (Unichem)
VACA29707EMIS	Valsartan  Capsules  80 mg
CRCA20331EMIS	Creon 25000  Capsules  
ZATA3091	Zantac  Tablets  300 mg
COCA34458MGEMIS	Co-Danthrusate 50/60  Capsules  (Winthrop Pharmaceuticals )
DAIN22829EMIS	Dalteparin Sodium  Injection  10,000 units/1 ml ampoule
LAOR101954NEMIS	Laxido Paediatric Plain  Oral powder  6.9 gram sachet
BIE/33985MGEMIS	Bisacodyl  E/c tablets  5 mg (Alpharma)
ASSU9154HILLI	Asacol  Suppositories  500 mg
NOTA27973EMIS	Norimode  Tablets  2 mg
ROCAEGTON6093	Rowachol  Gastro-resistant Capsules  
MASU5777	Maalox Tc  Suspension  
MACO35860MGEMIS	Magnesium Trisilicate  Compound tablets  (Kent Pharm)
LOCA35801MGEMIS	Loperamide Hydrochloride  Capsules  2 mg (Generics (UK))
RATA11631NEMIS	Ranitil  Tablets  150 mg
RATA31414EMIS	Raciran  Tablets  150 mg
CASU18495NEMIS	Calcium Carbonate  Suspension  250 mg/5 ml
LILI35751MGEMIS	Liquid Paraffin B.P.  Liquid  (Pinewood Healthcare)
MOOR117271NEMIS	Movicol Ready To Take  Oral solution  25 ml sachets
NUCA22507EMIS	Nutrizym 10  Capsules  
BITA2334NEMIS	Bisoprolol Fumarate  Tablets  3.75 mg
LOCA35799MGEMIS	Loperamide Hydrochloride  Capsules  2 mg (Ivax Pharmaceuticals)
PACA10596BRIDL	Pancrex V  Capsules 125  
MOTA104792NEMIS	Moventig  Tablets  25 mg
RECH48786NEMIS	Rennie Ice  Chewable tablets  
ULTA24243EMIS	Ultec  Tablets  400 mg
KAMI6304NEMIS	Kaolin  Mixture  BP
ATTA33903MGEMIS	Atropine Sulfate  Tablets  600 micrograms (Wockhardt UK)
COTA6926	Co-Dergocrine Mesylate  Tablets  4.5 mg
NICA36249MGEMIS	Nizatidine  Capsules  300 mg (Teva UK)
MACA105653NEMIS	Magdose  Capsules  100 mg
CHCA4705	Chenodeoxycholic Acid  Capsules  250 mg
OMCA36322MGEMIS	Omeprazole  Capsules  40 mg (Ivax Pharmaceuticals)
DITA905	Digoxin  Tablets  125 micrograms
THOR101951NEMIS	Thamicarb  Oral solution  84 mg/ml (1 mmol/ml)
COM/198NEMIS	Colofac MR  M/R capsules  200 mg
RAIN2431	Ranitidine  Solution for injection  25 mg/ml, 2 ml ampoule
NICA36248MGEMIS	Nizatidine  Capsules  300 mg (Generics (UK))
MEEN9690HILLI	Mesalazine  Retention enema  1 g/100 ml
GLSU35306MGEMIS	Glycerol (Child)  Suppositories  2 gram (Kent Pharm)
RATA36878MGEMIS	Ranitidine  Tablets  300 mg (Kent Pharm)
BIOR140358NEMIS	NULL
DIM/23454EMIS	Diltiazem Hydrochloride  M/R capsules  60 mg
META1798	Methyldopa  Tablets  250 mg
ARMI9674HILLI	Aromatic Magnesium Carbonate  Mixture  
LAOR46486NEMIS	Lansoprazole  Oral suspension  30 mg/5 ml
MACO35862MGEMIS	Magnesium Trisilicate  Compound tablets  (The Boots Company)
ATCH52123NEMIS	Atorvastatin  Chewable Tablets Sugar Free  20 mg
META35928MGEMIS	Mebeverine Hydrochloride  Tablets  135 mg (Unichem)
OMCA36338MGEMIS	Omeprazole  Capsules  10 mg (Sandoz)
ENIN30042EMIS	Enoxaparin  Injection  100 mg/1 ml pre-filled syringe
TROR122377NEMIS	Transisoft  Oral powder  8.5 gram sachet
PRTA200NEMIS	Protium  E/c tablets  20 mg
HYSU137703NEMIS	Hydrocortisone  Suppositories  50 mg
INLI5822	Infacol  Liquid  40 mg/ml
GLPU29683EMIS	Glyceryl Trinitrate  Pump spray  400 micrograms/dose
DUCA11673NEMIS	Dulco-lax Pico Perles  Capsules  2.5 mg
IMOR103460NEMIS	Imodium Instant Melts  Orodispersible tablets  2 mg
DITA908	Digoxin  Tablets  62.5 micrograms
ATOR27606NEMIS	Atropine Sulfate  Oral solution  500 micrograms/5 ml
RAOR14288NEMIS	Ranitidine  Oral solution  Sugar Free 150 mg/10 ml
NICA36243MGEMIS	Nizatidine  Capsules  300 mg (Alpharma)
CITA34330MGEMIS	Cimetidine  Tablets  200 mg (Sandoz)
OMCA36316MGEMIS	Omeprazole  Capsules  40 mg (Wockhardt UK)
GAOR21399NEMIS	Gaviscon Advance  Oral Suspension (Aniseed)  
ZICA26142EMIS	Zinga  Capsules  300 mg
GLSU35303MGEMIS	Glycerol (Infant)  Suppositories  1 gram (Thornton & Ross)
CITA628	Cimetidine  Tablets  800 mg
CISU20315EMIS	Cisapride  Suspension  5 mg/5 ml
NIM/19537EMIS	Nifedipine  M/R tablets  20 mg
FATA35027MGEMIS	Famotidine  Tablets  20 mg (Sandoz)
MACO40047NEMIS	Macrogol  Compound Oral Powder (sachets)  NPF
SITA3663NEMIS	Simvastatin  Tablets  80 mg
RECH34437NEMIS	Rennie Deflatine  Chewable tablets  
BEM/26386NEMIS	Beclometasone  M/R Tablets (Gastro-Resistant)  5 mg
ALSU138643NEMIS	Allantoin And Lidocaine  Suppositories  10.25 mg + 10.25 mg
ASTA139730NEMIS	NULL
FUTA17676NEMIS	Furosemide  Tablets  40 mg
GLSU8824BRIDL	Glycerol (Child)  Suppositories  2 gram
CAOR28961NEMIS	Calcium Carbonate  Oral suspension  500 mg/5 ml
EVSO105029NEMIS	Evolocumab  Solution for injection  140 mg/1 ml pre-filled device
ISEF18521NEMIS	Ispaghula Husk And Mebeverine  Effervescent Granules, Sugar Free  3.5 gram + 135 mg/sachet
BUM/28270EMIS	Budesonide  M/R capsules (Gastro-Resistant)  3 mg
ROTA15069NEMIS	Rosuvastatin  Tablets  10 mg
ANSU165	Anacal  Suppositories  
OMCA36312MGEMIS	Omeprazole  Capsules  20 mg (Generics (UK))
BEME124790NEMIS	Belladonna  Medicated Plaster  28 cm x 17.5 cm
FUTA17675NEMIS	Furosemide  Tablets  20 mg
GAOR36436NEMIS	Gaviscon Original Aniseed Relief  Oral suspension  
ALOR33496NEMIS	Alginate Raft-forming  Oral Suspension Sugar Free  
NICA36242MGEMIS	Nizatidine  Capsules  150 mg (Sandoz)
LATA6956	Labetalol Hydrochloride  Tablets  200 mg
ENCA6424NEMIS	Entrocalm  Capsules  2 mg
IMTA8900BRIDL	Imdur  M/R tablets  60 mg
COOR90149NEMIS	Cosmocol Lemon And Lime Flavour  Oral powder sachets  
MITA8414EGTON	Misoprostol  Tablets  200 micrograms
RATA35520EMIS	Rantec  Tablets  150 mg
NUOI2045	Nupercainal  Ointment  1.1 %
ISGR1500	Isogel  Granules  90 %
PATA9017EGTON	Pancrex V  Tablets forte  
CITA34353MGEMIS	Cimetidine  Tablets  800 mg (A.A.H. Pharm)
META35922MGEMIS	Mebeverine Hydrochloride  Tablets  135 mg (Generics (UK))
MOSA28315EMIS	Movicol  Oral powder (lemon and lime)  13.8 grams/sachet
ESOR135698NEMIS	Esscarb  Oral solution  84 mg/ml
LACA28117EMIS	Lansoprazole  Capsules (Gastro-Resistant)  15 mg
CLM/26388NEMIS	Clipper  M/R Tablets (Gastro-Resistant)  5 mg
BISU3249	Bisacodyl  Suppositories  5 mg
CIOI19978NEMIS	Cinchocaine Hydrochloride And Hydrocortisone  Ointment  0.5 % + 0.5 %
PHEN15279NEMIS	Phosphates Enema Formula B  Enema  Long Tube, 128 ml
ANOI185	Anusol-Hc  Ointment  
DAIN35082EMIS	Dalteparin Sodium  Injection  10,000 units/0.4 ml pre-filled syringe
RAGR76961NEMIS	Racecadotril  Granules  10 mg/sachet
HECR32799EMIS	Hemocane  Cream  
FATA35023MGEMIS	Famotidine  Tablets  20 mg (Unichem)
RATA36863MGEMIS	Ranitidine  Tablets  150 mg (Unichem)
HYSP19980NEMIS	Hydrocortisone And Lidocaine  Spray  0.2 % + 1 %
PATA34091EMIS	Pariet  E/c tablets  20 mg
MATA40893NEMIS	Magnesium Oxide  Tablets  400 mg
CLIN9282EMIS	Clexane  Injection  40 mg/0.4 ml pre-filled syringe
CISU37833MGEMIS	Cimetidine  Sugar free suspension  200 mg/5 ml (Rosemont Pharm)
COGR4769	Coated Sterculia  Granules  62 %, gluten free
LILI35748MGEMIS	Liquid Paraffin B.P.  Liquid  (Loveridge)
MOPO17000NEMIS	Movicol Paediatric Plain  Powder sachets  6.9 grams/sachet
SOOR35535NEMIS	Sodium Bicarbonate  Oral solution  8.4 % (1 mmol/ml)
SPTA2668	Spironolactone  Tablets  50 mg
FATA138195NEMIS	Famotidine (Imported)  Tablets  20 mg
BUGA52602NEMIS	Budenofalk  Gastro-resistant Granules  9 mg sachets
WATA3070	Warfarin Sodium  Tablets  5 mg
BITA2335NEMIS	Bisoprolol Fumarate  Tablets  7.5 mg
SEOR29077NEMIS	Senna  Oral solution  2.5 mg/5 ml
PRTA10456HILLI	Pravastatin  Tablets  20 mg
COSU25955EMIS	Co-Magaldrox 300/600  Sugar-free suspension  
CITA138192NEMIS	Cimetidine (Imported)  Tablets  400 mg
GALI29911NEMIS	Gaviscon  Liquid  Sachets 10 ml
ELTA123809NEMIS	Eluxadoline  Tablets  75 mg
GECR17239NEMIS	Germoloids  Cream  
CITA34339MGEMIS	Cimetidine  Tablets  400 mg (Teva UK)
ISOR30802NEMIS	Ispaghula Husk Sugar and Gluten Free  Oral powder  3.4 grams/sachet
