#AUTOGENERATED	DONT EDIT
A0223	Salmonella arthritis
A72xz	Mumps with other specified complications NOS
A72y.	(Unspecified mumps complication) or (epidemic parotitis)
A74..	Coxsackie virus disease
A743.	(Hand, foot & mouth disease) or (vesicular stomatitis with xanthem)
A74y.	Other specified coxsackie virus disease
A74z.	Coxsackie viral diseases NOS
A75..	Infectious mononucleosis (& Pfeiffers disease)
A750.	Gammaherpesviral mononucleosis
A76..	Trachoma
A760.	Trachoma dubium - initial stage
A76z.	Unspecified trachoma
A77..	Other diseases of conjunctiva due to viruses and chlamydiae NEC
A78..	Other viral or chlamydial diseases
A782.	Sweating fever
A784.	Foot and mouth disease
A785.	Virus disease: [cytomegalic inclusion] or [salivary gland]
A786.	Haemorrhagic fever with renal syndrome
A7880	Acute human immunodeficiency virus seroconversion illness
A7881	Asymptomatic human immunodeficiency virus infection
A7882	Human immunodeficiency virus infection with persistent generalised lymphadenopathy
A7883	Human immunodeficiency virus infection constitutional disease
A7884	Human immunodeficiency virus with neurological disease
A7885	Human immunodeficiency virus infection with secondary clinical infectious disease
A788y	Human immunodeficiency virus with other clinical findings
A788z	Acquired human immunodeficiency virus infection syndrome NOS
A789.	Human immunodef virus resulting in other disease
A7890	HIV disease resulting in mycobacterial infection
A7891	HIV disease resulting in cytomegaloviral disease
A7892	HIV disease resulting in candidiasis
A7894	HIV disease resulting in multiple infections
A7895	HIV disease resulting in Kaposis sarcoma
A7896	HIV disease resulting in Burkitts lymphoma
A7897	HIV disease resulting in other types of non-Hodgkins lymphoma
A7899	HIV disease resulting in lymphoid interstitial pneumonitis
A78A0	Chlamydial infection of lower genitourinary tract
A78y.	Other specified viral and chlamydial diseases
A78y3	Marburg virus disease
A78y4	Tanapox
A78y5	Lassa fever
A78yz	Other specified viral and chlamydial diseases NOS
A79..	Specific viral infections
A791.	ECHO virus (& infection)
A795.	Coronavirus infection
A796.	Parvovirus infection
A797.	Papovavirus infection
A798.	Retrovirus infection
A79z.	Viral: [infection NOS] or [illness]
A7y..	Other specified viral or chlamydial diseases
A7y0.	Viral agent as the cause of other diseases
A7y00	Coronavirus as the cause of diseases classified to other chapters
A7y01	Retrovirus as the cause of diseases classified to other chapters
A7y04	Parvovirus as the cause of diseases classified to other chapters
A7z..	Other viral or chlamydial disease NOS
A8...	Arthropod-borne disease (& [rickettsioses & others])
A80..	Louse-borne typhus fever
A81..	Other typhus
A810.	Murine typhus
A811.	Brills disease
A812.	Scrub mite-borne typhus (& various types)
A81z.	Other typhus NOS
A821.	Boutonneuse fever
A8210	African tick virus (& fever)
A8211	India tick virus (& fever)
A8212	Kenya tick virus (& [infection])
A821z	Unspecified Boutonneuse fever
A822.	North Asian tick typhus
A8220	Siberian tick typhus
A822z	North Asian tick fever NOS
A823.	North Queensland tick typhus
A832.	Rickettsialpox
A84..	Malaria
A840.	Falciparum malaria
A841.	Vivax malaria
A8410	Plasmodium vivax malaria with rupture of spleen
A842.	Quartan malaria
A843.	Ovale malaria
A8440	Malaria due to simian plasmodia
A845.	Mixed malaria
A846.	Unspecified malaria
A847.	Induced malaria
A848.	Blackwater fever
A849.	Other malaria complications
A849z	Other malaria complications NOS
A85..	Leishmaniasis
A850.	Visceral leishmaniasis
A851.	Anthroponotic cutaneous leishmaniasis
A8512	Old World cutaneous leishmaniasis
A851z	Urban cutaneous leishmaniasis NOS
A852.	Asian desert cutaneous leishmaniasis
A853.	Diffuse Old World cutaneous leishmaniasis
A854.	American cutaneous leishmaniasis (& [Chiclero ulcer])
A85z.	Leishmaniasis NOS
A86..	Trypanosomiasis
A861.	Chagas disease with other organ involvement
A8610	Chagas disease with digestive system involvement
A862.	Chagas disease without mention of organ involvement
A863.	Gambian trypanosomiasis
A86z.	Trypanosomiasis NOS
A87..	Relapsing fever
A871.	Tick-borne relapsing fever
A8710	Lyme disease
A871z	Tick-borne relapsing fever NOS
A87z.	Relapsing fever NOS
A88..	Other arthropod-borne diseases
A8800	Systemic bartonellosis
A8801	Cutaneous and mucocutaneous bartonellosis
A88y.	Other specified arthropod-borne diseases
A8y..	Other specified rickettsioses or arthropod-borne diseases
A8z..	Rickettsioses and arthropod-borne disease NOS
A9...	(Venereal diseases [& others including syphilis]) or (STDs)
A903.	Syphilitic interstitial keratitis
A9052	Syphilitic saddle nose
A906.	Late congenital syphilis - latent
A91..	Early symptomatic syphilis
A911.	Primary anal syphilis
A912.	Other primary syphilis
A9120	Primary breast syphilis
A9122	Primary lip syphilis
A9123	Primary tonsil syphilis
A912z	Other primary syphilis NOS
A913.	Secondary syphilis of skin and mucous membrane
A9133	Secondary syphilis of skin
A9134	Secondary syphilis of tonsils
A9135	Secondary syphilis of vulva
A913z	Secondary syphilis of skin or mucus membranes NOS
A914.	Secondary syphilitic lymphadenopathy
A915.	Uveitis due to secondary syphilis
A9151	Secondary syphilitic chorioretinitis
A916z	Secondary syphilis of viscera and bone NOS
A917.	Secondary syphilis relapse
A918.	Other forms of secondary syphilis
A9181	Syphilitic alopecia
A918z	Other secondary syphilis NOS
A919.	Unspecified secondary syphilis
A92..	Latent early syphilis
A92z.	Latent early syphilis NOS
A93..	Cardiovascular syphilis
A93y.	Other specified cardiovascular system syphilis
A93y0	Syphilitic pericarditis
A93yz	Other specified cardiovascular system syphilis NOS
A93z.	Cardiovascular syphilis NOS
A94y2	Syphilitic disseminated retinochoroiditis
A94y5	Syphilitic acoustic neuritis
A94y6	Rupture of syphilitic cerebral aneurysm
A95..	Other forms of late syphilis with symptoms
A950.	Syphilitic episcleritis
A951.	Syphilis of lung
A95y.	Other specified late syphilis
A95z.	Late symptomatic syphilis NOS
A96..	Late latent syphilis
A97..	(Syphilis (& [other and unspecified])) or (treponemal infection)
A970.	Late syphilis unspecified
A971.	Latent syphilis unspecified
A97z.	Syphilis NOS
A98..	Gonococcal infection
A980.	Acute gonorrhoea of lower genitourinary tract
A9802	Acute gonococcal vulvovaginitis
A980z	Acute gonorrhoea of lower genitourinary tract NOS
A982.	Chronic gonorrhoea lower genitourinary tract
A9822	Chronic gonococcal vulvovaginitis
A982z	Chronic gonorrhoea of lower genitourinary tract NOS
A9852	Gonococcal bursitis
A98y.	Gonococcal infection of other specified sites
A98y0	Gonococcal keratosis
A98z.	(Gonococcal infections NOS) or (gonorrhoea)
A99..	Other venereal diseases
A991.	Lymphogranuloma venereum
A99y.	Other specified venereal diseases
A99z.	Venereal disease NOS
A9y..	Other specified syphilis or other venereal diseases
A9z..	Syphilis or venereal disease NOS
AA...	Other spirochaetal diseases
AA0y.	Other specified leptospiral infection
AA0z.	Leptospirosis NOS
AA2..	Yaws
AA22.	Other early yaws skin lesions
AA24.	Yaws gummata and ulcers
AA2x.	Other yaws manifestations
AA2x0	Juxta-articular yaws nodules
AA2x1	Mucosal yaws
AA2xz	Other yaws manifestation NOS
AA2y.	Latent yaws
AA2z.	Unspecified yaws
AA4..	Other spirochaetal infections
AA4y.	Other specified spirochaetal infection
AA4z.	Other spirochaetal infection NOS
AAy..	Other specified spirochaetal infections
AAz..	Spirochaetal infection NOS
AB2y3	Candidal septicaemia
AB640	Actinomycotic mycetoma
AC...	Helminthiasis
AC03.	Cutaneous schistosomiasis
AC0y.	Other specified schistosomiasis
AC0yz	Other specified schistosoma NOS
AC0z.	Schistosomiasis NOS
AC1..	Other trematode infections
AC1y.	Other specified trematode infection
AC1yz	Other specified trematode infection NOS
AC1z.	Trematode infection NOS
AC2..	Echinococcosis
AC20.	Liver echinococcus granulosus
AC22.	Thyroid echinococcus granulosus
AC25.	Liver echinococcus multilocularis
AC26.	Other echinococcus multilocularis
AC27.	Unspecified echinococcus multilocularis
AC2y.	Liver echinococcus unspecified
AC2z.	Echinococcus NOS
AC32.	Taenia saginata infection
AC33.	Unspecified taeniasis
AC5..	Filarial infection and dracontiasis
AC50.	Bancroftian filariasis
AC51.	Malayan filariasis
AC53.	Onchocerciasis
AC56.	Other specified filariasis
AC560	Filariasis due to Brugia timori
AC57.	Dracunculiasis
AC5z.	Filariasis NOS
AC7..	Other intestinal helminthiases
AC7y.	Mixed intestinal helminthiasis
AC7z.	Intestinal helminthiases NOS
AC8..	Other and unspecified helminthiases
AC8y.	Other specified helminthiases
AC8yz	Other specified helminthiasis NOS
AC8z.	Helminthiasis NOS
AE0..	Sequelae of tuberculosis
AE00.	Late effects of respiratory tuberculosis
AE01.	Late effects of central nervous system tuberculosis
AE02.	Late effects of genitourinary system tuberculosis
AE03.	Late effects of tuberculosis of bones and joints
AE04.	Late effects of tuberculosis of other specified organs
AE0z.	Late effects of tuberculosis NOS
AE1..	Sequelae of poliomyelitis
AE23.	Sequelae of viral hepatitis
Ayu..	[X]Additional infectious disease classification terms
Ayu0E	[X]Other viral enteritis
Ayu0F	[X]Viral intestinal infection, unspecified
Ayu10	[X]Other respiratory tuberculosis, confirmed bacteriologically and histologically
Ayu11	[X]Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically
Ayu12	[X]Other respiratory tuberculosis, without mention of bacteriological or histological confirmation
Ayu13	[X]Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation
Ayu14	[X]Other tuberculosis of nervous system
Ayu16	[X]Tuberculosis of other specified organs
Ayu17	[X]Acute miliary tuberculosis, unspecified
Ayu18	[X]Other miliary tuberculosis
Ayu19	[X]Miliary tuberculosis, unspecified
Ayu2.	[X]Certain zoonotic bacterial diseases
Ayu20	[X]Other forms of plague
Ayu24	[X]Other forms of anthrax
Ayu25	[X]Anthrax, unspecified
Ayu28	[X]Other melioidosis
Ayu29	[X]Melioidosis, unspecified
Ayu2D	[X]Other forms of leptospirosis
Ayu2E	[X]Leptospirosis, unspecified
Ayu2G	[X]Zoonotic bacterial disease, unspecified
Ayu3.	[X]Other bacterial diseases
Ayu30	[X]Other forms of leprosy
Ayu31	[X]Leprosy, unspecified
Ayu32	[X]Other Mycobacterium infections
Ayu33	[X]Mycobacterium infection, unspecified
Ayu36	[X]Other tetanus
Ayu3B	[X]Meningococcaemia, unspecified
Ayu3C	[X]Other meningococcal infections
Ayu3D	[X]Meningococcal infection, unspecified
Ayu3E	[X]Other streptococcal septicaemia
Ayu3F	[X]Streptococcal septicaemia, unspecified
Ayu3G	[X]Septicaemia due to other gram-negative organisms
Ayu3H	[X]Other specified septicaemia
Ayu3J	[X]Septicaemia, unspecified
Ayu3K	[X]Other forms of actinomycosis
Ayu3L	[X]Actinomycosis, unspecified
Ayu3M	[X]Other forms of nocardiosis
Ayu3N	[X]Nocardiosis, unspecified
Ayu3P	[X]Other forms of bartonellosis
Ayu3Q	[X]Bartonellosis, unspecified
Ayu3R	[X]Other specified bacterial diseases
Ayu3S	[X]Staphylococcal infection, unspecified
Ayu3T	[X]Streptococcal infection, unspecified
Ayu3U	[X]Haemophilus influenzae infection, unspecified
Ayu3V	[X]Mycoplasma infection, unspecified
Ayu3W	[X]Other bacterial infections of unspecified site
Ayu3X	[X]Bacterial infection, unspecified
Ayu4.	[X]Infections with a predominantly sexual mode of transmission
Ayu44	[X]Primary syphilis of other sites
Ayu45	[X]Other secondary syphilis
Ayu46	[X]Early syphilis, unspecified
Ayu49	[X]Late syphilis, unspecified
Ayu4A	[X]Syphilis, unspecified
Ayu4B	[X]Other gonococcal infections
Ayu4C	[X]Gonococcal infection, unspecified
Ayu4G	[X]Anogenital herpes viral infection, unspecified
Ayu4H	[X]Other specified predominantly sexually transmitted diseases
Ayu4J	[X]Unspecified sexually transmitted disease
Ayu5.	[X]Other spirochaetal diseases
Ayu50	[X]Other early skin lesions of yaws
Ayu51	[X]Other manifestations of yaws
Ayu52	[X]Yaws, unspecified
Ayu54	[X]Relapsing fever, unspecified
Ayu56	[X]Other specified spirochaetal infections
Ayu57	[X]Spirochaetal infection, unspecified
Ayu60	[X]Trachoma, unspecified
Ayu70	[X]Typhus fever, unspecified
Ayu9.	[X]Arthropod-borne viral fevers and viral haemorrhagic fevers
Ayu92	[X]Other specified arthropod-borne viral fevers
Ayu93	[X]Unspecified arthropod-borne viral fever
Ayu94	[X]Yellow fever, unspecified
Ayu95	[X]Other arenaviral haemorrhagic fevers
Ayu96	[X]Arenaviral haemorrhagic fever, unspecified
Ayu97	[X]Other specified viral haemorrhagic fevers
Ayu98	[X]Unspecified viral haemorrhagic fever
AyuA.	[X]Viral infections characterized by skin and mucous membrane lesions
AyuA0	[X]Other forms of herpesviral infections
AyuA1	[X]Herpesviral infection, unspecified
AyuA2	[X]Varicella with other complications
AyuA3	[X]Varicella without complications
AyuA4	[X]Zoster with other complications
AyuA5	[X]Zoster without complications
AyuA6	[X]Measles with other complications
AyuA7	[X]Measles without complication
AyuA9	[X]Rubella with other complications
AyuAA	[X]Rubella without complication
AyuAB	[X]Other viral infections characterized by skin and mucocutaneous lesions, not elsewhere classified
AyuC.	[X]Human immunodeficiency virus disease
AyuC0	[X]HIV disease resulting in other bacterial infections
AyuC1	[X]HIV disease resulting in other viral infections
AyuC2	[X]HIV disease resulting in other mycoses
AyuC4	[X]Hiv disease resulting in other infectious and parasitic diseases
AyuC5	[X]Hiv disease resulting in unspecified infectious and parasitic disease
AyuC6	[X]HIV disease resulting in other non-Hodgkins lymphoma
AyuC7	[X]Hiv disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue
AyuC9	[X]HIV disease resulting in unspecified malignant neoplasm
AyuCA	[X]HIV disease resulting in multiple diseases classified elsewhere
AyuCB	[X]Hiv disease resulting in haematological and immunological abnormalities, not elsewhere classified
AyuCC	[X]HIV disease resulting in other specified conditions
AyuCD	[X]Unspecified human immunodeficiency virus [HIV] disease
AyuD.	[X]Other viral diseases
AyuD0	[X]Other cytomegaloviral diseases
AyuD1	[X]Cytomegaloviral disease, unspecified
AyuD2	[X]Mumps with other complications
AyuD3	[X]Mumps without complication
AyuD4	[X]Other infectious mononucleosis
AyuD5	[X]Infectious mononucleosis, unspecified
AyuD8	[X]Retrovirus infections, not elsewhere classified
AyuD9	[X]Other specified viral diseases
AyuDA	[X]Adenovirus infection, unspecified
AyuDB	[X]Enterovirus infection, unspecified
AyuDC	[X]Coronavirus infection, unspecified
AyuDD	[X]Parvovirus infection, unspecified
AyuDE	[X]Papovavirus infection, unspecified
AyuDF	[X]Other viral infections of unspecified site
AyuDG	[X]Viral infection, unspecified
AyuER	[X]Mycetoma, unspecified
AyuF0	[X]Other severe and complicated plasmodium falciparum malaria
AyuF1	[X]Plasmodium falciparum malaria, unspecified
AyuF2	[X]Plasmodium vivax malaria with other complications
AyuF3	[X]Plasmodium vivax malaria without complication
AyuF4	[X]Plasmodium malariae malaria with other complications
AyuF5	[X]Plasmodium malariae malaria without complication
AyuF6	[X]Other parasitologically confirmed malaria, not elsewhere classified
AyuF7	[X]Unspecified malaria
AyuF8	[X]Leishmaniasis, unspecified
AyuFA	[X]Chagas disease (chronic) with other organ involvement
AyuG0	[X]Other schistosomiasis
AyuG1	[X]Schistosomiasis, unspecified
AyuG2	[X]Other specified fluke infections
AyuG3	[X]Fluke infection, unspecified
AyuG4	[X]Echinococcosis, unspecified, of liver
AyuG5	[X]Echinococcosis, other and unspecified
AyuG6	[X]Taeniasis, unspecified
AyuGB	[X]Other filariases
AyuGC	[X]Filariasis, unspecified
AyuGJ	[X]Other specified intestinal helminthiases
AyuGK	[X]Intestinal helminthiasis, unspecified
AyuGM	[X]Other specified helminthiases
AyuGN	[X]Helminthiasis, unspecified
AyuJ4	[X]Sequelae of respiratory and unspecified tuberculosis
AyuK.	[X]Bacterial, viral and other infectious agents
AyuK0	[X]Streptococcus, group a, as the cause of diseases classified to other chapters
AyuK1	[X]Streptococcus, group b, as the cause of diseases classified to other chapters
AyuK2	[X]Streptococcus, group d, as the cause of diseases classified to other chapters
AyuK3	[X]Streptococcus pneumoniae as the cause of diseases classified to other chapters
AyuK4	[X]Other streptococcus as the cause of diseases classified to other chapters
AyuK5	[X]Unspecified streptococcus as the cause of diseases classified to other chapters
AyuK6	[X]Staphylococcus aureus as the cause of diseases classified to other chapters
AyuK7	[X]Other staphylococcus as the cause of diseases classified to other chapters
AyuK8	[X]Unspecified staphylococcus as the cause of diseases classified to other chapters
AyuK9	[X]Mycoplasma pneumoniae [pplo] as the cause of diseases classified to other chapters
AyuKA	[X]Klebsiella pneumoniae as the cause of diseases classified to other chapters
AyuKB	[X]Escherichia coli [e coli] as the cause of diseases classified to other chapters
AyuKC	[X]Haemophilus influenzae [h influenzae] as the cause of diseases classified to other chapters
AyuKD	[X]Proteus (mirabilis)(morganii) as the cause of diseases classified to other chapters
AyuKE	[X]Pseudomonas as the cause of diseases classified to other chapters
AyuKF	[X]Bacillus fragilis as the cause of diseases classified to other chapters
AyuKG	[X]Clostridium perfringens as the cause of diseases classified to other chapters
AyuKH	[X] Cause of diseases classified to other chapters: [OS bacterial agents] or [coliform bacteria]
AyuKJ	[X]Adenovirus as the cause of diseases classified to other chapters
AyuKK	[X]Enterovirus as the cause of diseases classified to other chapters
AyuKS	[X]Other viral agents as the cause of diseases classified to other chapters
AyuL.	[X]Other infectious diseases
AyuL0	[X]Other and unspecified infectious diseases
F3744	Polyneuropathy in herpes zoster
F3746	Polyneuropathy in mumps
F3812	Botulism
F4A54	Keratitis due to syphilis
F4A55	Keratitis due to tuberculosis
F4Cy0	Filarial infection of conjunctiva
F4K44	Argyll Robertson pupil
F5016	Geniculate herpes zoster
F5635	Viral labyrinthitis
G5003	Acute tuberculous pericarditis
G5320	Concatos disease
G556.	Chagas disease cardiomyopathy
G717.	Syphilitic aortic aneurysm
G767.	Syphilitic aortitis
G86y0	Chylocele - non-filarial
H450.	Pneumoconiosis associated with tuberculosis
H57y5	Lung disease with syphilis
H5831	Tropical eosinophilia
H5y01	Tracheostomy sepsis
J0823	Herpetiform aphthous ulceration
J1000	Megaoesophagus in Chagas disease
J633.	Hepatitis unspecified
J633z	Hepatitis unspecified NOS
J691.	Tropical sprue
Jyu72	[X]Other specified inflammatory liver diseases
Jyu77	[X]Granulomatous hepatitis, not elsewhere classified
Jyu93	[X]Tuberculous disorders of intestine and mesentery
K1A..	Urinary calculus in schistosomiasis
L090y	Sepsis NOS following abortion and ectopic and molar pregnancy
L090z	Septicaemia NOS following abortive pregnancy
L0965	Pyaemic embolism following abortive pregnancy
L0966	Septic embolism following abortive pregnancy
L169.	Pemphigoid gestationis
L1690	Herpes gestationis unspecified
L1692	Herpes gestationis - delivered with postnatal complication
L1693	Herpes gestationis - not delivered
L169z	Herpes gestationis NOS
L170.	Maternal syphilis during pregnancy, childbirth and the puerperium
L1700	Maternal syphilis, unspecified whether during pregnancy or the puerperium
L1701	Maternal syphilis during pregnancy - baby delivered
L170z	Maternal syphilis during pregnancy, childbirth or the puerperium NOS
L171.	Maternal gonorrhoea during pregnancy, childbirth and the puerperium
L1710	Maternal gonorrhoea, unspecified whether during pregnancy or the puerperium
L1713	Maternal gonorrhoea during pregnancy - baby not yet delivered
L171z	Gonorrhoea during pregnancy, childbirth or the puerperium NOS
L173.	Maternal tuberculosis during pregnancy, childbirth and the puerperium
L1730	Maternal tuberculosis, unspecified whether during pregnancy or the puerperium
L173z	Maternal tuberculosis during pregnancy, childbirth or the puerperium NOS
L174.	Maternal malaria during pregnancy, childbirth and the puerperium
L1740	Maternal malaria, unspecified whether during pregnancy or puerperium
L174z	Maternal malaria during pregnancy, childbirth or the puerperium NOS
L1750	Maternal rubella, unspecified whether during pregnancy or the puerperium
L1751	Maternal rubella during pregnancy - baby delivered
L1753	Maternal rubella during pregnancy - baby not yet delivered
L175z	Maternal rubella during pregnancy, childbirth or the puerperium NOS
L2931	Septicaemia during labour - delivered
L433.	Obstetric pyaemic &/or septic pulmonary embolism
L4330	Obstetric pyaemic and septic pulmonary embolism unspecified
L433z	Obstetric pyaemic and septic pulmonary embolism NOS
Lyu1.	[X]Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium
M0703	Pyoderma ulcerosum tropicalum
M140.	Dermatitis herpetiformis
M1452	Senile dermatitis herpetiformis
M1624	Parapsoriasis herpetiformis
M2432	Poliosis eccentrica
M2433	Poliosis -acquired
N015.	Arthropathy associated with other viral diseases
N0150	Arthropathy associated with other viral disease, of unspecified site
N0151	Arthropathy associated with other viral disease, of the shoulder region
N0152	Arthropathy associated with other viral disease, of the upper arm
N0153	Arthropathy associated with other viral disease, of the forearm
N0154	Arthropathy with other viral disease, of hand
N0155	Arthropathy associated with other viral disease, of the pelvic region and thigh
N0156	Arthropathy associated with other viral disease, of the lower leg
N0157	Arthropathy associated with other viral disease, of the ankle and foot
N015x	Arthropathy associated with other viral disease, of multiple sites
N015y	Arthropathy associated with other viral disease, of other specified site
N015z	Arthropathy associated with other viral disease NOS
N0171	Helminthiasis with arthropathy of the shoulder region
N307.	Osteopathy from poliomyelitis
N3070	Poliomyelitis osteopathy of unspecified site
N3076	Poliomyelitis osteopathy of the lower leg
N3077	Poliomyelitis osteopathy of the ankle and foot
N3078	Poliomyelitis osteopathy of other specified sites
N307z	Poliomyelitis osteopathy NOS
Q40..	Infections specific to perinatal period
Q4022	Congenital malaria
Q403.	Tetanus neonatorum
Q4030	Tetanus neonatorum, unspecified
Q4031	Tetanus omphalitis
Q403z	Tetanus neonatorum NOS
Q4075	Neonatal candida septicaemia
Q4086	Pseudomonas pyocyaneus congenital infection
Q40A.	Sepsis of the newborn
Q40A0	Sepsis of newborn due to Staphylococcus aureus
Q40A1	Sepsis of newborn due to Escherichia coli
Q40y.	Other specified perinatal infection
Q40y2	Neonatal septicaemia
Q40yz	Other specified perinatal infection NOS
Q40z.	Perinatal infections NOS
Q43..	Other perinatal jaundice
Q431.	Perinatal jaundice from other excessive haemolysis
Q431y	Perinatal jaundice from other specified haemolysis
Q431z	Perinatal jaundice from haemolysis NOS
Q433z	Delayed conjugation causing neonatal jaundice NOS
Q4340	Perinatal hepatitis causing jaundice, unspecified
Q435.	Perinatal jaundice due to other cause
Q435z	Perinatal jaundice due to other specified cause
Q436.	Fetal and neonatal jaundice, unspecified
Q4360	Icterus neonatorum, unspecified
Q436z	Unspecified fetal or neonatal jaundice NOS
Q43z.	Perinatal jaundice NOS
Qyu42	[X]Other bacterial sepsis of newborn
Qyu43	[X]Other congenital malaria
Qyu44	[X]Other specified congenital infectious and parasitic diseases
Qyu45	[X]Other infections specific to the perinatal period
Qyu46	[X]Other specified infections specific to the perinatal period
Qyu48	[X]Sepsis of newborn due to other and unspecified streptococci
Qyu49	[X]Congenital infectious and parasitic disease, unspecified
Qyu58	[X]Neonatal jaundice due to drugs or toxins transmitted from mother or given to newborn
Qyu59	[X]Neonatal jaundice due to other specified excessive haemolysis
Qyu5B	[X]Neonatal jaundice from other specified causes
R0552	[D]Endotoxic shock
R0553	[D]Gram-negative shock
R0555	[D]Septic shock
R106.	[D]Unspecified bacteraemia
R107.	[D]Unspecified viraemia
R109.	[D]Laboratory evidence of human immunodeficiency virus [HIV]
SP201	Postoperative septic shock
SP254	Postoperative septicaemia
SP380	Septic shock due to transfusion
X003P	Acquired immune deficiency syndrome dementia complex
X00CV	American trypanosomiasis
X00lv	Syphilitic crinkle nose
X00Zq	Chlamydial conjunctivitis
X200g	Syphilitic valve disease
X206m	Tuberculous mesenteric adenitis
X208c	Gram-negative septic shock
X208Z	Septic shock
X306T	Inflammatory liver disease
X306X	Abscess gonococcal
X308p	Cytomegaloviral pancreatitis
X40AX	Rubella contact in pregnancy
X40BC	Spontaneous abortion with sepsis
X40BF	Septic abortion
X40Bz	Toxaemia NOS
X5002	Viral dermatological disorders
X5006	Viral exanthem
X501r	Cutaneous involvement in listeriosis
X50AL	Acne agminata
X50FR	Juvenile pemphigoid
X701O	Arthritis due to viral infection
X701R	Lyme arthritis
X702P	Charcots arthropathy
X709g	Viral myalgia
X70Ea	Perinatal jaundice
X70Ed	Intrauterine fetal sepsis
X70Ee	Congenital sepsis NOS
X70Gv	Bacterial disease
X70Gw	Primary progressive tuberculosis
X70Gy	Tuberculosis of lymph node
X70GY	Yersiniosis
X70Hh	Borderline tuberculoid leprosy
X70Hi	Borderline lepromatous leprosy
X70Hy	Cutaneous mycobacterium ulcerans infection
X70If	Extrapulmonary legionella infection
X70Io	Oroya fever
X70Ip	Carrions disease
X70Iq	Verruga peruana
X70Iu	Viral disease
X70JO	Herpes simplex infection of skin
X70Jt	Mosquito-borne alphavirus haemorrhagic fever
X70Jv	Mosquito-borne flavivirus haemorrhagic fever
X70Jw	Dengue haemorrhagic fever
X70Jx	Mosquito-borne bunyavirus haemorrhagic fever
X70Jy	Tick-borne haemorrhagic fever
X70Jz	Tick-borne flavivirus haemorrhagic fever
X70K0	Tick-borne bunyavirus haemorrhagic fever
X70K3	Mosquito-borne arboviral fever
X70KH	Mosquito-borne bunyamwera group virus fever
X70KO	Mosquito-borne bwamba group virus fever
X70L4	Viral haemorrhagic fever
X70L5	Argentinian haemorrhagic fever
X70L6	Bolivian haemorrhagic fever
X70LA	Ebola virus disease
X70LD	Mumps parotitis
X70Li	Enteroviral infection
X70LI	Epstein-Barr virus disease
X70LN	Human papilloma virus infection
X70Lq	Echovirus exanthem
X70Lv	Cytomegaloviral mononucleosis
X70M6	Human immunodeficiency virus infection
X70M7	Syphilis
X70MJ	Secondary syphilis
X70MV	Tertiary syphilis
X70N5	Systemic gonococcal infection
X70O0	Acquired immune deficiency syndrome-related complex
X70O1	Human immunodeficiency virus infection wasting syndrome
X70OA	Typhus group rickettsial disease
X70Ob	Monkey malaria
X70OJ	Japanese river fever
X70OK	Kedani fever
X70OL	Tsutsugamushi disease
X70Om	Cutaneous leishmaniasis
X70OQ	Rochalimaea infection
X70Ov	Leishmania mexicana complex - infection
X70Ox	Chicleros ulcer
X70Pt	Palmar yaws hyperkeratosis
X70Pu	Plantar yaws hyperkeratosis
X70PU	Spirochaetal disease
X70Px	Hydrarthroses of yaws
X70PY	Erythema chronicum migrans
X70Pz	Yaws periostitis
X70Q9	Bejel
X70QB	Njovera
X70QK	Mycetoma
X70QR	Trichomycosis axillaris
X70Se	Intestinal schistosomiasis
X70SQ	Trematode infection
X70SS	Katayama fever
X70T4	Multilocular hydatid
X70T8	Taeniasis
X70T9	Taenia solium infection
X70Uc	Physalopteriasis
X70VZ	Sepsis
X73k2	Non-enveloped dsDNA virus
X73k6	Papovavirus
X73oI	Helminth
X73ou	Intestinal fluke
X75sv	Post-herpetic neuralgia
X79pw	Infection
Xa07E	Schistosomiasis - pulmonary
Xa0Ai	Bacterial sepsis of newborn
Xa0Ak	Congenital falciparum malaria
Xa0AY	Extended congenital rubella syndrome
Xa0C3	Septic shock associated with other non-bacterial microorganism
Xa0gY	Types of infections
Xa0GZ	Venereal disease
Xa0kb	Tropical pulmonary eosinophilia
Xa0ld	Acute herpetic gingivostomatitis
Xa1fd	Arbovirus
Xa1xy	Multiple-resistant Staphylococcus aureus infection
Xa3aY	Bacteraemia
Xa3dz	Viral and ill-defined gastrointestinal infections
Xa3e0	Bacterial diseases excluding tuberculosis
Xa3e1	Leprosy and other mycobacterial disorders
Xa3e3	Other herpes zoster
Xa3e4	Herpes simplex - other
Xa3e5	Other measles
Xa3e6	Other hepatitis
Xa3e7	Mumps - other
Xa3eA	Syphilitic/venereal/spirochaetal disease
Xa3eB	Other venereal/spirochaete disease
Xa3eC	Venereal/spirochaete disease NOS
Xa3eD	Other helminthiases
Xa6nq	Gram-negative septicaemia
Xa7MW	Neonatal jaundice
Xa86S	Nocardiosis
Xa86V	Sexually transmissible disease
Xa97a	Streptococcus pyogenes infection
Xa97i	Early yaws skin lesion
Xa97l	Ringworm of body
Xa97m	Filariasis
Xaapx	Human immunodeficiency virus infection monitoring invitation
Xaapy	Human immunodeficiency virus infection monitoring telephone invitation
XaBEA	[D] Post polio exhaustion
XaBEL	Oral herpetiform aphthous ulceration
