^ESCTNO581524	Non-steroidal anti-inflammatory overdose
^ESCTIN582997	Intentional griseofulvin overdose
^ESCTIN583002	Intentional amphotericin B overdose
^ESCTIN583006	Intentional nystatin overdose
^ESCTIN583011	Intentional idoxuridine overdose
^ESCTIN583016	Intentional pyrimethamine overdose
^ESCTIN583020	Intentional chloroquine overdose
^ESCTIN583024	Intentional primaquine overdose
^ESCTIN583028	Intentional quinine overdose
^ESCTIN583032	Intentional mefloquine overdose
^ESCTIN583036	Intentional proguanil overdose
^ESCTIN583041	Intentional piperazine overdose
^ESCTIN583047	Intentional thiabendazole overdose
^ESCTIN583048	Intentional tiabendazole overdose
^ESCTIN583057	Intentional kanamycin overdose
^ESCTIN583061	Intentional streptomycin overdose
^ESCTIN583065	Intentional gentamicin overdose
^ESCTIN583069	Intentional tobramycin overdose
^ESCTIN583073	Intentional netilmicin overdose
^ESCTIN583078	Intentional erythromycin overdose
^ESCTIN583082	Intentional azithromycin overdose
^ESCTIN583086	Intentional clarithromycin overdose
^ESCTIN583090	Intentional sodium fusidate overdose
^ESCTIN583094	Intentional spectinomycin overdose
^ESCTIN583098	Intentional vancomycin overdose
^ESCTIN583102	Intentional trimethoprim overdose
^ESCTIN583106	Intentional nitrofuran derivative overdose
^ESCTIN583110	Intentional fusidic acid overdose
^ESCTIN583114	Intentional 4-quinolones overdose
^ESCTIN583119	Intentional ampicillin overdose
^ESCTIN583125	Intentional cloxacillin overdose
^ESCTIN583129	Intentional carbenicillin overdose
^ESCTIN583133	Intentional flucloxacillin overdose
^ESCTIN583139	Intentional cefadroxil overdose
^ESCTIN583145	Intentional cephalexin overdose
^ESCTIN583146	Intentional cefalexin overdose
^ESCTIN583151	Intentional cephalothin overdose
^ESCTIN583157	Intentional cephazolin overdose
^ESCTIN583158	Intentional cefazolin overdose
^ESCTIN583168	Intentional cephradine overdose
^ESCTIN583169	Intentional cefradine overdose
^ESCTIN583174	Intentional latamoxef overdose
^ESCTIN583179	Intentional cefaclor overdose
^ESCTIN583183	Intentional cefuroxime overdose
^ESCTIN583187	Intentional cephamandole overdose
^ESCTIN583192	Intentional cefotaxime overdose
^ESCTIN583196	Intentional ceftazidime overdose
^ESCTIN583200	Intentional ceftizoxime overdose
^ESCTIN583204	Intentional cefixime overdose
^ESCTIN583208	Intentional cefodizime overdose
^ESCTIN583212	Intentional cefpodoxime overdose
^ESCTIN583216	Intentional ceftriaxone overdose
^ESCTIN583221	Intentional ceftibuten overdose
^ESCTIN583225	Intentional cefsulodin overdose
^ESCTIN583230	Intentional cefpirome overdose
^ESCTIN583237	Intentional doxycycline overdose
^ESCTIN583241	Intentional minocycline overdose
^ESCTIN583245	Intentional oxytetracycline overdose
^ESCTIN583249	Intentional tetracycline overdose
^ESCTIN583253	Intentional chloramphenicol overdose
^ESCTIN583259	Intentional co-trimoxazole overdose
^ESCTIN583260	Intentional sulfamethoxazole and trimethoprim overdose
^ESCTIN583267	Intentional antimony compound overdose
^ESCTIN583271	Intentional hydroxyquinoline overdose
^ESCTIN583281	Intentional rifampin overdose
^ESCTIN583285	Intentional isoniazid overdose
^ESCTIN583289	Intentional ethambutol overdose
^ESCTIN583293	Intentional antileprotic drug overdose
^ESCTIN583312	Intentional glucagon overdose
^ESCTIN583318	Intentional carbimazole overdose
^ESCTIN583322	Intentional thiouracil overdose
^ESCTIN583327	Intentional prednisone overdose
^ESCTIN583331	Intentional dexamethasone overdose
^ESCTIN583335	Intentional insulin overdose
^ESCTIN583343	Intentional acetohexamide overdose
^ESCTIN583347	Intentional chlorpropamide overdose
^ESCTIN583351	Intentional overdose by glibenclamide
^ESCTIN583357	Intentional tolbutamide overdose
^ESCTIN583362	Intentional overdose by metformin
^ESCTIN583367	Intentional progestogen overdose
^ESCTIN583372	Intentional nandrolone overdose
^ESCTIN583376	Intentional oxymetholone overdose
^ESCTIN583384	Intentional methandriol overdose
^ESCTIN583388	Intentional oral contraceptive overdose
^ESCTIN583393	Intentional testosterone overdose
^ESCTIN583399	Intentional oestrogen overdose
^ESCTIN583400	Intentional estrogen overdose
^ESCTIN583406	Intentional liothyronine overdose
^ESCTIN583411	Intentional thyroxin overdose
^ESCTIN583424	Intentional heparin overdose
^ESCTIN583428	Intentional coumarin overdose
^ESCTIN583431	Intentional warfarin sodium overdose
^ESCTIN583439	Intentional ferrous sulphate overdose
^ESCTIN583440	Intentional ferrous sulfate overdose
^ESCTIN583446	Intentional iodide overdose
^ESCTIN583451	Intentional vitamin A overdose
^ESCTIN583455	Intentional vitamin D overdose
^ESCTIN583459	Intentional vitamin K overdose
^ESCTIN583464	Intentional nicotinic acid derivative overdose
^ESCTIN583468	Intentional folic acid overdose
^ESCTIN583472	Intentional potassium overdose
^ESCTIN583478	Intentional clofibrate overdose
^ESCTIN583484	Intentional disopyramide overdose
^ESCTIN583488	Intentional quinidine overdose
^ESCTIN583495	Intentional procainamide overdose
^ESCTIN583500	Intentional bretylium overdose
^ESCTIN583505	Intentional amiodarone overdose
^ESCTIN583514	Intentional bendroflumethiazide overdose
^ESCTIN583515	Intentional bendrofluazide overdose
^ESCTIN583520	Intentional chlorothiazide overdose
^ESCTIN583527	Intentional frusemide overdose
^ESCTIN583528	Intentional furosemide overdose
^ESCTIN583533	Intentional bumetanide overdose
^ESCTIN583539	Intentional ethacrynic acid overdose
^ESCTIN583540	Intentional etacrynic acid overdose
^ESCTIN583545	Intentional potassium sparing diuretic overdose
^ESCTIN583549	Intentional osmotic diuretic overdose
^ESCTIN583554	Intentional mersalyl overdose
^ESCTIN583559	Intentional acetazolamide overdose
^ESCTIN583565	Intentional guanethidine overdose
^ESCTIN583569	Intentional overdose by angiotensin-converting enzyme inhibitor
^ESCTIN583572	Intentional antihypertensive overdose
^ESCTIN583577	Intentional digoxin overdose
^ESCTIN583581	Intentional phosphodiesterase inhibitor overdose
^ESCTIN583586	Intentional ergot alkaloid overdose
^ESCTIN583591	Intentional diazoxide overdose
^ESCTIN583595	Intentional hydralazine overdose
^ESCTIN583599	Intentional dipyridamole overdose
^ESCTIN583616	Intentional streptokinase overdose
^ESCTIN583620	Intentional urokinase overdose
^ESCTIN583753	Intentional overdose of tricyclic antidepressant
^ESCTIN678906	Intentional poisoning
^ESCTIN705680	Intentional X-ray contrast media poisoning
^ESCTIN705926	Intentional chlorprothixene overdose
^ESCTIN713498	Intentional poisoning caused by drug
^ESCTIN768978	Intentional drug overdose by tablet
^ESCTIN768979	Intentional drug overdose by injectable substance
^ESCTIN772931	Intentional disulfiram poisoning
^ESCTIN772986	Intentional disulfiram overdose
^ESCTIN807527	Intentional drug overdose - drug paraphernalia
^ESCTIN807528	Intentional drug overdose - tablets
^ESCT1177667	Toxic effect of noxious inhalation
^ESCT1192092	Poisoning by anesthetic agent
^ESCT1192094	General anesthetic drug poisoning
^ESCT1248000	[X]Poisoning by other antiepileptic and sedative-hypnotic drugs
^ESCT1248268	Anticonvulsant poisoning NOS
^ESCT1270424	Cause of overdose - accidental
^ESCT1271982	Other analgesic and antipyretic poisoning
^ESCT1271983	Other analgesic or antipyretic poisoning NOS
^ESCT1272636	Drug and medicament poisoning NOS
^ESCT1379669	Poisoning caused by biological substance
^ESCT1381572	Residual
^ESCT1419814	Lithium toxicity
^ESCTAC364284	Acetaminophen poisoning
^ESCTAC551271	Accidental poisoning caused by drugs, medicines and biologicals
^ESCTAC581424	Acetaminophen overdose
^ESCTAF623898	Aftereffect
^ESCTAM576357	Amoxapine poisoning
^ESCTAM582447	Amylobarbitone overdose
^ESCTAN257614	Antiparkinsonian drug poisoning
^ESCTAT551351	Attempt suicide - car exhaust
^ESCTAT572279	Attempted suicide - suffocation
^ESCTAT572280	Attempted suicide - drowning
^ESCTAT572281	Attempted suicide - firearms
^ESCTAT572282	Attempted suicide - cut/stab
^ESCTAT572283	Attempted suicide - jumping from a high place
^ESCTAT573148	Attempt suicide - domestic gas
^ESCTBA569140	Banging own head against object
^ESCTBA569141	Banging own head against own body parts
^ESCTBE516710	Beta-blocker poisoning
^ESCTBI525256	Biting own hand
^ESCTBI569142	Biting own arm
^ESCTBI569143	Biting own tongue
^ESCTBI569144	Biting sides of own cheeks
^ESCTBI569747	Biting own fingers
^ESCTBI569748	Biting own toes
^ESCTBR569127	Breaking own bones
^ESCTBU576361	Butriptyline poisoning
^ESCTCA487332	Causes of injury and poisoning
^ESCTCE551119	Central nervous system depressants and anesthetic agent poisoning
^ESCTCI576451	Citalopram poisoning
^ESCTCL576365	Clomipramine poisoning
^ESCTCO786200	Compulsive scratching behaviour
^ESCTCO786201	Compulsive scratching behavior
^ESCTCU493564	Cutting own throat
^ESCTCU597004	Cutting own wrists
^ESCTDA569213	Damaging own wounds
^ESCTDE576369	Desipramine poisoning
^ESCTDE668334	Dermatitis artefacta due to application of caustic to skin
^ESCTDE678907	Deliberate poisoning
^ESCTDE819489	Deliberate overdose of prescribed medication
^ESCTDI581480	Diamorphine overdose
^ESCTDO576373	Dosulepin poisoning
^ESCTDO576374	Dothiepin poisoning
^ESCTDO576381	Doxepin poisoning
^ESCTDR262571	Drug toxicity
^ESCTDR340427	Drug overdose
^ESCTDR573129	Drug groups primarily affecting the central nervous system poisoning
^ESCTEA569132	Eating own flesh
^ESCTEN569124	Enucleation of own eyes
^ESCTEX569130	Extracting own teeth
^ESCTFI308262	First known suicide attempt
^ESCTFL576455	Fluoxetine poisoning
^ESCTFL576460	Fluvoxamine poisoning
^ESCTGA343173	Gas poisoning
^ESCTGA343174	Gases, fumes or vapours causing toxic effect
^ESCTGE575991	General anaesthetic drug poisoning
^ESCTGO466213	Gouging own eyes
^ESCTGO569137	Gouging own body parts
^ESCTGO569138	Gouging own flesh
^ESCTGO569139	Gouging own rectum
^ESCTGO569767	Gouging own vagina
^ESCTHA491322	Hanging, strangulation or suffocation of unknown intent
^ESCTHA525257	Hand biting
^ESCTHE320774	Head banging
^ESCTHE525258	Head-hitting
^ESCTHI454008	History of attempted suicide
^ESCTHI454171	History of poisoning
^ESCTHI651563	History of repeated overdose
^ESCTIN262574	Intoxication by drug
^ESCTIN262577	Intoxication caused by drug
^ESCTIN315614	Intravenous anaesthetic agent poisoning
^ESCTIN315615	Intravenous anesthetic agent poisoning
^ESCTIN372739	Intoxication
^ESCTIN491326	Injury of unknown intent by firearms and explosives
^ESCTIN491328	Injury of unknown intent by shotgun
^ESCTIN491329	Injury of unknown intent by hunting rifle
^ESCTIN491330	Injury of unknown intent by military firearm
^ESCTIN491331	Injury of unknown intent by explosive
^ESCTIN491332	Injury of unknown intent by sharp instrument
^ESCTIN491333	Injury of unknown intent by cutting instrument
^ESCTIN491335	Injury of unknown intent due to fall from height
^ESCTIN551326	Injury of undetermined intent
^ESCTIN569201	Inserting foreign bodies into own orifices
^ESCTIN596374	Inserting objects into wound
^ESCTIP576387	Iprindole poisoning
^ESCTIP576414	Iproniazid poisoning
^ESCTIS576418	Isocarboxazid poisoning
^ESCTJU493438	Jumping in front of vehicle
^ESCTJU493440	Jumping under train
^ESCTJU493441	Jumping from cliff
^ESCTJU493565	Jumping from bridge
^ESCTJU493566	Jumping from building
^ESCTJU493567	Jumping from height
^ESCTLA623896	Late effect of
^ESCTLA623897	Late effect
^ESCTLI576350	Lithium poisoning
^ESCTLO576391	Lofepramine poisoning
^ESCTMA576465	Maprotiline poisoning
^ESCTMI576469	Mianserin poisoning
^ESCTMO576426	Moclobemide poisoning
^ESCTNE576447	Nefazodone poisoning
^ESCTNE576684	Neuroleptic poisoning
^ESCTNO576395	Nortriptyline poisoning
^ESCTNS581525	NSAID - Non-steroidal anti-inflammatory overdose
^ESCTOV340428	Overdose
^ESCTOV581479	Overdose of heroin
^ESCTPA340213	Parasuicide
^ESCTPA576443	Paroxetine poisoning
^ESCTPE278659	Pethidine poisoning
^ESCTPE309809	Pesticide toxicity
^ESCTPE309810	Pesticide product poisoning
^ESCTPH576410	Phenelzine poisoning
^ESCTPI569221	Picking own skin
^ESCTPO257613	Poisoning by anti-parkinsonism drug
^ESCTPO257615	Poisoning caused by anti-parkinsonism drug
^ESCTPO259571	Poisoning by nitrazepam
^ESCTPO259573	Poisoning caused by nitrazepam
^ESCTPO261531	Poisoning caused by salicylate
^ESCTPO262576	Poisoning by drug or medicinal substance
^ESCTPO262578	Poisoning caused by drug or medicinal substance
^ESCTPO262579	Poisoning caused by drug AND/OR medicinal substance
^ESCTPO264824	Poisoning by monoamine oxidase inhibitor
^ESCTPO264825	Poisoning by MAO inhibitor
^ESCTPO264826	Poisoning by monoamine oxidase inhibitor antidepressant drug
^ESCTPO264828	Poisoning caused by monoamine oxidase inhibitor antidepressant drug
^ESCTPO264829	Poisoning caused by MAO inhibitor
^ESCTPO264830	Poisoning caused by monoamine oxidase inhibitor
^ESCTPO266676	Poisoning by medazepam
^ESCTPO266678	Poisoning caused by medazepam
^ESCTPO270489	Poisoning by pentazocine
^ESCTPO270491	Poisoning caused by pentazocine
^ESCTPO275766	Poisoning by butyrophenone-based tranquilliser
^ESCTPO275767	Poisoning by butyrophenone-based tranquilizer
^ESCTPO275769	Poisoning caused by butyrophenone-based tranquilliser
^ESCTPO275770	Poisoning caused by butyrophenone-based tranquilizer
^ESCTPO278657	Poisoning by meperidine
^ESCTPO278658	Poisoning by pethidine
^ESCTPO278660	Poisoning caused by meperidine
^ESCTPO278661	Poisoning caused by pethidine
^ESCTPO282190	Poisoning caused by psychostimulant
^ESCTPO291573	Poisoning by secobarbital
^ESCTPO291574	Poisoning by quinalbarbitone
^ESCTPO291577	Poisoning caused by quinalbarbitone
^ESCTPO291578	Poisoning caused by secobarbital
^ESCTPO302853	Poisoning caused by autonomous nervous system drug
^ESCTPO309288	Poisoning by flurazepam
^ESCTPO309290	Poisoning caused by flurazepam
^ESCTPO315613	Poisoning by intravenous anesthetic
^ESCTPO315616	Poisoning caused by intravenous anesthetic
^ESCTPO315617	Poisoning caused by intravenous anaesthetic
^ESCTPO317412	Poisoning by thiopental sodium
^ESCTPO317414	Poisoning caused by thiopental sodium
^ESCTPO318312	Poisoning caused by anticonvulsant
^ESCTPO320866	Poisoning caused by barbiturate
^ESCTPO327382	Poisoning by morphine
^ESCTPO327384	Poisoning caused by morphine
^ESCTPO328532	Poisoning by phenothiazine-based tranquilliser
^ESCTPO328533	Poisoning by phenothiazine-based tranquilizer
^ESCTPO328534	Poisoning caused by phenothiazine-based tranquilizer
^ESCTPO328535	Poisoning caused by phenothiazine-based tranquilliser
^ESCTPO335453	Poisoning by propranolol
^ESCTPO335455	Poisoning caused by propranolol
^ESCTPO349768	Poisoning by diazepam
^ESCTPO349770	Poisoning caused by diazepam
^ESCTPO349817	Poisoning caused by psychotropic agent
^ESCTPO350409	Poisoning by analeptic
^ESCTPO350411	Poisoning caused by analeptic
^ESCTPO350412	Poisoning caused by central nervous system stimulant
^ESCTPO355602	Poisoning by phenobarbital
^ESCTPO355603	Poisoning by phenobarbitone
^ESCTPO355606	Poisoning caused by phenobarbitone
^ESCTPO355607	Poisoning caused by phenobarbital
^ESCTPO356383	Poisoning by imipramine
^ESCTPO356385	Poisoning caused by imipramine
^ESCTPO362924	Poisoning by tricyclic antidepressant drug
^ESCTPO364281	Poisoning by paracetamol
^ESCTPO364282	Poisoning by acetaminophen
^ESCTPO364285	Poisoning caused by paracetamol
^ESCTPO364286	Poisoning caused by acetaminophen
^ESCTPO364373	Poisoning by lorazepam
^ESCTPO364375	Poisoning caused by lorazepam
^ESCTPO368908	Poisoning by trifluperidol
^ESCTPO368910	Poisoning caused by trifluperidol
^ESCTPO372736	Poisoning by
^ESCTPO372738	Poisoning syndrome
^ESCTPO378003	Poisoning by amitriptyline
^ESCTPO378005	Poisoning caused by amitriptyline
^ESCTPO383192	Poisoning by benzodiazepine-based tranquilliser
^ESCTPO383193	Poisoning by benzodiazepine-based tranquilizer
^ESCTPO383195	Poisoning caused by benzodiazepine-based tranquilizer
^ESCTPO383196	Poisoning caused by benzodiazepine-based tranquilliser
^ESCTPO383838	Poisoning by antidepressant drug
^ESCTPO383839	Poisoning caused by antidepressant
^ESCTPO383840	Poisoning caused by antidepressant drug
^ESCTPO387437	Poisoning by chlordiazepoxide
^ESCTPO387439	Poisoning caused by chlordiazepoxide
^ESCTPO388744	Poisoning by sleeping tablet
^ESCTPO388745	Poisoning by sleeping drug
^ESCTPO388746	Poisoning by sleeping pill
^ESCTPO388747	Poisoning caused by sleeping drug
^ESCTPO388748	Poisoning caused by sleeping tablet
^ESCTPO388749	Poisoning caused by sleeping pill
^ESCTPO388750	Poisoning caused by sedative AND/OR hypnotic
^ESCTPO389742	Poisoning by hallucinogen
^ESCTPO389743	Poisoning by hallucinogenic drug
^ESCTPO389744	Poisoning caused by hallucinogenic drug
^ESCTPO389745	Poisoning caused by hallucinogen
^ESCTPO389746	Poisoning caused by psychodysleptic
^ESCTPO392025	Poisoning by promazine
^ESCTPO392027	Poisoning caused by promazine
^ESCTPO392082	Poisoning by chlorpromazine
^ESCTPO392084	Poisoning caused by chlorpromazine
^ESCTPO394640	Poisoning by haloperidol
^ESCTPO394642	Poisoning caused by haloperidol
^ESCTPO395836	Poisoning by phenylbutazone
^ESCTPO395838	Poisoning caused by phenylbutazone
^ESCTPO398298	Poisoning by fluphenazine
^ESCTPO398300	Poisoning caused by fluphenazine
^ESCTPO412129	Poisoning by analgesic, antipyretic AND/OR antirheumatic
^ESCTPO412130	Poisoning caused by analgesic, antipyretic AND/OR antirheumatic
^ESCTPO419928	Poisoning by mixed sedative
^ESCTPO419929	Poisoning caused by mixed sedative
^ESCTPO419938	Poisoning by prochlorperazine
^ESCTPO419940	Poisoning caused by prochlorperazine
^ESCTPO419941	Poisoning by tranquilliser
^ESCTPO419942	Poisoning by tranquilizer
^ESCTPO419943	Poisoning caused by tranquilliser
^ESCTPO419944	Poisoning caused by tranquilizer
^ESCTPO465600	Poking own eyes
^ESCTPO486889	Poisoning by phenacetin
^ESCTPO486925	Poisoning by spiperone
^ESCTPO486927	Poisoning by hydroxyzine
^ESCTPO516684	Poisoning caused by analgesic drug
^ESCTPO516687	Poisoning by dihydrocodeine
^ESCTPO516689	Poisoning caused by dihydrocodeine
^ESCTPO516694	Poisoning by sodium valproate
^ESCTPO516695	Poisoning caused by sodium valproate
^ESCTPO516698	Poisoning by anaesthetic agent
^ESCTPO516700	Poisoning caused by anaesthetic agent
^ESCTPO516701	Poisoning caused by anesthetic agent
^ESCTPO516703	Poisoning caused by temazepam
^ESCTPO516709	Poisoning by beta-adrenergic blocking drug
^ESCTPO516711	Poisoning caused by beta-adrenergic blocking drug
^ESCTPO569216	Poking fingers into wound
^ESCTPO573127	Poisoning by CNS drug
^ESCTPO573128	Poisoning by CNS drugs
^ESCTPO573130	Poisoning by central nervous system drug
^ESCTPO573131	Poisoning caused by central nervous system drug
^ESCTPO573132	Poisoning caused by CNS drugs
^ESCTPO573133	Poisoning caused by CNS drug
^ESCTPO575625	Poisoning caused by nonopioid analgesic
^ESCTPO576683	Poisoning by anti-psychotic agent
^ESCTPR576399	Protriptyline poisoning
^ESCTPU569129	Pulling own teeth out
^ESCTPU569215	Pulling out sutures
^ESCTRE569131	Removing own nails
^ESCTRE569214	Reopening scars
^ESCTRU569222	Rubbing own skin
^ESCTSA261527	Salicylism
^ESCTSE576438	Selective serotonin re-uptake inhibitor poisoning
^ESCTSE576439	Sertraline poisoning
^ESCTSE623895	Sequela
^ESCTSN569128	Snapping own bones
^ESCTST569134	Stripping own skin
^ESCTSU337321	Suicide attempt by adequate means
^ESCTSU340210	Suicide attempt by inadequate means
^ESCTSU340211	Suicide gesture
^ESCTSU491214	Suicide or attempted suicide by hanging
^ESCTSU551316	Suicide or attempted suicide by suffocation with plastic bag
^ESCTSU576685	Sulpiride poisoning
^ESCTSW525264	Swallowing objects
^ESCTSW569200	Swallowing substances
^ESCTTE576464	Tetracyclic antidepressant drug poisoning
^ESCTTH262570	Therapeutic agent toxicity
^ESCTTO343172	Toxic effect of gas, fumes AND/OR vapors
^ESCTTO372737	Toxicosis
^ESCTTO372740	Toxicity
^ESCTTO372741	Toxic effect
^ESCTTO372742	Toxic effect of
^ESCTTR362923	Tricyclic antidepressant poisoning
^ESCTTR576403	Trimipramine poisoning
^ESCTTR576422	Tranylcypromine poisoning
^ESCTUN340212	Unsuccessful suicide attempt
^ESCTVE576434	Venlafaxine poisoning
^ESCTVI576477	Viloxazine poisoning
^ESCTXO816650	[X]Overdose - ibuprofen
^ESCTZU576787	Zuclopenthixol decanoate poisoning
^ESCTZU576791	Zuclopenthixol poisoning
EGTON59	Alcohol overdose
