aw11.	Orlistat 120mg capsule
do18.	RecTube 5mg/2.5mL rectal solution
do19.	Diazepam 10mg/2.5mL RecTube
do19.	RecTube 10mg/2.5mL rectal solution
do1A.	Diazepam 2.5mg/1.25mL RecTube
do1A.	RecTube 2.5mg/1.25mL rectal solution
do1t.	Diazepam 2.5mg/1.25mL rectal solution
do1y.	Diazepam 10mg/2.5mL rectal solution
dq21.	Madopar 62.5 capsule
dq22.	Madopar 125 capsule
dq23.	Madopar 250 capsule
dq24.	Madopar 62.5 dispersible tablet
dq25.	Madopar 125 dispersible tablet
dq26.	Madopar CR 125 m/r capsule
dq27.	Co-beneldopa 12.5mg/50mg capsule
dq28.	Co-beneldopa 25mg/100mg capsule
dq29.	Co-beneldopa 50mg/200mg capsule
dq2b.	Co-beneldopa 25mg/100mg m/r capsule
dq31.	Sinemet-110 tablet
dq32.	Sinemet-275 tablet
dq33.	Sinemet-Plus tablet
dq34.	Sinemet-62.5 tablet
dq34.	Sinemet-LS tablet
dq39.	Sinemet CR m/r tablet
dq3a.	Co-careldopa 50mg/200mg m/r tablet
dq3A.	Half-Sinemet CR m/r tablet
dq3b.	Co-careldopa 25mg/100mg m/r tablet
dq3B.	Stalevo 50mg / 12.5mg / 200mg tablet
dq3C.	Stalevo 100mg / 25mg / 200mg tablet
dq3D.	Stalevo 150mg / 37.5mg / 200mg tablet
dq3H.	CARAMET CR 25mg/100mg m/r tablets
dq3J.	STALEVO 200mg/50mg/200mg tablets
dq3K.	STALEVO 125mg/31.25mg/200mg tablets
dq3L.	STALEVO 75mg/18.75mg/200mg tablets
dq3M.	STALEVO 175mg/43.75mg/200mg tablets
dq3O.	SASTRAVI 75mg/18.75mg/200mg tablets
dq3P.	SASTRAVI 100mg/25mg/200mg tablets
dq3R.	SASTRAVI 150mg/37.5mg/200mg tablets
dq3S.	SASTRAVI 175mg/43.75mg/200mg tablets
dq3T.	SASTRAVI 200mg/50mg/200mg tablets
dq61.	Eldepryl 5mg tablet
dq6A.	Zelapar 1.25mg tablet
dq6w.	Selegiline hydrochloride 1.25mg tablet
dq6y.	Selegiline hydrochloride 10mg tablet
dq6z.	Selegiline hydrochloride 5mg tablet
dq95.	Apomorphine hydrochloride 30mg/3mL prefilled pen
dq99.	APO-go 30mg/3mL prefilled pen
dq9z.	Apomorphine hydrochloride 50mg/10mL prefilled syringe
dqA1.	Ropinirole 0.25mg tablet
dqA2.	Ropinirole 1mg tablet
dqA3.	Ropinirole 2mg tablet
dqA4.	Ropinirole 5mg tablet
dqA6.	ReQuip 1mg tablet
dqA7.	ReQuip 2mg tablet
dqA8.	ReQuip 5mg tablet
dqAb.	ReQuip tablet starter pack
dqAd.	ADARTREL 2mg tablets
dqAf.	ADARTREL 500micrograms tablets
dqAg.	REQUIP XL 2mg m/r tablets
dqAh.	REQUIP XL 4mg m/r tablets
dqAi.	REQUIP XL 8mg m/r tablets
dqAm.	REPINEX XL 2mg m/r tablets
dqAn.	REPINEX XL 4mg m/r tablets
dqAp.	RAPONER XL 2mg m/r tablets
dqAs.	RAPONER XL 4mg m/r tablets
dqB1.	Cabergoline 1mg tablet
dqB2.	Cabergoline 2mg tablet
dqB3.	Cabergoline 4mg tablet
dqB4.	Cabaser 1mg tablet
dqD1.	Entacapone 200mg tablet
dqE1.	Mirapexin 0.088mg tablet
dqE2.	Mirapexin 0.18mg tablet
dqE3.	Mirapexin 0.7mg tablet
dqE4.	MIRAPEXIN 350micrograms tablets
dqE5.	MIRAPEXIN 260micrograms m/r tablets
dqE6.	MIRAPEXIN 520micrograms m/r tablets
dqE7.	MIRAPEXIN 1.05mg m/r tablets
dqE8.	MIRAPEXIN 2.1mg m/r tablets
dqE9.	MIRAPEXIN 3.15mg m/r tablets
dqEA.	MIRAPEXIN 1.57mg m/r tablets
dqEB.	MIRAPEXIN 2.62mg m/r tablets
dqEp.	PRAMIPEXOLE 2.62mg m/r tablets
dqEq.	PRAMIPEXOLE 1.57mg m/r tablets
dqEr.	PRAMIPEXOLE 3.15mg m/r tablets
dqEs.	PRAMIPEXOLE 2.1mg m/r tablets
dqEt.	PRAMIPEXOLE 1.05mg m/r tablets
dqEu.	PRAMIPEXOLE 520micrograms m/r tablets
dqEv.	PRAMIPEXOLE 260micrograms m/r tablets
dqEx.	Pramipexole 0.088mg tablet
dqEx.	Pramipexole dihydrochloride monohydrate 0.125mg tablet
dqEy.	Pramipexole 0.18mg tablet
dqEy.	Pramipexole dihydrochloride monohydrate 0.25mg tablet
dqEz.	Pramipexole 0.7mg tablet
dqEz.	Pramipexole dihydrochloride monohydrate 1mg tablet
dqF1.	Azilect 1mg tablet
dqFz.	Rasagiline 1mg tablet
dqG1.	Neupro 2mg/24hours transdermal patch
dqG2.	Neupro 4mg/24hours transdermal patch
dqG6.	NEUPRO 1mg/24hours transdermal patches
dqG7.	NEUPRO 3mg/24hours transdermal patches
dqGt.	ROTIGOTINE 3mg/24hours transdermal patches
dqGu.	ROTIGOTINE 1mg/24hours transdermal patches
dqGw.	Rotigotine 8mg/24hours transdermal patch
dqGx.	Rotigotine 6mg/24hours transdermal patch
dqGy.	Rotigotine 4mg/24hours transdermal patch
dqGz.	Rotigotine 2mg/24hours transdermal patch
dr19.	Broflex 5mg/5mL syrup
dr1w.	Benzhexol hydrochloride 2mg tablet
dr1w.	Trihexyphenidyl hydrochloride 2mg tablet
dr1x.	Benzhexol hydrochloride 5mg tablet
dr1x.	Trihexyphenidyl hydrochloride 5mg tablet
dr1z.	Benzhexol hydrochloride 5mg/5mL syrup
dr1z.	Trihexyphenidyl hydrochloride 5mg/5mL syrup
dr21.	Biorphen 25mg/5mL elixir
dr22.	Disipal 50mg tablet
dr2w.	Orphenadrine hydrochloride 50mg/5mL syrup
dr3y.	Benzatropine mesylate 2mg tablet
dr3y.	Benztropine mesylate 2mg tablet
dr41.	Akineton 2mg tablet
dr4y.	Biperiden hydrochloride 2mg tablet
dr63.	Kemadrin 5mg tablet
dr6w.	Procyclidine hydrochloride 2.5mg/5mL sugar free syrup
dr6x.	Procyclidine hydrochloride 5mg/5mL sugar free syrup
dr6y.	Procyclidine hydrochloride 5mg tablet
dr6z.	Procyclidine hydrochloride 10mg/2mL injection
ds2z.	Tetrabenazine 25mg tablet
ds33.	Botox 100units injection (pdr for recon)
du11.	Disulfiram 200mg tablet
du12.	Antabuse 200mg tablet
du21.	Naltrexone hydrochloride 50mg tablet
du31.	Nicotine 2mg chewing gum
du32.	Nicotine 4mg chewing gum
du35.	Nicotinell TTS 10 patch
du36.	Nicotinell TTS 20 patch
du37.	Nicotinell TTS 30 patch
du38.	Nicotine 7mg/24hours patch
du39.	Nicotine 14mg/24hours patch
du3a.	Nicorette nasal spray
du3A.	Nicotine 21mg/24hours patch
du3B.	Nicorette 5mg patches x7
du3C.	Nicorette 10mg patches x7
du3F.	Nicotine 5mg/16hours patch
du3G.	Nicotine 10mg/16hours patch
du3H.	Nicotine 15mg/16hours patch
du3k.	NiQuitin CQ 7mg/24hours patch
du3l.	NiQuitin CQ 14mg/24hours patch
du3m.	NiQuitin CQ 21mg/24hours patch
du3n.	Nicotine 2mg sublingual tablet
du3o.	Nicorette Microtab 2mg sublingual tablet
du3O.	NiQuitin CQ 7mg/24hours clear patch
du3q.	Nicotinell Mint 1mg lozenge
du3r.	NiQuitin CQ 14mg/24hours clear patch
du3s.	NiQuitin CQ 21mg/24hours clear patch
du3y.	Nicotine 2mg lozenge
du3z.	Nicotine 4mg lozenge
du42.	Lofexidine hydrochloride 200micrograms tablet
du51.	Acamprosate calcium 333mg e/c tablet
du52.	Campral EC 333mg e/c tablet
du61.	Zyban 150mg m/r tablet
du6z.	Amfebutamone hydrochloride 150mg m/r tablet
du6z.	Bupropion hydrochloride 150mg m/r tablet
du72.	NiQuitin CQ 2mg mint chewing gum
du73.	NiQuitin CQ 4mg mint chewing gum
du78.	NiQuitin CQ 2mg mint lozenge
du79.	NiQuitin CQ 4mg mint lozenge
du7a.	NICOTINELL ICEMINT 4mg chewing gum
du7A.	Nicorette Freshmint 2mg chewing gum
du7b.	NICORETTE 15mg inhalator
du7B.	Nicorette Freshmint 4mg chewing gum
du7c.	NICOTINE 15mg inhalator
du7g.	NICORETTE COOLS 2mg lozenges
du7G.	NICOPATCH 7mg/24hours patches
du7h.	NICORETTE COOLS 4mg lozenges
du7H.	NICOPATCH 14mg/24hours patches
du7i.	NIQUITIN PRE-QUIT 21mg/24 hours clear patches
du7I.	NICOPATCH 21mg/24hours patches
du7J.	NICOPASS 1.5mg fresh mint lozenges
du7L.	NIQUITIN PRE-QUIT 4mg mint lozenges
du7M.	NICORETTE INVISI 10mg patches
du7N.	NICORETTE INVISI 15mg patches
du7O.	NICORETTE INVISI 25mg patches
du7P.	NICORETTE ICY WHITE 2mg chewing gum
du7q.	NICOTINE 1mg oromucosal spray
du7Q.	NICORETTE ICY WHITE 4mg chewing gum
du7R.	NIQUITIN MINIS MINT 1.5mg lozenges
du7S.	NIQUITIN MINIS MINT 4mg lozenges
du7u.	NICOTINE 1.5mg lozenges
du7U.	NICORETTE COMBI 15mg patches and 2mg chewing gum
du7v.	NICOTINE 25mg/16hours patches
du7V.	NIQUITIN MINIS 1.5mg cherry lozenges
du7X.	NICORETTE FRESHMINT 2mg lozenges
du7Y.	NICORETTE QUICKMIST 1mg oromucosal spray
du7Z.	NICOTINELL ICEMINT 2mg chewing gum
du81.	CHAMPIX 1mg tablets
du82.	CHAMPIX 500microgram tablets
du8x.	VARENICLINE 500micrograms+1mg tablets
duA2.	NALMEFENE 18mg tablets
duB1.	NIQUITIN STRIPS 2.5mg mint oral film
duB2.	NIQUITIN MINIS 1.5mg orange lozenges
duB3.	NICOTINELL SUPPORT ICEMINT 2mg chewing gum
duB4.	NICOTINELL SUPPORT ICEMINT 4mg chewing gum
dw11.	Methylphenidate hydrochloride 10mg tablet
dw12.	Ritalin 10mg tablet
dw13.	Equasym 5mg tablet
dw14.	Equasym 20mg tablet
dw15.	Equasym 10mg tablet
dw16.	Equasym XL 20mg m/r capsule
dw17.	Concerta XL 18mg m/r tablet
dw18.	Concerta XL 36mg m/r tablet
dw1C.	Equasym XL 10mg m/r capsule
dw1D.	Equasym XL 30mg m/r capsule
dw1E.	MEDIKINET XL 10mg m/r capsules
dw1F.	MEDIKINET XL 20mg m/r capsules
dw1G.	MEDIKINET XL 30mg m/r capsules
dw1H.	MEDIKINET XL 40mg m/r capsules
dw1I.	CONCERTA XL 27mg m/r tablets
dw1J.	MEDIKINET 5mg tablets
dw1K.	MEDIKINET 10mg tablets
dw1L.	MEDIKINET 20mg tablets
dw1M.	MEDIKINET XL 5mg m/r capsules
dw1n.	METHYLPHENIDATE HYDROCHLORIDE 54mg m/r tablets
dw1N.	MEDIKINET XL 50mg m/r capsules
dw1o.	METHYLPHENIDATE HYDROCHLORIDE 50mg m/r capsules
dw1O.	MEDIKINET XL 60mg m/r capsules
dw1p.	METHYLPHENIDATE HYDROCHLORIDE 60mg m/r capsules
dw1P.	MATORIDE XL 18mg m/r tablets
dw1q.	METHYLPHENIDATE HYDROCHLORIDE 5mg m/r capsules
dw1Q.	MATORIDE XL 36mg m/r tablets
dw1r.	METHYLPHENIDATE HYDROCHLORIDE 27mg m/r tablets
dw1R.	MATORIDE XL 54mg m/r tablets
dw1s.	METHYLPHENIDATE HYDROCHLORIDE 40mg m/r capsules
dw1S.	XENIDATE XL 18mg m/r tablets
dw1t.	Methylphenidate hydrochloride 10mg m/r capsule
dw1T.	XENIDATE XL 36mg m/r tablets
dw1u.	Methylphenidate hydrochloride 30mg m/r capsule
dw1U.	CONCERTA XL 54mg m/r tablets
dw1v.	Methylphenidate hydrochloride 36mg m/r tablet
dw1w.	Methylphenidate hydrochloride 18mg m/r tablet
dw1x.	Methylphenidate hydrochloride 20mg m/r capsule
dw1y.	Methylphenidate hydrochloride 5mg tablet
dw1z.	Methylphenidate hydrochloride 20mg tablet
dw21.	Strattera 10mg capsule
dw22.	Strattera 18mg capsule
dw23.	Strattera 25mg capsule
dw24.	Strattera 40mg capsule
dw25.	Strattera 60mg capsule
dw2s.	ATOMOXETINE 4mg/mL oral solution
dw2t.	ATOMOXETINE 100mg capsules
dw2u.	ATOMOXETINE 80mg capsules
dw2v.	Atomoxetine 60mg capsule
dw2w.	Atomoxetine 40mg capsule
dw2x.	Atomoxetine 25mg capsule
dw2y.	Atomoxetine 18mg capsule
dw2z.	Atomoxetine 10mg capsule
dw31.	ELVANSE 30mg capsules
dw32.	ELVANSE 50mg capsules
dw33.	ELVANSE 70mg capsules
dw34.	ELVANSE ADULT 30mg capsules
dw35.	ELVANSE ADULT 50mg capsules
dw36.	ELVANSE ADULT 70mg capsules
dw3x.	LISDEXAMFETAMINE DIMESYLATE 70mg capsules
dw3y.	LISDEXAMFETAMINE DIMESYLATE 50mg capsules
dw3z.	LISDEXAMFETAMINE DIMESYLATE 30mg capsules
dx11.	Riluzole 50mg tablet
dy11.	Donepezil hydrochloride 5mg tablet
dy12.	Donepezil hydrochloride 10mg tablet
dy13.	Aricept 5mg tablet
dy14.	Aricept 10mg tablet
dy15.	ARICEPT EVESS 5mg oro-dispersible tablets
dy1y.	DONEPEZIL HYDROCHLORIDE 10mg oro-dispersible tablets
dy1z.	DONEPEZIL HYDROCHLORIDE 5mg oro-dispersible tablets
dy21.	Rivastigmine 1.5mg capsule
dy22.	Rivastigmine 3mg capsule
dy23.	Rivastigmine 4.5mg capsule
dy24.	Rivastigmine 6mg capsule
dy29.	Rivastigmine 2mg/mL oral solution
dy2B.	EXELON 4.6mg/24hrs patches
dy2C.	EXELON 9.5mg/24hrs patches
dy2D.	RIVASTIGMINE 4.6mg/24hrs patches
dy2E.	RIVASTIGMINE 9.5mg/24hrs patches
dy2K.	RIVASTIGMINE 13.3mg/24hours transdermal patches
dy2L.	ALZEST 4.6mg/24hours transdermal patches
dy2M.	ALZEST 9.5mg/24hours transdermal patches
dy31.	Reminyl 4mg tablet
dy32.	Reminyl 8mg tablet
dy34.	Reminyl 4mg/mL s/f oral solution
dy35.	Reminyl XL 8mg m/r capsule
dy36.	Reminyl XL 16mg m/r capsule
dy37.	Reminyl XL 24mg m/r capsule
dy38.	GALSYA XL 8mg m/r capsules
dy3K.	LUVENTA XL 8mg m/r capsules
dy3L.	LUVENTA XL 16mg m/r capsules
dy3M.	LUVENTA XL 24mg m/r capsules
dy3t.	Galantamine 8mg m/r capsule
dy3u.	Galantamine 16mg m/r capsule
dy3v.	Galantamine 24mg m/r capsule
dy3w.	Galantamine 4mg/mL s/f oral solution
dy3x.	Galantamine 4mg tablet
dy3y.	Galantamine 8mg tablet
dy3z.	Galantamine 12mg tablet
dz11.	Modafinil 100mg tablet
dz12.	Provigil 100mg tablet
dz13.	Modafinil 200mg tablet
dz14.	Provigil 200mg tablet
ei21.	Symmetrel 100mg capsule
gde3.	Cymbalta 30mg gastro-resistant capsule
gde4.	Cymbalta 60mg gastro-resistant capsule
gdew.	Duloxetine 60mg gastro-resistant capsule
gdex.	Duloxetine 30mg gastro-resistant capsule
j111.	Aspirin 300mg tablet
o424.	Fentanyl 25micrograms/hour patch
o425.	Fentanyl 50micrograms/hour patch
o426.	Fentanyl 75micrograms/hour patch
o427.	Fentanyl 100micrograms/hour patch
o428.	Durogesic 25micrograms/hour patch
o429.	Durogesic 50micrograms/hour patch
o42a.	MEZOLAR MATRIX 75micrograms/hour patches
o42A.	Durogesic 75micrograms/hour patch
o42b.	MEZOLAR MATRIX 100micrograms/hour patches
o42C.	Actiq 200micrograms lozenge
o42g.	OSMACH 100micrograms/hour patches
o42i.	FENTALIS RESERVOIR 25micrograms/hr patches
o42I.	Durogesic DTrans 25micrograms/hour patch
o42j.	FENTALIS RESERVOIR 50micrograms/hr patches
o42J.	Durogesic DTrans 50micrograms/hour patch
o42k.	FENTALIS RESERVOIR 75micrograms/hr patches
o42K.	Durogesic DTrans 75micrograms/hour patch
o42L.	Durogesic DTrans 100micrograms/hour patch
o42m.	FENTANYL 100micrograms buccal tablets
o42o.	FENTANYL 200micrograms buccal tablets
o42Q.	Durogesic DTrans 12micrograms/hour patch
o42R.	Fentanyl 12micrograms/hour patch
o42S.	MATRIFEN 12micrograms/hr patches
o42T.	MATRIFEN 25micrograms/hr patches
o42u.	Fentanyl 400micrograms lozenge
o42U.	MATRIFEN 50micrograms/hr patches
o42v.	Fentanyl 200micrograms lozenge
o42V.	MATRIFEN 75micrograms/hr patches
o42W.	MATRIFEN 100micrograms/hr patches
o42X.	MEZOLAR MATRIX 12micrograms/hour patches
o42Y.	MEZOLAR MATRIX 25micrograms/hour patches
o42Z.	MEZOLAR MATRIX 50micrograms/hour patches
o441.	Meptid 200mg tablet
o442.	Meptid 100mg/1mL injection
o481.	Pethidine hydrochloride 50mg/5mL injection
o482.	Pethidine hydrochloride 100mg/10mL injection
o483.	Pethidine hydrochloride 50mg/1mL injection
o484.	Pethidine hydrochloride 100mg/2mL injection
o4d7.	ABSTRAL 100micrograms sublingual tablets
o4d8.	FENTANYL 100micrograms sublingual tablets
o4d9.	ABSTRAL 200micrograms sublingual tablets
o4da.	FENTANYL 200micrograms sublingual tablets
o4db.	ABSTRAL 300micrograms sublingual tablets
o4dB.	FENCINO 12micrograms/hr patches
o4dC.	FENCINO 25micrograms/hr patches
o4dd.	ABSTRAL 400micrograms sublingual tablets
o4dD.	FENCINO 50micrograms/hr patches
o4dE.	FENCINO 75micrograms/hr patches
o4dF.	FENCINO 100micrograms/hr patches
o4dh.	ABSTRAL 800micrograms sublingual tablets
o4dj.	OSMANIL 25micrograms/hr patches
o4dk.	OSMANIL 50micrograms/hr patches
o4dl.	OSMANIL 75micrograms/hr patches
o4dm.	OSMANIL 100micrograms/hr patches
o4do.	VICTANYL 50micrograms/hour patches
o4dq.	VICTANYL 100micrograms/hour patches
o4dr.	OSMANIL 12micrograms/hr patches
o4dt.	FENTANYL 50micrograms nasal spray
o4dy.	PECFENT 100micrograms nasal spray
o4e2.	MEZOLAR MATRIX 37.5micrograms/hour patches
o4e3.	FENTANYL 37.5micrograms/hour transdermal patches
o4e4.	YEMEX 12micrograms/hour transdermal patches
o4e5.	YEMEX 25micrograms/hour transdermal patches
o573.	BUCCOLAM 2.5mg/0.5mL oromucosal soln pre-filled oral syringe
o574.	BUCCOLAM 7.5mg/1.5mL oromucosal soln pre-filled oral syringe
o575.	BUCCOLAM 5mg/1mL oromucosal solution pre-filled oral syringe
o576.	BUCCOLAM 10mg/2mL oromucosal solution prefilled oral syringe
o57r.	MIDAZOLAM 10mg/2mL oromucosal soln pre-filled oral syringe
o57s.	MIDAZOLAM 5mg/1mL oromucosal soln pre-filled oral syringe
o57t.	MIDAZOLAM 7.5mg/1.5mL oromucosal soln prefilled oral syringe
o57u.	MIDAZOLAM 2.5mg/0.5mL oromucosal soln prefilled oral syringe
