d12v.	CLOMETHIAZOLE(base) 192mg capsules
dqA8.	REQUIP 5mg tablets
dqB4.	CABASER 1mg tablets
dqE5.	MIRAPEXIN 260micrograms m/r tablets
dr21.	BIORPHEN 25mg/5mL oral solution
dr4y.	BIPERIDEN HYDROCHLORIDE 2mg tablets
ds2z.	TETRABENAZINE 25mg tablets
du35.	NICOTINELL TTS 10 patches
du3o.	NICORETTE MICROTAB 2mg sublingual tablets
du3s.	NIQUITIN CQ 21mg/24hours clear patches
du42.	LOFEXIDINE HYDROCHLORIDE 200micrograms tablets
du52.	CAMPRAL EC 333mg e/c tablets
d222.	XANAX 500micrograms tablets
d2c2.	MEPROBAMATE 400mg tablets
d411.	CHLORPROMAZINE 10mg tablets
d413.	CHLORPROMAZINE 50mg tablets
d41B.	CHLORPROMAZINE 100mg/5mL sugar free solution
d47j.	SERENACE 500micrograms capsules
d4f5.	DOLMATIL 400mg tablets
d4g5.	*MELLERIL 25mg/5mL suspension
d4g6.	MELLERIL 100mg/5mL oral suspension
d4hu.	*TRIFLUOPERAZINE 2mg m/r caps
d4l1.	CLOZAPINE 25mg tablets
d4l2.	CLOZAPINE 100mg tablets
d4pN.	RISPERDAL QUICKLET 0.5mg oro-dispersible tablets
d4r5.	ZYPREXA 7.5mg tablets
d4rw.	OLANZAPINE 15mg dispersible tablets
d4rx.	OLANZAPINE 15mg tablets
d4ry.	OLANZAPINE 5mg dispersible tablets
d4s1.	QUETIAPINE 25mg tablets
d4s5.	SEROQUEL 25mg tablets
d4sc.	BIQUELLE XL 150mg m/r tablets
d4sC.	SEROQUEL XL 50mg m/r tablets
d4sk.	MINTRELEQ XL 400mg m/r tablets
d4sx.	QUETIAPINE 300mg tablets
d4ty.	AMISULPRIDE 100mg/mL sugar free oral solution
d4tz.	AMISULPRIDE 400mg tablets
d4u1.	*ZOTEPINE 25mg tablets
d4y4.	LURASIDONE 37mg tablets
d518.	DEPIXOL CONC. 50mg/0.5mL injection
d51t.	FLUPENTHIXOL DECANOATE 40mg/2mL prefilled syringe
d625.	PRIADEL 520mg/5mL sugar free liquid
d711.	AMITRIPTYLINE 10mg tablets
d75z.	DOSULEPIN HYDROCHLORIDE 75mg tablets
d7b1.	MIANSERIN 10mg tablets
d7ew.	TRAZODONE HYDROCHLORIDE 100mg capsules
d853.	MANERIX 300mg tablets
da12.	FLUANXOL 1mg tablets
da43.	FLUOXETINE 20mg/5mL oral liquid
da4E.	FLUOXETINE 20mg dispersible tablets
da61.	PAROXETINE 20mg tablets
da7P.	VENSIR XL 75mg m/r capsules
daB4.	ZISPIN SOLTAB 30mg oro-dispersible tablets
daB7.	MIRTAZAPINE 45mg oro-dispersible tablets
daC2.	CIPRALEX 10mg tablets
daC5.	ESCITALOPRAM 5mg tablets
dhb6.	MAXOLON PAEDIATRIC 1mg/mL liquid
dhe6.	*STEMETIL 5mg suppositories
dhk2.	ONDANSETRON 4mg tablets
du73.	NIQUITIN CQ 4mg mint chewing gum
du7B.	NICORETTE FRESHMINT 4mg chewing gum
du7I.	NICOPATCH 21mg/24hours patches
du7L.	NIQUITIN PRE-QUIT 4mg mint lozenges
du7v.	NICOTINE 25mg/16hours patches
dw18.	CONCERTA XL 36mg m/r tablets
dw1C.	EQUASYM XL 10mg m/r capsules
dw1o.	METHYLPHENIDATE HYDROCHLORIDE 50mg m/r capsules
dw1q.	METHYLPHENIDATE HYDROCHLORIDE 5mg m/r capsules
dw1T.	XENIDATE XL 36mg m/r tablets
dw1w.	METHYLPHENIDATE HYDROCHLORIDE 18mg m/r tablets
dy22.	RIVASTIGMINE 3mg capsules
dy31.	*REMINYL 4mg tablets
dz13.	MODAFINIL 200mg tablets
o42g.	OSMACH 100micrograms/hour patches
o42L.	DUROGESIC DTRANS 100micrograms/hr patches
o42m.	FENTANYL 100micrograms buccal tablets
o42U.	MATRIFEN 50micrograms/hr patches
o482.	PETHIDINE 100mg/10mL injection
d1f2.	ZOLPIDEM TARTRATE 5mg tablets
d1hz.	MELATONIN 2mg m/r tablets
d47d.	*HALDOL 5mg tablets
dhkH.	ZOFRAN MELT 4mg wafer
di26.	CALPOL SIX PLUS 250mg/5mL suspension
di29.	PANADOL 500mg capsules
di2H.	*PARADOTE tablets
di2O.	ALVEDON 250mg suppositories
dic4.	ZAPAIN capsules
dj31.	TEMGESIC 200microgram sublingual tablets
dj42.	CODEINE PHOSPHATE 30mg tablets
dji6.	TRAMADOL HCL 150mg m/r tablets
djiV.	ZYDOL XL 400mg m/r tablets
djj7.	HYDROMORPHONE HYDROCHLORIDE 8mg m/r capsules
djkb.	RELTEBON 5mg m/r tablets
djkd.	RELTEBON 20mg m/r tablets
djko.	OXYCODONE HYDROCHLORIDE 10mg/mL injection solution 1mL ampoule
djkS.	OXYLAN 20mg m/r tablets
djmG.	OXELTRA 60mg m/r tablets
djmN.	ABTARD 10mg m/r tablets
djy7.	FILNARINE SR 30mg m/r tablets
djzE.	MORPHINE SULFATE 30mg m/r capsules
djzk.	ZOMORPH 30mg m/r capsules
djzT.	MXL 60mg m/r capsules
dl16.	PARAMAX tablets
dl1A.	PARACETAMOL+DOMPERIDONE 500mg/10mg tablets
dl5D.	IMIGRAN RADIS 50mg tablets
dl73.	SUMATRIPTAN 10mg nasal spray
dl88.	ZOMIG RAPIMELT 5mg oro-dispersible tablets
dlE1.	FROVATRIPTAN 2.5mg tablets
dm31.	SANOMIGRAN 500micrograms tablets
dn36.	TEGRETOL 400mg tablets
dn3K.	CARBAGEN SR 400mg m/r tablets
dn54.	EMESIDE 250mg/5mL syrup
dn5x.	ETHOSUXIMIDE 250mg capsules
dna3.	*MYSOLINE 50mg tablets
dnb5.	EPILIM 200mg/5mL syrup
dnb7.	SODIUM VALPROATE 200mg e/c tablets
dnb8.	SODIUM VALPROATE 500mg e/c tablets
dnbB.	EPIVAL CR 300mg m/r tablets
dnbG.	EPISENTA 300mg m/r capsules
dnby.	SODIUM VALPROATE 200mg/5mL sugar free liquid
dnfB.	LAMOTRIGINE 25mg dispersible tablets
dnj1.	GABAPENTIN 100mg capsules
dnk1.	TOPIRAMATE 50mg tablets
dnk7.	TOPIRAMATE 25mg tablets
dnov.	LEVETIRACETAM 100mg/mL s/f oral solution
dnow.	LEVETIRACETAM 750mg tablets
dnp3.	LYRICA 75mg capsules
dnpK.	REWISCA 75mg capsules
dnq4.	ZONEGRAN 25mg capsules
dnrx.	RUFINAMIDE 400mg tablets
dntA.	LACOSAMIDE 100mg tablets
dnw3.	FYCOMPA 6mg tablets
d4ax.	PERICYAZINE 10mg tablets
d4lB.	DENZAPINE 50mg/mL oral suspension 100mL
d4p6.	RISPERDAL 2mg tablets
d4pC.	RISPERDAL 6mg tablets
d4pF.	RISPERDAL CONSTA 37.5mg powder+solvent for suspension for injection
d4pL.	RISPERDAL QUICKLET 2mg oro-dispersible tablets
d4pQ.	RISPERIDONE 3mg oro-dispersible tablets
d4px.	RISPERIDONE 37.5mg powder+solvent for suspension for injection
d4r2.	OLANZAPINE 7.5mg tablets
d4rB.	ZYPREXA 15mg tablets
d4sb.	BIQUELLE XL 50mg m/r tablets
d4sd.	BIQUELLE XL 200mg m/r tablets
d4sf.	BIQUELLE XL 400mg m/r tablets
d4sI.	SONDATE XL 200mg m/r tablets
d4sJ.	SONDATE XL 300mg m/r tablets
d4sS.	EBESQUE XL 50mg m/r tablets
d4sX.	ZALURON XL 150mg m/r tablets
d4vr.	ARIPIPRAZOLE 400mg pdr+solvent for suspension for injection
d4w2.	INVEGA 6mg m/r tablets
d519.	FLUPENTIXOL 50mg/0.5mL injection
d51y.	FLUPENTIXOL DECANOATE 100mg/1mL injection
d553.	HALOPERIDOL 50mg/1mL injection
d563.	PIPOTIAZINE 50mg/1mL injection
d573.	CLOPIXOL CONC. 500mg/1mL injection
d61s.	LITHIUM CARBONATE 200mg m/r tablets
d61z.	LITHIUM CARBONATE 400mg m/r tablets
d713.	AMITRIPTYLINE 50mg tablets
d771.	IMIPRAMINE 10mg tabs
d7f1.	*SURMONTIL 50mg capsules x28CP
da4D.	OLENA 20mg dispersible tablets
da73.	*EFEXOR 37.5mg tablets
da7H.	VIEPAX XL 75mg m/r tablets
da7K.	VENLAFAXINE 150mg m/r tablets
daB2.	*ZISPIN 30mg tablets
daC3.	ESCITALOPRAM 20mg tablets
daC9.	CIPRALEX 20mg/mL oral drops
daE3.	BRINTELLIX 10mg tablets
dh7z.	DOMPERIDONE 30mg suppositories
dh8B.	HYOSCINE HYDROBROMIDE 150micrograms tablets
dhb7.	MAXOLON 10mg/2mL injection
dhkD.	ONDANSETRON 16mg suppositories
dhr2.	ARLEVERT 20mg/40mg tablets
diap.	CO-CODAMOL 8mg/500mg effervescent tablets
dibu.	SOLPADOL effervescent tablets
dibv.	REMEDEINE tablets
dica.	CODIPAR 15mg/500mg effervescent tablets
dicx.	PARACETAMOL+TRAMADOL HCL 325mg/37.5mg effervescent tablets
dj1L.	MORPHINE SULFATE 10mg/5mL oral solution
dnwx.	PERAMPANEL 6mg tablets
dq2b.	CO-BENELDOPA 25/100 m/r capsules
dq3B.	STALEVO 50mg / 12.5mg / 200mg tablets
dq61.	ELDEPRYL 5mg tablets
dqA6.	REQUIP 1mg tablets
dqAg.	REQUIP XL 2mg m/r tablets
dqAp.	RAPONER XL 2mg m/r tablets
dr19.	*BROFLEX 5mg/5mL syrup
du7A.	NICORETTE FRESHMINT 2mg chewing gum
du7G.	*NICOPATCH 7mg/24hours patches
du7N.	NICORETTE INVISI 15mg patches
du7U.	NICORETTE COMBI 15mg patches and 2mg chewing gum
duB1.	NIQUITIN STRIPS 2.5mg mint oral film
duB2.	NIQUITIN MINIS 1.5mg orange lozenges
dw17.	CONCERTA XL 18mg m/r tablets
dw1G.	MEDIKINET XL 30mg m/r capsules
dw1p.	METHYLPHENIDATE HYDROCHLORIDE 60mg m/r capsules
dw23.	STRATTERA 25mg capsules
dw2u.	ATOMOXETINE 80mg capsules
dw32.	ELVANSE 50mg capsules
dy1y.	DONEPEZIL HYDROCHLORIDE 10mg oro-dispersible tablets
dy24.	RIVASTIGMINE 6mg capsules
dy2D.	RIVASTIGMINE 4.6mg/24hrs patches
dy3L.	LUVENTA XL 16mg m/r capsules
dz12.	PROVIGIL 100mg tablets
gde4.	CYMBALTA 60mg gastro-resistant capsules
o428.	DUROGESIC 25micrograms/hr patches
o42A.	DUROGESIC 75micrograms/hr patches
o442.	MEPTID 100mg/1mL injection
o4dC.	FENCINO 25micrograms/hr patches
o4dD.	FENCINO 50micrograms/hr patches
o4dE.	FENCINO 75micrograms/hr patches
o4dt.	FENTANYL 50micrograms nasal spray
o4e4.	YEMEX 12micrograms/hour transdermal patches
dj1Y.	MST CONTINUS 200mg/sachet suspension
dj39.	TRANSTEC 35micrograms/hour patches
dj3B.	BUTRANS 10micrograms/hour patches
dj3I.	HAPOCTASIN 52.5micrograms/hour patches
dj3v.	BUPRENORPHINE 8mg sublingual tablets
dj43.	CODEINE PHOSPHATE 60mg tablets
dj74.	DIAMORPHINE 30mg injection
dj83.	DIHYDROCODEINE 50mg/1mL injection
djBV.	TAPENTADOL 250mg m/r tablets
dji5.	TRAMADOL HCL 100mg m/r tablets
djiG.	TRAMADOL HYDROCHLORIDE 100mg m/r capsules
djiW.	*DROMADOL SR 100mg m/r tablets
djj4.	PALLADONE 2.6mg capsules
djkl.	OXYCODONE HYDROCHLORIDE+NALOXONE HYDROCHLORIDE 20mg/10mg m/r tablets
djkN.	LONGTEC 20mg m/r tablets
djmJ.	LONGTEC 30mg m/r tablets
djzG.	MORPHINE SULFATE 100mg m/r capsules
djzW.	MXL 150mg m/r capsules
dl17.	PARAMAX sachets
dl1B.	*DOMPERAMOL tablets
dl59.	IMIGRAN 50mg tablets
dlD2.	ELETRIPTAN 40mg tablets
dm2z.	*METHYSERGIDE 1mg tablets
dn35.	TEGRETOL 200mg tablets
dn38.	TEGRETOL RETARD 200mg m/r tabs
dn3y.	CARBAMAZEPINE 100mg chewable tablets
dn42.	*RIVOTRIL 2mg tablets
dn4y.	CLONAZEPAM 500microgram tablets
dn56.	ZARONTIN 250mg/5mL syrup
dn81.	EPANUTIN 30mg/5mL suspension
dn82.	EPANUTIN 50mg Infatabs
dnax.	PRIMIDONE 50mg tablets
dnb1.	EPILIM 100mg crushable tablets
dnbd.	EPILIM CHRONO 300 m/r tablets
dnbS.	EPILIM CHRONOSPHERE 500mg/sachet m/r granules
dnor.	LEVETIRACETAM 1g/sachet granules
dnr2.	INOVELON 200mg tablets
dnt9.	LACOSAMIDE 50mg tablets
dnwz.	PERAMPANEL 2mg tablets
do1t.	DIAZEPAM 2.5mg/1.25mL rectal solution
dq23.	MADOPAR-250 capsules
dq33.	SINEMET-PLUS tablets
dq34.	SINEMET LS tablets
dq3a.	CO-CARELDOPA 50/200 m/r tablets
dq3D.	STALEVO 150mg /37.5mg / 200mg tablets
dq3J.	STALEVO 200mg/50mg/200mg tablets
dq3L.	STALEVO 75mg/18.75mg/200mg tablets
dq3R.	SASTRAVI 150mg/37.5mg/200mg tablets
dq3S.	SASTRAVI 175mg/43.75mg/200mg tablets
dqE3.	MIRAPEXIN 700micrograms tablets
dqE7.	MIRAPEXIN 1.05mg m/r tablets
dqG7.	NEUPRO 3mg/24hours transdermal patches
dqGy.	ROTIGOTINE 4mg/24hours transdermal patches
du39.	NICOTINE 14mg/24hours patches
du3a.	NICORETTE nasal spray
du3n.	NICOTINE 2mg sublingual tablets
du7b.	NICORETTE 15mg inhalator
du7M.	NICORETTE INVISI 10mg patches
du7P.	NICORETTE ICY WHITE 2mg chewing gum
dw1D.	EQUASYM XL 30mg m/r capsules
dw1r.	METHYLPHENIDATE HYDROCHLORIDE 27mg m/r tablets
dw21.	STRATTERA 10mg capsules
dw25.	STRATTERA 60mg capsules
dw2s.	ATOMOXETINE 4mg/mL oral solution
dw31.	ELVANSE 30mg capsules
dw34.	ELVANSE ADULT 30mg capsules
dy2K.	RIVASTIGMINE 13.3mg/24hours transdermal patches
dy38.	GALSYA XL 8mg m/r capsules
o426.	FENTANYL 75micrograms/hr patches
o42j.	FENTALIS RESERVOIR 50micrograms/hr patches
o42R.	FENTANYL 12micrograms/hr patches
o42X.	MEZOLAR MATRIX 12micrograms/hour patches
o483.	PETHIDINE 50mg/1mL injection
d171.	LORMETAZEPAM 500micrograms tablets
d182.	NITRAZEPAM 5mg tablets
d1ao.	TEMAZEPAM 10mg/5mL sugar free oral solution
d1d3.	ZOPICLONE 3.75mg tablets
d24a.	LIBRIUM 10mg capsules
d31g.	TUINAL 100mg capsules
d4cy.	PIMOZIDE 4mg tablets
d4h4.	*STELAZINE 10mg m/r capsules
d4h9.	TRIFLUOPERAZINE 5mg/5mL sugar free syrup
d4lA.	ZAPONEX 100mg tablets
d4pJ.	RISPERIDONE 2mg oro-dispersible tablets
d4r9.	ZYPREXA VELOTAB 5mg dispersible tablets
d4sa.	ZALURON XL 400mg m/r tablets
d4se.	BIQUELLE XL 300mg m/r tablets
d4sH.	SONDATE XL 50mg m/r tablets
d4sW.	ZALURON XL 50mg m/r tablets
d4t1.	AMISULPRIDE 50mg tablets
d4v6.	ABILIFY 15mg oro-dispersible tablets
d4vw.	ARIPIPRAZOLE 5mg tablets
d4w1.	INVEGA 3mg m/r tablets
d4ws.	PALIPERIDONE 150mg suspension for injection pfs
d511.	DEPIXOL 20mg/1mL injection
d528.	MODECATE CONCENTRATE 100mg/1mL injection
d576.	ZUCLOPENTHIXOL DECANOATE 200mg/1mL injection
d61x.	LITHIUM CARBONATE 450mg m/r tablets
d62x.	LITHIUM CITRATE 5.4mmol/5mL liquid
d763.	*SINEQUAN 50mg capsules x28CP
d76y.	DOXEPIN 50mg capsules
d772.	IMIPRAMINE 25mg tablets
d7c2.	*ALLEGRON 25mg tablets
d7h3.	*AMOXAPINE 100mg tablets
d811.	NARDIL 15mg tablets
da47.	*PROZAC 60mg capsules
da66.	SEROXAT 10mg/5mL sugar free liquid
da7d.	ALVENTA XL 75mg m/r capsules
da7V.	VENLALIC XL 75mg m/r tablets
da7Z.	VENAXX XL 75mg m/r capsules
da94.	*CIPRAMIL 10mg tablets
da96.	*CIPRAMIL 40mg tablets
df62.	*REDUCTIL 10mg capsules
df71.	*RIMONABANT 20mg tablets
dh73.	*MOTILIUM 30mg suppositories
dhb3.	METOCLOPRAMIDE 10mg/2mL injection
dhk6.	ZOFRAN 8mg tablets
di2n.	PARACETAMOL 120mg/5mL oral suspension
di2y.	CALPOL PAEDIATRIC 120mg/5mL sugar free suspension
diad.	*DISTALGESIC tablets
diaJ.	KAPAKE INSTS 500mg/30mg/sachet powder
dicv.	PARACETAMOL+CODEINE PHOSPHATE 500mg/15mg effervescent tablet
dicZ.	NUROMOL 200mg/500mg tablets
did7.	PARACETAMOL 1000mg/100mL infusion
dj1h.	MST CONTINUS 60mg m/r tablets
dj1i.	MST CONTINUS 100mg m/r tablets
dj34.	TEMGESIC 400microgram sublingual tablets
dj36.	SUBUTEX 400micrograms sublingual tablets
dj3U.	BUPRENORPHINE 4mg sublingual tablets
dj8a.	DHC CONTINUS 120mg m/r tablets
dj91.	*DICONAL tablets
djf2.	PENTAZOCINE 25mg tablets
djiF.	TRAMADOL HYDROCHLORIDE 50mg m/r capsules
djii.	ZAMADOL 24HR 150mg m/r tablets
djiK.	ZAMADOL SR 100mg m/r capsules
djim.	TRADOREC XL 100mg m/r tablets
djit.	ZYDOL SR 50mg m/r tablets
djix.	TRAMADOL HYDROCHLORIDE 75mg m/r tablets
djiz.	TRAMADOL HYDROCHLORIDE 400mg m/r tablets
djk5.	OXYCONTIN 20mg m/r tablets
djkj.	OXYCODONE HCL+NALOXONE HCL 5mg/2.5mg m/r tablets
djkQ.	OXYLAN 5mg m/r tablets
djkw.	OXYCODONE HYDROCHLORIDE 10mg m/r tablets
djkY.	SHORTEC 5mg capsules
djmA.	OXELTRA 5mg m/r tablets
djzj.	ZOMORPH 10mg m/r capsules
djzm.	ZOMORPH 100mg m/r capsules
dl72.	IMIGRAN 20mg nasal spray
dl83.	ZOLMITRIPTAN 2.5mg oro-dispersible tablets
dlA1.	RIZATRIPTAN 5mg tablets
dn31.	CARBAMAZEPINE 100mg tablets
dn32.	CARBAMAZEPINE 200mg tablets
dn33.	CARBAMAZEPINE 400mg tablets
dn37.	TEGRETOL 100mg/5mL sugar free liquid
dn55.	*ZARONTIN 250mg capsules
dn73.	PHENOBARBITAL 60mg tablets
dna1.	*MYSOLINE 250mg tablets
dnbc.	EPILIM CHRONO 200 m/r tablets
dnbe.	EPILIM CHRONO 500 m/r tablets
dnbt.	SODIUM VALPROATE 500mg m/r tablets
dnbU.	EPILIM CHRONOSPHERE 1g/sachet m/r granules
dnf2.	LAMOTRIGINE 100mg tablets
dnf7.	LAMICTAL 5mg dispersible tablets
dnfC.	LAMOTRIGINE 100mg dispersible tablets
dng4.	PIRACETAM 800mg tablets
dnh7.	DEPAKOTE 250mg e/c tablets
dnk2.	TOPIRAMATE 100mg tablets
dno2.	KEPPRA 500mg tablets
dno4.	KEPPRA 750mg tablets
dnpP.	REWISCA 300mg capsules
dnpr.	PREGABALIN 20mg/1mL oral solution
dnps.	PREGABALIN 225mg capsules
dnpw.	PREGABALIN 150mg capsules
dnq6.	ZONEGRAN 100mg capsules
dnsz.	STIRIPENTOL 250mg capsules
dnt6.	VIMPAT 200mg tablets
dntE.	LACOSAMIDE 10mg/1mL sugar free liquid
dnu1.	ZEBINIX 800mg tablets
dnv5.	TROBALT 400mg tablets
dnww.	PERAMPANEL 8mg tablets
dnwy.	PERAMPANEL 4mg tablets
dq22.	MADOPAR-125 capsules
dq29.	CO-BENELDOPA 50/200 capsules
dq95.	APOMORPHINE HYDROCHLORIDE 30mg/3mL prefilled pen
dqAb.	REQUIP tablets starter pack
dqEA.	MIRAPEXIN 1.57mg m/r tablets
dqEB.	MIRAPEXIN 2.62mg m/r tablets
dqG1.	NEUPRO 2mg/24hours transdermal patches
dqG6.	NEUPRO 1mg/24hours transdermal patches
dqGx.	ROTIGOTINE 6mg/24hours transdermal patches
du31.	NICOTINE 2mg chewing gum
du36.	NICOTINELL TTS 20 patches
du3C.	*NICORETTE 10mg patches x7
du3l.	NIQUITIN CQ 14mg/24hours patches
du7h.	NICORETTE COOLS 4mg lozenges
du7O.	NICORETTE INVISI 25mg patches
dw11.	METHYLPHENIDATE HYDROCHLORIDE 10mg tablets
dw1K.	MEDIKINET 10mg tablets
dw1R.	MATORIDE XL 54mg m/r tablets
dw1s.	METHYLPHENIDATE HYDROCHLORIDE 40mg m/r capsules
dw1t.	METHYLPHENIDATE HYDROCHLORIDE 10mg m/r capsules
dw2y.	ATOMOXETINE 18mg capsules
dw3x.	LISDEXAMFETAMINE DIMESYLATE 70mg capsules
dy14.	ARICEPT 10mg tablets
dy1z.	DONEPEZIL HYDROCHLORIDE 5mg oro-dispersible tablets
dy29.	RIVASTIGMINE 2mg/mL oral solution
dy35.	REMINYL XL 8mg m/r capsules
dy3v.	GALANTAMINE 24mg m/r capsules
gde3.	CYMBALTA 30mg gastro-resistant capsules
o424.	FENTANYL 25micrograms/hr patches
o427.	FENTANYL 100micrograms/hr patches
o42Z.	MEZOLAR MATRIX 50micrograms/hour patches
o441.	MEPTID 200mg tablets
o4do.	VICTANYL 50micrograms/hour patches
o573.	BUCCOLAM 2.5mg/0.5mL oromucosal soln pre-filled oral syringe
o57r.	MIDAZOLAM 10mg/2mL oromucosal soln pre-filled oral syringe
