B210.00	Malignant neoplasm of glottis
Byu2300	[X]Malignant neopl/overlapping les/resp+intrathoracic organs
B062100	Malignant neoplasm of glossopalatine fold
B600z00	Reticulosarcoma NOS
B324z00	Malignant melanoma of scalp and neck NOS
B073200	Malignant neoplasm posterior margin nasal septum and choanae
B67yz00	Other and unspecified leukaemia NOS
B002.00	"Malignant neoplasm of upper lip, inner aspect"
B574200	Secondary malignant neoplasm of ileum
B312500	Malignant neoplasm of connective and soft tissue of toe
B520.00	Malignant neoplasm of cranial nerves
B60y.00	Other specified reticulosarcoma or lymphosarcoma
B12y.00	Malignant neoplasm of other specified site small intestine
B510300	Malignant neoplasm of globus pallidus
B60z.00	Reticulosarcoma or lymphosarcoma NOS
B062z00	Malignant neoplasm of tonsillar fossa NOS
B602200	Burkitt's lymphoma of intrathoracic lymph nodes
B546.00	Neuroblastoma
B004300	"Malignant neoplasm of lip, oral aspect"
B24y.00	"Malig neop of other site of heart, thymus and mediastinum"
B582100	Secondary malignant neoplasm of skin of face
B601500	Lymphosarcoma of lymph nodes of inguinal region and leg
B610100	"Hodgkin's paragranuloma of lymph nodes of head, face, neck"
B622z00	Sezary's disease NOS
B110000	Malignant neoplasm of cardiac orifice of stomach
B626500	Mast cell malignancy of lymph nodes inguinal region and leg
B002z00	"Malignant neoplasm of upper lip, inner aspect NOS"
B51yz00	Malignant neoplasm of other part of brain NOS
B651000	Chronic eosinophilic leukaemia
B00z000	"Malignant neoplasm of lip, unspecified, external"
B073z00	Malignant neoplasm of anterior wall of nasopharynx NOS
B520z00	Malignant neoplasm of cranial nerves NOS
B627A00	Diffuse non-Hodgkin's large cell lymphoma
B62z800	Unspec malig neop lymphoid/histiocytic of multiple sites
B616z00	"Hodgkin's disease, lymphocytic depletion NOS"
B662.00	Subacute monocytic leukaemia
B4A1100	Malignant neoplasm of ureteropelvic junction
B565200	Secondary and unspec malig neop circumflex iliac LN
Byu5400	"[X]Malignant neoplasm/peripheral nerves of trunk,unspecified"
B139.00	Hereditary nonpolyposis colon cancer
B001z00	"Malignant neoplasm of lower lip, vermilion border NOS"
B616700	"Hodgkin's disease, lymphocytic depletion of spleen"
B03y.00	Malignant neoplasm of other sites of gum
B442.00	Malignant neoplasm of broad ligament
B507000	Malignant neoplasm of lacrimal sac
B241400	Mesothelioma of pericardium
B182.00	Overlapping malign lesion of retroperitoneum and peritoneum
B060100	Malignant neoplasm of palatine tonsil
B013000	Malignant neoplasm of anterior 2/3 of tongue ventral surface
B322100	Malignant melanoma of external auditory meatus
B060200	Malignant neoplasm of overlapping lesion of tonsil
B625200	Letterer-Siwe disease of intrathoracic lymph nodes
B072z00	Malignant neoplasm of lateral wall of nasopharynx NOS
B627E00	Diffuse large B-cell lymphoma
ByuD400	[X]Other malignant immunoproliferative diseases
B625000	Letterer-Siwe disease of unspecified sites
B651200	Chronic neutrophilic leukaemia
B312000	Malignant neoplasm of connective and soft tissue of hip
B601700	Lymphosarcoma of spleen
B62z300	Unspec malig neop lymphoid/histiocytic intra-abdominal nodes
B308z00	Malignant neoplasm of short bones of leg NOS
B66yz00	Other monocytic leukaemia NOS
B051.00	Malignant neoplasm of vestibule of mouth
B626000	Mast cell malignancy of unspecified site
B220100	Malignant neoplasm of mucosa of trachea
B545z00	Malignant neoplasm of aortic body or paraganglia NOS
B31z000	Kaposi's sarcoma of soft tissue
B313300	Malig neoplasm of connective and soft tissues of thor spine
B628.00	Follicular lymphoma
B677.00	Myelodysplastic and myeloproliferative disease
B61..11	Hodgkin lymphoma
B595.00	Malignant tumour of unknown origin
B640000	B-cell acute lymphoblastic leukaemia
B641000	B-cell chronic lymphocytic leukaemia
B62F000	Small cell B-cell lymphoma
B627.11	Non-Hodgkin lymphoma
B62F200	Lymphoblastic (diffuse) lymphoma
B630400	Solitary plasmacytoma
B692.00	Subacute myelomonocytic leukaemia
B58y800	Secondary malignant neoplasm of epididymis and vas deferens
B61C.00	Other classical Hodgkin lymphoma
B62F100	Mantle cell lymphoma
