7G03J	Excision of melanoma
X77p3	Malignant epithelioid haemangioendothelioma
X77p6	Malignant lymphangioma
X77pA	Small cell osteosarcoma
X77pB	Myxoid chondrosarcoma
X77pM	Pleomorphic xanthoastrocytoma
X77pN	Gliosarcoma
X77pR	Ependymoblastoma
X77pS	Mixed oligoastrocytoma
X77pT	Anaplastic oligoastrocytoma
X77pW	Gangliorhabdomyosarcoma
X77pZ	Sympathicoblastoma
X77pa	Primitive neuroectodermal tumour
X77pb	Melanotic neuroectodermal tumour of infancy
X77pc	Melanocytic medullomyoblastoma
X77pv	Malig Schwannoma + divergent mesenchymal & epithelial diff
X77pw	Malignant Triton tumour
X77px	Epithelioid malignant nerve sheath tumour
X77py	Melanotic malignant peripheral nerve sheath tumour
X77q4	Peripheral neuroectodermal tumour
X78Gj	FIGO staging of gynaecological malignancy
X78H1	Carcinoma of vermilion border of upper lip
X78H6	Carcinoma of vermilion border of lower lip
X78HC	Carcinoma of fraenum of lip
X78HI	Carcinoma of fraenum of upper lip
X78HO	Carcinoma of fraenum of lower lip
X78HT	Carcinoma of commissure of lip
X78Hf	Malig tumour anterior two-thirds of tongue- lateral margin
X78Hj	Malignant tumour of tip of tongue
X78Hp	Carcinoma of fraenum linguae
X78Hw	Malignant tumour of glossoepiglottic fold
X78Hz	Carcinoma of lingual tonsil
X78I5	Carcinoma of upper gum
X78IA	Carcinoma of lower gum
X78IG	Carcinoma of anterior part of floor of mouth
X78IL	Carcinoma of lateral part of floor of mouth
X78IR	Carcinoma of hard palate
X78IW	Carcinoma of soft palate
X78Ib	Carcinoma of uvula
X78Ig	Squamous cell carcinoma of buccal mucosa
X78In	Carcinoma of upper buccal sulcus
X78Is	Carcinoma of lower buccal sulcus
X78Iy	Carcinoma of upper labial sulcus
X78J3	Carcinoma of lower labial sulcus
X78J8	Carcinoma of retromolar area
X78JC	Malignant tumour of anterior pillar of fauces
X78JJ	Carcinoma of parotid gland
X78JO	Carcinoma of submandibular gland
X78JS	Carcinoma of sublingual gland
X78JV	Malignant tumour of minor salivary gland
X78Jp	Malignant tumour of nasal skeleton
X78Jt	Malignant tumour of inferior turbinate
X78Jw	Malignant tumour of middle turbinate
X78K0	Malignant tumour posterior margin of nasal septum & choanae
X78LA	Malignant tumour of inferior surface of soft palate
X78LV	Malignant tumour of vocal cord
X78LZ	Malignant tumour of anterior commissure
X78Ld	Malignant tumour of posterior commissure
X78Li	Malignant tumour of suprahyoid epiglottis
X78Ll	Malignant tumour of infrahyoid epiglottis
X78Lo	Malignant tumour of aryepiglottic fold - laryngeal aspect
X78Lr	Malignant tumour of arytenoid
X78Lu	Malignant tumour of false cord
X78Lx	Malignant tumour of laryngeal ventricle
X78M7	Malignant tumour of neck
X78M9	Malignant tumour of parapharyngeal space
X78MH	Carcinoma of cervical part of oesophagus
X78MM	Carcinoma of thoracic part of oesophagus
X78MR	Carcinoma of abdominal part of oesophagus
X78MW	Carcinoma of upper third of oesophagus
X78Mb	Carcinoma of middle third of oesophagus
X78Mg	Carcinoma of lower third of oesophagus
X78Mm	Carcinoma of cardia
X78Mr	Carcinoma of fundus of stomach
X78Mw	Carcinoma of body of stomach
X78N1	Carcinoma of pyloric antrum
X78N6	Carcinoma of pylorus
X78NB	Carcinoma of lesser curve of stomach
X78NC	Carcinoma in situ of lesser curve of stomach
X78NG	Carcinoma of greater curve of stomach
X78NH	Carcinoma in situ of greater curve of stomach
X78NL	Carcinoma of duodenum
X78OK	Adenocarcinoma of rectum
X78OP	Malignant tumour of anus
X78OW	Malignant tumour of cloacogenic zone
X78OX	Malignant tumour of anorectal junction
X78Oz	Sarcoma of liver
X78P0	Angiosarcoma of liver
X78PC	Extrahepatic bile duct carcinoma
X78PX	Carcinoma of ampulla of Vater
X78Pf	Malignant tumour of endocrine pancreas
X78Pg	Carcinoma of endocrine pancreas
X78Pq	Malignant tumour of peritoneum
X78Ql	Malignant tumour of mediastinum
X78T8	Melanotic adamantinoma of skin
X78TC	Superficial spreading malignant melanoma of skin
X78TF	Malignant melanoma arising in intradermal naevus
X78TG	Malignant melanoma arising in congenital naevus
X78U0	Peripheral neuroepithelioma
X78VQ	Malignant tumour of mesothelial tissue
X78VS	Malignant mesothelioma of peritoneum
X78VT	Malignant mesothelioma of pericardium
X78Vi	Malignant lipomatous tumour
X78Vj	Liposarcoma
X78Vm	Malignant tumour of muscle
X78WF	Malignant tumour of soft tissue of abdomen
X78WM	Malignant tumour of breast
X78WN	Carcinoma of breast
X78WO	Scirrhous carcinoma of breast
X78WP	Inflammatory carcinoma of breast
X78WQ	Cancer en cuirasse
X78WR	Paget's disease of nipple
X78WS	Familial cancer of breast
X78WT	Malignant phyllodes tumour of breast
X78Wh	Malignant epithelial tumour of ovary
X78Wi	Serous papillary cystadenocarcinoma ovary
X78Wj	Mucinous cystadenocarcinoma of ovary
X78Wk	Endometrioid carcinoma ovary
X78Wl	Clear cell tumour of ovary
X78Wn	Mixed epithelial tumour of ovary
X78Wo	Undifferentiated carcinoma of ovary
X78Wy	Malignant sex cord tumour of ovary
X78Wz	Malignant granulosa cell tumour of ovary
X78X1	Granulosa cell tumour of ovary
X78X8	Malignant germ cell tumour of ovary
X78X9	Choriocarcinoma of ovary
X78XB	Embryonal carcinoma of ovary
X78XD	Dysgerminoma of ovary
X78XH	Endodermal sinus tumour of ovary
X78XN	Sarcoma of uterus
X78XO	Endometrial carcinoma
X78Xf	Squamous cell carcinoma of cervix
X78Xg	Adenocarcinoma of cervix
X78Xh	Adenosquamous carcinoma of cervix
X78Xj	Carcinoma of cervix stage 0
X78Xq	Carcinoma of vagina
X78Xw	Squamous cell carcinoma of vulva
X78Xx	Malignant melanoma of vulva
X78Xy	Sarcoma of vulva
X78Y1	Gestational choriocarcinoma
X78Y6	Carcinoma of prostate
X78YK	Carcinoma of glans penis
X78YP	Malignant tumour of skin of penis
X78YR	Carcinoma of foreskin
X78Yb	Regressed malignant testicular tumour
X78Yx	Clear cell carcinoma of kidney
X78Yy	Cystadenocarcinoma of kidney
X78Yz	Papillary cystadenocarcinoma of kidney
X78Z0	Sarcoma of kidney
X78ZS	Malignant tumour of trigone of bladder
X78Zc	Malignant tumour of urethral stump
X78Zq	Oligodendroglioma of brain
X78a4	Oligodendroglioma of spinal cord
X78aB	Pituitary carcinoma
X78aY	Malignant tumour of meninges
X78ac	Malignant tumour of olfactory tract
X78af	Malignant tumour of optic nerve and sheath
X78ag	Malignant tumour of optic nerve
X78ah	Malignant astrocytoma of optic nerve
X78ai	Malignant tumour of optic nerve sheath
X78aj	Malignant meningioma of optic nerve sheath
X78ap	Malignant tumour of acoustic vestibular nerve
X78as	Malignant tumour of spinal nerve and sheath
X78av	Malignant tumour of peripheral nerve
X78b0	Adenoid cystic carcinoma of lacrimal gland
X78b1	Adenocarcinoma of lacrimal gland
X78b2	Carcinoma in pleomorphic adenoma of lacrimal gland
X78b3	Mucoepidermoid tumour of lacrimal gland
X78b8	Liposarcoma of orbit
X78b9	Rhabdomyosarcoma of orbit
X78bA	Malignant haemangiopericytoma of orbit
X78bB	Malignant fibrous histiocytoma of orbit
X78bM	Squamous cell carcinoma of conjunctiva
X78bN	Malignant melanoma of conjunctiva
X78bU	Squamous cell carcinoma of cornea
X78bV	Malignant melanoma of cornea
X78bc	Malignant melanoma of iris
X78bj	Medulloepithelioma of ciliary body
X78bk	Malignant melanoma of ciliary body
X78bl	Adenocarcinoma of pigmented epithelium of ciliary body
X78bm	Adenocarcinoma of non-pigmented epithelium of ciliary body
X78bw	Malignant melanoma of choroid
X78cP	Follicular thyroid carcinoma
X78cQ	Papillary thyroid carcinoma
X78cR	Mixed follicular and papillary thyroid carcinoma
X78cS	Anaplastic thyroid carcinoma
X78cT	Medullary thyroid carcinoma
X78ca	Adrenal carcinoma
X78ci	Parathyroid carcinoma
X78dW	Malignant pinealoma
X78e9	Malignant tumour of unknown origin
X78eB	Multiple malignancy
X78eE	Malignant tumour of head and neck
X78eH	Malignant tumour of face
X78eL	Malignant tumour of axilla
X78eV	Malignant tumour of upper limb
X78eY	Malignant tumour of lower limb
X78ef	Malignant tumour
X78eg	Carcinoma of genitourinary organ
X78eh	Sarcoma of bone and connective tissue
X78ej	Carcinoma of lip, oral cavity and pharynx
X78ek	Malignant tumour of oral cavity, lips, salivary glands
X78es	Malignant tumour of oral cavity
X78fC	Malignant tumour of salivary gland
X78fH	Malignant tumour of ear, nose and throat
X78fI	Malignant tumour of nasal cavity and nasopharynx
X78fK	Malignant tumour of lateral nasal wall
X78fN	Malignant tumour of nasal sinuses
X78fO	Malignant tumour of pharynx
X78g0	Carcinoma of respiratory tract and intrathoracic organs
X78g1	Malignant tumour of digestive organ
X78g2	Malignant tumour of oesophagus, stomach and duodenum
X78g3	Carcinoma of oesophagus
X78gA	Carcinoma of stomach
X78gK	Malignant tumour of intestine
X78gL	Malignant tumour of small intestine
X78gM	Carcinoma of caecum
X78gN	Malignant tumour of large intestine
X78gO	Adenocarcinoma of colon
X78gQ	Malignant tumour of anus and anal canal
X78gS	Squamous cell carcinoma of anal margin
X78gY	Carcinoma gallbladder
X78ga	Carcinoma common bile duct
X78gb	Malignant polyp of biliary tract
X78gc	Malignant tumour of exocrine pancreas
X78gd	Carcinoma of pancreas
X78gp	Malignant neoplasm of carpal bones
X78gq	Malignant neoplasm of metacarpal bones
X78gr	Malignant neoplasm of metacarpal bones of foot
X78h0	Malignant tumour of epidermal appendage
X78h1	Malignant neoplasm of sebaceous gland
X78h7	Malignant neoplasm of sweat gland
X78hq	Malignant tumour of mesothelial and soft tissue
X78i1	Malignant tumour of soft tissue of upper limb
X78i2	Malignant tumour of soft tissue of lower limb
X78iC	Malignant tumour of female genital organ
X78id	Malignant tumour of male genital organ
X78if	Malignant tumour of penis
X78it	Malignant tumour of urinary tract
X78iu	Malignant tumour of kidney
X78j1	Carcinoma of bladder
X78j2	Transitional cell carcinoma of bladder
X78j3	Adenocarcinoma of bladder
X78j4	Squamous cell carcinoma of bladder
X78j7	Malignant tumour of nervous system
X78jJ	Malignant tumour of pituitary and hypothalamus
X78je	Kaposi's sarcoma of conjunctiva
X78ji	Kaposi's sarcoma of cornea
X78jy	Malignant tumour of endocrine gland
X78kS	Secondary carcinoma of respiratory and/or digestive systems
X78kT	Metastasis to respiratory and intrathoracic organ
X78kU	Metastasis to trachea
X78kV	Metastasis to bronchus
X78kX	Secondary lymphangitic carcinoma
X78kY	Lymphangitis carcinomatosa
X78kZ	Metastasis to heart
X78ka	Metastasis to thymus
X78kb	Metastasis to gastrointestinal tract
X78kc	Metastasis to small intestine
X78kd	Metastasis to pancreas
X78ke	Metastasis to spleen
X78kf	Metastasis to bone marrow
X78kg	Metastasis to soft tissue
X78kh	Malignant infiltration of muscle
X78kk	Carcinomatosis of peritoneal cavity
X78kl	Metastasis to omentum
X78kn	Metastasis to female genital organ
X78kp	Metastasis to male genital organ
X78kq	Metastasis to scrotum
X78kr	Metastasis to spermatic cord
X78ks	Metastasis to urinary tract
X78kv	Metastasis to renal pelvis
X78kw	Metastasis to nervous system and eye
X78kx	Metastasis to nervous system
X78ky	Metastasis to pituitary
X78kz	Metastasis to optic nerve
X78l0	Metastasis to peripheral nerve
X78l1	Metastasis to eye
X78l2	Metastasis to orbit
X78l3	Metastasis to choroid
X78l4	Metastasis to endocrine organ
X78l5	Metastasis to thyroid
X78l7	Secondary carcinoma of other specified sites
X78l8	Local tumour spread
X78lA	Malignant infiltration of peripheral nerve
X78lB	Malignant infiltration of peripheral nerve plexus
X78qc	Localised malignant reticulohistiocytoma
XC0dw	Malignant disease
XE1Kp	Meckel's diverticulum
XE1vP	Malignant neoplasm of digestive organs and peritoneum
XE1vQ	Malignant neoplasm of oesophagus NOS
XE1vR	Malignant tumour of stomach
XE1vS	Malignant tumour of lesser curve of stomach
XE1vT	Malignant tumour of greater curve of stomach
XE1vU	Malignant tumour of caecum
XE1vV	Malignant neoplasm of colon NOS
XE1vW	Malignant tumour of rectum
XE1vX	Malignant tumour of anal canal
XE1vY	Malignant tumour of gallbladder
XE1vZ	Malignant tumour of respiratory and intrathoracic organ
XE1va	Malignant tumour of middle ear and mastoid
XE1vd	Malignant tumour of bone and articular cartilage
XE1ve	Malignant neoplasm of hand bones
XE1vf	Malignant neoplasm of short bones of leg
XE1vg	Malignant neoplasm of soft tissue
XE1vi	Malignant tumour of cervix
XE1vj	Malignant neoplasm of vulva unspecified
XE1vk	Malignant neoplasm of testis NOS
XE1vl	Malignant tumour of adrenal gland
XE1vm	Secondary malig neop of respiratory and digestive systems
XE1vn	Disseminated malignancy NOS
XE1wT	Adenoid cystic carcinoma
XE1wX	[M]Malignant melanoma NOS
XE1wY	[M]Osteomas and osteosarcomas
XE1wZ	[M]Adamantinoma of long bones
XE1wa	Malignant glioma
XE1wb	[M]Glioblastoma NOS
XE1wc	[M]Neuroblastoma NOS
XE1wg	[X]Mesothelioma of other sites
XE1wj	Malignant neoplasms (& carcinoma)
XE1wl	(Ca lip, oral, pharynx) or (oral carcinomas)
XE1wp	Tongue carcinoma
XE1wr	Ca major saliv gland) or (carc: [parotid][subling][submand])
XE1wt	(Ca gum, + rest of mouth) or (carc: [cheek][mouth][palate])
XE1wv	(Ca oro/naso/hypopharynx) or (carc: [pharynx] or [tonsil])
XE1wx	Ca lip, oral, pharynx NOS
XE1wz	Ca upper third oesophagus
XE1x1	Ca middle third oesophagus
XE1x3	Ca lower third oesophagus
XE1x5	Ca oesophagus NOS
XE1x7	Ca cardia - stomach
XE1x9	Ca pylorus - stomach
XE1xB	Ca fundus - stomach
XE1xD	Ca Body - stomach
XE1xF	Ca lesser curvature - stomach
XE1xH	Ca greater curvature - stomach
XE1xJ	Ca stomach NOS
XE1xL	Carcinoma of colon
XE1xN	Ca hepatic flexure - colon
XE1xP	Ca transverse colon
XE1xR	Ca descending colon
XE1xT	Ca sigmoid colon
XE1xV	(Ca caecum) or (caecum carcinoma)
XE1xX	Ca ascending colon
XE1xZ	Ca splenic flexure - colon
XE1xb	(Ca appendix) or (appendix carcinoma)
XE1xd	Ca colon NOS
XE1xf	Ca rectum with Ca anus
XE1xh	Carcinoma of the rectosigmoid junction
XE1xj	(Ca rectum) or (rectum carcinoma)
XE1xl	(Ca anus) or (anus carcinoma)
XE1xp	Ca liver - primary
XE1xr	Ca intrahepatic bile ducts
XE1xt	Gallbladder Ca
XE1xv	Ca extrahepatic bile ducts
XE1xx	Ca liver/biliary system NOS
XE1xz	Ca head of pancreas
XE1y1	Ca body of pancreas
XE1y3	Ca tail of pancreas
XE1y5	Ca pancreas NOS
XE1y7	Ca larynx - glottis
XE1y9	Ca larynx - supraglottis
XE1yB	Ca larynx - subglottis
XE1yD	Ca larynx - NOS
XE1yT	(Ca bone/artic cart) or (bone carc) or (sarc bone/art cart)
XE1yV	Ca skull/face/jaw bone
XE1yX	(Ca vertebral column) or (spine carcinoma)
XE1yZ	Ca ribs/sternum/clavicle
XE1yb	Ca upper limb bones/scapula
XE1yd	Ca pelvic bones/sacrum/coccyx
XE1yf	Ca lower limb bones
XE1yh	Ca bone/joint cartilage NOS
XE1yj	Melanoma: [skin] or [malignant]
XE1yl	Malignant melanoma of head and neck
XE1yn	Malignant melanoma of trunk
XE1yp	Malignant melanoma of upper limb
XE1yr	Malignant melanoma of lower limb
XE1z9	Ca breast-upper,inner quadrant
XE1zB	Ca breast-lower,inner quadrant
XE1zD	Ca breast-upper,outer quadrant
XE1zF	Ca breast-lower,outer quadrant
XE1zH	Ca breast - axillary tail
XE1zJ	Ca breast - male
XE1zL	Ca breast - NOS
XE1zN	Carcinoma cervix uteri: [adenocarcinoma] or [invasive]
XE1zP	Ca cervix uteri - endocervix
XE1zR	Ca cervix uteri - exocervix
XE1zT	Ca cervix uteri NOS
XE1zV	(Body of uterus Ca) or (carc body uterus) or (endometr Ca)
XE1zX	Ca ovary/other uterine adnexa
XE1zZ	(Fallopian tube Ca) or (Ca ovary/uterine adnexa NOS)
XE1zb	Malig tumour testis: [carcinoma] or [seminoma] or [teratoma]
XE1zd	Ca vulva: [clitoral Ca] or [labial Ca]
XE1zf	Ca penis
XE1zh	(Epidid carc) or (Ca epidid/spermat cord) or (sperm cord Ca)
XE1zj	(Carcinoma bladder) or (bladder Ca)
XE1zl	Ca kidney/other urinary organs
XE1zn	Ca kidney/urinary organs NOS
XE1zp	(Carcinoma brain) or (brain Ca) or (cerebral tumour - malig)
XE1zr	Other primary carcinomas
XE1zt	Ca uterus NOS: [carcinoma] or [cancer]
XE1zv	Malign tumour eye: [Ca eye][malign melanoma][retinoblastoma]
XE205	(Sec Ca sp site) or (metast sp site) or (sec Ca known site)
XE207	Secondary Ca GIT
XE209	(Sec Ca brain/spin cord) or (bone sec Ca) or (brain sec Ca)
XE20B	Secondary Ca NOS
XE20D	(Ca unspecified site) or (secondary - unknown site)
XE20F	(Carcinomatos) or (dissem Ca unsp site) or (metastatic carc)
XE20X	Malignant neoplasm NOS (& sarcoma NOS)
XE2rk	Malignant neoplasm of lip, oral cavity and pharynx
XE2vN	Malignant neoplasm of common bile duct
XE2vO	Malig neop of bone, connective tissue, skin and breast
XE2vP	Malignant neoplasm of genitourinary organ
XE2vQ	Malig neop of kidney and other unspecified urinary organs
XE2vR	Malignant neoplasm of other and unspecified sites
XE2vS	Malignant brain tumour
XE2vT	Secondary malignant neoplasm of other specified sites
XE2vj	Malignant hydatidiform mole
XE2xB	Secondary and unspecified malignant neoplasm of lymph nodes
XM00E	Malignant tumour of lower labial mucosa
XM00F	Malignant tumour of ill-defined site
XM0Ac	Carcinoma of base of tongue
XM0Ad	Metastasis to large intestine
XM0B6	Glioblastoma multiforme
XM0pZ	Palate carcinoma
XM0pb	Tonsil carcinoma
XM0pq	Cerebrum Ca
XM0ps	Malignant melanoma of eye
XM0pv	Secondary malignant neoplasm of unknown site
XM1F6	Undifferentiated carcinoma
XM1F7	Anaplastic carcinoma
XM1FE	Combined hepatocellular carcinoma and cholangiocarcinoma
XM1FG	Carcinoid tumour - argentaffin
XM1FI	Skin appendage carcinoma
XM1FO	Malignant mixed tumour
XM1MM	Metastasis to digestive organs
XM1Oc	Carcinoma ventral surface of tongue
XM1Od	Carcinoma anterior 2/3 tongue ventrum
XM1Oe	Carcinoma of anterior two-thirds of tongue - dorsal surface
XM1Of	Carcinoma of midline of tongue
XM1Oi	Malignant tumour of lipstick area of lip
XM1P4	Primary vulval cancer
XM1Pr	Cerebral metastasis
XM1Ps	Cerebral tumour - malignant
XM1QO	Carcinoma of tongue base - dorsal surface
XSA0M	Secondary malignant neoplasm of mouth
XSHw5	Clark melanoma level 2
XSHw6	Clark melanoma level 3
XSHw7	Clark melanoma level 4
XSHw8	Clark melanoma level 5
Xa059	Malignant tumour of corpus spongiosum
Xa05A	Malignant tumour of corpus cavernosum
Xa0D7	Malignant tumour of fibrous tissue
Xa0D9	Dermatofibrosarcoma protuberans
Xa0DF	Adenocarcinoma of oesophagus
Xa0DG	Squamous cell carcinoma of oesophagus
Xa0DO	Carcinoid tumour of stomach
Xa0DP	Early gastric cancer
Xa0DQ	Late gastric cancer
Xa0Di	Malignant melanoma of anus
Xa0Dj	Malignant melanoma of rectum
Xa0Dp	Malignant glioma of brain
Xa0Dq	Malignant glioma of spinal cord
Xa0Dr	Glioblastoma multiforme of brain
Xa0Ds	Glioblastoma multiforme of spinal cord
Xa0EY	Squamous cell carcinoma of scrotum
Xa0Ei	Carcinoma of fallopian tube
Xa0Eq	Carcinoma of Bartholin's gland
Xa0G9	Squamous cell carcinoma of tongue
Xa0GA	Squamous cell carcinoma of gum
Xa0GC	Squamous cell carcinoma of floor of mouth
Xa0GN	Squamous cell carcinoma of palate
Xa0Ge	Carcinoma of larynx
Xa0KC	Malignant tumour of external ear
Xa0LD	Malignant tumour of middle ear
Xa0R4	Medulloblastoma of cerebellum
Xa0RU	Malignant melanoma of meninges
Xa0WG	Primary malignant tumour of peritoneum
Xa0WH	Malignant peritoneal local recurrence
Xa0aG	Nonteratoid medulloepithelioma
Xa0aO	Olfactory neuroendocrine carcinoma
Xa0aS	Meningeal sarcoma
Xa0ay	Rhabdomyosarcoma of bladder
Xa0bJ	Malignant teratoma of mediastinum
Xa0bK	Malignant seminoma of mediastinum
Xa0bL	Malignant neuroma of mediastinum
Xa0bM	Sarcoma of bladder
Xa0bQ	Sarcoma of breast
Xa0bT	Intraduct carcinoma of breast
Xa0bU	Lobular carcinoma of breast
Xa0bV	Malignant Leydig cell tumour of testis
Xa0bb	Endometrioid carcinoma of prostate
Xa0hk	Odontogenic carcinoma
Xa0hl	Odontogenic sarcoma
Xa0iA	Primary intra-osseous carcinoma
Xa0iB	Odontogenic ghost cell carcinoma
Xa0ik	Malignant infiltration of soft tissue
Xa1aS	Malignant tumour of lacrimal drainage structure
Xa1nX	Neuroblastoma of brain
Xa1nZ	Adrenal neuroblastoma
Xa1na	Thoracic neuroblastoma
Xa1nb	Pelvic neuroblastoma
Xa1nc	Paraspinal neuroblastoma
Xa1ne	Abdominothoracic neuroblastoma
Xa1oQ	Carcinoma of vocal cord
Xa34F	Carcinoma of anal canal
Xa34H	Carcinoma of sigmoid colon
Xa36T	Metastasis to vertebral column
Xa36r	Carcinoma of cervix
Xa39z	Metastasis to trachea of unknown primary
Xa3A4	Metastasis to bronchus of unknown primary
Xa3A5	Metastasis to lung of unknown primary
Xa3A6	Metastasis to pleura of unknown primary
Xa3A7	Metastasis to heart of unknown primary
Xa3A8	Metastasis to mediastinum of unknown primary
Xa3A9	Metastasis to thymus of unknown primary
Xa3AA	Metastasis to small intestine of unknown primary
Xa3AB	Metastasis to large intestine of unknown primary
Xa3AC	Metastasis to colon of unknown primary
Xa3AD	Metastasis to rectum of unknown primary
Xa3AE	Metastasis to liver of unknown primary
Xa3AF	Metastasis to pancreas of unknown primary
Xa3AG	Metastasis to spleen of unknown primary
Xa3AH	Metastasis to peritoneum of unknown primary
Xa3AI	Metastasis to retroperitoneum of unknown primary
Xa3AJ	Metastasis to bone of unknown primary
Xa3AK	Metastasis to vertebral column of unknown primary
Xa3BF	Metastasis to skin of unknown primary
Xa3BG	Metastasis to soft tissue of unknown primary
Xa3BH	Metastasis to breast of unknown primary
Xa3BI	Metastasis to uterus of unknown primary
Xa3BL	Metastasis to ovary of unknown primary
Xa3BM	Metastasis to vagina of unknown primary
Xa3BN	Metastasis to kidney of unknown primary
Xa3BX	Metastasis to bladder of unknown primary
Xa3BZ	Metastasis to brain of unknown primary
Xa3Ba	Metastasis to eye of unknown primary
Xa3Bb	Metastasis to adrenal gland of unknown primary
Xa3Bc	Metastasis to lymph node of unknown primary
Xa3Bd	Disseminated malignancy of unknown primary
Xa3eF	Carcinoma liver/biliary system
Xa3eG	Carcinoma liver/biliary system NOS
Xa3eH	Carcinoma of upper limb bones/scapula
Xa3eI	Carcinoma of lower limb bones
Xa3eJ	Carcinoma of skin of head/neck
Xa3eK	Ca breast - nipple/central
Xa3eL	Carcinoma of breast - upper, inner quadrant
Xa3eM	Carcinoma of breast - lower, inner quadrant
Xa3eN	Carcinoma of breast - upper, outer quadrant
Xa3eO	Carcinoma breast - lower, outer quadrant
Xa3eP	Carcinoma of breast - axillary tail
Xa3eQ	Carcinoma of breast NOS
Xa3eR	Carcinoma genital organs
Xa3eS	Carcinoma of epididymis/spermatic cord
Xa3eT	Carcinoma of genital organs NOS
Xa3eU	Secondary carcinoma of gastrointestinal tract
Xa3rj	Secondary carcinoma NOS
Xa7n9	Transitional cell carcinoma of ureter
Xa7o3	Disseminated adenocarcinoma
Xa84V	Adenocarcinoma of sigmoid colon
Xa97p	Malignant tumour of anterior two-thirds of tongue
Xa97q	Malignant tumour of liver
Xa97r	Intrahepatic bile duct carcinoma
Xa97s	Malignant tumour of soft tissue
Xa97t	Malignant tumour of soft tissue of head, face and neck
Xa97u	Malignant tumour of soft tissue of shoulder
Xa97v	Malignant tumour of soft tissue of hip
Xa97w	Malignant tumour of soft tissue of thorax
Xa97x	Malignant tumour of soft tissue of pelvis
Xa97y	Malignant tumour of vulva
Xa97z	Malignant tumour of unknown origin or ill-defined site
Xa980	Metastasis to lymph node
Xa981	Metastasis to epididymis
Xa982	Metastatic malignant disease
Xa983	Disseminated malignancy
Xa98L	Metastatic adenocarcinoma
Xa98P	Follicular adenocarcinoma
Xa98Q	Papillary carcinoma - follicular variant
Xa98Y	Solid carcinoma
Xa98Z	Goblet cell carcinoid
Xa98c	Papillary adenocarcinoma
Xa98e	Clear cell adenocarcinoma
Xa98k	Cystadenocarcinoma
Xa98m	Serous cystadenocarcinoma
Xa98o	Papillary cystadenocarcinoma
Xa98r	Mucinous cystadenocarcinoma
Xa98u	Comedocarcinoma
Xa98x	Medullary carcinoma
Xa98y	Lobular carcinoma
Xa98z	Extramammary Paget's disease
Xa993	Choroid plexus carcinoma
Xa997	Polar spongioblastoma
Xa998	Oligodendroglioma
Xa999	Medulloblastoma
Xa99A	Cerebellar sarcoma
Xa99D	Neuroblastoma
Xa99F	Medulloepithelioma
Xa99H	Neuroepithelioma
Xa99K	Olfactory neuroblastoma
Xa99L	Olfactory neuroepithelioma
Xa99S	Malignant melanoma
Xa99V	Malignant peripheral nerve sheath tumour
Xa99a	Spindle cell melanoma
Xa99e	Sarcoma
Xa99f	Alveolar soft tissue sarcoma
Xa99h	Giant cell sarcoma
Xa99p	Dermatofibrosarcoma
Xa99r	Liposarcoma morphology
Xa99v	Leiomyosarcoma
Xa99y	Rhabdomyosarcoma
Xa9A0	Nephroblastoma
Xa9A1	Carcinosarcoma
Xa9A8	Malignant phyllodes tumour
Xa9A9	Synovial sarcoma
Xa9AI	Malignant teratoma
Xa9AJ	Teratoma with malignant transformation
Xa9AQ	Choriocarcinoma combined with germ cell elements
Xa9AV	Osteosarcoma - morphology
Xa9Aa	Chondrosarcoma of bone
Xa9EA	Malignant tumour of posterior wall of hypopharynx
Xa9Jc	Metastasis to head and neck lymph node
Xa9Je	Metastasis to intrathoracic lymph node
Xa9Jg	Metastasis to intra-abdominal lymph node
Xa9Ji	Metastasis to upper limb lymph node
Xa9Jk	Metastasis to lower limb lymph node
Xa9Jm	Metastasis to intrapelvic lymph node
Xa9Jo	Metastasis to multiple lymph nodes
XaA0C	Adenocarcinoma of ileum
XaAtd	Ca rectum + Ca anus NOS
XaB1b	Perforated carcinoma of oesophagus
XaB1e	Retroperitoneal sarcoma
XaB1g	Carcinoma of head of pancreas
XaB1h	Carcinoma of body of pancreas
XaB1i	Carcinoma of tail of pancreas
XaB1p	Metastatic adenocarcinoma of unknown origin
XaB8h	Squamous cell carcinoma of mouth
XaB9x	Chondrosarcoma morphology
XaBA5	Osteosarcoma of bone
XaBAn	Carcinomatosis
XaBAo	Linitis plastica
XaBAt	Sebaceous adenocarcinoma
XaBAu	Pseudomyxoma peritonei
XaBB1	Ewing's sarcoma of bone
XaBB5	Retinoblastoma - morphology
XaBBF	Kaposi's sarcoma
XaBDS	Anaemia in ovarian carcinoma
XaBLv	Malignant neoplasm of epiglottis NOS
XaBmX	Adenocarcinoma of uterus
XaC0y	Secondary malignant neoplasm of tongue
XaC1Q	Malignant neoplasm, overlapping lesion of brain
XaCIv	Malignant melanoma of back
XaCJ1	Primary malignant neoplasm of unknown site
XaCJU	Malignant tumour of soft tissue of back
XaDbr	Cholangiocarcinoma of biliary tract
XaDc5	Carcinoma of ascending colon
XaDc6	Carcinoma of transverse colon
XaDc7	Carcinoma of descending colon
XaDc8	Carcinoma of hepatic flexure
XaDc9	Carcinoma of splenic flexure
XaE6L	Retinal pigment epithelial adenocarcinoma
XaEGU	Malignant melanoma of chest wall
XaEY9	Malignant neoplasm of mesentery
XaEfj	Cystadenocarcinoma of ovary
XaF1E	Leukaemic infiltrate of choroid
