B....11	Cancers
B616500	Hodgkin's disease, lymphocytic depletion of lymph nodes of inguinal region and lower limb
B616600	Hodgkin's disease, lymphocytic depletion of intrapelvic lymph nodes
B616700	Hodgkin's disease, lymphocytic depletion of spleen
B616800	Hodgkin's disease, lymphocytic depletion of lymph nodes of multiple sites
B616z00	Hodgkin's disease, lymphocytic depletion NOS
B617.00	Nodular lymphocyte predominant Hodgkin lymphoma
B618.00	Nodular sclerosis classical Hodgkin lymphoma
B619.00	Mixed cellularity classical Hodgkin lymphoma
B61A.00	Lymphocyte depleted classical Hodgkin lymphoma
B61B.00	Lymphocyte-rich classical Hodgkin lymphoma
B61C.00	Other classical Hodgkin lymphoma
B61z.00	Hodgkin's disease NOS
B61z.11	Hodgkin lymphoma NOS
B61z000	Hodgkin's disease NOS, unspecified site
B61z100	Hodgkin's disease NOS of lymph nodes of head, face and neck
B61z200	Hodgkin's disease NOS of intrathoracic lymph nodes
B61z300	Hodgkin's disease NOS of intra-abdominal lymph nodes
B61z400	Hodgkin's disease NOS of lymph nodes of axilla and upper limb
B61z500	Hodgkin's disease NOS of lymph nodes of inguinal region and lower limb
B61z600	Hodgkin's disease NOS of intrapelvic lymph nodes
B61z700	Hodgkin's disease NOS of spleen
B61z800	Hodgkin's disease NOS of lymph nodes of multiple sites
B61zz00	Hodgkin's disease NOS
B620.00	Nodular lymphoma (Brill - Symmers disease)
B620.11	Reticulosarcoma - follicular or nodular
B620000	Nodular lymphoma of unspecified site
B620100	Nodular lymphoma of lymph nodes of head, face and neck
B620200	Nodular lymphoma of intrathoracic lymph nodes
B620300	Nodular lymphoma of intra-abdominal lymph nodes
B620400	Nodular lymphoma of lymph nodes of axilla and upper limb
B620500	Nodular lymphoma of lymph nodes of inguinal region and lower limb
B620600	Nodular lymphoma of intrapelvic lymph nodes
B620700	Nodular lymphoma of spleen
B620800	Nodular lymphoma of lymph nodes of multiple sites
B620z00	Nodular lymphoma NOS
B621.00	Mycosis fungoides
B621000	Mycosis fungoides of unspecified site
B621100	Mycosis fungoides of the lymph nodes of head, face and neck
B621200	Mycosis fungoides of intrathoracic lymph nodes
B621300	Mycosis fungoides of intra-abdominal lymph nodes
B621400	Mycosis fungoides of lymph nodes of axilla and upper limb
B621500	Mycosis fungoides of lymph nodes of inguinal region and lower limb
B621600	Mycosis fungoides of intrapelvic lymph nodes
B621700	Mycosis fungoides of spleen
B621800	Mycosis fungoides of lymph nodes of multiple sites
B621z00	Mycosis fungoides NOS
B622.00	Sezary's disease
B622.11	Sezary disease
B622000	Sezary's disease of unspecified site
B622100	Sezary's disease of lymph nodes of head, face and neck
B622200	Sezary's disease of intrathoracic lymph nodes
B622300	Sezary's disease of intra-abdominal lymph nodes
B622400	Sezary's disease of lymph nodes of axilla and upper limb
B622500	Sezary's disease of lymph nodes of inguinal region and lower limb
B622600	Sezary's disease of intrapelvic lymph nodes
B622700	Sezary's disease of spleen
B622800	Sezary's disease of lymph nodes of multiple sites
B622z00	Sezary's disease NOS
B623.00	Malignant histiocytosis
B623000	Malignant histiocytosis of unspecified site
B623100	Malignant histiocytosis of lymph nodes of head, face and neck
B623200	Malignant histiocytosis of intrathoracic lymph nodes
B623300	Malignant histiocytosis of intra-abdominal lymph nodes
B623400	Malignant histiocytosis of lymph nodes of axilla and upper limb
B623500	Malignant histiocytosis of lymph nodes of inguinal region and lower limb
B623600	Malignant histiocytosis of intrapelvic lymph nodes
B623700	Malignant histiocytosis of spleen
B623800	Malignant histiocytosis of lymph nodes of multiple sites
B623z00	Malignant histiocytosis NOS
B624.00	Leukaemic reticuloendotheliosis
B624.11	Leukaemic reticuloendotheliosis
B624.1212	Hairy cell leukaemia
B624000	Leukaemic reticuloendotheliosis of unspecified sites
B624100	Leukaemic reticuloendotheliosis of lymph nodes of head, face and neck
B624200	Leukaemic reticuloendotheliosis of intrathoracic lymph nodes
B624300	Leukaemic reticuloendotheliosis of intra-abdominal lymph nodes
B624400	Leukaemic reticuloendotheliosis of lymph nodes of axilla and upper limb
B624500	Leukaemic reticuloendotheliosis of lymph nodes of inguinal region and lower limb
B624600	Leukaemic reticuloendotheliosis of intrapelvic lymph nodes
B624700	Leukaemic reticuloendotheliosis of spleen
B624800	Leukaemic reticuloendotheliosis of lymph nodes of multiple sites
B624z00	Leukaemic reticuloendotheliosis NOS
B625.00	Letterer-Siwe disease
B625.11	Histiocytosis X (acute, progressive)
B625000	Letterer-Siwe disease of unspecified sites
B625100	Letterer-Siwe disease of lymph nodes of head, face and neck
B625200	Letterer-Siwe disease of intrathoracic lymph nodes
B625300	Letterer-Siwe disease of intra-abdominal lymph nodes
B625400	Letterer-Siwe disease of lymph nodes of axilla and upper limb
B625500	Letterer-Siwe disease of lymph nodes of inguinal region and lower limb
B625600	Letterer-Siwe disease of intrapelvic lymph nodes
B625700	Letterer-Siwe disease of spleen
B625800	Letterer-Siwe disease of lymph nodes of multiple sites
B625z00	Letterer-Siwe disease NOS
B626.00	Malignant mast cell tumours
B626000	Mast cell malignancy of unspecified site
B626100	Mast cell malignancy of lymph nodes of head, face and neck
B626200	Mast cell malignancy of intrathoracic lymph nodes
B626300	Mast cell malignancy of intra-abdominal lymph nodes
B626400	Mast cell malignancy of lymph nodes of axilla and upper limb
B626500	Mast cell malignancy of lymph nodes of inguinal region and lower limb
B626600	Mast cell malignancy of intrapelvic lymph nodes
B626700	Mast cell malignancy of spleen
B626800	Mast cell malignancy of lymph nodes of multiple sites
B626z00	Malignant mast cell tumour NOS
B627.00	Non - Hodgkin's lymphoma
B627.11	Non-Hodgkin lymphoma
B627000	Follicular non-Hodgkin's small cleaved cell lymphoma
B627100	Follicular non-Hodgkin's mixed small cleaved and large cell lymphoma
B627200	Follicular non-Hodgkin's large cell lymphoma
B627300	Diffuse non-Hodgkin's small cell (diffuse) lymphoma
B627400	Diffuse non-Hodgkin's small cleaved cell (diffuse) lymphoma
B627500	Diffuse non-Hodgkin's mixed small and large cell (diffuse) lymphoma
B627600	Diffuse non-Hodgkin's immunoblastic (diffuse) lymphoma
B627700	Diffuse non-Hodgkin's lymphoblastic (diffuse) lymphoma
B627800	Diffuse non-Hodgkin's lymphoma undifferentiated (diffuse)
B627900	Mucosa-associated lymphoma
B627911	Maltoma
B627A00	Diffuse non-Hodgkin's large cell lymphoma
B627B00	Other types of follicular non-Hodgkin's lymphoma
B627C00	Follicular non-Hodgkin's lymphoma
B627C11	Follicular lymphoma NOS
B627D00	Diffuse non-Hodgkin's centroblastic lymphoma
B627E00	Diffuse large B-cell lymphoma
B627F00	Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue
B627G00	Mediastinal (thymic) large B-cell lymphoma
B627W00	Unspecified B-cell non-Hodgkin's lymphoma
B627X00	Diffuse non-Hodgkin's lymphoma, unspecified
B628.00	Follicular lymphoma
B628000	Follicular lymphoma grade 1
B628100	Follicular lymphoma grade 2
B628200	Follicular lymphoma grade 3
B628300	Follicular lymphoma grade 3a
B628400	Follicular lymphoma grade 3b
B628500	Diffuse follicle centre lymphoma
B628600	Cutaneous follicle centre lymphoma
B628700	Other types of follicular lymphoma
B629.00	Multifocal and multisystemic (disseminated) Langerhans-cell histiocytosis
B62A.00	Sarcoma of dendritic cells
B62B.00	Multifocal and unisystemic Langerhans-cell histiocytosis
B62C.00	Unifocal Langerhans-cell histiocytosis
B62D.00	Histiocytic sarcoma
B62E.00	T/NK-cell lymphoma
B62E000	Mature T/NK-cell lymphoma
B62E100	Anaplastic large cell lymphoma, ALK-positive
B62E200	Anaplastic large cell lymphoma, ALK-negative
B62E300	Cutaneous T-cell lymphoma
B62E400	Extranodal NK/T-cell lymphoma, nasal type
B62E500	Hepatosplenic T-cell lymphoma
B62E600	Enteropathy-associated T-cell lymphoma
B62E611	Enteropathy-type (intestinal) T-cell lymphoma
B62E700	Subcutaneous panniculitic T-cell lymphoma
B62E711	Subcutaneous panniculitis-like T-cell lymphoma
B62E800	Blastic NK-cell lymphoma
B62E900	Angioimmunoblastic T-cell lymphoma
B62EA00	Primary cutaneous CD30-positive T-cell proliferations
B62Ew00	Other mature T/NK-cell lymphoma
B62F.00	Nonfollicular lymphoma
B62F.11	Non-follicular lymphoma
B62F000	Small cell B-cell lymphoma
B62F100	Mantle cell lymphoma
B62F200	Lymphoblastic (diffuse) lymphoma
B62Fy00	Other non-follicular lymphoma
B62x.00	Malignant lymphoma otherwise specified
B62x000	T-zone lymphoma
B62x100	Lymphoepithelioid lymphoma
B62x200	Peripheral T-cell lymphoma
B62x300	Malignant reticuloendotheliosis
B62x400	Malignant reticulosis
B62x500	Malignant immunoproliferative small intestinal disease
B62x600	True histiocytic lymphoma
B62xX00	Other and unspecified peripheral and cutaneous T-cell lymphomas
B62y.00	Malignant lymphoma NOS
B62y000	Malignant lymphoma NOS of unspecified site
B62y100	Malignant lymphoma NOS of lymph nodes of head, face and neck
B62y200	Malignant lymphoma NOS of intrathoracic lymph nodes
B62y300	Malignant lymphoma NOS of intra-abdominal lymph nodes
B62y400	Malignant lymphoma NOS of lymph nodes of axilla and upper limb
B62y500	Malignant lymphoma NOS of lymph nodes of inguinal region and lower limb
B62y600	Malignant lymphoma NOS of intrapelvic lymph nodes
B62y700	Malignant lymphoma NOS of spleen
B62y800	Malignant lymphoma NOS of lymph nodes of multiple sites
B62yz00	Malignant lymphoma NOS
B62z.00	Malignant neoplasms of lymphoid and histiocytic tissue NOS
B62z000	Unspecified malignant neoplasm of lymphoid and histiocytic tissue of unspecified site
B62z100	Unspecified malignant neoplasm of lymphoid and histiocytic tissue of lymph nodes of head, face and neck
B62z200	Unspecified malignant neoplasm of lymphoid and histiocytic tissue of intrathoracic lymph nodes
B62z300	Unspecified malignant neoplasm of lymphoid and histiocytic tissue of intra-abdominal lymph nodes
B62z400	Unspecified malignant neoplasm of lymphoid and histiocytic tissue of lymph nodes of axilla and upper limb
B62z500	Unspecified malignant neoplasm of lymphoid and histiocytic tissue of lymph nodes of inguinal region and lower limb
B62z600	Unspecified malignant neoplasm of lymphoid and histiocytic tissue of intrapelvic lymph nodes
B62z700	Unspecified malignant neoplasm of lymphoid and histiocytic tissue of spleen
B62z800	Unspecified malignant neoplasm of lymphoid and histiocytic tissue of lymph nodes of multiple sites
B62zz00	Lymphoid and histiocytic malignancy NOS
B62zz11	Immunoproliferative neoplasm
B63..00	Multiple myeloma and immunoproliferative neoplasms
B630.00	Multiple myeloma
B630.11	Kahler's disease
B630.1212	Myelomatosis
B630000	Malignant plasma cell neoplasm, extramedullary plasmacytoma
B630011	Extramedullary plasmacytoma
B630100	Solitary myeloma
B630200	Plasmacytoma NOS
B630300	Lambda light chain myeloma
B630400	Solitary plasmacytoma
B631.00	Plasma cell leukaemia
B63y.00	Other immunoproliferative neoplasms
B63z.00	Immunoproliferative neoplasm or myeloma NOS
B64..00	Lymphoid leukaemia
B64..11	Lymphatic leukaemia
B640.00	Acute lymphoid leukaemia
B640000	B-cell acute lymphoblastic leukaemia
B640011	Mature B-cell leukaemia Burkitt-type
B641.00	Chronic lymphoid leukaemia
B641.11	Chronic lymphatic leukaemia
B641000	B-cell chronic lymphocytic leukaemia
B641011	Chronic lymphocytic leukaemia of B-cell type
B641100	Clinical stage A chronic lymphocytic leukaemia
B641200	Clinical stage B chronic lymphocytic leukaemia
B641300	Clinical stage C chronic lymphocytic leukaemia
B642.00	Subacute lymphoid leukaemia
B64y.00	Other lymphoid leukaemia
B64y000	Aleukaemic lymphoid leukaemia
B64y100	Prolymphocytic leukaemia
B64y200	Adult T-cell leukaemia
B64y300	B-cell prolymphocytic leukaemia
B64y311	Prolymphocytic leukaemia of B-cell type
B64y400	T-cell prolymphocytic leukaemia
B64y411	Prolymphocytic leukaemia of T-cell type
B64y500	Adult T-cell lymphoma/leukaemia (HTLV-1-associated)
B64yz00	Other lymphoid leukaemia NOS
B64z.00	Lymphoid leukaemia NOS
B65..00	Myeloid leukaemia
B650.00	Acute myeloid leukaemia
B650000	Acute myeloid leukaemia with 11q23 abnormality
B650100	Acute myeloid leukaemia with multilineage dysplasia
B651.00	Chronic myeloid leukaemia
B651.11	Chronic granulocytic leukaemia
B651000	Chronic eosinophilic leukaemia
B651100	Chronic myeloid leukaemia, BCR/ABL positive
B651200	Chronic neutrophilic leukaemia
B651300	Atypical chronic myeloid leukaemia, BCR/ABL negative
B651z00	Chronic myeloid leukaemia NOS
B652.00	Subacute myeloid leukaemia
B653.00	Myeloid sarcoma
B653000	Chloroma
B653100	Granulocytic sarcoma
B653z00	Myeloid sarcoma NOS
B654.00	Acute myeloblastic leukaemia
B65y.00	Other myeloid leukaemia
B65y000	Aleukaemic myeloid leukaemia
B65y100	Acute promyelocytic leukaemia
B65yz00	Other myeloid leukaemia NOS
B65z.00	Myeloid leukaemia NOS
B66..00	Monocytic leukaemia
B66..11	Histiocytic leukaemia
B66..1212	Monoblastic leukaemia
B660.00	Acute monocytic leukaemia
B661.00	Chronic monocytic leukaemia
B662.00	Subacute monocytic leukaemia
B663.00	Acute monoblastic leukaemia
B66y.00	Other monocytic leukaemia
B66y000	Aleukaemic monocytic leukaemia
B66yz00	Other monocytic leukaemia NOS
B66z.00	Monocytic leukaemia NOS
B67..00	Other specified leukaemia
B670.00	Acute erythraemia and erythroleukaemia
B670.11	Di Guglielmo's disease
B671.00	Chronic erythraemia
B671.11	Heilmeyer - Schoner disease
B672.00	Megakaryocytic leukaemia
B672.11	Thrombocytic leukaemia
B673.00	Mast cell leukaemia
B674.00	Acute panmyelosis
B675.00	Acute myelofibrosis
B675.11	Acute panmyelosis with myelofibrosis
B676.00	Acute erythroid leukaemia
B67y.00	Other and unspecified leukaemia
B67y000	Lymphosarcoma cell leukaemia
B67yz00	Other and unspecified leukaemia NOS
B67z.00	Other specified leukaemia NOS
B68..00	Leukaemia of unspecified cell type
B680.00	Acute leukaemia NOS
B681.00	Chronic leukaemia NOS
B682.00	Subacute leukaemia NOS
B68y.00	Other leukaemia of unspecified cell type
B68z.00	Leukaemia NOS
B69..00	Myelomonocytic leukaemia
B690.00	Acute myelomonocytic leukaemia
B691.00	Chronic myelomonocytic leukaemia
B692.00	Subacute myelomonocytic leukaemia
B693.00	Juvenile myelomonocytic leukaemia
B6y..00	Malignant neoplasm of lymphatic or haematopoietic tissue otherwise specified
B6y0.00	Myeloproliferative disorder
B6y0.11	Myeloproliferative disease
B6y1.00	Myelosclerosis with myeloid metaplasia
B6y1.11	Megakaryocytic myelosclerosis
B6y1.1212	Osteomyelofibrosis
B6z..00	Malignant neoplasm lymphatic or haematopoietic tissue NOS
B6z0.00	Kaposi's sarcoma of lymph nodes
B911000	Malignant hydatidiform mole
B911011	Choriadenoma (destruens)
B91101212	Invasive mole - placenta
B91101313	Choriocarcinoma
B934.00	Polycythaemia vera
B934.11	Polycythaemia rubra vera
B934.1212	Primary polycythaemia
B936.11	Myeloma - solitary
B936.1212	Plasmacytoma NOS
B937.1212	Idiopathic thrombocythaemia
B937.1313	Megakaryocytic myelosclerosis
B937.1414	Myelodysplasia
B937000	Refractory anaemia without sideroblasts, so stated
B937100	Refractory anaemia with sideroblasts
B937200	Refractory anaemia with excess of blasts
B937300	Refractory anaemia with excess of blasts with transformation
B937400	Essential (haemorrhagic) thrombocythaemia
B937411	Primary thrombocythaemia
B937500	Idiopathic thrombocythaemia
B937600	Refractory anaemia without ring sideroblasts
B937700	Refractory anaemia with ring sideroblasts
B937800	Refractory anaemia with multilineage dysplasia
B937900	5Q minus syndrome
B937911	Myelodysplastic syndrome with isolated del(5q) chromosomal abnormality
B937W00	Myelodysplastic syndrome, unspecified
B937W11	Myelodysplasia
B937X00	Refractory anaemia, unspecified
BB02.00	[M]Neoplasm, malignant
BB5R111	[M]Carcinoid bronchial adenoma
BBe2.00	[M]Neurofibrosarcoma
BBL711212	[M]Wilms' tumour
BBmJ.00	[M] Angioendotheliomatosis
BBn0.11	[M]Multiple myeloma
BBr4.00	[M]Erythroleukaemias
BBr4000	[M]Erythroleukaemia
BBr4011	[M]Erythraemic myelosis
BBrA400	[M]Hairy cell leukaemia
BBrA411	[M]Leukaemic reticuloendotheliosis
BBrA800	[M]Leukaemic reticuloendotheliosis
BBv1.00	[M]Angioendotheliomatosis
BBy1.00	[M]No microscopic confirmation of tumour, clinically malignant
BBy2.00	[M]No microscopic confirmation of tumour, clinically metastatic
Byu0.00	[X]Malignant neoplasm of lip, oral cavity and pharynx
Byu1.00	[X]Malignant neoplasm of digestive organs
Byu1000	[X]Other sarcomas of the liver
Byu1100	[X]Other specified carcinomas of liver
Byu1200	[X]Malignant neoplasm of intestinal tract, part unspecified
Byu1300	[X]Malignant neoplasm of ill-defined sites within the digestive system
Byu2000	[X]Malignant neoplasm of bronchus or lung, unspecified
Byu2100	[X]Malignant neoplasm of overlapping lesion of heart, mediastinum and pleura
Byu2200	[X]Malignant neoplasm of upper respiratory tract, part unspecified
Byu2300	[X]Malignant neoplasm of overlapping lesion of respiratory and intrathoracic organs
Byu2400	[X]Malignant neoplasm of ill-defined sites within the respiratory system
Byu2500	[X]Malignant neoplasm of mediastinum, part unspecified
Byu3.00	[X]Malignant neoplasm of bone and articular cartilage
Byu3000	[X]Malignant neoplasm of overlapping lesion of bone and articular cartilage of limbs
Byu3100	[X]Malignant neoplasm of bones and articular cartilage of limb, unspecified
Byu3200	[X]Malignant neoplasm of overlapping lesion of bone and articular cartilage
Byu3300	[X]Malignant neoplasm of bone and articular cartilage, unspecified
Byu4000	[X]Malignant melanoma of other and unspecified parts of face
Byu4100	[X]Malignant melanoma of skin, unspecified
Byu5000	[X]Mesothelioma of other sites
Byu5011	[X]Mesothelioma of lung
Byu5100	[X]Mesothelioma, unspecified
Byu5200	[X]Kaposi's sarcoma of multiple organs
Byu5300	[X]Kaposi's sarcoma, unspecified
Byu5400	[X]Malignant neoplasm of peripheral nerves of trunk, unspecified
Byu5500	[X]Malignant neoplasm of overlapping lesion of peripheral nerves and autonomic nervous system
Byu5600	[X]Malignant neoplasm of peripheral nerves and autonomic nervous system, unspecified
Byu5700	[X]Malignant neoplasm of peritoneum, unspecified
Byu5800	[X]Malignant neoplasm of connective and soft tissue of trunk, unspecified
Byu5900	[X]Malignant neoplasm of connective and soft tissue, unspecified
Byu5A00	[X]Malignant neoplasm overlapping lesion of skin
Byu5B00	[X]Kaposi's sarcoma of other sites
Byu6.00	[X]Malignant neoplasm of breast
Byu7.00	[X]Malignant neoplasm of female genital organs
Byu7000	[X]Malignant neoplasm of uterine adnexa, unspecified
Byu7100	[X]Malignant neoplasm of other specified female genital organs
Byu7200	[X]Malignant neoplasm of overlapping lesion of female genital organs
Byu7300	[X]Malignant neoplasm of female genital organ, unspecified
Byu8.00	[X]Malignant neoplasm of male genital organs
Byu8000	[X]Malignant neoplasm of other specified male genital organs
Byu8100	[X]Malignant neoplasm of overlapping lesion of male genital organs
Byu8200	[X]Malignant neoplasm of male genital organ, unspecified
Byu9.00	[X]Malignant neoplasm of urinary tract
Byu9000	[X]Malignant neoplasm of urinary organ, unspecified
ByuA.00	[X]Malignant neoplasm of eye, brain and other parts of central nervous system
ByuA000	[X]Malignant neoplasm of other and unspecified cranial nerves
ByuA100	[X]Malignant neoplasm of central nervous system, unspecified
ByuA200	[X]Malignant neoplasm of meninges, unspecified
ByuA300	[X]Malignant neoplasm, overlapping lesion of brain and other part of central nervous system
ByuB.00	[X]Malignant neoplasm of thyroid and other endocrine glands
ByuB000	[X]Malignant neoplasm - pluriglandular involvement, unspecified
ByuB100	[X]Malignant neoplasm of endocrine gland, unspecified
ByuC.00	[X]Malignant neoplasm of ill-defined, secondary and unspecified sites
ByuC000	[X]Malignant neoplasm of other specified sites
ByuC100	[X]Malignant neoplasm of overlapping lesion of other and ill-defined sites
ByuC200	[X]Secondary and unspecified malignant neoplasm lymph nodes of multiple regions
ByuC300	[X]Secondary malignant neoplasm of other and unspecified respiratory organs
ByuC400	[X]Secondary malignant neoplasm of other and unspecified digestive organs
ByuC500	[X]Secondary malignant neoplasm of bladder and other and unspecified urinary organs
ByuC600	[X]Secondary malignant neoplasm of other and unspecified parts of nervous system
ByuC700	[X]Secondary malignant neoplasm of other specified sites
ByuC800	[X]Malignant neoplasm without specification of site
ByuD.00	[X]Malignant neoplasms of lymphoid, haematopoietic and related tissue
ByuD000	[X]Other Hodgkin's disease
ByuD100	[X]Other types of follicular non-Hodgkin's lymphoma
ByuD200	[X]Other types of diffuse non-Hodgkin's lymphoma
ByuD300	[X]Other specified types of non-Hodgkin's lymphoma
ByuD400	[X]Other malignant immunoproliferative diseases
ByuD500	[X]Other lymphoid leukaemia
ByuD600	[X]Other myeloid leukaemia
ByuD700	[X]Other monocytic leukaemia
ByuD800	[X]Other specified leukaemias
ByuD900	[X]Other leukaemia of unspecified cell type
ByuDA00	[X]Other specified malignant neoplasms of lymphoid, haematopoietic and related tissue
ByuDB00	[X]Malignant neoplasm of lymphoid, haematopoietic and related tissue, unspecified
ByuDC00	[X]Diffuse non-Hodgkin's lymphoma, unspecified
ByuDD00	[X]Other and unspecified peripheral and cutaneous T-cell lymphomas
ByuDE00	[X]Unspecified B-cell non-Hodgkin's lymphoma
ByuDF00	[X]Non-Hodgkin's lymphoma, unspecified type
ByuDF11	[X]Non-Hodgkin's lymphoma NOS
ByuE.00	[X]Malignant neoplasms of independent (primary) multiple sites
ByuE000	[X]Malignant neoplasms of independent (primary) multiple sites
ByuH600	[X]Neoplasm of uncertain and unknown behaviour of other myelodysplastic syndromes
ByuHC00	[X]Refractory anaemia, unspecified
ByuHD00	[X]Myelodysplastic syndrome, unspecified
1429.00	H/O: * leukaemia
9Ow1.00	Bowel cancer detected by national screening programme
C184.00	Multiple endocrine neoplasia syndrome type 1
C1z2.00	Carcinoid syndrome
C333000	Waldenstrom's macroglobulinaemia
C333100	Alpha heavy chain disease
C333200	Gamma heavy chain disease
C333300	Heavy chain disease
C37y000	Hand - Schuller - Christian disease
C37y100	Eosinophilic granuloma
C37y500	Histiocytosis X , chronic
C37y600	Histiocytosis X , unspecified
C37y700	Histiocytosis, unspecified
C37yB00	Langerhans' cell histiocytosis
C37yD00	Tumour lysis syndrome
D213.00	Refractory Anaemia
D3y0.00	Essential thrombocytosis
G753.00	Lethal midline granuloma
K551000	Anaplasia of cervix
M162800	Lymphomatoid papulosis
M21y900	Poikiloderma vasculare atrophicans
ZV10600	[V]Personal history of leukaemia
ZVu6G00	[X]Personal history of other malignant neoplasms of lymphoid, haematopoietic and related tissues
