1429.	H/O: * leukaemia
B62z3	Unspecified malignant neoplasm of lymphoid and histiocytic tissue of intra-abdominal lymph nodes
B62z4	Unspecified malignant neoplasm of lymphoid and histiocytic tissue of lymph nodes of axilla and upper limb
B62z5	Unspecified malignant neoplasm of lymphoid and histiocytic tissue of lymph nodes of inguinal region and lower limb
B62z6	Unspecified malignant neoplasm of lymphoid and histiocytic tissue of intrapelvic lymph nodes
B62z7	Unspecified malignant neoplasm of lymphoid and histiocytic tissue of spleen
B62z8	Unspecified malignant neoplasm of lymphoid and histiocytic tissue of lymph nodes of multiple sites
B62zz	(Lymphoid and histiocytic malignancy NOS) or (immunoproliferative neoplasm)
B63..	Multiple myeloma and immunoproliferative disease
B630.	Kahler's disease
B6300	Extramedullary plasmacytoma
B63y.	Other immunoproliferative neoplasms
B63z.	Immunoproliferative neoplasm or myeloma NOS
B64..	Lymphatic leukaemia
B640.	Acute lymphatic leukaemia
B641.	Chronic lymphatic leukaemia
B642.	Subacute lymphoid leukaemia
B64y.	Other lymphoid leukaemia
B64y0	Aleukaemic lymphoid leukaemia
B64y1	PLL - Prolymphocytic leukaemia
B64y2	Adult T-cell leukaemia
B64yz	Other lymphoid leukaemia NOS
B64z.	Lymphoid leukaemia NOS
B65..	Granulocytic leukaemia
B650.	Acute myeloid leukaemia
B651.	CGL - Chronic granulocytic leukaemia
B6510	Chronic eosinophilic leukaemia
B6512	Chronic neutrophilic leukaemia
B651z	Chronic myeloid leukaemia NOS
B652.	Subacute myeloid leukaemia
B653.	Myeloid sarcoma
B6530	Chloroma
B6531	Granulocytic sarcoma
B653z	Myeloid sarcoma NOS
B65y.	Other myeloid leukaemia
B65y0	Aleukaemic myeloid leukaemia
B65y1	Acute promyelocytic leukaemia
B65yz	Other myeloid leukaemia NOS
B65z.	Myeloid leukaemia NOS
B66..	Histiocytic leukaemia
B660.	Acute monocytic leukaemia
B661.	Chronic monocytic leukaemia
B662.	Subacute monocytic leukaemia
B66y.	Other monocytic leukaemia
B66y0	Aleukaemic monocytic leukaemia
B66yz	Other monocytic leukaemia NOS
B66z.	Monocytic leukaemia NOS
B67..	Other specified leukaemia
B670.	(Acute erythraemia+erythroleukaemia) or( Di Guglielmo's dis)
B671.	(Chronic erythraemia) or (Heilmeyer - Schoner disease)
B672.	Megakaryocytic leukaemia
B673.	Mast cell leukaemia
B674.	Acute panmyelosis
B67y.	Other and unspecified leukaemia
B67y0	Lymphosarcoma cell leukaemia
B67yz	Other and unspecified leukaemia NOS
B67z.	Other specified leukaemia NOS
B68..	Leukaemia of unspecified cell type
B680.	Acute leukaemia NOS
B681.	Chronic leukaemia NOS
B682.	Subacute leukaemia NOS
B68y.	Other leukaemia of unspecified cell type
B68z.	Leukaemia NOS
B69..	Myelomonocytic leukaemia
B690.	Acute myelomonocytic leukaemia
B691.	Chronic myelomonocytic leukaemia
B692.	Subacute myelomonocytic leukaemia
B6y..	Malignant neoplasm of lymphatic or haematopoietic tissue otherwise specified
B6z..	Malignant neoplasm lymphatic or haematopoietic tissue NOS
B6z0.	Kaposi's sarcoma of lymph nodes
B9110	Choriadenoma (destruens)
B934.	Polycythaemia rubra vera
B936.	Myeloma - solitary
B937.	Idiopathic thrombocythaemia
B9370	Refractory anaemia without sideroblasts, so stated
B9371	Refractory anaemia with sideroblasts
B9372	RAEB - Refractory anaemia with excess of blasts
B9373	Refractory anaemia with excess of blasts with transformation
B937W	(Myelodysplastic syndrome, unspecified) or (myelodysplasia)
BBE1.	[M]Melanosarcoma NOS
BBe2.	Neurofibrosarcoma
BBmJ.	[M]Angioendotheliomatosis
BBrA8	[M]Hairy cell leukaemia
BBy1.	[M]No microscopic confirmation of tumour, clinically malignant
BBy2.	[M]No microscopic confirmation of tumour, clinically metastatic
Byu1.	[X]Malignant neoplasm of digestive organs
Byu10	[X]Other sarcomas of the liver
Byu11	[X]Other specified carcinomas of liver
Byu12	[X]Malignant neoplasm of intestinal tract, part unspecified
Byu13	[X]Malignant neoplasm of ill-defined sites within the digestive system
Byu20	[X]Malignant neoplasm of bronchus or lung, unspecified
Byu24	[X]Malignant neoplasm of ill-defined sites within the respiratory system
Byu25	[X]Malignant neoplasm of mediastinum, part unspecified
Byu3.	[X]Malignant neoplasm of bone and articular cartilage
Byu30	[X]Malignant neoplasm of overlapping lesion of bone and articular cartilage of limbs
Byu31	[X]Malignant neoplasm of bones and articular cartilage of limb, unspecified
Byu32	[X]Malignant neoplasm of overlapping lesion of bone and articular cartilage
Byu33	[X]Malignant neoplasm of bone and articular cartilage, unspecified
Byu41	[X]Malignant melanoma of skin, unspecified
Byu50	(Mesothelioma of lung) or ([X]mesothelioma of other sites)
Byu51	[X]Mesothelioma, unspecified
Byu52	[X]Kaposi's sarcoma of multiple organs
Byu53	[X]Kaposi's sarcoma, unspecified
Byu54	[X]Malignant neoplasm of peripheral nerves of trunk, unspecified
Byu55	[X]Malignant neoplasm of overlapping lesion of peripheral nerves and autonomic nervous system
Byu56	[X]Malignant neoplasm of peripheral nerves and autonomic nervous system, unspecified
Byu57	[X]Malignant neoplasm of peritoneum, unspecified
Byu58	[X]Malignant neoplasm of connective and soft tissue of trunk, unspecified
Byu59	[X]Malignant neoplasm of connective and soft tissue, unspecified
Byu5A	[X]Malignant neoplasm overlapping lesion of skin
Byu5B	[X]Kaposi's sarcoma of other sites
Byu6.	[X]Malignant neoplasm of breast
Byu7.	[X]Malignant neoplasm of female genital organs
Byu70	[X]Malignant neoplasm of uterine adnexa, unspecified
Byu71	[X]Malignant neoplasm of other specified female genital organs
Byu72	[X]Malignant neoplasm of overlapping lesion of female genital organs
Byu73	[X]Malignant neoplasm of female genital organ, unspecified
Byu8.	[X]Malignant neoplasm of male genital organs
Byu80	[X]Malignant neoplasm of other specified male genital organs
Byu81	[X]Malignant neoplasm of overlapping lesion of male genital organs
Byu82	[X]Malignant neoplasm of male genital organ, unspecified
Byu9.	[X]Malignant neoplasm of urinary tract
Byu90	[X]Malignant neoplasm of urinary organ, unspecified
ByuA.	[X]Malignant neoplasm of eye, brain and other parts of central nervous system
ByuA0	[X]Malignant neoplasm of other and unspecified cranial nerves
ByuA1	[X]Malignant neoplasm of central nervous system, unspecified
ByuA2	[X]Malignant neoplasm of meninges, unspecified
ByuA3	[X]Malignant neoplasm, overlapping lesion of brain and other part of central nervous system
ByuB.	[X]Malignant neoplasm of thyroid and other endocrine glands
ByuB0	[X]Malignant neoplasm - pluriglandular involvement, unspecified
ByuB1	[X]Malignant neoplasm of endocrine gland, unspecified
ByuC.	[X]Malignant neoplasm of ill-defined, secondary and unspecified sites
ByuC0	[X]Malignant neoplasm of other specified sites
ByuC1	[X]Malignant neoplasm of overlapping lesion of other and ill-defined sites
ByuC2	[X]Secondary and unspecified malignant neoplasm lymph nodes of multiple regions
ByuC3	[X]Secondary malignant neoplasm of other and unspecified respiratory organs
ByuC4	[X]Secondary malignant neoplasm of other and unspecified digestive organs
ByuC5	[X]Secondary malignant neoplasm of bladder and other and unspecified urinary organs
ByuC6	[X]Secondary malignant neoplasm of other and unspecified parts of nervous system
ByuC7	[X]Secondary malignant neoplasm of other specified sites
ByuC8	[X]Malignant neoplasm without specification of site
ByuD.	[X]Malignant neoplasms of lymphoid, haematopoietic and related tissue
ByuD0	[X]Other Hodgkin's disease
ByuD1	[X]Other types of follicular non-Hodgkin's lymphoma
ByuD2	[X]Other types of diffuse non-Hodgkin's lymphoma
ByuD3	[X]Other specified types of non-Hodgkin's lymphoma
ByuD4	[X]Other malignant immunoproliferative diseases
ByuD5	[X]Other lymphoid leukaemia
ByuD6	[X]Other myeloid leukaemia
ByuD7	[X]Other monocytic leukaemia
ByuD8	[X]Other specified leukaemias
ByuD9	[X]Other leukaemia of unspecified cell type
ByuDA	[X]Other specified malignant neoplasms of lymphoid, haematopoietic and related tissue
ByuDB	[X]Malignant neoplasm of lymphoid, haematopoietic and related tissue, unspecified
ByuDC	[X]Diffuse non-Hodgkin's lymphoma, unspecified
ByuDD	[X]Other and unspecified peripheral and cutaneous T-cell lymphomas
ByuDE	[X]Unspecified B-cell non-Hodgkin's lymphoma
ByuH6	[X]Neoplasm of uncertain and unknown behaviour of other myelodysplastic syndromes
ByuHC	[X]Refractory anaemia, unspecified
ByuHD	[X]Myelodysplastic syndrome, unspecified
C1z2.	Carcinoid syndrome
C3330	Waldenstrom's macroglobulinaemia
C3331	Alpha heavy chain disease
C3332	Gamma heavy chain disease
C37y0	Schuller-Christian syndrome
C37y1	Eosinophilic granuloma
C37y5	Histiocytosis X syndrome
C37y6	Histiocytosis X , unspecified
C37y7	Histiocytosis, unspecified
D3y0.	Essential thrombocytosis
G753.	Lethal midline granuloma
K5510	Anaplasia of cervix
X000b	Malignant meningitis
X00eS	Retinoblastoma
X00eT	Lymphoma of retina
X00Z6	Malignant tumour of eyelid
X00Z8	Squamous cell carcinoma of eyelid
X00ZA	Sebaceous adenocarcinoma of eyelid
X00ZB	Malignant melanoma of eyelid
X00ZC	Kaposi's sarcoma of eyelid
X2032	Pulmonary tumour embolism
X20CK	Refractory anaemia
X20E9	Langerhans' cell histiocytosis
X20FX	Essential thrombocythaemia
X309C	Malignant cystic tumour of exocrine pancreas
X309D	Cystadenocarcinoma of pancreas
X30AD	Malignant ascites
X30L2	Myeloma kidney
X30L7	Leukaemic infiltrate of kidney
X30L8	Lymphoma of kidney
X40B6	Gestational trophoblastic tumour
X40B9	Placental site trophoblastic tumour
X40On	Carcinoid crisis
X40OZ	Multiple endocrine neoplasia syndrome type 1
X507N	Malignant acanthosis nigricans
X50BR	Lymphomatoid papulosis
X70LK	African Burkitt's lymphoma
X70SY	Splenic schistosomal giant cell lymphoma
X77nj	Klatskin's tumour
X77nk	Fibrolamellar hepatocellular carcinoma
X77nQ	Neuroendocrine carcinoma
X77nR	Merkel cell carcinoma
X77nT	Carcinoid bronchial adenoma
X77nW	Vasoactive intestinal peptide-secreting tumour
X77nX	Somatostatinoma
X77oW	Pigmented dermatofibrosarcoma protuberans
X77oX	Myxoid dermatofibrosarcoma
X77q4	Peripheral neuroectodermal tumour
X789P	Ayala's disease
X78a2	Astrocytoma of spinal cord
X78a4	Oligodendroglioma of spinal cord
X78aB	Pituitary carcinoma
X78ac	Malignant tumour of olfactory tract
X78af	Malignant tumour of optic nerve and sheath
X78ag	Malignant tumour of optic nerve
X78ah	Malignant astrocytoma of optic nerve
X78ai	Malignant tumour of optic nerve sheath
X78aj	Malignant meningioma of optic nerve sheath
X78ap	Malignant tumour of acoustic vestibular nerve
X78as	Malignant tumour of spinal nerve and sheath
X78av	Malignant tumour of peripheral nerve
X78aY	Malignant tumour of meninges
X78b0	Adenoid cystic carcinoma of lacrimal gland
X78b1	Adenocarcinoma of lacrimal gland
X78b2	Carcinoma in pleomorphic adenoma of lacrimal gland
X78b8	Liposarcoma of orbit
X78b9	Rhabdomyosarcoma of orbit
X78bA	Malignant haemangiopericytoma of orbit
X78bB	Malignant fibrous histiocytoma of orbit
X78bc	Malignant melanoma of iris
X78bj	Medulloepithelioma of ciliary body
X78bk	Malignant melanoma of ciliary body
X78bl	Adenocarcinoma of pigmented epithelium of ciliary body
X78bm	Adenocarcinoma of non-pigmented epithelium of ciliary body
X78bN	Malignant melanoma of conjunctiva
X78bU	Squamous cell carcinoma of cornea
X78bV	Malignant melanoma of cornea
X78bw	Malignant melanoma of choroid
X78ca	Adrenal carcinoma
X78ci	Parathyroid carcinoma
X78cP	Follicular thyroid carcinoma
X78cQ	Papillary thyroid carcinoma
X78cR	Mixed follicular and papillary thyroid carcinoma
X78cS	Anaplastic thyroid carcinoma
X78cT	Medullary thyroid carcinoma
X78d1	Parathyroid hormone-related peptide-secreting tumour
X78dW	Malignant pinealoma
X78e2	Leukaemia
X78e6	Malignant tumour of spleen
X78e9	Malignant tumour of unknown origin
X78eB	Multiple malignancy
X78eE	Malignant tumour of head and neck
X78ef	Malignant tumour
X78eg	Carcinoma of genitourinary organ
X78eH	Malignant tumour of face
X78ei	Carcinoma of bone, connective tissue, skin and breast
X78ej	Carcinoma of lip, oral cavity and pharynx
X78ek	Malignant tumour of oral cavity, lips, salivary glands
X78eL	Malignant tumour of axilla
X78es	Malignant tumour of oral cavity
X78eV	Malignant tumour of upper limb
X78eY	Malignant tumour of lower limb
X78fC	Malignant tumour of salivary gland
X78fH	Malignant tumour of ear, nose and throat
X78fI	Malignant tumour of nasal cavity and nasopharynx
X78fK	Malignant tumour of lateral nasal wall
X78fN	Malignant tumour of nasal sinuses
X78fO	Malignant tumour of pharynx
X78g0	Carcinoma of respiratory tract and intrathoracic organs
X78g1	Malignant tumour of digestive organ
X78g2	Malignant tumour of oesophagus, stomach and duodenum
X78ga	Carcinoma common bile duct
X78gb	Malignant polyp of biliary tract
X78gc	Malignant tumour of exocrine pancreas
X78gd	Carcinoma of pancreas
X78gK	Malignant tumour of intestine
X78gL	Malignant tumour of small intestine
X78gM	Carcinoma of caecum
X78gN	Malignant tumour of large intestine
X78gO	Adenocarcinoma of colon
X78gp	Malignant neoplasm of carpal bones
X78gq	Malignant neoplasm of metacarpal bones
X78gr	Malignant neoplasm of metacarpal bones of foot
X78gS	Squamous cell carcinoma of anal margin
X78gY	Carcinoma gallbladder
X78h0	Malignant tumour of epidermal appendage
X78H1	Carcinoma of vermilion border of upper lip
X78H6	Carcinoma of vermilion border of lower lip
X78h7	Malignant neoplasm of sweat gland
X78ha	Kaposi's sarcoma of skin
X78HC	Carcinoma of fraenum of lip
X78Hf	Malignant tumour of anterior two-thirds of tongue - lateral margin
X78HI	Carcinoma of fraenum of upper lip
X78Hj	Malignant tumour of tip of tongue
X78hk	Malignant infiltration of skin
X78hm	Mycosis fungoides of skin
X78hn	Sezary's disease of skin
X78HO	Carcinoma of fraenum of lower lip
X78hp	Angioendotheliomatosis
X78hS	Malignant tumour of dermis
X78HT	Carcinoma of commissure of lip
X78Hw	Malignant tumour of glossoepiglottic fold
X78Hz	Carcinoma of lingual tonsil
X78i1	Malignant tumour of soft tissue of upper limb
X78I5	Carcinoma of upper gum
X78IA	Carcinoma of lower gum
X78Ib	Carcinoma of uvula
X78iC	Malignant tumour of female genital organ
X78id	Malignant tumour of male genital organ
X78if	Malignant tumour of penis
X78IG	Carcinoma of anterior part of floor of mouth
X78IL	Carcinoma of lateral part of floor of mouth
X78In	Carcinoma of upper buccal sulcus
X78io	Teratoma of testis
X78ip	Seminoma of testis
X78IR	Carcinoma of hard palate
X78Is	Carcinoma of lower buccal sulcus
X78it	Malignant tumour of urinary tract
X78iu	Malignant tumour of kidney
X78IW	Carcinoma of soft palate
X78Iy	Carcinoma of upper labial sulcus
X78j1	Carcinoma of bladder
X78j2	Transitional cell carcinoma of bladder
X78j3	Adenocarcinoma of bladder
X78j4	Squamous cell carcinoma of bladder
X78j7	Malignant tumour of nervous system
X78J8	Carcinoma of retromolar area
X78JC	Malignant tumour of anterior pillar of fauces
X78je	Kaposi's sarcoma of conjunctiva
X78ji	Kaposi's sarcoma of cornea
X78JJ	Carcinoma of parotid gland
X78JO	Carcinoma of submandibular gland
X78Jp	Malignant tumour of nasal skeleton
X78JS	Carcinoma of sublingual gland
X78Jt	Malignant tumour of inferior turbinate
X78JV	Malignant tumour of minor salivary gland
X78Jw	Malignant tumour of middle turbinate
X78jy	Malignant tumour of endocrine gland
X78K0	Malignant tumour of posterior margin of nasal septum and choanae
X78ka	Metastasis to thymus
X78kb	Metastasis to gastrointestinal tract
X78kc	Metastasis to small intestine
X78kd	Metastasis to pancreas
X78ke	Metastasis to spleen
X78kf	Metastasis to bone marrow
X78kg	Metastasis to soft tissue
X78kh	Malignant infiltration of muscle
X78kk	Carcinomatosis of peritoneal cavity
X78kl	Metastasis to omentum
X78kn	Metastasis to female genital organ
X78kp	Metastasis to male genital organ
X78kq	Metastasis to scrotum
X78kr	Metastasis to spermatic cord
X78ks	Metastasis to urinary tract
X78kT	Metastasis to respiratory and intrathoracic organ
X78kU	Metastasis to trachea
X78kV	Metastasis to bronchus
X78kw	Metastasis to nervous system and eye
X78kx	Metastasis to nervous system
X78kY	Lymphangitis carcinomatosa
X78kZ	Metastasis to heart
X78l0	Metastasis to peripheral nerve
X78l1	Metastasis to eye
X78l2	Metastasis to orbit
X78l3	Metastasis to choroid
X78l4	Metastasis to endocrine organ
X78l5	Metastasis to thyroid
X78l7	Secondary carcinoma of other specified sites
X78lA	Malignant infiltration of peripheral nerve
X78lB	Malignant infiltration of peripheral nerve plexus
X78Ld	Malignant tumour of posterior commissure
X78lF	Carcinoma of other and unspecified sites
X78Li	Malignant tumour of suprahyoid epiglottis
X78Ll	Malignant tumour of infrahyoid epiglottis
X78Lo	Malignant tumour of aryepiglottic fold - laryngeal aspect
X78Lr	Malignant tumour of arytenoid
X78Lu	Malignant tumour of false cord
X78LV	Malignant tumour of vocal cord
X78Lx	Malignant tumour of laryngeal ventricle
X78LZ	Malignant tumour of anterior commissure
X78M7	Malignant tumour of neck
X78M9	Malignant tumour of parapharyngeal space
X78Mb	Carcinoma of middle third of oesophagus
X78Mg	Carcinoma of lower third of oesophagus
X78MH	Carcinoma of cervical part of oesophagus
X78Mm	Carcinoma of cardia
X78MR	Carcinoma of abdominal part of oesophagus
X78Mw	Carcinoma of body of stomach
X78N1	Carcinoma of pyloric antrum
X78N6	Carcinoma of pylorus
X78NB	Carcinoma of lesser curve of stomach
X78NG	Carcinoma of greater curve of stomach
X78NL	Carcinoma of duodenum
X78OK	Adenocarcinoma of rectum
X78OP	Malignant tumour of anus
X78OW	Malignant tumour of cloacogenic zone
X78OX	Malignant tumour of anorectal junction
X78Oz	Sarcoma of liver
X78P0	Angiosarcoma of liver
X78PC	Extrahepatic bile duct carcinoma
X78Pf	Malignant tumour of endocrine pancreas
X78Pg	Carcinoma of endocrine pancreas
X78Pq	Malignant tumour of peritoneum
X78PX	Carcinoma of ampulla of Vater
X78Q1	Adenoid cystic carcinoma of trachea
X78Q2	Squamous cell carcinoma of trachea
X78Q7	Malignant tumour of bronchus
X78Qc	Malignant mesothelioma of pleura
X78QF	Malignant tumour of lung parenchyma
X78QG	Adenocarcinoma of lung
X78QI	Carcinoid tumour of lung
X78QJ	Carcinoma of lung parenchyma
X78QK	Large cell carcinoma of lung
X78QL	Clear cell carcinoma of lung
X78QM	Giant cell carcinoma of lung
X78QN	Small cell carcinoma of lung
X78QO	Oat cell carcinoma of lung
X78QP	Squamous cell carcinoma of lung
X78QQ	Epithelioid haemangioendothelioma of lung
X78QR	Lymphomatoid granulomatosis of lung
X78QS	Non-small cell lung cancer
X78QT	Pancoast tumour
X78RT	Spindle cell squamous carcinoma of skin
X78Sd	Malignant skin tumour with eccrine differentiation
X78Se	Eccrine porocarcinoma
X78Sf	Sweat gland adenocarcinoma
X78Sh	Adenoid cystic eccrine carcinoma
X78Si	Microcystic adnexal carcinoma
X78Sj	Mucoepidermoid carcinoma of skin
X78Sk	Mucinous eccrine carcinoma
X78T3	Malignant skin tumour with apocrine differentiation
X78TC	Superficial spreading malignant melanoma of skin
X78Td	Cutaneous fibrosarcoma
X78TE	Acral lentiginous malignant melanoma of skin
X78TF	Malignant melanoma arising in intradermal naevus
X78TG	Malignant melanoma arising in congenital naevus
X78U0	Peripheral neuroepithelioma
X78U7	Cutaneous leiomyosarcoma
X78Ui	Proliferating angioendotheliomatosis
X78Ul	Angiosarcoma of skin
X78Um	Lymphangiosarcoma of skin
X78Uq	Malignant haemangiopericytoma of skin
X78Ut	Epithelioid cell sarcoma of skin
X78Vi	Malignant lipomatous tumour
X78Vj	Liposarcoma
X78VL	Naevoid basal cell carcinoma syndrome
X78Vm	Malignant tumour of muscle
X78VQ	Malignant tumour of mesothelial tissue
X78VS	Malignant mesothelioma of peritoneum
X78VT	Malignant mesothelioma of pericardium
X78WF	Malignant tumour of soft tissue of abdomen
X78Wh	Malignant epithelial tumour of ovary
X78Wi	Serous papillary cystadenocarcinoma ovary
X78Wj	Mucinous cystadenocarcinoma of ovary
X78Wk	Endometrioid carcinoma ovary
X78Wl	Clear cell tumour of ovary
X78WM	Malignant tumour of breast
X78WN	Carcinoma of breast
X78WO	Scirrhous carcinoma of breast
X78WP	Inflammatory carcinoma of breast
X78WQ	Cancer en cuirasse
X78WS	Familial cancer of breast
X78WT	Malignant phyllodes tumour of breast
X78Wy	Malignant sex cord tumour of ovary
X78Wz	Malignant granulosa cell tumour of ovary
X78X1	Granulosa cell tumour of ovary
X78X8	Malignant germ cell tumour of ovary
X78X9	Choriocarcinoma of ovary
X78XA	Immature teratoma of ovary
X78XB	Embryonal carcinoma of ovary
X78XD	Dysgerminoma of ovary
X78Xf	Squamous cell carcinoma of cervix
X78Xg	Adenocarcinoma of cervix
X78Xh	Adenosquamous carcinoma of cervix
X78XN	Sarcoma of uterus
X78XO	Endometrial carcinoma
X78Xq	Carcinoma of vagina
X78Xw	Squamous cell carcinoma of vulva
X78Xx	Malignant melanoma of vulva
X78Xy	Sarcoma of vulva
X78Y1	Gestational choriocarcinoma
X78Y6	Carcinoma of prostate
X78Yb	Regressed malignant testicular tumour
X78YK	Carcinoma of glans penis
X78Yx	Clear cell carcinoma of kidney
X78Yy	Cystadenocarcinoma of kidney
X78Yz	Papillary cystadenocarcinoma of kidney
X78Z0	Sarcoma of kidney
X78Zc	Malignant tumour of urethral stump
X78Zo	Astrocytoma of brain
X78Zq	Oligodendroglioma of brain
X78ZS	Malignant tumour of trigone of bladder
Xa059	Malignant tumour of corpus spongiosum
Xa05A	Malignant tumour of corpus cavernosum
Xa0ay	Rhabdomyosarcoma of bladder
Xa0bb	Endometrioid carcinoma of prostate
Xa0bg	Pancoast's syndrome
Xa0bJ	Malignant teratoma of mediastinum
Xa0bK	Malignant seminoma of mediastinum
Xa0bL	Malignant neuroma of mediastinum
Xa0bM	Sarcoma of bladder
Xa0bQ	Sarcoma of breast
Xa0bR	Malignant lymphoma of thyroid gland
Xa0bS	Malignant lymphoma of breast
Xa0bU	Lobular carcinoma of breast
Xa0bV	Malignant Leydig cell tumour of testis
Xa0bY	Sertoli cell tumour of testis
Xa0C0	Primary signet ring carcinoma of skin
Xa0CD	Malignant tumour of skin with pilar differentiation
Xa0CE	Amelanotic malignant melanoma of skin
Xa0D7	Malignant tumour of fibrous tissue
Xa0D9	Dermatofibrosarcoma protuberans
Xa0Dd	Lymphoma of intestine
Xa0DF	Adenocarcinoma of oesophagus
Xa0DG	Squamous cell carcinoma of oesophagus
Xa0Di	Malignant melanoma of anus
Xa0Dj	Malignant melanoma of rectum
Xa0DO	Carcinoid tumour of stomach
Xa0DP	Early gastric cancer
Xa0DQ	Late gastric cancer
Xa0Dr	Glioblastoma multiforme of brain
Xa0Ds	Glioblastoma multiforme of spinal cord
Xa0DX	Gastric lymphoma
Xa0E1	Primary cerebral lymphoma
Xa0eB	Hypergranular promyelocytic leukaemia
Xa0eC	Erythraemia
Xa0Ei	Carcinoma of fallopian tube
Xa0Eq	Carcinoma of Bartholin's gland
Xa0G9	Squamous cell carcinoma of tongue
Xa0GA	Squamous cell carcinoma of gum
Xa0GC	Squamous cell carcinoma of floor of mouth
Xa0Ge	Carcinoma of larynx
Xa0GN	Squamous cell carcinoma of palate
Xa0ik	Malignant infiltration of soft tissue
Xa0jn	Acute biphenotypic leukaemia
Xa0KC	Malignant tumour of external ear
Xa0ko	Mixed seminoma teratoma of testis
Xa0LD	Malignant tumour of middle ear
Xa0QD	Anaplastic astrocytoma of brain
Xa0QP	B-cell chronic lymphocytic leukaemia
Xa0QQ	B-cell chronic lymphocytic leukaemia variant
Xa0R4	Medulloblastoma of cerebellum
Xa0Ri	Malignant white blood cell disorder
Xa0Rk	T-cell chronic lymphocytic leukaemia
Xa0Rn	Chronic lymphocytic prolymphocytic leukaemia syndrome
Xa0Ro	Richter's syndrome
Xa0Rp	Splenic lymphoma with villous lymphocytes
Xa0RU	Malignant melanoma of meninges
Xa0S9	T-cell prolymphocytic leukaemia
Xa0SA	Hairy cell leukaemia variant
Xa0SB	Large granular lymphocytic leukaemia
Xa0SC	Lymphoma with spill
Xa0SD	B-cell acute lymphoblastic leukaemia
Xa0SE	Pre B-cell acute lymphoblastic leukaemia
Xa0SF	Common acute lymphoblastic leukaemia
Xa0SG	Null cell acute lymphoblastic leukaemia
Xa0Sh	5Q minus syndrome
Xa0Sk	Acute myeloblastic leukaemia
Xa0Sl	Acute monoblastic leukaemia
Xa0Sm	Acute megakaryoblastic leukaemia
Xa0Sn	Acute eosinophilic leukaemia
Xa0So	Acute myelofibrosis
Xa0SP	Myeloproliferative disorder
Xa0Sq	Tumour lysis syndrome
Xa0St	Hodgkin's disease, lymphocytic predominance - nodular
Xa0Su	Hodgkin's disease, lymphocytic predominance - diffuse
Xa0Sv	Hodgkin's disease, nodular sclerosis - lymphocytic predominance
Xa0Sw	Hodgkin's disease, nodular sclerosis - mixed cellularity
Xa0SX	Atypical chronic myeloid leukaemia
Xa0Sy	B-cell lymphoma
Xa0Sz	Cutaneous/peripheral T-cell lymphoma
Xa0T0	Prethymic and thymic T-cell lymphoma/leukaemia
Xa0T1	Low grade B-cell lymphoma
Xa0T2	Diffuse low grade B-cell lymphoma
Xa0T3	High grade B-cell lymphoma
Xa0T4	Follicular low grade B-cell lymphoma
Xa0T5	B-cell prolymphocytic leukaemia
Xa0T7	Malignant lymphomatous polyposis
Xa0T8	Mucosa-associated lymphoma
Xa0T9	Monocytoid B-cell lymphoma
Xa0TA	Follicular malignant lymphoma - mixed cell type
Xa0TD	Follicular malignant lymphoma - small cleaved cell
Xa0TE	Diffuse high grade B-cell lymphoma
Xa0TF	Nodular high grade B-cell lymphoma
Xa0TG	Diffuse malignant lymphoma - large cell
Xa0TH	Diffuse malignant lymphoma - large cleaved cell
Xa0TI	Diffuse malignant lymphoma - large non-cleaved cell
Xa0Tj	Lymphoepithelioid lymphoma
Xa0Tk	Angioimmunoblastic lymphadenopathy with dysproteinaemia
Xa0TM	Diffuse malignant lymphoma - centroblastic polymorphic
Xa0TP	Malignant lymphoma - lymphoblastic
Xa0Tr	Peripheral T-cell lymphoma - pleomorphic small cell
Xa0TS	Large cell anaplastic lymphoma
Xa0Tt	Peripheral T-cell lymphoma - pleomorphic medium and large cell
Xa0Tu	Enteropathy-associated T-cell lymphoma
Xa0TX	Follicular malignant lymphoma - large cell
Xa0TY	Low grade T-cell lymphoma
Xa0TZ	High grade T-cell lymphoma
Xa0U5	Malignant lymphoma of testis
Xa0WG	Primary malignant tumour of peritoneum
Xa0WH	Malignant peritoneal local recurrence
Xa1aS	Malignant tumour of lacrimal drainage structure
Xa1na	Thoracic neuroblastoma
Xa1nb	Pelvic neuroblastoma
Xa1nc	Paraspinal neuroblastoma
Xa1ne	Abdominothoracic neuroblastoma
Xa1nX	Neuroblastoma of brain
Xa1nZ	Adrenal neuroblastoma
Xa1oQ	Carcinoma of vocal cord
Xa1qs	Tibial adamantinoma
Xa34F	Carcinoma of anal canal
Xa34H	Carcinoma of sigmoid colon
Xa36a	IgA myeloma
Xa36b	IgG myeloma
Xa36c	IgD myeloma
Xa36r	Carcinoma of cervix
Xa36T	Metastasis to vertebral column
Xa39z	Metastasis to trachea of unknown primary
Xa3A4	Metastasis to bronchus of unknown primary
Xa3A5	Metastasis to lung of unknown primary
Xa3A6	Metastasis to pleura of unknown primary
Xa3A7	Metastasis to heart of unknown primary
Xa3A8	Metastasis to mediastinum of unknown primary
Xa3A9	Metastasis to thymus of unknown primary
Xa3AA	Metastasis to small intestine of unknown primary
Xa3AB	Metastasis to large intestine of unknown primary
Xa3AC	Metastasis to colon of unknown primary
Xa3AD	Metastasis to rectum of unknown primary
Xa3AE	Metastasis to liver of unknown primary
Xa3AF	Metastasis to pancreas of unknown primary
Xa3AG	Metastasis to spleen of unknown primary
