16A..	Stiff neck symptom
XA0GB	Fracture of cervical spine
XA0GD	Closed fracture of atlas without spinal cord lesion
XA0GE	Closed fracture of axis without spinal cord lesion
XA0GF	Closed fracture of third cervical vertebra without mention of spinal cord lesion
XA0GG	Closed fracture of fourth cervical vertebra without mention of spinal cord lesion
XA0GH	Closed fracture of fifth cervical vertebra without mention of spinal cord lesion
XA0GI	Closed fracture of sixth cervical vertebra without mention of spinal cord lesion
XA0GJ	Closed fracture of seventh cervical vertebra without mention of spinal cord lesion
XA0GK	Open fracture of atlas without spinal cord lesion
XA0GL	Open fracture of axis without spinal cord lesion
Xa0iE	Pain management
Xa0Ml	Central post-stroke pain
Xa0sK	Chronic low back pain
Xa0sM	Acute low back pain
Xa0t5	Morton neuroma
Xa0wj	Pain in cervical spine
Xa0wp	Acute thoracic back pain
Xa0ws	Thoracic back pain
Xa0wt	Low back pain
Xa0wu	Mechanical low back pain
Xa0wU	Cervicogenic headache
Xa0wx	Knee pain
Xa0wy	Thigh pain
Xa0wz	Pain in buttock
Xa0y5	Complex regional pain syndrome
Xa0yJ	Musculoskeletal pain
Xa0yk	Cramping pain
Xa0yn	Heavy pain
Xa0yp	Splitting pain
Xa0yP	Pain observations
Xa1hJ	Musculoskeletal chest pain
Xa1n6	Strain of tendon of head and neck
Xa1oY	Sprain of spinal ligament
Xa2DK	Brown-Sequard syndrome
Xa2Hd	Superficial injury of head and neck
Xa2Uu	Degloving injury of neck
Xa32s	Sequelae of injuries of neck and trunk
Xa35V	Pain in elbow
Xa35W	Pain in toe
Xa3fB	Other peripheral neuropathy
Xa3fC	Other peripheral nerve disease
Xa3gL	Rheumatoid arthritis - multiple joint
Xa3gO	Rheumatoid arthritis - other joint
Xa3gP	Rheumatoid arthritis NOS
Xa3gQ	Osteoarthritis - hand joint
Xa3gS	Osteoarthritis - other joint
Xa3gv	Rheumatism hip NOS
Xa3gw	Rheumatism knee NOS
Xa3gx	Rheumatism ankle/foot NOS
Xa3h0	Pain in left leg
Xa3h1	Pain in right leg
Xa3h2	Pain in limb NOS
Xa3hp	Dislocations/sprains NOS
Xa3qo	Spinal traction NEC NOS
Xa3qp	Spinal traction NEC
Xa3wk	Still's disease - juvenile rheumatoid arthritis
Xa40k	Rheumatism multiple NOS
Xa40l	Rheumatism shoulder NOS
Xa40m	Rheumatism elbow NOS
Xa40n	Rheumatism wrist NOS
Xa40o	Rheumatism hand NOS
Xa415	Pain in limb - multiple
Xa6aA	Rib pain
Xa6rE	Sacroiliac joint inflamed
Xa6sc	Joint problem
Xa7m5	Polyneuritis
Xa7m8	Pain in calf
Xa7m9	Pain in thumb
Xa7PJ	Joint disorder
Xa7ws	Pain of head and neck region
Xa83s	Right upper quadrant pain
Xa85s	Irritable hip
Xa8EG	Ankylosis of upper limb joint
Xa8EL	Ankylosis of lower limb joint
Xa8I0	Peripheral nerve disease
Xa8Ku	Observation of limb structure
Xa9D0	Congenital abnormality of musculoskeletal system
Xa9DC	Sprain of elbow joint
XaA1H	Mononeuropathy
Xaacg	Private referral to pain management service
XaAcM	Referral to pain management service
XaAfZ	Referral to pain management specialist
XaAP6	Under care of pain management specialist
XaB3q	Polyneuropathy unspecified
XaB5B	Cervical nerve root pain
XaB5C	Thoracic nerve root pain
XaBDO	[D] Right upper quadrant pain
XaBMO	Seropositive errosive rheumatoid arthritis
XaBmY	Osteoarthritis of foot joint
XabRZ	Axial spondyloarthritis
XaBV4	Other synovial, tendon or bursa disorder NOS
XaC0R	Lumbosacral strain
Xac0x	Diabetic peripheral neuropathic pain
XaC1M	Pain due to hip joint prosthesis
XaC1N	Pain due to knee joint prosthesis
XaC1O	Pain due to shoulder joint prosthesis
XaCIV	C/O - pain in toes
XaCIW	C/O - pain in hallux
XaCx4	Open reduction of spinal fracture
XaCx6	Primary closed reduction of spinal fracture
XaCx7	Revision closed reduction of spinal fracture
XaCx8	Primary open reduction of spinal fracture
XaCx9	Revision open reduction of spinal fracture
XaD2p	Prolapsed lumbar intervertebral disc with sciatica
XaD31	Open multiple fracture of thoracic spine
XaD3b	Closed fractures involving head with neck
XaD3c	Open fractures involving head with neck
XaDmf	Musculoskeletal and connective tissue diseases
XaE3a	Spinal fracture with cervical cord lesion
XaE3b	Spinal fracture with thoracic cord lesion
XaE3c	Spinal fracture with lumbar cord lesion
XaEGd	Localised, primary osteoarthritis of the wrist
XaEGe	Localised, primary osteoarthritis of toe
XaEGf	Localised, primary osteoarthritis of elbow
XaEnp	Type II diabetes mellitus with mononeuropathy
XaEnq	Type II diabetes mellitus with polyneuropathy
XaFCO	Intermittent pain
XaFn8	Type II diabetes mellitus with arthropathy
XaFn9	Type II diabetes mellitus with neuropathic arthropathy
XaIkm	Pain management (specialty)
XaINe	Exacerbation of backache
XaIrg	Ulnar neuropathy
XaIsz	Benign coital headache
XaJW3	Referral to musculoskeletal clinic
XaLxr	Vertebroplasty of fracture of spine
XaMMz	Posterior decompression of fracture of spine NEC
XaNTh	Referral to headache special interest general practitioner
XaP0r	Primary progressive multiple sclerosis
XaP1V	Secondary progressive multiple sclerosis
XaPii	Referral to musculoskeletal special interest general practitioner
XaQbU	Intermittent hydrarthrosis
XaQZd	Chronic headache disorder
XaREX	Arthropathy in cystic fibrosis
XaXpZ	Infrequent episodic tension-type headache
XaXsF	Frequent episodic tension-type headache
XaY5O	[D]Other symptoms affecting head and neck
XaYm9	Constant pain
XaYQD	Patellofemoral osteoarthritis
XaYYK	Post-dysenteric reactive arthropathy
XaZMh	Rheumatism
XaZRb	Referral to community musculoskeletal service
XaZtP	Chronic pain review
XC0eJ	Neuropathy
XE0In	Other reduction of fracture of spine
XE0Io	Fixation of spinal fracture
XE0Ip	Fixation of fracture of spine and skull traction however further qualified
XE0rh	Headache
XE0rZ	Nervous system symptoms
XE0s6	Frontal headache
XE0sG	C/O: a pain
XE0sI	Symptom: head/neck
XE0vN	C/O: [a pain] or [an ache]
XE15i	Mononeuritis of unspecified site NOS
XE15j	Inflammatory and toxic neuropathy
XE15k	Diabetic polyneuropathy
XE15m	Toxic or inflammatory neuropathy NOS
XE18P	Drug &/or toxic polyneuropathy
XE1Da	Osteoarthritis NOS
XE1Db	Osteoarthritis NOS, of the upper arm
XE1Dc	Osteoarthritis NOS, of the forearm
XE1Dd	Osteoarthritis NOS, of the hand
XE1DD	Musculoskeletal disorder
XE1De	Osteoarthritis NOS, pelvic region/thigh
XE1DE	Connective tissue disease
XE1Df	Osteoarthritis NOS, of the lower leg
XE1Dg	Osteoarthritis NOS, of ankle and foot
XE1Di	Unspecified polyarthropathy or polyarthritis NOS
XE1DI	Other specified diffuse collagen diseases
XE1Dj	Unspecified monoarthritis
XE1Dk	Arthropathy NOS
XE1DK	Pyogenic arthritis of the upper arm
XE1Dl	Arthropathy NOS, of the upper arm
XE1Dm	Arthropathy NOS, of the forearm
XE1Dn	Arthropathy NOS, of the pelvic region and thigh
XE1Do	Arthropathy NOS, of the lower leg
XE1Dp	Arthropathy NOS, of the ankle and foot
XE1DP	Post-genitourinary infection reactive arthritis
XE1DQ	Arthropathy in Behcet's syndrome of unspecified site
XE1DU	Rheumatoid arthritis and other inflammatory polyarthropathies
XE1DV	Osteoarthritis
XE1DW	Generalised osteoarthritis of the hand
XE1DX	Localised, secondary osteoarthritis of the pelvic region and thigh
XE1DY	Localised osteoarthritis, unspecified, of the pelvic region and thigh
XE1DZ	Localised osteoarthritis, unspecified, of the lower leg
XE1Ea	Arthralgia of the upper arm
XE1Eb	Arthralgia of the forearm
XE1Ec	Arthralgia of the pelvic region and thigh
XE1Ed	Arthralgia of the lower leg
XE1Ee	Arthralgia of the ankle and foot
XE1EG	Joint ankylosis of the upper arm
XE1EH	Joint ankylosis of the forearm
XE1EI	Joint ankylosis of the pelvic region and thigh
XE1EJ	Joint ankylosis of the lower leg
XE1EK	Joint ankylosis of the ankle and foot
XE1Em	Other joint symptoms
XE1En	Other joint symptoms of unspecified site
XE1Eo	Other joint symptoms of the pelvic region and thigh
XE1Ep	Other joint symptoms of the lower leg
XE1Eq	Other joint symptoms of the ankle and foot
XE1Er	Other specified joint disorders
XE1EX	Palindromic rheumatism
XE1Ey	Spondylosis NOS
XE1EY	Joint pain
XE1EZ	Shoulder joint pain
XE1F4	Neck pain
XE1F9	Spinal stenosis, excluding cervical region
XE1FA	Pain in thoracic spine
XE1Fb	Other synovial, tendon and bursa disorders
XE1FB	Pain in lumbar spine
XE1FC	Sciatica
XE1FD	Thoracic neuritis, unspecified
XE1FE	Backache, unspecified
XE1FF	Lumbosacral instability
XE1FJ	Polymyalgia rheumatica
XE1FL	Frozen shoulder
XE1Fm	Myalgia unspecified
XE1Fn	Neuralgia, neuritis or radiculitis NOS
XE1Fp	Pain in limb
XE1Fs	Musculoskeletal limb symptoms NOS
XE1Ga	Disease: [diffuse connective tissue] or [collagen] or [connective tissue]
XE1Gk	Polyarthropathy (& [inflammatory]) NOS
XE1GL	Acquired deformity of other limb parts
XE1Gm	Osteoarthritis -multiple joint
XE1Go	Traumatic arthritis NOS
XE1GT	[X]Other primary gonarthrosis
XE1GU	[X]Other secondary gonarthrosis
XE1GV	[X]Other secondary coxarthrosis
XE1GY	(Musculoskeletal/connective tissue) or (musculoskeletal disease)
XE1H6	(Pain in joint) or (coxalgia)
XE1Hc	Spinal stenosis (& [excl cervical])
XE1He	(Backache NOS) or (back pain [& low])
XE1HG	(Joint: [disorder NOS] or [unstable]) or (polyarthralgia)
XE1HO	(Spondylosis NOS) or (Kummell's disease/spondylitis)
XE1HU	(Cervicalgia) or (neck pain NOS)
XE1Ia	Pain in limb &/or NOS
XE1IU	(Myalgia/myositis NOS) or (intercostal myalgia)
XE1IY	(Neuralgia/neuritis - NOS) or (nerve root pain NEC)
XE1J2	(Other musculoskeletal/connective) or (disorders NOS: [bone] or [cartilage])
XE1JE	Limb deformity [& (acquired)] NOS
XE1JO	(Acquired limb deformity NOS) or (foot: [dropped] or [pronation])
XE1JU	(Acquired deformity NOS) or (contraction - pelvis)
XE1kf	Open fracture of cervical spine
XE1ki	Open fracture of third cervical vertebra
XE1kj	Open fracture of fourth cervical vertebra
XE1kk	Open fracture of fifth cervical vertebra
XE1kl	Open fracture of sixth cervical vertebra
XE1km	Open fracture of seventh cervical vertebra
XE1kn	Fracture of spine with spinal cord lesion
XE1kW	Fracture of vertebra without spinal cord lesion
XE1kX	Closed fracture of cervical spine
XE1Lg	Other musculoskeletal deformity
XE1LT	Certain congenital musculoskeletal deformities
XE1lw	Sprain of other parts of back
XE1lx	Neck sprain, unspecified
XE1m0	Sprains and strains NOS
XE1MI	Other specified other anomalies of muscle, tendon and fascia
XE1MJ	Congenital musculoskeletal anomalies NOS
XE1Nu	(Congenital) or (acquired) anomaly: [msk] or [skeletal]
XE1nV	Crush injury, face, scalp and neck
XE1o3	Nerve and spinal cord injuries
XE1o7	Nerve roots and spinal plexus injuries
XE1oA	Head and neck superficial nerve injury
XE1pI	[X]Mechanical complication of other cardiac and vascular devices and implants
XE1pJ	[X]Infection and inflammatory reaction due to other cardiac and vascular devices, implants and grafts
XE1pK	[X]Other complications of cardiac and vascular prosthetic devices, implants and grafts
XE1pL	[X]Other complications of internal orthopaedic prosthetic devices, implants and grafts
XE1pT	#Spine NOS - no cord lesion
XE1s7	Cranial nerve injury NOS
XE1sB	Spinal cord lesion - no #
XE1tn	Medical care complication
XE1Yl	Tension-type headache
XE1Zn	[X]Persistent somatoform pain disorder
XE2eZ	Congenital instability of hip joint
XE2Qb	Kaschin-Beck disease
XE2Qc	Unspecified polyarthropathy or polyarthritis
XE2rs	[D]Pain in head NOS
XE2sp	Neuropathic arthropathy
XM05w	Heberden's node
XM063	Joint crepitus
XM064	Unstable ankle
XM065	Instability of joint
XM07g	Pain in face
XM092	Loin pain
XM094	Other specified abdominal pain
XM0Ai	Inflammatory arthritis
XM0Bi	Disorders of musculoskeletal implants and repairs
XM0CC	C/O - a neck symptom
XM0Cp	C/O - loin pain
XM0Cq	C/O - lumbar pain
XM0CV	C/O - a headache
XM0u9	Arthritis/arthrosis
XM0uO	Sacroiliitis
XM0uT	Neck disorder NOS
XM0v0	Musculo-skeletal disorder NOS
XM0vh	Back sprain
XM0vj	Lumbosacral sprain
XM0vQ	Fracture of cervical spine with cord lesion
XM0vR	Fracture of thoracic spine with cord lesion
XM0vS	Fracture of lumbar spine with cord lesion
XM0wb	Superficial injury of neck
XM1B4	Chronic intractable pain
XM1B8	Other chronic pain
XM1B9	Pain localised to other parts of lower abdomen
XM1GI	Back pain
XM1JU	Other reduction of fracture of spine and stabilisation
XM1JV	Internal fixation of fracture of spine
XM1NJ	Finger pain
XM1NK	Aching leg syndrome
XM1NQ	Osteoarthritis of metacarpophalangeal joint
XM1NU	Closed dislocation of sacroiliac joint
XSDGs	Multiple joint disease
XSGKA	Chronic pain
XSJyV	Pain in wrist
ZV494	[V]Disfigurements of limbs
Zw043	[Q] Central spinal stenosis
Zw044	[Q] Lateral spinal stenosis
Zw045	[Q] Central and lateral spinal stenosis
